t,type,level,bytes
-29.906,flush_begin,0,0
-29.880,flush_end,0,13160974
-29.868,flush_begin,0,0
-29.842,flush_end,0,13160974
-29.831,flush_begin,0,0
-29.805,flush_end,0,13160974
-29.794,flush_begin,0,0
-29.767,flush_end,0,13160975
-29.756,flush_begin,0,0
-29.730,flush_end,0,13160974
-29.718,flush_begin,0,0
-29.691,flush_end,0,13160974
-29.681,flush_begin,0,0
-29.654,flush_end,0,13160975
-29.643,flush_begin,0,0
-29.616,flush_end,0,13160975
-29.601,trivial_move,3,13160974
-29.598,flush_begin,0,0
-29.572,flush_end,0,13160975
-29.557,trivial_move,3,13160974
-29.555,flush_begin,0,0
-29.528,flush_end,0,13160974
-29.511,trivial_move,3,13160974
-29.507,flush_begin,0,0
-29.481,flush_end,0,13160974
-29.465,trivial_move,3,13160975
-29.462,flush_begin,0,0
-29.434,flush_end,0,13160974
-29.419,trivial_move,3,13160974
-29.417,flush_begin,0,0
-29.389,flush_end,0,13160974
-29.374,trivial_move,3,13160974
-29.371,flush_begin,0,0
-29.343,flush_end,0,13160975
-29.327,trivial_move,3,13160975
-29.324,flush_begin,0,0
-29.296,flush_end,0,13160974
-29.281,trivial_move,3,13160975
-29.278,flush_begin,0,0
-29.250,flush_end,0,13160975
-29.235,trivial_move,3,13160975
-29.232,flush_begin,0,0
-29.204,flush_end,0,13160975
-29.189,trivial_move,3,13160974
-29.187,flush_begin,0,0
-29.159,flush_end,0,13160975
-29.144,trivial_move,3,13160974
-29.142,flush_begin,0,0
-29.114,flush_end,0,13160974
-29.099,trivial_move,3,13160974
-29.096,flush_begin,0,0
-29.068,flush_end,0,13160974
-29.053,trivial_move,3,13160974
-29.050,flush_begin,0,0
-29.023,flush_end,0,13160974
-29.008,trivial_move,3,13160975
-29.005,flush_begin,0,0
-28.978,flush_end,0,13160974
-28.963,trivial_move,3,13160974
-28.959,flush_begin,0,0
-28.933,flush_end,0,13160974
-28.918,trivial_move,3,13160975
-28.915,flush_begin,0,0
-28.888,flush_end,0,13160976
-28.873,trivial_move,3,13160975
-28.870,flush_begin,0,0
-28.844,flush_end,0,13160974
-28.830,trivial_move,3,13160975
-28.827,flush_begin,0,0
-28.801,flush_end,0,13160974
-28.786,trivial_move,3,13160974
-28.783,flush_begin,0,0
-28.756,flush_end,0,13160976
-28.739,trivial_move,3,13160974
-28.737,flush_begin,0,0
-28.711,flush_end,0,13160974
-28.695,trivial_move,3,13160974
-28.692,flush_begin,0,0
-28.665,flush_end,0,13160974
-28.650,trivial_move,3,13160974
-28.646,flush_begin,0,0
-28.620,flush_end,0,13160974
-28.605,trivial_move,3,13160974
-28.602,flush_begin,0,0
-28.575,flush_end,0,13160975
-28.559,trivial_move,3,13160976
-28.557,flush_begin,0,0
-28.530,flush_end,0,13160974
-28.515,trivial_move,3,13160974
-28.512,flush_begin,0,0
-28.486,flush_end,0,13160974
-28.469,trivial_move,3,13160974
-28.467,flush_begin,0,0
-28.440,flush_end,0,13160975
-28.424,trivial_move,3,13160976
-28.421,flush_begin,0,0
-28.393,flush_end,0,13160974
-28.379,trivial_move,3,13160974
-28.377,flush_begin,0,0
-28.350,flush_end,0,13160975
-28.335,trivial_move,3,13160974
-28.333,flush_begin,0,0
-28.306,flush_end,0,13160975
-28.290,trivial_move,3,13160974
-28.288,flush_begin,0,0
-28.261,flush_end,0,13160974
-28.246,trivial_move,3,13160975
-28.243,flush_begin,0,0
-28.216,flush_end,0,13160975
-28.199,trivial_move,3,13160974
-28.198,flush_begin,0,0
-28.170,flush_end,0,13160974
-28.153,trivial_move,3,13160974
-28.151,flush_begin,0,0
-28.122,flush_end,0,13160974
-28.099,trivial_move,3,13160975
-28.092,flush_begin,0,0
-28.064,flush_end,0,13160974
-28.048,trivial_move,3,13160974
-28.046,flush_begin,0,0
-28.018,flush_end,0,13160974
-28.005,trivial_move,3,13160975
-28.004,flush_begin,0,0
-27.970,flush_end,0,13160975
-27.955,trivial_move,3,13160975
-27.953,flush_begin,0,0
-27.926,flush_end,0,13160975
-27.910,trivial_move,3,13160974
-27.908,flush_begin,0,0
-27.881,flush_end,0,13160974
-27.866,trivial_move,3,13160975
-27.863,flush_begin,0,0
-27.836,flush_end,0,13160976
-27.821,trivial_move,3,13160974
-27.818,flush_begin,0,0
-27.792,flush_end,0,13160974
-27.775,trivial_move,3,13160974
-27.772,flush_begin,0,0
-27.745,flush_end,0,13160974
-27.730,trivial_move,3,13160974
-27.728,flush_begin,0,0
-27.701,flush_end,0,13160974
-27.685,trivial_move,3,13160974
-27.682,flush_begin,0,0
-27.655,flush_end,0,13160974
-27.640,trivial_move,3,13160975
-27.638,flush_begin,0,0
-27.610,flush_end,0,13160974
-27.594,trivial_move,3,13160975
-27.591,flush_begin,0,0
-27.564,flush_end,0,13160974
-27.549,trivial_move,3,13160974
-27.546,flush_begin,0,0
-27.518,flush_end,0,13160977
-27.503,trivial_move,3,13160976
-27.500,flush_begin,0,0
-27.472,flush_end,0,13160974
-27.456,trivial_move,3,13160974
-27.454,flush_begin,0,0
-27.427,flush_end,0,13160974
-27.410,trivial_move,3,13160974
-27.408,flush_begin,0,0
-27.379,flush_end,0,13160975
-27.363,trivial_move,3,13160974
-27.360,flush_begin,0,0
-27.332,flush_end,0,13160974
-27.317,trivial_move,3,13160974
-27.314,flush_begin,0,0
-27.286,flush_end,0,13160974
-27.272,trivial_move,3,13160974
-27.269,flush_begin,0,0
-27.242,flush_end,0,13160974
-27.226,trivial_move,3,13160974
-27.223,flush_begin,0,0
-27.195,flush_end,0,13160974
-27.180,trivial_move,3,13160977
-27.178,flush_begin,0,0
-27.149,flush_end,0,13160976
-27.134,trivial_move,3,13160974
-27.131,flush_begin,0,0
-27.104,flush_end,0,13160974
-27.087,trivial_move,3,13160974
-27.084,flush_begin,0,0
-27.057,flush_end,0,13160975
-27.041,trivial_move,3,13160975
-27.038,flush_begin,0,0
-27.011,flush_end,0,13160974
-26.996,trivial_move,3,13160974
-26.993,flush_begin,0,0
-26.967,flush_end,0,13160974
-26.952,trivial_move,3,13160974
-26.949,flush_begin,0,0
-26.923,flush_end,0,13160975
-26.909,trivial_move,3,13160974
-26.907,flush_begin,0,0
-26.880,flush_end,0,13160974
-26.865,trivial_move,3,13160974
-26.863,flush_begin,0,0
-26.836,flush_end,0,13160974
-26.820,trivial_move,3,13160976
-26.818,flush_begin,0,0
-26.792,flush_end,0,13160975
-26.775,trivial_move,3,13160974
-26.772,flush_begin,0,0
-26.745,flush_end,0,13160975
-26.730,trivial_move,3,13160975
-26.726,flush_begin,0,0
-26.699,flush_end,0,13160974
-26.684,trivial_move,3,13160974
-26.681,flush_begin,0,0
-26.655,flush_end,0,13160974
-26.641,trivial_move,3,13160974
-26.638,flush_begin,0,0
-26.612,flush_end,0,13160975
-26.596,trivial_move,3,13160975
-26.593,flush_begin,0,0
-26.567,flush_end,0,13160974
-26.551,trivial_move,3,13160974
-26.549,flush_begin,0,0
-26.522,flush_end,0,13160974
-26.507,trivial_move,3,13160974
-26.504,flush_begin,0,0
-26.477,flush_end,0,13160976
-26.462,trivial_move,3,13160975
-26.460,flush_begin,0,0
-26.433,flush_end,0,13160974
-26.417,trivial_move,3,13160975
-26.414,flush_begin,0,0
-26.387,flush_end,0,13160974
-26.371,trivial_move,3,13160974
-26.368,flush_begin,0,0
-26.341,flush_end,0,13160975
-26.326,trivial_move,3,13160974
-26.323,flush_begin,0,0
-26.296,flush_end,0,13160974
-26.280,trivial_move,3,13160975
-26.278,flush_begin,0,0
-26.250,flush_end,0,13160974
-26.237,trivial_move,3,13160974
-26.235,flush_begin,0,0
-26.208,flush_end,0,13160974
-26.191,trivial_move,3,13160974
-26.189,flush_begin,0,0
-26.162,flush_end,0,13160975
-26.147,trivial_move,3,13160976
-26.145,flush_begin,0,0
-26.118,flush_end,0,13160975
-26.103,trivial_move,3,13160974
-26.100,flush_begin,0,0
-26.074,flush_end,0,13160974
-26.059,trivial_move,3,13160974
