t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,772585,760537,12048,452911,321853,0.71063,2,31,110,5760,1,3,0,0,511.98,0.00,0,260,511.98
2,840199,828155,12044,460881,341381,0.74071,2,28,110,5376,1,2,0,0,511.97,0.99,10,258,511.97
3,919825,907785,12040,459716,346543,0.75382,2,33,110,62,1,0,0,0,511.96,0.00,0,258,511.96
4,921661,909650,12011,458263,344472,0.75169,2,30,110,96,1,1,0,0,511.96,0.08,1,255,511.96
5,855770,843708,12062,418155,308533,0.73784,2,55,114,92,1,1,0,0,511.96,0.00,0,254,511.96
6,966290,954237,12053,454677,341094,0.75019,2,39,110,64,1,1,0,0,511.96,0.84,6,250,511.96
7,931875,919837,12038,441037,321951,0.72999,2,31,110,86,1,1,0,0,511.96,0.32,10,249,511.96
8,867920,855877,12043,476310,371402,0.77975,2,36,112,78,1,0,1,0,511.98,0.00,0,250,511.98
9,743996,731966,12030,466768,375876,0.80527,2,36,112,3456,1,2,0,0,511.97,0.09,4,258,511.97
10,745317,733184,12133,447176,309604,0.69235,2,36,112,5760,1,3,0,0,511.98,0.96,4,255,511.98
11,884878,872867,12011,480122,359762,0.74931,2,32,110,3392,1,1,0,0,511.97,0.00,0,254,511.97
12,950476,938457,12019,488881,372496,0.76194,2,29,108,82,1,1,0,0,511.97,0.00,0,253,511.97
13,804418,792400,12018,420005,310589,0.73949,2,33,112,4736,1,2,0,0,511.96,0.00,0,251,511.96
14,881097,869043,12054,442864,319618,0.72171,2,29,108,3264,1,1,0,0,511.96,0.00,0,250,511.96
15,978727,966668,12059,463542,348898,0.75268,2,27,106,70,1,1,0,0,511.96,0.00,0,249,511.96
16,998178,986156,12022,464524,346699,0.74635,2,26,106,54,1,0,0,0,511.96,0.00,0,249,511.96
17,910238,898304,11934,431077,315182,0.73115,2,27,108,320,1,1,1,0,511.96,0.00,0,246,511.96
18,637121,625100,12021,445623,330298,0.74121,3,30,112,5760,1,3,0,0,511.97,0.00,0,254,511.97
19,741476,729328,12148,449357,328101,0.73016,2,31,112,5632,1,3,0,0,511.98,0.00,0,251,511.98
20,798882,786876,12006,452899,341538,0.75412,2,30,110,5760,1,2,0,0,511.97,0.00,0,248,511.97
21,789911,777883,12028,429901,304884,0.70920,2,32,112,5376,1,2,0,0,511.96,0.48,1,246,511.96
22,993465,981402,12063,495174,377758,0.76288,2,28,108,54,1,0,0,0,511.97,0.00,0,246,511.97
23,952895,940877,12018,467107,352206,0.75402,2,27,108,78,1,1,0,0,511.96,0.00,0,245,511.96
24,972697,960654,12043,465396,350833,0.75384,2,27,108,68,1,1,0,0,511.96,0.46,2,244,511.96
25,974036,962007,12029,456956,342709,0.74998,2,27,106,59,1,0,0,0,511.96,0.00,0,244,511.96
26,973354,961303,12051,449490,333769,0.74255,2,27,106,64,1,1,0,0,511.96,0.00,0,243,511.96
27,897657,885624,12033,526090,417327,0.79326,2,28,108,70,1,0,1,0,511.97,0.00,0,244,511.97
28,670643,658607,12036,432063,318382,0.73689,2,30,112,5632,1,4,0,0,511.97,0.00,0,249,511.97
29,716091,703978,12113,435294,310430,0.71315,2,30,112,5760,1,3,0,0,511.96,0.17,11,246,511.96
30,716949,704904,12045,421132,294373,0.69900,2,30,112,5888,1,2,0,0,511.97,0.00,0,244,511.97
31,885485,873426,12059,464352,336900,0.72553,2,28,108,3840,1,2,0,0,511.96,0.00,0,242,511.96
32,999656,987614,12042,491225,373337,0.76001,2,27,106,60,1,0,0,0,511.96,0.00,0,242,511.96
33,799388,787378,12010,417715,293579,0.70282,2,28,110,5632,1,3,0,0,511.96,0.50,2,238,511.96
34,994131,982090,12041,468705,351229,0.74936,2,27,108,55,1,0,0,0,511.97,0.00,0,238,511.96
35,915665,903632,12033,424861,316744,0.74552,2,39,112,68,1,1,0,0,511.95,0.00,0,237,511.95
36,868781,856825,11956,453174,349391,0.77099,2,39,112,66,1,0,1,0,511.97,0.00,0,238,511.97
37,715721,703565,12156,453631,357770,0.78868,2,36,112,3904,1,3,0,0,511.97,0.00,0,250,511.97
38,859391,847373,12018,477072,361847,0.75847,2,76,114,63,1,0,0,0,511.97,0.00,0,250,511.97
39,909315,897277,12038,485385,377992,0.77875,2,31,110,168,1,1,0,0,511.97,0.00,0,249,511.97
40,939644,927592,12052,482700,367938,0.76225,2,29,108,68,1,1,0,0,511.97,0.00,0,248,511.97
41,901578,889521,12057,457867,347375,0.75868,2,30,110,106,1,1,0,0,511.97,0.00,0,247,511.97
42,727556,715549,12007,390762,268851,0.68802,2,35,114,6016,1,2,0,0,511.97,0.00,0,245,511.97
43,830598,818592,12006,417788,306485,0.73359,2,30,110,4736,1,2,0,0,511.97,0.00,0,243,511.97
44,890809,878728,12081,432430,305529,0.70654,2,29,110,2816,1,1,0,0,511.96,0.00,0,242,511.96
45,896338,884191,12147,427925,305970,0.71501,2,28,108,3904,1,2,0,0,511.96,0.00,0,240,511.96
46,877178,865168,12010,548601,442110,0.80589,2,30,110,68,1,0,1,0,511.97,0.00,0,241,511.97
47,682910,670889,12021,423100,320208,0.75681,3,30,110,5248,1,3,0,0,511.97,0.00,0,248,511.97
48,841514,829504,12010,471855,340072,0.72071,2,29,110,5376,1,2,0,0,511.98,0.00,0,246,511.98
49,908083,896058,12025,468348,360185,0.76905,2,30,110,68,1,1,0,0,511.97,0.80,10,245,511.97
50,736802,724782,12020,406295,291464,0.71737,2,30,112,5760,1,2,0,0,511.97,0.00,0,243,511.97
51,670624,658565,12059,372659,253241,0.67955,2,32,114,6016,1,3,0,0,511.97,0.54,9,240,511.97
52,834526,822474,12052,411010,294541,0.71663,2,36,112,3328,1,1,0,0,511.97,0.00,0,239,511.97
53,947684,935673,12011,445027,334034,0.75059,2,32,110,61,1,0,0,0,511.97,0.00,0,239,511.96
54,947815,935796,12019,436703,324701,0.74353,2,30,110,70,1,1,0,0,511.97,0.00,0,237,511.97
55,846870,834796,12074,477295,375444,0.78661,2,33,110,3200,1,1,1,0,511.97,0.42,10,237,511.97
56,744479,732382,12097,468272,356464,0.76123,2,34,112,5632,1,2,0,0,511.96,0.00,0,247,511.96
57,703318,691238,12080,421858,297659,0.70559,2,80,116,5888,1,3,0,0,511.97,0.28,1,244,511.97
58,862424,850361,12063,460819,354087,0.76839,2,76,114,90,1,1,0,0,511.96,0.00,0,243,511.96
59,788672,776512,12160,424395,304085,0.71651,2,76,114,5248,1,2,0,0,511.97,0.77,9,241,511.97
60,665992,653945,12047,372967,252303,0.67648,2,78,116,6144,1,2,0,0,511.97,1.02,4,239,511.97
61,901616,889534,12082,435671,325356,0.74679,2,78,112,64,1,1,0,0,511.96,0.00,0,238,511.96
62,824093,812025,12068,388794,290790,0.74793,2,80,116,78,1,1,0,0,511.97,0.50,11,235,511.97
63,918824,906737,12087,426909,318100,0.74512,2,76,112,56,1,0,0,0,511.96,0.00,0,235,511.96
64,894943,882836,12107,450319,343431,0.76264,2,47,112,82,1,1,1,0,511.97,0.00,0,235,511.97
65,862799,850773,12026,529941,426082,0.80402,2,46,112,53,1,0,0,0,511.98,0.00,0,235,511.97
66,800588,788533,12055,454917,358219,0.78744,2,74,112,3264,1,2,0,0,511.96,0.15,14,247,511.96
67,759475,747459,12016,426171,316806,0.74338,2,82,116,4864,1,1,0,0,511.97,0.00,0,246,511.97
68,684557,672435,12122,383926,267482,0.69670,2,82,116,5760,1,3,0,0,511.97,1.31,7,243,511.97
69,876410,864381,12029,436644,328924,0.75330,2,82,114,56,1,0,0,0,511.97,0.00,0,243,511.97
70,841707,829692,12015,414226,314322,0.75882,2,82,114,82,1,1,0,0,511.97,0.00,0,242,511.97
71,886981,874873,12108,425654,317018,0.74478,2,80,114,68,1,1,0,0,511.97,0.00,0,241,511.97
72,925926,913807,12119,433760,323440,0.74567,2,78,112,49,1,0,0,0,511.97,0.00,0,241,511.97
73,825416,813351,12065,397036,284979,0.71777,2,76,112,3648,1,2,0,0,511.97,0.00,0,239,511.97
74,850796,838704,12092,522818,419612,0.80260,2,78,114,62,1,0,1,0,511.97,0.00,0,240,511.97
75,711271,699195,12076,431876,325922,0.75467,2,76,114,4096,1,3,0,0,511.97,0.00,0,246,511.97
76,870110,858063,12047,471046,360585,0.76550,2,78,114,57,1,0,0,0,511.97,0.00,0,246,511.97
77,699849,687784,12065,406344,290045,0.71379,2,44,114,5760,1,3,0,0,511.97,0.00,0,243,511.97
78,736009,724045,11964,406493,290894,0.71562,2,50,114,5888,1,2,0,0,511.97,0.00,0,241,511.97
79,821567,809483,12084,422997,298349,0.70532,2,40,112,4864,1,2,0,0,511.97,0.00,0,239,511.97
80,937733,925549,12184,455264,337822,0.74204,2,33,110,74,1,1,0,0,511.96,0.00,0,238,511.96
81,874967,862882,12085,414809,309808,0.74687,2,37,112,88,1,1,0,0,511.96,0.00,0,238,511.96
82,896882,884846,12036,416165,309691,0.74415,2,37,112,64,1,1,0,0,511.96,0.00,0,237,511.96
83,879477,867467,12010,488014,381213,0.78115,2,32,110,74,1,0,1,0,511.98,0.00,0,238,511.98
84,792761,780753,12008,478679,382679,0.79945,2,33,110,3584,1,2,0,0,511.96,0.66,10,247,511.96
85,744666,732550,12116,437460,315353,0.72087,2,80,114,5376,1,2,0,0,511.98,0.00,0,245,511.98
86,937444,925356,12088,489886,375174,0.76584,2,80,112,53,1,0,0,0,511.97,0.00,0,245,511.97
87,923422,911348,12074,467723,357374,0.76407,2,80,112,66,1,1,0,0,511.97,0.00,0,244,511.97
88,882009,869941,12068,433966,330232,0.76096,2,82,114,72,1,1,0,0,511.97,0.59,8,243,511.97
89,789862,777787,12075,399342,293323,0.73452,2,84,116,3648,1,1,0,0,511.97,0.00,0,242,511.97
90,825433,813416,12017,401043,302628,0.75460,2,84,114,82,1,1,0,0,511.97,0.00,0,241,511.97
91,852314,840207,12107,403672,292236,0.72394,2,82,114,96,1,1,0,0,511.96,0.00,0,240,511.96
92,841089,829017,12072,409829,308141,0.75188,2,80,114,2816,1,1,1,0,511.97,0.50,10,240,511.97
93,593573,581488,12085,410877,301167,0.73299,2,82,116,6016,1,3,0,0,511.97,0.42,1,246,511.97
94,687664,675549,12115,413245,300172,0.72638,2,86,120,5376,1,2,0,0,511.98,0.00,0,244,511.98
95,686496,674464,12032,381044,286517,0.75193,2,90,124,2752,1,1,0,0,511.98,0.00,0,243,511.98
96,798051,785862,12189,414673,312211,0.75291,2,86,118,328,1,1,0,0,511.97,0.00,0,242,511.97
97,875601,863533,12068,437350,332490,0.76024,2,82,114,59,1,1,0,0,511.97,0.00,0,241,511.97
98,853297,841286,12011,416405,314098,0.75431,2,80,114,58,1,0,0,0,511.97,0.00,0,241,511.97
99,916169,904143,12026,436363,328212,0.75215,2,80,112,66,1,1,0,0,511.97,0.00,0,240,511.97
100,926992,914898,12094,434149,324893,0.74834,2,80,114,54,1,0,0,0,511.97,0.00,0,240,511.97
101,899896,887790,12106,416336,310529,0.74586,2,80,114,64,1,1,0,0,511.97,0.00,0,238,511.97
102,770419,758325,12094,466841,373535,0.80013,2,80,114,3392,1,1,1,0,511.97,0.00,0,238,511.97
103,768678,756669,12009,465893,358214,0.76888,2,78,114,4032,1,2,0,0,511.97,0.03,1,246,511.97
104,748626,736473,12153,429652,318846,0.74210,2,82,116,6016,1,2,0,0,511.97,0.50,1,244,511.97
105,726742,714675,12067,403887,283833,0.70275,2,84,116,6272,1,2,0,0,511.97,0.00,0,242,511.97
106,890603,878539,12064,447034,340343,0.76134,2,82,114,49,1,0,0,0,511.97,0.00,0,242,511.97
107,783220,771178,12042,401515,295370,0.73564,2,80,116,4096,1,2,0,0,511.97,0.00,0,239,511.97
108,907278,895198,12080,438291,330602,0.75430,2,78,112,63,1,1,0,0,511.97,0.00,0,238,511.97
109,927395,915297,12098,436731,325005,0.74418,2,74,112,55,1,0,0,0,511.96,0.00,0,238,511.96
110,945115,933014,12101,437535,325604,0.74418,2,58,112,57,1,1,0,0,511.96,0.00,0,237,511.96
111,877914,865879,12035,479852,373584,0.77854,2,44,112,70,1,0,1,0,511.97,0.00,0,238,511.97
112,800757,788753,12004,484720,387844,0.80014,2,36,112,3776,1,2,0,0,511.97,0.19,11,246,511.97
113,862328,850208,12120,483962,358902,0.74159,2,78,112,84,1,1,0,0,511.97,0.00,0,245,511.97
114,928508,916409,12099,486124,376307,0.77410,2,80,112,52,1,0,0,0,511.98,0.00,0,245,511.98
115,684506,672434,12072,388119,280715,0.72327,2,84,118,5888,1,3,0,0,511.98,0.00,0,242,511.98
116,799200,787040,12160,410618,302800,0.73743,2,84,116,2944,1,1,0,0,511.98,0.00,0,241,511.98
117,866748,854705,12043,422467,315583,0.74700,2,80,114,62,1,1,0,0,511.97,0.00,0,240,511.97
118,807539,795488,12051,388235,293052,0.75483,2,84,118,94,1,1,0,0,511.97,0.63,1,239,511.97
119,878917,866894,12023,415858,303327,0.72940,2,78,114,76,1,1,0,0,511.96,0.00,0,238,511.96
120,813116,801006,12110,384166,284749,0.74121,2,80,118,74,1,0,1,0,511.96,0.00,0,239,511.96
121,792628,780541,12087,497406,401554,0.80730,2,78,114,3200,1,1,0,0,511.97,0.00,0,238,511.97
