t,type,level,bytes
-29.985,flush_begin,0,0
-29.974,flush_end,0,3286424
-29.851,trivial_move,1,3286424
-29.841,compaction_begin,1,0
-29.800,compaction_end,1,9854278
-29.769,compaction_begin,2,0
-27.803,compaction_end,2,86997481
-27.788,compaction_begin,3,0
-27.173,compaction_end,3,85780820
-27.164,compaction_begin,3,0
-26.912,compaction_end,3,85784900
-26.903,compaction_begin,3,0
-25.930,compaction_end,3,85784899
-25.921,compaction_begin,3,0
-25.671,compaction_end,3,84931412
-25.661,compaction_begin,3,0
-25.415,compaction_end,3,85784900
-25.405,compaction_begin,3,0
-24.139,compaction_end,3,85784899
-24.130,compaction_begin,3,0
-23.889,compaction_end,3,85784900
-23.879,compaction_begin,3,0
-22.489,compaction_end,3,85784901
-22.480,compaction_begin,3,0
-21.242,compaction_end,3,85784901
-21.233,compaction_begin,3,0
-20.986,compaction_end,3,85784900
-20.977,compaction_begin,3,0
-20.549,flush_begin,0,0
-20.519,flush_end,0,13113490
-19.560,compaction_end,3,85623731
-19.552,compaction_begin,2,0
-19.389,compaction_end,2,21422807
-19.378,compaction_begin,3,0
-19.127,compaction_end,3,85780820
-19.117,compaction_begin,3,0
-18.865,compaction_end,3,85784900
-18.855,compaction_begin,3,0
-18.604,compaction_end,3,85784900
-18.594,compaction_begin,3,0
-18.342,compaction_end,3,85784900
-18.333,compaction_begin,3,0
-16.938,compaction_end,3,85784899
-16.929,compaction_begin,3,0
-16.680,compaction_end,3,85784899
-16.670,compaction_begin,3,0
-16.416,compaction_end,3,85784901
-16.406,compaction_begin,3,0
-15.022,compaction_end,3,85784897
-15.014,compaction_begin,3,0
-13.599,compaction_end,3,85784900
-13.590,compaction_begin,3,0
-13.326,compaction_end,3,85784901
-13.316,compaction_begin,3,0
-11.960,compaction_end,3,85784902
-11.951,compaction_begin,3,0
-11.692,compaction_end,3,85784899
-11.682,compaction_begin,3,0
-11.421,compaction_end,3,84931412
-11.412,compaction_begin,3,0
-11.144,compaction_end,3,85784900
-11.135,flush_begin,0,0
-11.104,flush_end,0,13113864
-11.089,compaction_begin,2,0
-10.935,compaction_end,2,20039774
-10.925,compaction_begin,3,0
-10.678,compaction_end,3,85780820
-10.668,compaction_begin,3,0
-10.420,compaction_end,3,85784900
-10.410,compaction_begin,3,0
-10.158,compaction_end,3,85784900
-10.148,compaction_begin,3,0
-8.861,compaction_end,3,85784900
-8.852,compaction_begin,3,0
-8.593,compaction_end,3,85784899
-8.583,compaction_begin,3,0
-8.327,compaction_end,3,84931412
-8.317,compaction_begin,3,0
-8.061,compaction_end,3,85784901
-8.052,compaction_begin,3,0
-7.801,compaction_end,3,85784901
-7.791,compaction_begin,3,0
-7.543,compaction_end,3,85784899
-7.533,compaction_begin,3,0
-7.274,compaction_end,3,85784900
-7.265,compaction_begin,3,0
-7.010,compaction_end,3,85623731
-7.000,compaction_begin,3,0
-5.721,compaction_end,3,79165837
-5.712,compaction_begin,3,0
-5.450,compaction_end,3,85784899
-5.440,compaction_begin,3,0
-4.161,compaction_end,3,85784901
-4.152,compaction_begin,3,0
-3.885,compaction_end,3,85784902
-3.876,compaction_begin,3,0
-3.177,compaction_end,3,85784900
-3.168,compaction_begin,3,0
-2.909,compaction_end,3,85784897
-2.900,compaction_begin,3,0
-2.644,compaction_end,3,85784900
-2.634,compaction_begin,3,0
-1.732,flush_begin,0,0
-1.701,flush_end,0,13114471
-1.168,compaction_end,3,89301043
-1.159,compaction_begin,2,0
-1.018,compaction_end,2,9307318
-1.008,compaction_begin,3,0
-0.712,compaction_end,3,85780820
-0.704,compaction_begin,3,0
-0.445,compaction_end,3,84931412
-0.435,compaction_begin,3,0
-0.068,compaction_end,3,85784900
-0.060,compaction_begin,3,0
0.897,compaction_end,3,85784900
0.905,compaction_begin,3,0
1.159,compaction_end,3,85784900
1.169,compaction_begin,3,0
1.428,compaction_end,3,85784902
1.438,compaction_begin,3,0
1.692,compaction_end,3,85784900
1.702,compaction_begin,3,0
1.958,compaction_end,3,85784900
1.968,compaction_begin,3,0
2.224,compaction_end,3,85784901
2.233,compaction_begin,3,0
3.459,compaction_end,3,85784899
3.468,compaction_begin,3,0
4.705,compaction_end,3,85784899
4.716,compaction_begin,3,0
5.004,compaction_end,3,85784901
5.014,compaction_begin,3,0
5.306,compaction_end,3,85784900
5.317,compaction_begin,3,0
6.637,compaction_end,3,85784901
6.651,compaction_begin,3,0
7.677,flush_begin,0,0
7.712,flush_end,0,13113299
8.168,compaction_end,3,85623731
8.178,compaction_begin,2,0
8.366,compaction_end,2,12243170
8.376,compaction_begin,3,0
8.689,compaction_end,3,85780820
8.698,compaction_begin,3,0
10.061,compaction_end,3,85784899
10.070,compaction_begin,3,0
10.338,compaction_end,3,85784900
10.348,compaction_begin,3,0
10.618,compaction_end,3,85784901
10.628,compaction_begin,3,0
10.907,compaction_end,3,85784901
10.917,compaction_begin,3,0
11.542,compaction_end,3,85784900
11.551,compaction_begin,3,0
11.828,compaction_end,3,85623731
11.838,compaction_begin,3,0
12.113,compaction_end,3,85784900
12.123,compaction_begin,3,0
12.403,compaction_end,3,85784900
12.413,compaction_begin,3,0
12.689,compaction_end,3,85784899
12.699,compaction_begin,3,0
12.977,compaction_end,3,85784902
12.987,compaction_begin,3,0
13.269,compaction_end,3,85784900
13.279,compaction_begin,3,0
14.726,compaction_end,3,85784899
14.735,compaction_begin,3,0
15.004,compaction_end,3,85784899
15.014,compaction_begin,3,0
16.382,compaction_end,3,85784899
16.391,compaction_begin,3,0
17.085,flush_begin,0,0
17.119,flush_end,0,13113916
17.681,compaction_end,3,84931412
17.691,compaction_begin,2,0
17.823,compaction_end,2,14344424
17.833,compaction_begin,3,0
18.095,compaction_end,3,85780820
18.105,compaction_begin,3,0
18.375,compaction_end,3,85784901
18.385,compaction_begin,3,0
18.667,compaction_end,3,85784900
18.677,compaction_begin,3,0
18.949,compaction_end,3,85784900
18.959,compaction_begin,3,0
19.237,compaction_end,3,85784899
19.247,compaction_begin,3,0
19.522,compaction_end,3,85623731
19.532,compaction_begin,3,0
19.810,compaction_end,3,85784902
19.820,compaction_begin,3,0
21.328,compaction_end,3,89301044
21.338,compaction_begin,3,0
21.636,compaction_end,3,85784900
21.648,compaction_begin,3,0
21.922,compaction_end,3,85784899
21.933,compaction_begin,3,0
23.226,compaction_end,3,77206411
23.235,compaction_begin,3,0
24.489,compaction_end,3,85784900
24.498,compaction_begin,3,0
24.747,compaction_end,3,84931412
24.756,compaction_begin,3,0
26.119,compaction_end,3,85784901
26.129,compaction_begin,3,0
26.387,compaction_end,3,85784899
26.396,compaction_begin,3,0
26.494,flush_begin,0,0
26.527,flush_end,0,13113780
27.744,compaction_end,3,85784899
27.753,compaction_begin,2,0
27.882,compaction_end,2,8405576
27.893,compaction_begin,3,0
28.140,compaction_end,3,85780820
28.150,compaction_begin,3,0
28.397,compaction_end,3,85784900
28.407,compaction_begin,3,0
28.660,compaction_end,3,85784901
28.671,compaction_begin,3,0
28.919,compaction_end,3,85784900
28.929,compaction_begin,3,0
29.184,compaction_end,3,85784899
29.194,compaction_begin,3,0
29.448,compaction_end,3,85784900
29.458,compaction_begin,3,0
29.715,compaction_end,3,85784899
29.725,compaction_begin,3,0
29.983,compaction_end,3,85623731
29.993,compaction_begin,3,0
30.252,compaction_end,3,85784902
30.262,compaction_begin,3,0
30.523,compaction_end,3,85784899
30.533,compaction_begin,3,0
31.878,compaction_end,3,85784900
31.887,compaction_begin,3,0
32.423,compaction_end,3,85784898
32.432,compaction_begin,3,0
32.697,compaction_end,3,85784900
32.707,compaction_begin,3,0
32.968,compaction_end,3,84931412
32.978,compaction_begin,3,0
33.814,compaction_end,3,77206411
33.823,compaction_begin,3,0
35.175,compaction_end,3,85784897
35.185,compaction_begin,3,0
35.902,flush_begin,0,0
35.933,flush_end,0,13114060
36.359,compaction_end,3,85784901
36.368,compaction_begin,2,0
36.499,compaction_end,2,8444709
36.509,compaction_begin,3,0
36.821,compaction_end,3,85780820
36.830,compaction_begin,3,0
37.088,compaction_end,3,85784901
37.098,compaction_begin,3,0
37.350,compaction_end,3,84931412
37.359,compaction_begin,3,0
37.796,compaction_end,3,85784900
37.805,compaction_begin,3,0
38.064,compaction_end,3,85623731
38.073,compaction_begin,3,0
38.329,compaction_end,3,85784900
38.339,compaction_begin,3,0
39.295,compaction_end,3,85784900
39.304,compaction_begin,3,0
39.566,compaction_end,3,85784901
39.576,compaction_begin,3,0
39.834,compaction_end,3,85784900
39.843,compaction_begin,3,0
40.102,compaction_end,3,85784899
40.111,compaction_begin,3,0
41.354,compaction_end,3,85784899
41.364,compaction_begin,3,0
42.872,compaction_end,3,89301045
42.883,compaction_begin,3,0
44.262,compaction_end,3,85784901
44.273,compaction_begin,3,0
44.539,compaction_end,3,85784898
44.548,compaction_begin,3,0
45.311,flush_begin,0,0
45.344,flush_end,0,13113950
45.914,compaction_end,3,85784899
45.921,compaction_begin,2,0
46.091,compaction_end,2,12415255
46.101,compaction_begin,3,0
46.342,compaction_end,3,85780820
46.352,compaction_begin,3,0
46.608,compaction_end,3,85784900
46.618,compaction_begin,3,0
46.883,compaction_end,3,84931412
46.893,compaction_begin,3,0
47.415,compaction_end,3,85784901
47.425,compaction_begin,3,0
47.688,compaction_end,3,85784900
47.698,compaction_begin,3,0
47.947,compaction_end,3,85784900
47.956,compaction_begin,3,0
48.216,compaction_end,3,85784901
48.226,compaction_begin,3,0
48.485,compaction_end,3,85784901
48.495,compaction_begin,3,0
49.838,compaction_end,3,85784900
