t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,508154,496110,12044,300913,206511,0.68628,1,5,86,13,1,2,0,0,511.97,0.16,9,249,511.97
2,408930,396914,12016,279285,171302,0.61336,1,5,92,19,1,3,0,0,511.97,0.25,1,246,511.97
3,454749,442634,12115,236963,169585,0.71566,1,5,90,12,1,1,0,0,511.96,0.00,0,245,511.96
4,392500,380464,12036,199376,146300,0.73379,1,5,92,15,1,1,0,0,511.96,0.00,0,244,511.96
5,337111,325085,12026,196297,124899,0.63628,1,6,98,17,1,2,0,0,511.96,0.68,7,242,511.96
6,368908,356865,12043,186799,129429,0.69288,1,7,96,15,1,1,0,0,511.96,0.88,2,241,511.96
7,376762,364674,12088,179366,126454,0.70501,1,6,94,20,1,1,0,0,511.95,0.00,0,240,511.95
8,386258,374199,12059,222676,166530,0.74786,1,6,92,16,1,1,1,0,511.97,0.10,10,240,511.97
9,393838,381764,12074,252118,182385,0.72341,1,6,92,61,1,2,0,0,511.97,0.00,0,253,511.97
10,402744,390739,12005,235767,169750,0.71999,1,6,92,13,1,1,0,0,511.97,0.46,4,252,511.97
11,311617,299472,12145,214991,139972,0.65106,1,6,100,18,1,3,0,0,511.97,0.88,5,249,511.97
12,334847,322726,12121,220474,133555,0.60576,1,6,98,18,1,3,0,0,511.97,2.15,11,246,511.97
13,311455,299330,12125,217205,116925,0.53832,1,6,100,32,1,3,0,0,511.97,1.03,7,243,511.97
14,434816,422753,12063,214949,150095,0.69828,1,6,92,13,1,1,0,0,511.96,0.00,0,242,511.96
15,428918,416849,12069,224347,154417,0.68830,1,6,92,14,1,2,0,0,511.96,0.58,2,240,511.96
16,473768,461671,12097,226405,162195,0.71639,1,6,88,12,1,0,0,0,511.96,0.00,0,240,511.96
17,484661,472537,12124,247336,182165,0.73651,1,6,88,14,1,1,1,0,511.96,0.00,0,240,511.96
18,374616,362583,12033,269363,200828,0.74557,1,6,94,228,1,3,0,0,511.96,0.08,4,253,511.96
19,352015,339935,12080,258657,163320,0.63142,1,6,98,48,1,4,0,0,511.98,0.80,8,249,511.98
20,443293,431178,12115,269078,168532,0.62633,1,6,90,15,1,2,0,0,511.97,0.00,0,247,511.97
21,507771,495664,12107,264033,194643,0.73719,1,6,88,15,1,0,0,0,511.96,0.00,0,247,511.96
22,373931,361852,12079,222852,150563,0.67562,1,6,96,20,1,3,0,0,511.96,0.00,0,244,511.96
23,485602,473512,12090,241924,170245,0.70371,1,5,88,11,1,1,0,0,511.96,0.40,7,243,511.96
24,494559,482455,12104,241985,176639,0.72996,1,5,88,10,1,0,0,0,511.96,0.00,0,243,511.96
25,449515,437428,12087,233291,160598,0.68840,1,5,90,14,1,2,0,0,511.96,0.00,0,241,511.96
26,459061,446976,12085,231403,155267,0.67098,1,5,90,13,1,1,0,0,511.96,0.58,4,240,511.96
27,490773,478666,12107,312041,243313,0.77975,1,5,88,13,1,1,1,0,511.97,0.00,0,240,511.97
28,378650,366606,12044,258267,191581,0.74179,1,5,92,236,1,3,0,0,511.97,0.41,2,253,511.97
29,319015,306937,12078,241107,138238,0.57335,1,6,98,32,1,4,0,0,511.97,0.57,3,249,511.97
30,318912,306819,12093,233703,123417,0.52809,1,6,98,25,1,4,0,0,511.97,2.40,18,245,511.97
31,425732,413677,12055,228616,158420,0.69295,1,6,92,15,1,1,0,0,511.96,0.00,0,244,511.96
32,432325,420253,12072,228886,158238,0.69134,1,6,92,16,1,1,0,0,511.96,0.00,0,243,511.96
33,403822,391676,12146,234006,151665,0.64812,1,5,94,15,1,3,0,0,511.97,0.45,1,240,511.97
34,490810,478746,12064,243584,168816,0.69305,1,5,88,12,1,1,0,0,511.95,0.25,1,239,511.95
35,510679,498709,11970,242982,176371,0.72586,1,5,86,11,1,1,0,0,511.95,0.88,5,238,511.95
36,488515,476380,12135,281648,216064,0.76714,1,5,86,15,1,1,1,0,511.97,0.44,10,238,511.97
37,344267,332144,12123,259849,170434,0.65590,1,5,96,528,1,4,0,0,511.96,2.35,17,251,511.96
38,328452,316475,11977,231892,145607,0.62791,1,6,96,17,1,3,0,0,511.98,2.48,12,248,511.98
39,416436,404271,12165,237095,166371,0.70171,1,6,92,13,1,1,0,0,511.97,0.00,0,247,511.97
40,388668,376582,12086,244421,155101,0.63456,1,6,94,17,1,3,0,0,511.97,0.00,0,244,511.97
41,485385,473347,12038,245344,176253,0.71839,1,5,88,12,1,1,0,0,511.96,1.15,6,243,511.96
42,509627,497570,12057,251395,182261,0.72500,1,5,88,13,1,0,0,0,511.96,0.00,0,243,511.96
43,434415,422360,12055,211126,152635,0.72296,1,6,92,17,1,1,0,0,511.95,1.43,5,242,511.95
