t,type,level,bytes
-29.985,flush_begin,0,0
-29.975,flush_end,0,3843824
-29.872,trivial_move,1,3843824
-29.868,compaction_begin,1,0
-29.858,compaction_end,1,2581875
-29.849,compaction_begin,2,0
-29.542,compaction_end,2,67175341
-29.533,compaction_begin,3,0
-29.267,compaction_end,3,85780820
-29.257,compaction_begin,3,0
-28.983,compaction_end,3,85784900
-28.974,compaction_begin,3,0
-28.693,compaction_end,3,84931412
-28.683,compaction_begin,3,0
-28.413,compaction_end,3,85784900
-28.403,compaction_begin,3,0
-28.123,compaction_end,3,85784899
-28.113,compaction_begin,3,0
-27.829,compaction_end,3,85784900
-27.819,compaction_begin,3,0
-27.550,compaction_end,3,85784901
-27.540,compaction_begin,3,0
-27.272,compaction_end,3,85784899
-27.263,compaction_begin,3,0
-26.991,compaction_end,3,85784897
-26.981,compaction_begin,3,0
-26.711,compaction_end,3,85784899
-26.701,compaction_begin,3,0
-25.279,compaction_end,3,85784902
-25.239,compaction_begin,3,0
-24.219,compaction_end,3,85784900
-24.210,compaction_begin,3,0
-22.847,compaction_end,3,85784899
-22.838,compaction_begin,3,0
-21.435,compaction_end,3,85784898
-21.426,compaction_begin,3,0
-20.133,compaction_end,3,85784900
-20.124,compaction_begin,3,0
-19.074,compaction_end,3,63565573
-19.064,compaction_begin,3,0
-17.711,compaction_end,3,85784901
-17.701,compaction_begin,3,0
-16.310,compaction_end,3,85784900
-16.301,compaction_begin,3,0
-14.922,compaction_end,3,85623731
-14.913,compaction_begin,3,0
-13.583,compaction_end,3,85784901
-13.574,compaction_begin,3,0
-12.157,compaction_end,3,85784900
-12.148,compaction_begin,3,0
-10.741,compaction_end,3,85784902
