t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,446573,446573,0,446575,398242,0.89177,1,4,92,0,0,0,0,0,511.97,0.00,0,230,511.97
2,453113,453113,0,453113,404627,0.89299,1,4,92,0,0,0,0,0,511.96,0.00,0,230,511.96
3,448880,448880,0,448880,400695,0.89266,1,4,92,0,0,0,0,0,511.97,0.00,0,230,511.97
4,448086,448086,0,448086,399500,0.89157,1,4,92,0,0,0,0,0,511.97,0.00,0,230,511.97
5,444327,444327,0,444327,396337,0.89199,1,4,92,0,0,0,0,0,511.97,0.00,0,230,511.97
6,447396,447396,0,447395,399151,0.89217,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
7,378471,378471,0,378471,337316,0.89126,1,6,96,0,0,0,0,0,511.96,0.00,0,230,511.96
8,387233,387233,0,387234,345303,0.89172,1,6,94,0,0,0,0,0,511.96,0.00,0,230,511.96
9,397422,397422,0,397421,354622,0.89231,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
10,400516,400516,0,400517,357562,0.89275,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
11,391241,391241,0,391241,348756,0.89141,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
12,393482,393482,0,393482,351023,0.89209,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
13,392659,392659,0,392659,350126,0.89168,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
14,394806,394806,0,394806,352090,0.89181,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
15,387543,387543,0,387542,345520,0.89157,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
16,389091,389091,0,389091,346922,0.89162,1,5,96,0,0,0,0,0,511.97,0.00,0,230,511.97
17,390810,390810,0,390810,348875,0.89270,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
18,395690,395690,0,395690,353074,0.89230,1,6,94,0,0,0,0,0,511.98,0.00,0,230,511.98
19,397300,397300,0,397301,354223,0.89157,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
20,390768,390768,0,390768,348770,0.89252,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
21,396806,396806,0,396806,354093,0.89236,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
22,395933,395933,0,395932,353249,0.89220,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
23,394379,394379,0,394380,352056,0.89268,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
24,392239,392239,0,392239,349718,0.89159,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
25,393617,393617,0,393617,351000,0.89173,1,6,94,0,0,0,0,0,511.97,0.00,0,230,511.97
26,396292,396292,0,396292,353509,0.89204,1,5,92,0,0,0,0,0,511.97,0.00,0,230,511.97
27,395383,395383,0,395383,352558,0.89169,1,5,94,0,0,0,0,0,511.98,0.00,0,230,511.98
28,396387,396387,0,396387,353266,0.89121,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
29,394571,394571,0,394571,351760,0.89150,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
30,396509,396509,0,396508,353600,0.89179,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
31,391731,391731,0,391731,349184,0.89139,1,6,94,0,0,0,0,0,511.97,0.00,0,230,511.97
32,394451,394451,0,394452,351832,0.89195,1,6,94,0,0,0,0,0,511.98,0.00,0,230,511.98
33,395276,395276,0,395276,352423,0.89159,1,6,94,0,0,0,0,0,511.97,0.00,0,230,511.97
34,397910,397910,0,397909,355163,0.89257,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
35,389460,389460,0,389461,347531,0.89234,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
36,237400,237400,0,237400,211762,0.89201,1,6,94,0,0,0,0,0,511.95,0.00,0,230,511.95
37,396795,396795,0,396795,353964,0.89206,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
38,390736,390736,0,390735,348264,0.89130,1,6,94,0,0,0,0,0,511.97,0.00,0,230,511.97
39,395155,395155,0,395156,352773,0.89274,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
40,388381,388381,0,388381,346160,0.89129,1,6,94,0,0,0,0,0,511.97,0.00,0,230,511.97
41,396098,396098,0,396098,353249,0.89182,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
42,395862,395862,0,395861,353007,0.89174,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
43,393651,393651,0,393652,350754,0.89103,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
44,390769,390769,0,390768,348526,0.89190,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.96
45,390934,390934,0,390935,348560,0.89161,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
46,395201,395201,0,395200,352367,0.89162,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
47,391406,391406,0,391406,348885,0.89136,1,6,94,0,0,0,0,0,511.98,0.00,0,230,511.98
48,396339,396339,0,396340,353675,0.89235,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
49,396433,396433,0,396433,353816,0.89250,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.98
50,396042,396042,0,396041,353538,0.89268,1,5,94,0,0,0,0,0,511.98,0.00,0,230,511.98
51,390961,390961,0,390961,348806,0.89218,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
52,394238,394238,0,394239,351630,0.89192,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
53,396118,396118,0,396118,353308,0.89193,1,5,94,0,0,0,0,0,511.98,0.00,0,230,511.98
54,396111,396111,0,396111,353217,0.89171,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
55,395054,395054,0,395054,352377,0.89197,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
56,394283,394283,0,394283,351654,0.89188,1,5,94,0,0,0,0,0,511.98,0.00,0,230,511.98
57,394271,394271,0,394270,351655,0.89191,1,5,94,0,0,0,0,0,511.98,0.00,0,230,511.98
58,395966,395966,0,395967,353128,0.89181,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
59,392881,392881,0,392881,350210,0.89139,1,5,94,0,0,0,0,0,511.96,0.00,0,230,511.96
60,396284,396284,0,396284,353730,0.89262,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
61,393710,393710,0,393709,351185,0.89199,1,5,94,0,0,0,0,0,511.97,0.00,0,230,511.97
