t,type,level,bytes
-29.882,flush_begin,0,0
-29.865,flush_end,0,6638552
-29.856,flush_begin,0,0
-29.841,flush_end,0,6638554
-29.833,flush_begin,0,0
-29.816,flush_end,0,6638553
-29.807,flush_begin,0,0
-29.791,flush_end,0,6638553
-29.783,flush_begin,0,0
-29.766,flush_end,0,6638553
-29.758,flush_begin,0,0
-29.742,flush_end,0,6638554
-29.734,flush_begin,0,0
-29.718,flush_end,0,6638552
-29.710,flush_begin,0,0
-29.693,flush_end,0,6638554
-29.685,flush_begin,0,0
-29.669,flush_end,0,6638554
-29.661,flush_begin,0,0
-29.644,flush_end,0,6638552
-29.636,flush_begin,0,0
-29.619,flush_end,0,6638553
-29.611,flush_begin,0,0
-29.594,flush_end,0,6638553
-29.586,flush_begin,0,0
-29.569,flush_end,0,6638554
-29.561,flush_begin,0,0
-29.544,flush_end,0,6638552
-29.535,flush_begin,0,0
-29.519,flush_end,0,6638554
-29.511,flush_begin,0,0
-29.495,flush_end,0,6638554
-29.477,trivial_move,3,6638552
-29.477,flush_begin,0,0
-29.461,flush_end,0,6638552
-29.442,trivial_move,3,6638554
-29.442,flush_begin,0,0
-29.425,flush_end,0,6638555
-29.407,trivial_move,3,6638553
-29.407,flush_begin,0,0
-29.390,flush_end,0,6638553
-29.372,trivial_move,3,6638553
-29.372,flush_begin,0,0
-29.355,flush_end,0,6638553
-29.337,trivial_move,3,6638553
-29.337,flush_begin,0,0
-29.319,flush_end,0,6638552
-29.311,flush_begin,0,0
-29.294,flush_end,0,6638554
-29.286,flush_begin,0,0
-29.269,flush_end,0,6638554
-29.261,flush_begin,0,0
-29.244,flush_end,0,6638552
-29.226,trivial_move,3,6638554
-29.226,flush_begin,0,0
-29.209,flush_end,0,6638554
-29.193,trivial_move,3,6638552
-29.193,flush_begin,0,0
-29.176,flush_end,0,6638553
-29.168,flush_begin,0,0
-29.151,flush_end,0,6638553
-29.133,trivial_move,3,6638554
-29.133,flush_begin,0,0
-29.116,flush_end,0,6638553
-29.098,trivial_move,3,6638554
-29.098,flush_begin,0,0
-29.080,flush_end,0,6638554
-29.062,trivial_move,3,6638552
-29.062,flush_begin,0,0
-29.045,flush_end,0,6638553
-29.027,trivial_move,3,6638553
-29.027,flush_begin,0,0
-29.009,flush_end,0,6638552
-28.990,trivial_move,3,6638553
-28.990,flush_begin,0,0
-28.972,flush_end,0,6638554
-28.952,trivial_move,3,6638554
-28.952,flush_begin,0,0
-28.934,flush_end,0,6638553
-28.915,trivial_move,3,6638552
-28.915,flush_begin,0,0
-28.897,flush_end,0,6638553
-28.877,trivial_move,3,6638554
-28.877,flush_begin,0,0
-28.859,flush_end,0,6638553
-28.839,trivial_move,3,6638554
-28.839,flush_begin,0,0
-28.821,flush_end,0,6638555
-28.802,trivial_move,3,6638552
-28.802,flush_begin,0,0
-28.784,flush_end,0,6638553
-28.765,trivial_move,3,6638555
-28.765,flush_begin,0,0
-28.746,flush_end,0,6638553
-28.728,trivial_move,3,6638553
-28.728,flush_begin,0,0
-28.703,flush_end,0,6638554
-28.685,trivial_move,3,6638553
-28.685,flush_begin,0,0
-28.666,flush_end,0,6638552
-28.648,trivial_move,3,6638552
-28.648,flush_begin,0,0
-28.630,flush_end,0,6638553
-28.612,trivial_move,3,6638554
-28.612,flush_begin,0,0
-28.595,flush_end,0,6638553
-28.577,trivial_move,3,6638554
-28.577,flush_begin,0,0
-28.559,flush_end,0,6638554
-28.540,trivial_move,3,6638552
-28.540,flush_begin,0,0
-28.522,flush_end,0,6638553
-28.504,trivial_move,3,6638554
-28.504,flush_begin,0,0
-28.486,flush_end,0,6638553
-28.470,trivial_move,3,6638553
-28.470,flush_begin,0,0
-28.452,flush_end,0,6638554
-28.444,flush_begin,0,0
-28.426,flush_end,0,6638552
-28.407,trivial_move,3,6638553
-28.407,flush_begin,0,0
-28.389,flush_end,0,6638554
-28.371,trivial_move,3,6638553
-28.371,flush_begin,0,0
-28.352,flush_end,0,6638553
-28.334,trivial_move,3,6638554
-28.334,flush_begin,0,0
-28.317,flush_end,0,6638553
-28.298,trivial_move,3,6638553
-28.298,flush_begin,0,0
-28.279,flush_end,0,6638553
-28.260,trivial_move,3,6638552
-28.260,flush_begin,0,0
-28.242,flush_end,0,6638553
-28.222,trivial_move,3,6638554
-28.222,flush_begin,0,0
-28.205,flush_end,0,6638555
-28.187,trivial_move,3,6638553
-28.187,flush_begin,0,0
-28.169,flush_end,0,6638552
-28.150,trivial_move,3,6638553
-28.150,flush_begin,0,0
-28.132,flush_end,0,6638554
-28.114,trivial_move,3,6638553
-28.114,flush_begin,0,0
-28.096,flush_end,0,6638553
-28.077,trivial_move,3,6638555
-28.077,flush_begin,0,0
-28.059,flush_end,0,6638553
-28.041,trivial_move,3,6638553
-28.041,flush_begin,0,0
-28.023,flush_end,0,6638554
-28.005,trivial_move,3,6638553
-28.005,flush_begin,0,0
-27.987,flush_end,0,6638553
-27.970,trivial_move,3,6638554
-27.970,flush_begin,0,0
-27.952,flush_end,0,6638553
-27.933,trivial_move,3,6638552
-27.933,flush_begin,0,0
-27.915,flush_end,0,6638552
-27.895,trivial_move,3,6638553
-27.895,flush_begin,0,0
-27.877,flush_end,0,6638554
-27.858,trivial_move,3,6638553
-27.858,flush_begin,0,0
-27.840,flush_end,0,6638553
-27.820,trivial_move,3,6638554
-27.820,flush_begin,0,0
-27.802,flush_end,0,6638553
-27.784,trivial_move,3,6638553
-27.784,flush_begin,0,0
-27.766,flush_end,0,6638554
-27.747,trivial_move,3,6638553
-27.747,flush_begin,0,0
-27.729,flush_end,0,6638553
-27.711,trivial_move,3,6638554
-27.711,flush_begin,0,0
-27.692,flush_end,0,6638553
-27.674,trivial_move,3,6638552
-27.674,flush_begin,0,0
-27.656,flush_end,0,6638553
-27.638,trivial_move,3,6638554
-27.638,flush_begin,0,0
-27.619,flush_end,0,6638554
-27.601,trivial_move,3,6638553
-27.601,flush_begin,0,0
-27.583,flush_end,0,6638552
-27.565,trivial_move,3,6638553
-27.565,flush_begin,0,0
-27.548,flush_end,0,6638554
-27.530,trivial_move,3,6638553
-27.530,flush_begin,0,0
-27.513,flush_end,0,6638554
-27.494,trivial_move,3,6638553
-27.494,flush_begin,0,0
-27.477,flush_end,0,6638553
-27.458,trivial_move,3,6638555
-27.458,flush_begin,0,0
-27.441,flush_end,0,6638553
-27.423,trivial_move,3,6638552
-27.423,flush_begin,0,0
-27.406,flush_end,0,6638553
-27.388,trivial_move,3,6638554
-27.388,flush_begin,0,0
-27.370,flush_end,0,6638554
-27.353,trivial_move,3,6638553
-27.353,flush_begin,0,0
-27.336,flush_end,0,6638552
-27.319,trivial_move,3,6638553
-27.319,flush_begin,0,0
-27.301,flush_end,0,6638554
-27.283,trivial_move,3,6638554
-27.283,flush_begin,0,0
-27.266,flush_end,0,6638554
-27.248,trivial_move,3,6638553
-27.248,flush_begin,0,0
-27.231,flush_end,0,6638552
-27.214,trivial_move,3,6638553
-27.214,flush_begin,0,0
-27.198,flush_end,0,6638553
-27.180,trivial_move,3,6638552
-27.180,flush_begin,0,0
-27.164,flush_end,0,6638553
-27.146,trivial_move,3,6638554
-27.146,flush_begin,0,0
-27.129,flush_end,0,6638554
-27.111,trivial_move,3,6638553
-27.111,flush_begin,0,0
-27.094,flush_end,0,6638552
-27.076,trivial_move,3,6638553
-27.076,flush_begin,0,0
-27.058,flush_end,0,6638554
-27.040,trivial_move,3,6638554
-27.040,flush_begin,0,0
-27.023,flush_end,0,6638554
-27.004,trivial_move,3,6638553
-27.004,flush_begin,0,0
-26.986,flush_end,0,6638552
-26.968,trivial_move,3,6638553
-26.968,flush_begin,0,0
-26.951,flush_end,0,6638555
