t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6035,4520,1515,4498,1377,0.30614,328,352,368,58,0,0,0,0,229.97,24.02,60,385,229.97
2,6036,4528,1508,4505,1305,0.28968,328,352,368,57,0,0,0,0,229.97,24.49,52,385,229.97
3,6022,4502,1520,4488,1286,0.28654,320,352,360,56,0,0,0,0,229.97,26.24,59,385,229.97
4,6033,4522,1511,4502,1266,0.28121,320,352,360,58,0,0,0,0,229.97,23.17,50,385,229.97
5,6059,4597,1462,4574,1386,0.30302,328,352,368,76,0,0,0,0,229.97,21.61,50,385,229.97
6,6042,4562,1480,4536,1392,0.30688,328,352,368,70,0,0,0,0,229.97,24.56,58,385,229.97
7,6009,4499,1510,4467,1206,0.26998,320,352,368,49,0,0,0,0,229.98,21.02,44,385,229.98
8,6011,4564,1447,5392,1210,0.22441,320,352,368,1280,1,0,1,0,229.97,20.00,52,386,229.97
9,6032,4529,1503,6466,1191,0.18419,320,344,368,3200,1,1,0,0,229.96,20.64,60,408,229.96
10,6035,4513,1522,8005,1875,0.23423,320,344,360,51,1,0,0,0,229.96,19.98,55,408,229.96
11,6048,4546,1502,8694,2381,0.27387,320,336,360,47,1,0,0,0,229.97,16.85,52,408,229.97
12,6030,4494,1536,7528,1074,0.14267,320,344,360,58,1,0,0,0,229.97,14.17,45,408,229.97
13,6034,4575,1459,8104,1643,0.20274,320,344,360,2816,1,2,0,0,229.96,15.04,55,439,229.96
14,6032,4510,1522,7796,1532,0.19651,320,344,360,56,1,0,0,0,229.97,18.78,62,439,229.97
15,6027,4511,1516,7741,1532,0.19791,320,352,360,66,1,0,0,0,229.97,20.63,56,439,229.97
16,6033,4529,1504,7533,1305,0.17324,320,352,368,92,1,0,0,0,229.97,18.92,64,439,229.97
17,6065,4549,1516,7834,1427,0.18215,320,344,368,1760,1,1,0,0,229.97,19.80,65,442,229.97
18,6033,4511,1522,7500,1279,0.17053,320,352,368,54,1,0,0,0,229.97,13.91,53,442,229.97
19,6023,4529,1494,7829,1586,0.20258,320,352,368,54,1,0,0,0,229.97,10.47,45,442,229.97
20,6032,4561,1471,8683,2565,0.29540,320,336,360,2112,1,1,0,0,229.97,13.45,48,445,229.97
21,6044,4501,1543,8203,2318,0.28258,320,344,360,55,1,0,0,0,229.97,15.48,48,445,229.97
22,6030,4531,1499,8056,1948,0.24181,320,344,360,2240,1,1,0,0,229.96,24.47,57,443,229.96
23,6065,4554,1511,8362,2179,0.26058,320,344,360,64,1,0,0,0,229.96,28.37,63,443,229.96
24,6039,4532,1507,8729,2403,0.27529,320,344,360,512,1,0,0,0,229.96,26.02,61,443,229.96
25,6026,4444,1582,8360,2150,0.25718,320,352,368,2432,1,1,0,0,229.96,27.27,62,446,229.96
26,6003,4414,1589,7944,1640,0.20645,320,336,352,144,1,0,0,0,229.97,23.35,57,446,229.97
27,6065,4535,1530,8520,2223,0.26092,320,344,352,296,1,0,0,0,229.97,20.13,48,446,229.97
28,6057,4551,1506,7691,1428,0.18567,320,352,368,1056,1,1,0,0,229.97,24.51,55,449,229.97
29,6062,4623,1439,8218,1968,0.23947,320,344,360,58,1,0,0,0,229.97,21.09,52,449,229.97
30,6034,4540,1494,7909,1788,0.22607,320,352,360,66,1,0,0,0,229.97,23.68,60,449,229.97
31,6030,4593,1437,7519,1222,0.16252,328,352,368,928,1,1,0,0,229.97,19.97,59,452,229.97
32,6044,4594,1450,7798,1310,0.16799,320,352,360,98,1,0,0,0,229.97,19.43,65,452,229.97
33,6057,4543,1514,8235,1757,0.21336,320,336,352,52,1,0,0,0,229.97,24.02,58,452,229.97
34,6016,4495,1521,7895,1608,0.20367,320,344,352,2496,1,1,0,0,229.97,22.16,51,455,229.97
35,6026,4509,1517,7925,1636,0.20644,320,336,352,1088,1,0,0,0,229.97,24.07,55,455,229.97
36,6022,4493,1529,7948,1767,0.22232,320,344,360,66,1,0,0,0,229.97,25.26,60,455,229.97
37,6052,4560,1492,7871,1720,0.21852,320,344,360,70,1,0,0,0,229.97,28.73,51,455,229.97
38,6058,4566,1492,7945,1892,0.23814,320,344,352,1312,1,1,0,0,229.97,27.26,56,452,229.97
39,6012,4545,1467,8434,2388,0.28314,320,336,352,152,1,0,0,0,229.96,31.83,65,452,229.96
40,6004,4529,1475,7849,1860,0.23697,320,344,360,59,1,0,0,0,229.97,22.16,49,452,229.97
41,6024,4530,1494,7673,1541,0.20083,320,344,352,1664,1,1,0,0,229.97,21.66,51,455,229.97
42,6026,4502,1524,8155,2164,0.26536,320,344,360,56,1,0,0,0,229.97,22.58,54,455,229.97
43,6012,4539,1473,8300,2436,0.29349,320,344,352,116,1,0,0,0,229.96,20.68,52,455,229.96
44,6029,4537,1492,8601,2589,0.30101,320,344,352,976,1,1,0,0,229.96,22.45,53,458,229.96
45,6062,4609,1453,8782,2788,0.31747,320,336,352,60,1,0,0,0,229.97,23.61,60,458,229.97
46,6054,4576,1478,7875,1715,0.21778,320,336,360,2688,1,1,1,0,229.97,24.88,66,462,229.97
47,6023,4471,1552,7013,1341,0.19122,320,344,360,3392,1,1,0,0,229.97,21.10,60,467,229.97
48,6044,4523,1521,7739,1376,0.17780,320,352,376,2816,1,0,0,0,229.97,17.75,60,467,229.97
49,6031,4584,1447,8228,1654,0.20102,320,352,368,55,1,0,0,0,229.97,18.63,64,467,229.97
50,6003,4513,1490,7933,1573,0.19829,320,352,368,2624,1,1,0,0,229.97,18.10,55,473,229.97
51,6007,4543,1464,7645,1034,0.13525,320,344,368,56,1,0,0,0,229.98,16.41,63,473,229.98
52,6063,4550,1513,7852,1447,0.18428,320,344,368,58,1,0,0,0,229.97,15.66,66,473,229.97
53,6062,4574,1488,8285,1867,0.22535,320,336,360,58,1,0,0,0,229.97,14.49,52,473,229.97
54,6018,4489,1529,7826,1648,0.21058,320,344,376,1600,1,1,0,0,229.97,9.69,42,476,229.97
55,6048,4501,1547,7869,1857,0.23599,320,352,368,2624,1,1,0,0,229.97,19.60,49,477,229.97
56,6062,4533,1529,7610,1404,0.18449,320,344,360,51,1,0,0,0,229.97,22.34,48,477,229.97
57,6052,4530,1522,8543,2437,0.28526,320,352,368,57,1,0,0,0,229.97,25.48,55,477,229.97
58,6069,4547,1522,7889,1678,0.21270,320,352,368,2560,1,1,0,0,229.98,22.58,72,474,229.98
59,6033,4519,1514,7863,1478,0.18797,320,344,360,57,1,0,0,0,229.97,23.81,80,474,229.97
60,6060,4544,1516,7711,1397,0.18117,320,352,360,56,1,0,0,0,229.97,23.69,81,474,229.97
61,6041,4515,1526,8021,1722,0.21469,320,352,360,58,1,0,0,0,229.97,24.90,100,474,229.97
62,6051,4421,1630,7751,1634,0.21081,320,352,368,1088,1,1,0,0,229.97,27.67,83,477,229.97
