t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6025,4499,1526,4473,1416,0.31657,320,328,336,59,0,0,0,0,229.97,24.19,64,575,229.97
2,6030,4516,1514,4497,1354,0.30109,320,336,344,116,0,0,0,0,229.97,24.73,70,575,229.97
3,6043,4540,1503,4511,1411,0.31279,320,336,344,70,0,0,0,0,229.98,27.00,72,575,229.98
4,6026,4550,1476,4529,1501,0.33142,320,352,360,55,0,0,0,0,229.98,23.54,63,575,229.98
5,6057,4566,1491,4544,1542,0.33935,328,352,368,56,0,0,0,0,229.98,21.56,63,575,229.98
6,6036,4564,1472,4531,1386,0.30589,328,352,368,58,0,0,0,0,229.97,22.15,67,575,229.97
7,6030,4431,1599,4413,1247,0.28257,328,352,360,57,0,0,0,0,229.97,20.62,65,575,229.97
8,6038,4545,1493,4919,1064,0.21630,320,352,360,2944,1,0,1,0,229.97,22.45,72,576,229.97
9,6054,4482,1572,5885,1126,0.19133,320,352,368,3392,1,1,0,0,229.96,20.04,74,627,229.96
10,6037,4538,1499,7834,1442,0.18407,320,344,368,50,1,0,0,0,229.96,18.79,81,627,229.95
11,6059,4545,1514,7790,1417,0.18190,320,352,360,57,1,0,0,0,229.95,19.66,72,627,229.95
12,6035,4588,1447,8080,1654,0.20470,320,344,360,2048,1,1,0,0,229.96,17.33,64,627,229.96
13,6033,4509,1524,7802,1505,0.19290,320,344,360,59,1,0,0,0,229.96,19.20,67,627,229.96
14,6029,4531,1498,8053,1821,0.22613,320,344,360,768,1,0,0,0,229.97,19.98,65,627,229.97
15,6043,4493,1550,8440,2032,0.24076,320,344,360,1760,1,1,0,0,229.96,24.52,82,623,229.96
16,6064,4546,1518,7684,1211,0.15760,328,352,368,74,1,0,0,0,229.96,23.16,71,623,229.96
17,6016,4492,1524,8259,1768,0.21407,320,336,352,45,1,0,0,0,229.96,17.27,65,623,229.96
18,6062,4577,1485,8316,1914,0.23016,320,344,360,2624,1,1,0,0,229.96,14.65,66,620,229.96
19,6060,4609,1451,8867,2563,0.28905,320,344,360,2016,1,0,0,0,229.96,17.04,67,620,229.96
20,6058,4512,1546,8796,2479,0.28183,320,344,352,156,1,0,0,0,229.96,14.13,58,620,229.96
21,6054,4560,1494,8006,1778,0.22208,320,344,360,1984,1,1,0,0,229.96,18.41,66,620,229.96
22,6022,4548,1474,7719,1454,0.18837,320,344,360,60,1,0,0,0,229.96,17.86,60,620,229.96
23,6032,4452,1580,8054,1901,0.23603,320,336,352,53,1,0,0,0,229.96,17.46,69,620,229.96
24,6053,4548,1505,8451,2063,0.24411,320,336,352,1984,1,1,0,0,229.97,20.47,76,623,229.97
25,6010,4525,1485,7824,1304,0.16667,320,336,352,61,1,0,0,0,229.97,19.86,73,623,229.97
26,6010,4489,1521,7546,1104,0.14630,320,344,360,61,1,0,0,0,229.97,21.30,71,623,229.97
27,6016,4537,1479,7692,1237,0.16082,320,344,360,2016,1,1,0,0,229.97,21.55,73,626,229.97
28,6006,4482,1524,7811,1272,0.16285,320,344,352,58,1,0,0,0,229.97,21.30,72,626,229.97
29,6037,4522,1515,8419,2005,0.23815,320,344,360,55,1,0,0,0,229.97,21.23,77,626,229.97
30,6010,4530,1480,7943,1532,0.19287,320,344,360,60,1,0,0,0,229.97,23.72,78,626,229.97
31,6038,4527,1511,7870,1468,0.18653,320,352,360,1664,1,1,0,0,229.97,20.73,73,626,229.97
32,6029,4532,1497,8472,2018,0.23820,320,344,368,2752,1,0,0,0,229.97,25.60,76,626,229.97
33,6036,4545,1491,8411,1848,0.21971,320,336,352,144,1,0,0,0,229.97,23.84,74,626,229.97
34,6013,4510,1503,8155,1772,0.21729,320,352,360,1920,1,1,0,0,229.97,18.81,76,623,229.97
35,6036,4576,1460,7850,1218,0.15516,320,352,360,59,1,0,0,0,229.97,18.97,65,623,229.97
36,6032,4510,1522,8314,1777,0.21374,320,336,352,3008,0,1,0,0,229.97,16.85,63,620,229.97
37,6022,4465,1557,8586,2132,0.24831,320,336,352,56,1,0,0,0,229.97,15.47,61,620,229.97
38,6031,4559,1472,7611,1245,0.16358,320,352,368,1600,1,1,0,0,229.97,19.03,62,617,229.97
39,6019,4541,1478,8329,1784,0.21419,320,336,352,72,1,0,0,0,229.97,16.14,67,617,229.97
40,6022,4560,1462,7925,1358,0.17136,320,352,360,64,1,0,0,0,229.97,17.57,71,617,229.97
41,6027,4547,1480,8447,1964,0.23251,320,344,360,2176,1,1,0,0,229.97,19.20,74,620,229.97
42,6018,4504,1514,8202,1684,0.20532,320,344,360,108,1,0,0,0,229.97,16.40,77,620,229.97
43,6020,4534,1486,7957,1513,0.19015,320,344,360,82,1,0,0,0,229.96,16.14,56,620,229.96
44,6043,4581,1462,7769,1370,0.17634,320,352,368,2240,1,1,0,0,229.97,18.10,66,619,229.97
