t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6047,4495,1552,4476,1369,0.30585,328,352,360,59,0,0,0,0,229.98,30.06,94,582,229.98
2,6044,4540,1504,4513,1277,0.28296,328,352,360,56,0,0,0,0,229.98,28.77,80,582,229.98
3,6008,4491,1517,4477,1286,0.28725,320,352,368,55,0,0,0,0,229.98,31.57,86,582,229.98
4,6064,4518,1546,4492,1227,0.27315,320,352,360,55,0,0,0,0,229.98,28.89,79,582,229.98
5,6042,4575,1467,4542,1328,0.29238,328,352,368,56,0,0,0,0,229.98,25.52,75,582,229.98
6,6013,4488,1525,4468,1343,0.30058,328,352,368,57,0,0,0,0,229.97,27.09,84,582,229.97
7,6035,4517,1518,4492,1237,0.27538,320,352,360,53,0,0,0,0,229.97,24.04,72,582,229.97
8,6067,4605,1462,4581,1201,0.26217,320,352,368,1184,0,0,1,0,229.96,18.06,65,583,229.96
9,6062,4580,1482,6201,2803,0.45202,320,336,352,3264,0,1,0,0,225.68,21.11,79,632,225.71
10,6040,4507,1533,6612,1657,0.25060,320,344,368,51,1,0,0,0,229.97,21.48,84,632,229.97
11,6061,4560,1501,6015,1686,0.28030,320,344,360,50,1,0,0,0,229.96,19.04,74,632,229.96
12,6025,4507,1518,6223,1473,0.23670,320,352,360,52,1,0,0,0,229.96,17.13,68,632,229.96
13,6030,4531,1499,6630,1739,0.26229,320,352,360,53,1,0,0,0,229.96,20.11,68,632,229.96
14,6034,4465,1569,6235,1961,0.31451,320,344,360,42,1,0,0,0,229.96,23.25,73,632,229.96
15,6050,4557,1493,5971,1558,0.26093,320,344,352,45,1,0,0,0,229.96,23.37,74,632,229.96
16,6063,4548,1515,6382,1567,0.24553,320,336,360,90,1,1,0,0,228.86,29.76,98,629,228.87
17,6040,4546,1494,6167,1508,0.24453,320,336,352,43,1,0,0,0,229.97,28.60,90,629,229.97
18,6009,4469,1540,6516,1395,0.21409,320,344,360,55,1,0,0,0,229.97,21.10,78,629,229.97
19,6062,4540,1522,5646,1442,0.25540,320,344,368,42,1,0,0,0,229.97,19.59,79,629,229.97
20,6033,4577,1456,6660,1727,0.25931,320,344,352,47,1,0,0,0,229.98,22.84,75,629,229.98
21,6063,4516,1547,6037,2065,0.34206,320,344,360,50,1,0,0,0,229.98,23.59,78,629,229.98
22,6014,4530,1484,6037,1943,0.32185,320,344,352,2304,1,1,0,0,222.70,26.56,89,629,222.70
23,6034,4529,1505,6598,1672,0.25341,320,344,360,45,1,0,0,0,229.98,30.04,89,629,229.98
24,6024,4510,1514,5937,1363,0.22958,320,336,352,48,1,0,0,0,229.98,27.07,81,629,229.98
25,6035,4471,1564,6174,1208,0.19566,320,344,360,53,1,0,0,0,229.98,28.00,83,629,229.98
26,6023,4431,1592,5709,1278,0.22386,320,352,360,54,1,0,0,0,229.98,27.59,76,629,229.98
27,6036,4506,1530,6391,2020,0.31607,320,344,352,42,1,0,0,0,229.97,27.00,76,629,229.97
28,6053,4571,1482,6660,1770,0.26577,320,344,368,58,1,0,0,0,229.97,31.42,76,629,229.97
29,6065,4619,1446,5986,1560,0.26061,320,336,352,832,1,1,0,0,228.92,30.20,81,626,228.92
30,6029,4542,1487,6235,1644,0.26367,320,344,360,58,1,0,0,0,229.97,31.69,84,626,229.97
31,6063,4577,1486,6018,1568,0.26055,320,344,360,53,1,0,0,0,229.97,27.09,69,626,229.97
32,6044,4590,1454,6673,1609,0.24112,320,344,352,38,1,0,0,0,229.97,25.29,78,626,229.97
33,6064,4587,1477,6079,1281,0.21073,320,344,352,56,1,0,0,0,229.97,29.04,84,626,229.97
34,6038,4538,1500,6193,1349,0.21783,328,352,360,52,1,0,0,0,229.97,25.41,69,626,229.97
35,6019,4507,1512,6057,1913,0.31583,320,352,368,464,1,1,0,0,222.72,26.14,77,626,222.73
36,6047,4503,1544,6393,2034,0.31816,320,336,352,39,1,0,0,0,229.97,29.07,71,626,229.97
37,6035,4530,1505,6617,1733,0.26190,320,336,352,38,1,0,0,0,229.97,27.26,69,626,229.97
38,6047,4549,1498,5686,1565,0.27524,320,344,360,56,1,0,0,0,229.97,26.72,76,626,229.97
39,6047,4604,1443,6606,1895,0.28686,320,344,360,49,1,0,0,0,229.97,26.38,67,626,229.97
40,6064,4566,1498,6013,1629,0.27091,320,336,352,45,1,0,0,0,229.97,24.04,72,626,229.97
41,6004,4496,1508,6177,1848,0.29917,320,344,360,45,1,0,0,0,229.97,20.64,71,626,229.97
42,6018,4528,1490,6325,2062,0.32601,320,344,360,720,1,1,0,0,229.97,18.60,63,623,229.97
43,6062,4559,1503,6570,2761,0.42024,320,344,360,58,1,0,0,0,229.97,18.45,66,623,229.97
44,6064,4605,1459,6278,1729,0.27541,320,344,352,48,1,0,0,0,229.97,22.75,66,623,229.97
45,6011,4532,1479,6155,2192,0.35613,320,344,360,57,1,0,0,0,229.97,26.77,79,623,229.97
46,6062,4574,1488,6116,1784,0.29169,320,344,360,1184,1,0,1,0,228.61,27.25,77,624,228.63
47,6065,4482,1583,5895,1564,0.26531,320,344,360,56,0,1,0,0,229.97,24.65,74,624,229.97
48,6079,4550,1529,6437,2324,0.36104,320,344,360,3392,1,0,0,0,229.96,29.14,82,621,229.96
49,6067,4601,1466,6358,1884,0.29632,320,352,368,2752,1,1,0,0,227.34,27.30,93,628,227.36
50,6018,4466,1552,6067,1657,0.27312,320,344,368,45,1,0,0,0,229.97,26.26,90,628,229.97
51,6038,4543,1495,6659,1403,0.21069,320,344,360,46,1,0,0,0,229.96,20.32,83,628,229.96
52,6020,4534,1486,5638,1407,0.24956,320,352,368,57,1,0,0,0,229.96,19.84,74,628,229.96
53,6031,4556,1475,6633,1598,0.24092,320,352,360,49,1,0,0,0,229.96,18.94,76,628,229.96
54,6041,4542,1499,5935,1733,0.29200,320,344,360,53,1,0,0,0,229.96,16.13,65,628,229.96
55,6039,4516,1523,6295,1776,0.28213,320,352,368,55,1,0,0,0,229.97,20.62,69,628,229.97
56,6031,4524,1507,6285,2045,0.32538,312,344,360,2016,1,1,0,0,229.67,22.24,71,631,229.67
57,6065,4532,1533,6256,1595,0.25496,320,344,352,44,1,0,0,0,229.98,20.50,72,631,229.98
58,6049,4565,1484,6527,1813,0.27777,320,344,360,47,1,0,0,0,229.97,22.02,70,631,229.97
59,6061,4569,1492,5789,1439,0.24857,320,344,368,47,1,0,0,0,229.97,24.93,68,631,229.97
60,6035,4512,1523,6624,1859,0.28065,320,344,360,47,1,0,0,0,229.97,25.99,74,631,229.97
61,6030,4467,1563,6121,1772,0.28950,320,352,368,53,1,0,0,0,229.97,28.03,78,631,229.97
62,6020,4520,1500,5860,1613,0.27526,320,352,360,50,1,0,0,0,229.97,29.51,85,631,229.97
63,6041,4492,1549,6598,1658,0.25129,320,344,360,224,1,1,0,0,229.92,35.32,95,631,229.93
64,6037,4543,1494,5742,1106,0.19262,320,344,352,45,1,0,0,0,229.97,32.55,101,631,229.97
65,6044,4539,1505,6506,1309,0.20120,328,352,368,51,1,0,0,0,229.97,28.83,97,631,229.97
66,6038,4529,1509,6531,1691,0.25892,320,344,360,53,1,0,0,0,229.98,24.99,81,631,229.98
67,6051,4534,1517,5793,1166,0.20128,320,344,360,48,1,0,0,0,229.97,22.43,67,631,229.97
68,6019,4548,1471,6559,1191,0.18158,320,344,360,64,1,0,0,0,229.98,18.70,61,631,229.97
69,6066,4578,1488,6379,1815,0.28453,320,344,360,528,1,1,0,0,223.98,24.09,70,634,223.99
70,6063,4535,1528,5758,1659,0.28812,320,344,360,51,1,0,0,0,229.98,24.60,70,634,229.98
71,6013,4576,1437,6631,1708,0.25758,320,352,360,51,1,0,0,0,229.97,22.81,63,634,229.97
72,6017,4509,1508,6152,1918,0.31177,320,344,360,49,1,0,0,0,229.97,22.01,67,634,229.97
73,6012,4469,1543,5969,1420,0.23790,320,352,360,50,1,0,0,0,229.97,21.17,69,634,229.97
74,6036,4548,1488,6455,1587,0.24586,320,336,352,50,1,0,0,0,229.97,20.29,74,634,229.97
75,6024,4562,1462,5900,1688,0.28610,320,344,368,51,1,0,0,0,229.97,19.86,65,634,229.97
76,6035,4489,1546,6230,1206,0.19358,320,344,360,82,1,1,0,0,229.98,16.31,64,634,229.98
77,6040,4559,1481,6182,1725,0.27904,320,336,352,40,1,0,0,0,229.97,15.45,62,634,229.97
78,6050,4528,1522,6602,1619,0.24523,320,352,360,56,1,0,0,0,229.98,15.22,53,634,229.98
79,6040,4478,1562,5527,1298,0.23485,320,352,376,88,1,0,0,0,229.98,15.97,54,634,229.98
80,6030,4544,1486,6618,1500,0.22665,320,336,352,40,1,0,0,0,229.98,19.16,52,634,229.98
81,6024,4531,1493,5844,1251,0.21407,320,344,352,47,1,0,0,0,229.98,21.89,56,634,229.98
82,6024,4543,1481,6194,1216,0.19632,320,344,360,70,1,1,0,0,221.62,22.65,65,630,221.62
83,6032,4510,1522,5458,1196,0.21913,320,352,368,280,1,0,1,0,229.97,26.15,74,631,229.97
84,6038,4509,1529,6781,1702,0.25100,320,352,368,57,1,0,0,0,229.97,20.00,70,631,229.97
85,6040,4503,1537,6118,1501,0.24534,320,352,360,51,1,0,0,0,229.98,17.52,67,631,229.98
86,6054,4548,1506,6198,1219,0.19668,320,352,368,51,1,0,0,0,229.98,17.79,61,631,229.98
87,6021,4508,1513,6321,1708,0.27021,320,352,368,54,1,0,0,0,229.97,17.88,66,631,229.97
88,6019,4506,1513,5949,1710,0.28744,320,344,360,1088,1,1,0,0,224.65,21.16,64,630,224.65
89,6047,4514,1533,6377,2438,0.38231,320,344,352,3072,1,0,0,0,229.97,23.60,70,630,229.97
90,6065,4521,1544,6860,2429,0.35408,320,344,360,3008,1,0,0,0,229.97,23.54,66,630,229.97
91,6065,4542,1523,5632,1435,0.25479,320,336,360,55,1,1,0,0,229.98,24.11,103,636,229.98
92,6017,4452,1565,6556,1871,0.28539,312,336,360,45,1,0,0,0,229.97,23.16,94,636,229.97
