t,type,level,bytes
-29.833,flush_begin,0,0
-29.818,flush_end,0,6638552
-29.808,flush_begin,0,0
-29.793,flush_end,0,6638554
-29.783,flush_begin,0,0
-29.768,flush_end,0,6638553
-29.758,flush_begin,0,0
-29.743,flush_end,0,6638553
-29.733,flush_begin,0,0
-29.717,flush_end,0,6638553
-29.707,flush_begin,0,0
-29.691,flush_end,0,6638554
-29.682,flush_begin,0,0
-29.666,flush_end,0,6638552
-29.656,flush_begin,0,0
-29.640,flush_end,0,6638554
-29.631,flush_begin,0,0
-29.614,flush_end,0,6638554
-29.604,flush_begin,0,0
-29.588,flush_end,0,6638552
-29.578,flush_begin,0,0
-29.561,flush_end,0,6638553
-29.552,flush_begin,0,0
-29.536,flush_end,0,6638553
-29.526,flush_begin,0,0
-29.509,flush_end,0,6638554
-29.499,flush_begin,0,0
-29.483,flush_end,0,6638552
-29.473,flush_begin,0,0
-29.457,flush_end,0,6638554
-29.447,flush_begin,0,0
-29.431,flush_end,0,6638554
-29.415,trivial_move,3,6638552
-29.415,flush_begin,0,0
-29.398,flush_end,0,6638552
-29.382,trivial_move,3,6638554
-29.381,flush_begin,0,0
-29.365,flush_end,0,6638555
-29.349,trivial_move,3,6638553
-29.348,flush_begin,0,0
-29.331,flush_end,0,6638553
-29.315,trivial_move,3,6638553
-29.313,flush_begin,0,0
-29.297,flush_end,0,6638553
-29.281,trivial_move,3,6638553
-29.280,flush_begin,0,0
-29.262,flush_end,0,6638552
-29.246,trivial_move,3,6638554
-29.245,flush_begin,0,0
-29.228,flush_end,0,6638554
-29.212,trivial_move,3,6638552
-29.211,flush_begin,0,0
-29.194,flush_end,0,6638554
-29.178,trivial_move,3,6638554
-29.176,flush_begin,0,0
-29.159,flush_end,0,6638552
-29.143,trivial_move,3,6638554
-29.141,flush_begin,0,0
-29.124,flush_end,0,6638554
-29.108,trivial_move,3,6638552
-29.107,flush_begin,0,0
-29.090,flush_end,0,6638553
-29.074,trivial_move,3,6638553
-29.073,flush_begin,0,0
-29.056,flush_end,0,6638553
-29.040,trivial_move,3,6638553
-29.039,flush_begin,0,0
-29.021,flush_end,0,6638553
-29.005,trivial_move,3,6638554
-29.003,flush_begin,0,0
-28.986,flush_end,0,6638554
-28.970,trivial_move,3,6638552
-28.969,flush_begin,0,0
-28.952,flush_end,0,6638553
-28.936,trivial_move,3,6638554
-28.935,flush_begin,0,0
-28.918,flush_end,0,6638552
-28.903,trivial_move,3,6638554
-28.901,flush_begin,0,0
-28.885,flush_end,0,6638554
-28.869,trivial_move,3,6638552
-28.868,flush_begin,0,0
-28.850,flush_end,0,6638553
-28.834,trivial_move,3,6638555
-28.834,flush_begin,0,0
-28.817,flush_end,0,6638553
-28.801,trivial_move,3,6638553
-28.800,flush_begin,0,0
-28.782,flush_end,0,6638553
-28.766,trivial_move,3,6638553
-28.765,flush_begin,0,0
-28.748,flush_end,0,6638555
-28.732,trivial_move,3,6638552
-28.731,flush_begin,0,0
-28.712,flush_end,0,6638553
-28.696,trivial_move,3,6638554
-28.695,flush_begin,0,0
-28.678,flush_end,0,6638553
-28.662,trivial_move,3,6638554
-28.661,flush_begin,0,0
-28.644,flush_end,0,6638554
-28.628,trivial_move,3,6638552
-28.627,flush_begin,0,0
-28.610,flush_end,0,6638552
-28.594,trivial_move,3,6638554
-28.592,flush_begin,0,0
-28.576,flush_end,0,6638553
-28.560,trivial_move,3,6638553
-28.559,flush_begin,0,0
-28.543,flush_end,0,6638553
-28.527,trivial_move,3,6638553
-28.526,flush_begin,0,0
-28.509,flush_end,0,6638554
-28.493,trivial_move,3,6638553
-28.492,flush_begin,0,0
-28.474,flush_end,0,6638553
-28.458,trivial_move,3,6638554
-28.457,flush_begin,0,0
-28.440,flush_end,0,6638553
-28.424,trivial_move,3,6638553
-28.423,flush_begin,0,0
-28.405,flush_end,0,6638554
-28.389,trivial_move,3,6638552
-28.388,flush_begin,0,0
-28.371,flush_end,0,6638552
-28.355,trivial_move,3,6638554
-28.353,flush_begin,0,0
-28.336,flush_end,0,6638554
-28.320,trivial_move,3,6638553
-28.319,flush_begin,0,0
-28.302,flush_end,0,6638553
-28.286,trivial_move,3,6638553
-28.284,flush_begin,0,0
-28.268,flush_end,0,6638553
-28.252,trivial_move,3,6638553
-28.252,flush_begin,0,0
-28.235,flush_end,0,6638553
-28.219,trivial_move,3,6638555
-28.218,flush_begin,0,0
-28.202,flush_end,0,6638553
-28.186,trivial_move,3,6638553
-28.185,flush_begin,0,0
-28.167,flush_end,0,6638555
-28.146,trivial_move,3,6638553
-28.145,flush_begin,0,0
-28.128,flush_end,0,6638552
-28.112,trivial_move,3,6638554
-28.111,flush_begin,0,0
-28.093,flush_end,0,6638554
-28.077,trivial_move,3,6638552
-28.076,flush_begin,0,0
-28.059,flush_end,0,6638553
-28.043,trivial_move,3,6638553
-28.041,flush_begin,0,0
-28.024,flush_end,0,6638553
-28.008,trivial_move,3,6638553
-28.007,flush_begin,0,0
-27.989,flush_end,0,6638554
-27.973,trivial_move,3,6638554
-27.972,flush_begin,0,0
-27.954,flush_end,0,6638553
-27.938,trivial_move,3,6638553
-27.937,flush_begin,0,0
-27.920,flush_end,0,6638553
-27.904,trivial_move,3,6638553
-27.903,flush_begin,0,0
-27.886,flush_end,0,6638552
-27.870,trivial_move,3,6638554
-27.869,flush_begin,0,0
-27.851,flush_end,0,6638554
-27.834,trivial_move,3,6638552
-27.833,flush_begin,0,0
-27.808,flush_end,0,6638553
-27.792,trivial_move,3,6638554
-27.791,flush_begin,0,0
-27.774,flush_end,0,6638553
-27.758,trivial_move,3,6638553
-27.757,flush_begin,0,0
-27.739,flush_end,0,6638554
-27.724,trivial_move,3,6638553
-27.722,flush_begin,0,0
-27.705,flush_end,0,6638553
-27.689,trivial_move,3,6638553
-27.688,flush_begin,0,0
-27.671,flush_end,0,6638553
-27.655,trivial_move,3,6638553
-27.654,flush_begin,0,0
-27.637,flush_end,0,6638553
-27.621,trivial_move,3,6638555
-27.620,flush_begin,0,0
-27.603,flush_end,0,6638554
-27.588,trivial_move,3,6638552
-27.587,flush_begin,0,0
-27.570,flush_end,0,6638552
-27.554,trivial_move,3,6638554
-27.553,flush_begin,0,0
-27.534,flush_end,0,6638554
-27.518,trivial_move,3,6638553
-27.517,flush_begin,0,0
-27.500,flush_end,0,6638554
-27.483,trivial_move,3,6638553
-27.482,flush_begin,0,0
-27.464,flush_end,0,6638553
-27.448,trivial_move,3,6638554
-27.446,flush_begin,0,0
-27.429,flush_end,0,6638553
-27.412,trivial_move,3,6638553
-27.411,flush_begin,0,0
-27.394,flush_end,0,6638553
-27.378,trivial_move,3,6638553
-27.377,flush_begin,0,0
-27.360,flush_end,0,6638554
-27.344,trivial_move,3,6638552
-27.343,flush_begin,0,0
-27.326,flush_end,0,6638552
-27.310,trivial_move,3,6638554
-27.310,flush_begin,0,0
-27.292,flush_end,0,6638554
-27.276,trivial_move,3,6638553
-27.275,flush_begin,0,0
-27.258,flush_end,0,6638554
-27.242,trivial_move,3,6638553
-27.241,flush_begin,0,0
-27.223,flush_end,0,6638552
-27.207,trivial_move,3,6638554
-27.206,flush_begin,0,0
-27.188,flush_end,0,6638553
-27.172,trivial_move,3,6638553
-27.171,flush_begin,0,0
-27.153,flush_end,0,6638553
-27.137,trivial_move,3,6638553
-27.136,flush_begin,0,0
-27.119,flush_end,0,6638554
-27.102,trivial_move,3,6638553
-27.101,flush_begin,0,0
-27.083,flush_end,0,6638552
-27.067,trivial_move,3,6638554
-27.066,flush_begin,0,0
-27.049,flush_end,0,6638554
-27.033,trivial_move,3,6638552
-27.032,flush_begin,0,0
-27.015,flush_end,0,6638554
-26.999,trivial_move,3,6638554
-26.998,flush_begin,0,0
-26.981,flush_end,0,6638552
-26.965,trivial_move,3,6638554
-26.964,flush_begin,0,0
-26.946,flush_end,0,6638555
