t,type,level,bytes
-29.834,flush_begin,0,0
-29.817,flush_end,0,6638552
-29.808,flush_begin,0,0
-29.792,flush_end,0,6638554
-29.783,flush_begin,0,0
-29.766,flush_end,0,6638553
-29.758,flush_begin,0,0
-29.742,flush_end,0,6638553
-29.732,flush_begin,0,0
-29.715,flush_end,0,6638553
-29.707,flush_begin,0,0
-29.691,flush_end,0,6638554
-29.682,flush_begin,0,0
-29.665,flush_end,0,6638552
-29.656,flush_begin,0,0
-29.639,flush_end,0,6638554
-29.631,flush_begin,0,0
-29.615,flush_end,0,6638554
-29.606,flush_begin,0,0
-29.590,flush_end,0,6638552
-29.581,flush_begin,0,0
-29.565,flush_end,0,6638553
-29.556,flush_begin,0,0
-29.540,flush_end,0,6638553
-29.531,flush_begin,0,0
-29.515,flush_end,0,6638554
-29.506,flush_begin,0,0
-29.490,flush_end,0,6638552
-29.481,flush_begin,0,0
-29.464,flush_end,0,6638554
-29.455,flush_begin,0,0
-29.438,flush_end,0,6638554
-29.422,trivial_move,3,6638552
-29.421,flush_begin,0,0
-29.405,flush_end,0,6638552
-29.389,trivial_move,3,6638554
-29.388,flush_begin,0,0
-29.372,flush_end,0,6638555
-29.356,trivial_move,3,6638553
-29.355,flush_begin,0,0
-29.339,flush_end,0,6638553
-29.323,trivial_move,3,6638553
-29.323,flush_begin,0,0
-29.306,flush_end,0,6638553
-29.290,trivial_move,3,6638553
-29.290,flush_begin,0,0
-29.272,flush_end,0,6638552
-29.256,trivial_move,3,6638554
-29.255,flush_begin,0,0
-29.239,flush_end,0,6638554
-29.224,trivial_move,3,6638552
-29.223,flush_begin,0,0
-29.206,flush_end,0,6638554
-29.190,trivial_move,3,6638554
-29.190,flush_begin,0,0
-29.173,flush_end,0,6638552
-29.157,trivial_move,3,6638554
-29.157,flush_begin,0,0
-29.139,flush_end,0,6638554
-29.124,trivial_move,3,6638552
-29.123,flush_begin,0,0
-29.107,flush_end,0,6638553
-29.093,trivial_move,3,6638553
-29.092,flush_begin,0,0
-29.076,flush_end,0,6638553
-29.060,trivial_move,3,6638553
-29.059,flush_begin,0,0
-29.043,flush_end,0,6638553
-29.027,trivial_move,3,6638554
-29.027,flush_begin,0,0
-29.010,flush_end,0,6638554
-28.995,trivial_move,3,6638552
-28.995,flush_begin,0,0
-28.977,flush_end,0,6638553
-28.961,trivial_move,3,6638554
-28.961,flush_begin,0,0
-28.944,flush_end,0,6638552
-28.928,trivial_move,3,6638554
-28.927,flush_begin,0,0
-28.910,flush_end,0,6638554
-28.894,trivial_move,3,6638552
-28.894,flush_begin,0,0
-28.876,flush_end,0,6638553
-28.861,trivial_move,3,6638555
-28.860,flush_begin,0,0
-28.844,flush_end,0,6638553
-28.829,trivial_move,3,6638553
-28.829,flush_begin,0,0
-28.812,flush_end,0,6638553
-28.793,trivial_move,3,6638553
-28.793,flush_begin,0,0
-28.776,flush_end,0,6638555
-28.761,trivial_move,3,6638552
-28.760,flush_begin,0,0
-28.744,flush_end,0,6638553
-28.728,trivial_move,3,6638554
-28.728,flush_begin,0,0
-28.711,flush_end,0,6638553
-28.696,trivial_move,3,6638554
-28.695,flush_begin,0,0
-28.677,flush_end,0,6638554
-28.663,trivial_move,3,6638552
-28.663,flush_begin,0,0
-28.646,flush_end,0,6638552
-28.630,trivial_move,3,6638554
-28.630,flush_begin,0,0
-28.612,flush_end,0,6638553
-28.596,trivial_move,3,6638553
-28.595,flush_begin,0,0
-28.578,flush_end,0,6638553
-28.562,trivial_move,3,6638553
-28.562,flush_begin,0,0
-28.544,flush_end,0,6638554
-28.528,trivial_move,3,6638553
-28.528,flush_begin,0,0
-28.510,flush_end,0,6638553
-28.494,trivial_move,3,6638554
-28.494,flush_begin,0,0
-28.476,flush_end,0,6638553
-28.460,trivial_move,3,6638553
-28.460,flush_begin,0,0
-28.442,flush_end,0,6638554
-28.426,trivial_move,3,6638552
-28.425,flush_begin,0,0
-28.408,flush_end,0,6638552
-28.392,trivial_move,3,6638554
-28.391,flush_begin,0,0
-28.373,flush_end,0,6638554
-28.357,trivial_move,3,6638553
-28.357,flush_begin,0,0
-28.339,flush_end,0,6638553
-28.323,trivial_move,3,6638553
-28.323,flush_begin,0,0
-28.305,flush_end,0,6638553
-28.289,trivial_move,3,6638553
-28.288,flush_begin,0,0
-28.271,flush_end,0,6638553
-28.255,trivial_move,3,6638555
-28.254,flush_begin,0,0
-28.237,flush_end,0,6638553
-28.221,trivial_move,3,6638553
-28.220,flush_begin,0,0
-28.203,flush_end,0,6638555
-28.187,trivial_move,3,6638553
-28.187,flush_begin,0,0
-28.169,flush_end,0,6638552
-28.153,trivial_move,3,6638554
-28.153,flush_begin,0,0
-28.134,flush_end,0,6638554
-28.117,trivial_move,3,6638552
-28.117,flush_begin,0,0
-28.099,flush_end,0,6638553
-28.083,trivial_move,3,6638553
-28.083,flush_begin,0,0
-28.064,flush_end,0,6638553
-28.048,trivial_move,3,6638553
-28.047,flush_begin,0,0
-28.030,flush_end,0,6638554
-28.014,trivial_move,3,6638554
-28.014,flush_begin,0,0
-27.996,flush_end,0,6638553
-27.980,trivial_move,3,6638553
-27.979,flush_begin,0,0
-27.962,flush_end,0,6638553
-27.946,trivial_move,3,6638553
-27.945,flush_begin,0,0
-27.928,flush_end,0,6638552
-27.912,trivial_move,3,6638554
-27.912,flush_begin,0,0
-27.894,flush_end,0,6638554
-27.879,trivial_move,3,6638552
-27.878,flush_begin,0,0
-27.861,flush_end,0,6638553
-27.845,trivial_move,3,6638554
-27.845,flush_begin,0,0
-27.827,flush_end,0,6638553
-27.811,trivial_move,3,6638553
-27.811,flush_begin,0,0
-27.794,flush_end,0,6638554
-27.778,trivial_move,3,6638553
-27.778,flush_begin,0,0
-27.761,flush_end,0,6638553
-27.746,trivial_move,3,6638553
-27.746,flush_begin,0,0
-27.729,flush_end,0,6638553
-27.713,trivial_move,3,6638553
-27.713,flush_begin,0,0
-27.695,flush_end,0,6638553
-27.679,trivial_move,3,6638555
-27.679,flush_begin,0,0
-27.662,flush_end,0,6638554
-27.647,trivial_move,3,6638552
-27.646,flush_begin,0,0
-27.629,flush_end,0,6638552
-27.613,trivial_move,3,6638554
-27.613,flush_begin,0,0
-27.596,flush_end,0,6638554
-27.580,trivial_move,3,6638553
-27.579,flush_begin,0,0
-27.562,flush_end,0,6638554
-27.546,trivial_move,3,6638553
-27.546,flush_begin,0,0
-27.527,flush_end,0,6638553
-27.511,trivial_move,3,6638554
-27.510,flush_begin,0,0
-27.493,flush_end,0,6638553
-27.477,trivial_move,3,6638553
-27.477,flush_begin,0,0
-27.459,flush_end,0,6638553
-27.443,trivial_move,3,6638553
-27.442,flush_begin,0,0
-27.425,flush_end,0,6638554
-27.410,trivial_move,3,6638552
-27.409,flush_begin,0,0
-27.392,flush_end,0,6638552
-27.376,trivial_move,3,6638554
-27.376,flush_begin,0,0
-27.358,flush_end,0,6638554
-27.342,trivial_move,3,6638553
-27.342,flush_begin,0,0
-27.325,flush_end,0,6638554
-27.309,trivial_move,3,6638553
-27.309,flush_begin,0,0
-27.292,flush_end,0,6638552
-27.276,trivial_move,3,6638554
-27.276,flush_begin,0,0
-27.259,flush_end,0,6638553
-27.243,trivial_move,3,6638553
-27.243,flush_begin,0,0
-27.225,flush_end,0,6638553
-27.209,trivial_move,3,6638553
-27.209,flush_begin,0,0
-27.192,flush_end,0,6638554
-27.176,trivial_move,3,6638553
-27.176,flush_begin,0,0
-27.158,flush_end,0,6638552
-27.142,trivial_move,3,6638554
-27.142,flush_begin,0,0
-27.125,flush_end,0,6638554
-27.110,trivial_move,3,6638552
-27.109,flush_begin,0,0
-27.092,flush_end,0,6638554
-27.076,trivial_move,3,6638554
-27.076,flush_begin,0,0
-27.059,flush_end,0,6638552
-27.044,trivial_move,3,6638554
-27.043,flush_begin,0,0
-27.026,flush_end,0,6638555
-27.010,trivial_move,3,6638553
-27.009,flush_begin,0,0
-26.993,flush_end,0,6638553
-26.977,trivial_move,3,6638553
-26.976,flush_begin,0,0
-26.958,flush_end,0,6638553
-26.942,trivial_move,3,6638553
-26.942,flush_begin,0,0
-26.923,flush_end,0,6638552
-26.907,trivial_move,3,6638554
-26.906,flush_begin,0,0
-26.889,flush_end,0,6638554
-26.873,trivial_move,3,6638552
-26.872,flush_begin,0,0
-26.855,flush_end,0,6638554
-26.839,trivial_move,3,6638554
-26.839,flush_begin,0,0
-26.822,flush_end,0,6638552
-26.806,trivial_move,3,6638554
-26.805,flush_begin,0,0
-26.788,flush_end,0,6638554
-26.773,trivial_move,3,6638552
-26.773,flush_begin,0,0
-26.756,flush_end,0,6638553
-26.739,trivial_move,3,6638553
-26.739,flush_begin,0,0
-26.722,flush_end,0,6638553
-26.707,trivial_move,3,6638553
-26.706,flush_begin,0,0
-26.689,flush_end,0,6638553
-26.673,trivial_move,3,6638554
-26.673,flush_begin,0,0
-26.655,flush_end,0,6638554
-26.639,trivial_move,3,6638552
-26.639,flush_begin,0,0
-26.620,flush_end,0,6638552
-26.604,trivial_move,3,6638554
-26.604,flush_begin,0,0
-26.587,flush_end,0,6638552
-26.571,trivial_move,3,6638554
-26.571,flush_begin,0,0
-26.554,flush_end,0,6638554
-26.538,trivial_move,3,6638552
-26.538,flush_begin,0,0
-26.521,flush_end,0,6638553
-26.505,trivial_move,3,6638555
-26.505,flush_begin,0,0
-26.488,flush_end,0,6638553
-26.472,trivial_move,3,6638553
-26.472,flush_begin,0,0
-26.454,flush_end,0,6638553
-26.438,trivial_move,3,6638553
-26.437,flush_begin,0,0
-26.420,flush_end,0,6638555
-26.404,trivial_move,3,6638552
-26.403,flush_begin,0,0
-26.385,flush_end,0,6638552
-26.369,trivial_move,3,6638554
-26.369,flush_begin,0,0
-26.352,flush_end,0,6638554
-26.336,trivial_move,3,6638554
-26.335,flush_begin,0,0
-26.317,flush_end,0,6638554
-26.301,trivial_move,3,6638552
-26.300,flush_begin,0,0
-26.283,flush_end,0,6638552
-26.267,trivial_move,3,6638554
-26.267,flush_begin,0,0
-26.249,flush_end,0,6638553
-26.233,trivial_move,3,6638553
-26.233,flush_begin,0,0
-26.215,flush_end,0,6638553
-26.200,trivial_move,3,6638553
-26.199,flush_begin,0,0
-26.181,flush_end,0,6638554
-26.165,trivial_move,3,6638553
-26.165,flush_begin,0,0
-26.147,flush_end,0,6638552
-26.130,trivial_move,3,6638554
-26.129,flush_begin,0,0
-26.112,flush_end,0,6638554
-26.096,trivial_move,3,6638552
-26.095,flush_begin,0,0
-26.077,flush_end,0,6638554
-26.061,trivial_move,3,6638552
-26.060,flush_begin,0,0
-26.043,flush_end,0,6638552
-26.027,trivial_move,3,6638554
-26.027,flush_begin,0,0
-26.008,flush_end,0,6638554
-25.992,trivial_move,3,6638553
-25.991,flush_begin,0,0
-25.974,flush_end,0,6638553
-25.958,trivial_move,3,6638553
-25.957,flush_begin,0,0
-25.940,flush_end,0,6638553
-25.924,trivial_move,3,6638553
-25.924,flush_begin,0,0
-25.906,flush_end,0,6638552
-25.886,trivial_move,3,6638555
-25.886,flush_begin,0,0
-25.868,flush_end,0,6638554
-25.849,trivial_move,3,6638552
-25.849,flush_begin,0,0
-25.832,flush_end,0,6638555
-25.814,trivial_move,3,6638554
-25.814,flush_begin,0,0
-25.797,flush_end,0,6638552
-25.779,trivial_move,3,6638554
-25.779,flush_begin,0,0
-25.761,flush_end,0,6638554
-25.746,trivial_move,3,6638552
-25.746,flush_begin,0,0
-25.728,flush_end,0,6638553
-25.712,trivial_move,3,6638553
-25.711,flush_begin,0,0
-25.693,flush_end,0,6638553
-25.677,trivial_move,3,6638553
-25.677,flush_begin,0,0
-25.659,flush_end,0,6638553
-25.644,trivial_move,3,6638554
-25.643,flush_begin,0,0
-25.626,flush_end,0,6638554
-25.610,trivial_move,3,6638552
-25.610,flush_begin,0,0
-25.593,flush_end,0,6638553
-25.577,trivial_move,3,6638554
-25.577,flush_begin,0,0
-25.560,flush_end,0,6638552
-25.544,trivial_move,3,6638554
-25.543,flush_begin,0,0
-25.526,flush_end,0,6638554
-25.510,trivial_move,3,6638552
-25.508,flush_begin,0,0
-25.492,flush_end,0,6638553
-25.476,trivial_move,3,6638554
-25.474,flush_begin,0,0
-25.457,flush_end,0,6638553
-25.441,trivial_move,3,6638553
-25.440,flush_begin,0,0
-25.423,flush_end,0,6638553
-25.407,trivial_move,3,6638553
-25.407,flush_begin,0,0
-25.389,flush_end,0,6638554
-25.374,trivial_move,3,6638552
-25.373,flush_begin,0,0
-25.356,flush_end,0,6638553
-25.340,trivial_move,3,6638554
-25.340,flush_begin,0,0
-25.323,flush_end,0,6638553
-25.308,trivial_move,3,6638555
-25.308,flush_begin,0,0
-25.291,flush_end,0,6638554
-25.275,trivial_move,3,6638552
-25.275,flush_begin,0,0
-25.258,flush_end,0,6638552
-25.242,trivial_move,3,6638554
-25.242,flush_begin,0,0
-25.225,flush_end,0,6638554
-25.209,trivial_move,3,6638553
-25.209,flush_begin,0,0
-25.192,flush_end,0,6638553
-25.176,trivial_move,3,6638553
-25.176,flush_begin,0,0
-25.158,flush_end,0,6638554
-25.142,trivial_move,3,6638553
-25.142,flush_begin,0,0
-25.124,flush_end,0,6638553
-25.108,trivial_move,3,6638554
-25.108,flush_begin,0,0
-25.089,flush_end,0,6638553
-25.073,trivial_move,3,6638553
-25.072,flush_begin,0,0
-25.055,flush_end,0,6638554
-25.039,trivial_move,3,6638552
-25.039,flush_begin,0,0
-25.022,flush_end,0,6638552
-25.006,trivial_move,3,6638554
-25.005,flush_begin,0,0
-24.989,flush_end,0,6638554
-24.973,trivial_move,3,6638553
-24.973,flush_begin,0,0
-24.956,flush_end,0,6638553
-24.940,trivial_move,3,6638553
-24.939,flush_begin,0,0
-24.922,flush_end,0,6638553
-24.906,trivial_move,3,6638553
-24.905,flush_begin,0,0
-24.888,flush_end,0,6638553
-24.872,trivial_move,3,6638554
-24.871,flush_begin,0,0
-24.854,flush_end,0,6638553
-24.838,trivial_move,3,6638553
-24.838,flush_begin,0,0
-24.821,flush_end,0,6638554
-24.802,trivial_move,3,6638553
-24.802,flush_begin,0,0
-24.785,flush_end,0,6638552
-24.769,trivial_move,3,6638554
-24.769,flush_begin,0,0
-24.752,flush_end,0,6638554
-24.736,trivial_move,3,6638552
-24.736,flush_begin,0,0
-24.719,flush_end,0,6638553
-24.703,trivial_move,3,6638554
-24.702,flush_begin,0,0
-24.685,flush_end,0,6638553
-24.669,trivial_move,3,6638553
-24.668,flush_begin,0,0
-24.651,flush_end,0,6638555
-24.635,trivial_move,3,6638554
-24.635,flush_begin,0,0
-24.616,flush_end,0,6638553
-24.600,trivial_move,3,6638553
-24.599,flush_begin,0,0
-24.582,flush_end,0,6638553
-24.566,trivial_move,3,6638553
-24.566,flush_begin,0,0
-24.547,flush_end,0,6638552
-24.531,trivial_move,3,6638554
-24.531,flush_begin,0,0
-24.514,flush_end,0,6638554
-24.498,trivial_move,3,6638552
-24.497,flush_begin,0,0
-24.480,flush_end,0,6638553
-24.464,trivial_move,3,6638554
-24.464,flush_begin,0,0
-24.446,flush_end,0,6638553
-24.431,trivial_move,3,6638553
-24.430,flush_begin,0,0
-24.414,flush_end,0,6638554
-24.398,trivial_move,3,6638553
-24.398,flush_begin,0,0
-24.381,flush_end,0,6638553
-24.365,trivial_move,3,6638553
-24.365,flush_begin,0,0
-24.348,flush_end,0,6638553
-24.330,trivial_move,3,6638553
-24.330,flush_begin,0,0
-24.312,flush_end,0,6638553
-24.296,trivial_move,3,6638554
-24.296,flush_begin,0,0
-24.279,flush_end,0,6638554
-24.263,trivial_move,3,6638552
-24.263,flush_begin,0,0
-24.245,flush_end,0,6638552
-24.227,trivial_move,3,6638554
-24.227,flush_begin,0,0
-24.210,flush_end,0,6638553
-24.194,trivial_move,3,6638553
-24.194,flush_begin,0,0
-24.177,flush_end,0,6638554
-24.161,trivial_move,3,6638553
-24.161,flush_begin,0,0
-24.144,flush_end,0,6638553
-24.128,trivial_move,3,6638555
-24.120,trivial_move,4,6638552
-24.120,flush_begin,0,0
-24.102,flush_end,0,6638553
-24.086,trivial_move,3,6638553
-24.076,trivial_move,4,6638554
-24.076,flush_begin,0,0
-24.057,flush_end,0,6638553
-24.041,trivial_move,3,6638553
-24.041,flush_begin,0,0
-24.023,flush_end,0,6638556
-24.007,trivial_move,3,6638552
-24.007,flush_begin,0,0
-23.989,flush_end,0,6638552
-23.973,trivial_move,3,6638554
-23.963,trivial_move,4,6638553
-23.963,flush_begin,0,0
-23.945,flush_end,0,6638554
-23.929,trivial_move,3,6638553
-23.929,flush_begin,0,0
-23.912,flush_end,0,6638554
-23.895,trivial_move,3,6638553
-23.885,trivial_move,4,6638553
-23.885,flush_begin,0,0
-23.867,flush_end,0,6638552
-23.851,trivial_move,3,6638554
-23.851,flush_begin,0,0
-23.834,flush_end,0,6638553
-23.818,trivial_move,4,6638553
-23.807,trivial_move,3,6638553
-23.807,flush_begin,0,0
-23.790,flush_end,0,6638553
-23.774,trivial_move,4,6638554
-23.774,flush_begin,0,0
-23.757,flush_end,0,6638554
-23.742,trivial_move,3,6638553
-23.732,trivial_move,4,6638552
-23.732,flush_begin,0,0
-23.714,flush_end,0,6638552
-23.696,trivial_move,3,6638553
-23.696,flush_begin,0,0
-23.677,flush_end,0,6638554
-23.661,trivial_move,3,6638554
-23.661,flush_begin,0,0
-23.644,flush_end,0,6638554
-23.626,trivial_move,3,6638552
-23.626,flush_begin,0,0
-23.608,flush_end,0,6638552
-23.592,trivial_move,3,6638553
-23.592,flush_begin,0,0
-23.574,flush_end,0,6638554
-23.558,trivial_move,3,6638554
-23.548,trivial_move,4,6638554
-23.548,flush_begin,0,0
-23.530,flush_end,0,6638553
-23.512,trivial_move,3,6638553
-23.512,flush_begin,0,0
-23.494,flush_end,0,6638553
-23.478,trivial_move,3,6638553
-23.478,flush_begin,0,0
-23.461,flush_end,0,6638552
-23.445,trivial_move,3,6638553
-23.437,trivial_move,4,6638554
-23.427,trivial_move,4,6638552
-23.427,flush_begin,0,0
-23.408,flush_end,0,6638554
