t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6025,4820,1205,4817,1534,0.31846,320,352,360,56,0,0,0,0,229.97,23.75,73,531,229.97
2,6031,4824,1207,4813,1470,0.30542,328,352,368,58,0,0,0,0,229.97,22.37,65,531,229.97
3,6030,4825,1205,4808,1421,0.29555,328,352,360,56,0,0,0,0,229.97,26.60,75,531,229.97
4,6038,4831,1207,4823,1348,0.27949,320,352,360,55,0,0,0,0,229.97,24.66,69,531,229.97
5,6030,4823,1207,4817,1498,0.31098,328,352,368,58,0,0,0,0,229.97,17.73,62,531,229.97
6,6027,4822,1205,4809,1540,0.32023,328,352,368,57,0,0,0,0,229.96,22.99,80,531,229.96
7,6063,4851,1212,4838,1331,0.27511,328,352,368,58,0,0,0,0,229.97,20.65,64,531,229.97
8,6036,4827,1209,4815,1356,0.28162,328,352,360,56,0,0,0,0,229.97,17.82,64,531,229.97
9,6042,4836,1206,4825,1296,0.26860,320,352,368,57,0,0,0,0,229.96,18.80,63,531,229.96
10,6043,4836,1207,4830,1435,0.29710,320,352,360,58,0,0,0,0,229.96,17.29,60,531,229.96
11,6033,4824,1209,4813,1384,0.28755,328,352,368,60,0,0,0,0,229.97,14.83,52,531,229.97
12,6052,4847,1205,4838,1198,0.24762,328,352,368,59,0,0,0,0,229.97,13.80,52,531,229.97
13,6033,4821,1212,4809,1158,0.24080,336,352,360,59,0,0,0,0,229.98,14.23,54,531,229.98
14,6017,4814,1203,4800,1325,0.27604,328,352,368,57,0,0,0,0,229.97,20.45,60,531,229.97
15,6028,4823,1205,4806,1464,0.30462,328,352,368,58,0,0,0,0,229.97,20.93,64,531,229.97
16,6044,4839,1205,4830,1363,0.28219,320,352,368,58,0,0,0,0,229.97,20.43,73,531,229.97
17,6012,4803,1209,4835,1323,0.27363,320,344,360,576,1,0,1,0,229.96,19.45,75,532,229.96
