t,type,level,bytes
-29.905,flush_begin,0,0
-29.888,flush_end,0,6638552
-29.879,flush_begin,0,0
-29.863,flush_end,0,6638554
-29.854,flush_begin,0,0
-29.838,flush_end,0,6638553
-29.829,flush_begin,0,0
-29.813,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.784,flush_end,0,6638553
-29.776,flush_begin,0,0
-29.760,flush_end,0,6638554
-29.747,flush_begin,0,0
-29.729,flush_end,0,6638552
-29.718,flush_begin,0,0
-29.702,flush_end,0,6638554
-29.692,flush_begin,0,0
-29.674,flush_end,0,6638554
-29.666,flush_begin,0,0
-29.649,flush_end,0,6638552
-29.637,flush_begin,0,0
-29.621,flush_end,0,6638553
-29.609,flush_begin,0,0
-29.593,flush_end,0,6638553
-29.580,flush_begin,0,0
-29.564,flush_end,0,6638554
-29.552,flush_begin,0,0
-29.536,flush_end,0,6638552
-29.524,flush_begin,0,0
-29.508,flush_end,0,6638554
-29.498,flush_begin,0,0
-29.481,flush_end,0,6638554
-29.465,trivial_move,3,6638552
-29.461,flush_begin,0,0
-29.444,flush_end,0,6638552
-29.429,trivial_move,3,6638554
-29.425,flush_begin,0,0
-29.408,flush_end,0,6638555
-29.392,trivial_move,3,6638553
-29.388,flush_begin,0,0
-29.371,flush_end,0,6638553
-29.355,trivial_move,3,6638553
-29.352,flush_begin,0,0
-29.335,flush_end,0,6638553
-29.319,trivial_move,3,6638553
-29.318,flush_begin,0,0
-29.301,flush_end,0,6638552
-29.285,trivial_move,3,6638554
-29.285,flush_begin,0,0
-29.268,flush_end,0,6638554
-29.253,trivial_move,3,6638552
-29.252,flush_begin,0,0
-29.234,flush_end,0,6638554
-29.220,trivial_move,3,6638554
-29.219,flush_begin,0,0
-29.201,flush_end,0,6638552
-29.185,trivial_move,3,6638554
-29.185,flush_begin,0,0
-29.165,flush_end,0,6638554
-29.149,trivial_move,3,6638552
-29.149,flush_begin,0,0
-29.132,flush_end,0,6638553
-29.116,trivial_move,3,6638553
-29.115,flush_begin,0,0
-29.098,flush_end,0,6638553
-29.082,trivial_move,3,6638553
-29.079,flush_begin,0,0
-29.063,flush_end,0,6638553
-29.047,trivial_move,3,6638554
-29.043,flush_begin,0,0
-29.025,flush_end,0,6638554
-29.009,trivial_move,3,6638552
-29.009,flush_begin,0,0
-28.991,flush_end,0,6638553
-28.974,trivial_move,3,6638554
-28.974,flush_begin,0,0
-28.956,flush_end,0,6638552
-28.939,trivial_move,3,6638554
-28.939,flush_begin,0,0
-28.920,flush_end,0,6638554
-28.902,trivial_move,3,6638552
-28.902,flush_begin,0,0
-28.885,flush_end,0,6638553
-28.869,trivial_move,3,6638555
-28.868,flush_begin,0,0
-28.848,flush_end,0,6638553
-28.832,trivial_move,3,6638553
-28.829,flush_begin,0,0
-28.810,flush_end,0,6638553
-28.795,trivial_move,3,6638553
-28.793,flush_begin,0,0
-28.775,flush_end,0,6638555
