t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6039,4830,1209,4823,1567,0.32490,328,352,368,57,0,0,0,0,229.97,24.13,70,509,229.97
2,6021,4819,1202,4806,1458,0.30337,328,352,368,60,0,0,0,0,229.97,22.55,63,509,229.97
3,6024,4818,1206,4791,1412,0.29472,320,352,360,56,0,0,0,0,229.97,23.00,69,509,229.97
4,6030,4825,1205,4810,1381,0.28711,328,352,368,64,0,0,0,0,229.97,22.35,62,509,229.97
5,6046,4838,1208,4824,1466,0.30390,328,352,368,64,0,0,0,0,229.98,18.79,56,509,229.98
6,6056,4847,1209,4833,1526,0.31575,320,352,360,57,0,0,0,0,229.97,22.04,69,509,229.97
7,6040,4827,1213,4810,1301,0.27048,328,352,360,60,0,0,0,0,229.97,19.77,58,509,229.97
8,6033,4827,1206,4816,1381,0.28675,328,352,368,66,0,0,0,0,229.98,16.89,61,509,229.98
9,6022,4823,1199,4814,1274,0.26464,320,352,360,57,0,0,0,0,229.96,18.88,61,509,229.96
10,6051,4838,1213,4826,1428,0.29590,328,352,368,58,0,0,0,0,229.97,17.38,59,509,229.97
11,6031,4824,1207,4803,1315,0.27379,328,352,368,57,0,0,0,0,229.97,15.21,54,509,229.97
12,6041,4831,1210,4820,1158,0.24025,328,352,368,57,0,0,0,0,229.97,13.77,49,509,229.97
13,6005,4807,1198,4795,1169,0.24380,336,352,368,58,0,0,0,0,229.97,12.68,47,509,229.97
14,6055,4840,1215,4825,1359,0.28166,320,352,368,61,0,0,0,0,229.97,18.60,52,509,229.97
15,6035,4829,1206,4812,1480,0.30756,320,352,360,62,0,0,0,0,229.97,20.77,61,509,229.97
16,6053,4842,1211,4830,1396,0.28903,328,352,360,60,0,0,0,0,229.97,16.86,64,509,229.97
17,6013,4810,1203,4912,1343,0.27341,320,352,368,2240,1,0,1,0,229.97,19.09,68,510,229.97
18,6062,4850,1212,6636,1490,0.22453,320,344,368,3520,1,1,0,0,229.96,13.57,64,561,229.96
19,6037,4830,1207,7806,1575,0.20177,320,352,368,61,1,0,0,0,229.96,11.80,61,561,229.96
20,6041,4832,1209,8487,2288,0.26959,320,344,360,51,1,0,0,0,229.96,16.27,67,561,229.96
21,6024,4819,1205,8848,2905,0.32832,320,344,360,2048,1,0,0,0,229.96,20.65,76,561,229.96
22,6036,4830,1206,8211,2035,0.24784,312,344,360,1536,1,1,0,0,229.96,29.50,88,564,229.96
23,6031,4824,1207,8041,1778,0.22112,320,344,360,61,1,0,0,0,229.96,31.63,87,564,229.96
24,6055,4846,1209,7922,1190,0.15021,320,336,624,63,1,0,0,0,229.96,23.69,75,564,229.96
25,6019,4813,1206,8326,1921,0.23072,320,344,360,2496,1,1,0,0,229.96,26.39,76,567,229.96
26,6043,4836,1207,7884,1440,0.18265,320,344,360,64,1,0,0,0,229.96,25.03,73,567,229.96
27,6024,4818,1206,8300,2004,0.24145,320,352,360,228,1,0,0,0,229.96,21.15,60,567,229.96
28,6062,4849,1213,8187,1796,0.21937,320,344,360,2688,1,1,0,0,225.28,25.76,66,570,225.29
29,6027,4824,1203,8567,2377,0.27746,320,344,360,70,1,0,0,0,229.97,28.62,73,570,229.97
30,6032,4830,1202,8189,1947,0.23776,320,352,360,74,1,0,0,0,229.97,27.83,75,570,229.97
31,6036,4823,1213,8181,1644,0.20095,320,344,352,448,1,0,0,0,229.98,22.34,66,570,229.98
32,6039,4835,1204,8610,2150,0.24971,320,344,360,2944,1,1,0,0,229.97,22.28,75,573,229.97
33,6031,4822,1209,8146,1621,0.19899,320,344,360,55,1,0,0,0,229.98,23.92,72,573,229.98
34,6026,4818,1208,8313,1896,0.22808,320,352,360,1008,1,0,0,0,229.98,21.00,57,573,229.98
35,6019,4816,1203,8056,1732,0.21500,320,344,360,2624,1,1,0,0,229.97,27.82,72,570,229.97
36,6032,4826,1206,8480,2176,0.25660,320,344,352,82,1,0,0,0,229.97,25.44,64,570,229.97
37,6032,4830,1202,7889,1696,0.21498,320,344,352,60,1,0,0,0,229.97,25.00,69,570,229.97
38,6030,4820,1210,8026,1866,0.23249,320,336,352,2688,1,1,0,0,229.94,27.05,75,573,229.94
39,6030,4824,1206,8649,2529,0.29240,320,352,368,78,1,0,0,0,229.97,26.12,68,573,229.97
40,6035,4829,1206,8610,2445,0.28397,320,344,360,880,1,0,0,0,229.97,22.36,69,573,229.97
41,6032,4824,1208,8247,1941,0.23536,320,344,360,1728,1,1,0,0,229.96,20.30,68,576,229.96
42,6017,4814,1203,8122,1894,0.23319,320,344,352,98,1,0,0,0,229.97,18.08,62,576,229.97
43,6031,4825,1206,8511,2535,0.29785,320,344,360,90,1,0,0,0,229.97,17.01,58,576,229.97
44,6028,4823,1205,8218,2279,0.27732,320,344,360,2560,1,1,0,0,215.31,17.87,57,579,215.31
