t,type,level,bytes
-29.902,flush_begin,0,0
-29.885,flush_end,0,6638552
-29.876,flush_begin,0,0
-29.860,flush_end,0,6638554
-29.852,flush_begin,0,0
-29.835,flush_end,0,6638553
-29.827,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.786,flush_end,0,6638553
-29.778,flush_begin,0,0
-29.762,flush_end,0,6638554
-29.754,flush_begin,0,0
-29.738,flush_end,0,6638552
-29.730,flush_begin,0,0
-29.714,flush_end,0,6638554
-29.704,flush_begin,0,0
-29.688,flush_end,0,6638554
-29.680,flush_begin,0,0
-29.663,flush_end,0,6638552
-29.655,flush_begin,0,0
-29.639,flush_end,0,6638553
-29.630,flush_begin,0,0
-29.614,flush_end,0,6638553
-29.606,flush_begin,0,0
-29.589,flush_end,0,6638554
-29.581,flush_begin,0,0
-29.564,flush_end,0,6638552
-29.556,flush_begin,0,0
-29.539,flush_end,0,6638554
-29.531,flush_begin,0,0
-29.514,flush_end,0,6638554
-29.506,flush_begin,0,0
-29.489,flush_end,0,6638552
-29.470,trivial_move,3,6638552
-29.470,flush_begin,0,0
-29.454,flush_end,0,6638555
-29.431,trivial_move,3,6638554
-29.431,flush_begin,0,0
-29.414,flush_end,0,6638553
-29.397,trivial_move,3,6638553
-29.397,flush_begin,0,0
-29.380,flush_end,0,6638553
-29.362,trivial_move,3,6638553
-29.362,flush_begin,0,0
-29.345,flush_end,0,6638552
-29.327,trivial_move,3,6638553
-29.327,flush_begin,0,0
-29.310,flush_end,0,6638554
-29.292,trivial_move,3,6638554
-29.292,flush_begin,0,0
-29.274,flush_end,0,6638554
-29.256,trivial_move,3,6638552
-29.256,flush_begin,0,0
-29.238,flush_end,0,6638552
-29.220,trivial_move,3,6638554
-29.220,flush_begin,0,0
-29.202,flush_end,0,6638554
-29.185,trivial_move,3,6638554
-29.185,flush_begin,0,0
-29.168,flush_end,0,6638553
-29.160,flush_begin,0,0
-29.142,flush_end,0,6638553
-29.124,trivial_move,3,6638552
-29.124,flush_begin,0,0
-29.106,flush_end,0,6638553
-29.099,flush_begin,0,0
-29.082,flush_end,0,6638554
-29.064,trivial_move,3,6638553
-29.064,flush_begin,0,0
-29.047,flush_end,0,6638553
-29.039,flush_begin,0,0
-29.023,flush_end,0,6638552
-29.004,trivial_move,3,6638553
-29.004,flush_begin,0,0
-28.988,flush_end,0,6638554
-28.969,trivial_move,3,6638554
-28.969,flush_begin,0,0
-28.952,flush_end,0,6638553
-28.935,trivial_move,3,6638552
-28.935,flush_begin,0,0
-28.917,flush_end,0,6638553
-28.898,trivial_move,3,6638554
-28.898,flush_begin,0,0
-28.881,flush_end,0,6638553
-28.863,trivial_move,3,6638554
-28.863,flush_begin,0,0
-28.844,flush_end,0,6638555
-28.826,trivial_move,3,6638552
-28.826,flush_begin,0,0
-28.808,flush_end,0,6638553
-28.789,trivial_move,3,6638555
-28.789,flush_begin,0,0
-28.770,flush_end,0,6638553
-28.751,trivial_move,3,6638553
-28.751,flush_begin,0,0
-28.733,flush_end,0,6638554
-28.716,trivial_move,3,6638553
-28.716,flush_begin,0,0
-28.699,flush_end,0,6638552
-28.680,trivial_move,3,6638552
-28.680,flush_begin,0,0
-28.662,flush_end,0,6638553
-28.643,trivial_move,3,6638554
-28.643,flush_begin,0,0
-28.625,flush_end,0,6638553
-28.607,trivial_move,3,6638554
-28.607,flush_begin,0,0
-28.589,flush_end,0,6638554
-28.581,flush_begin,0,0
-28.563,flush_end,0,6638553
-28.545,trivial_move,3,6638552
-28.545,flush_begin,0,0
-28.527,flush_end,0,6638553
-28.509,trivial_move,3,6638554
-28.509,flush_begin,0,0
-28.492,flush_end,0,6638554
-28.475,trivial_move,3,6638553
-28.474,flush_begin,0,0
-28.456,flush_end,0,6638552
-28.439,trivial_move,3,6638553
-28.439,flush_begin,0,0
-28.422,flush_end,0,6638554
-28.403,trivial_move,3,6638553
-28.403,flush_begin,0,0
-28.385,flush_end,0,6638553
-28.367,trivial_move,3,6638554
-28.367,flush_begin,0,0
-28.350,flush_end,0,6638553
-28.330,trivial_move,3,6638553
-28.330,flush_begin,0,0
-28.313,flush_end,0,6638553
-28.295,trivial_move,3,6638552
-28.295,flush_begin,0,0
-28.278,flush_end,0,6638553
-28.260,trivial_move,3,6638554
