t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6035,4821,1214,4809,1547,0.32169,328,352,360,58,0,0,0,0,229.97,21.02,58,393,229.97
2,6025,4819,1206,4808,1486,0.30907,320,352,360,55,0,0,0,0,229.97,20.45,49,393,229.97
3,6035,4830,1205,4809,1437,0.29881,328,352,368,60,0,0,0,0,229.98,20.95,54,393,229.98
4,6036,4827,1209,4812,1370,0.28470,328,352,368,56,0,0,0,0,229.98,19.51,48,393,229.98
5,6046,4837,1209,4821,1441,0.29890,328,352,368,58,0,0,0,0,229.97,15.33,44,393,229.97
6,6060,4852,1208,4833,1563,0.32340,328,352,360,59,0,0,0,0,229.97,19.08,54,393,229.97
7,6058,4842,1216,4829,1334,0.27625,320,352,360,56,0,0,0,0,229.97,18.44,46,393,229.97
8,6043,4836,1207,4821,1354,0.28085,328,352,360,54,0,0,0,0,229.97,14.83,42,393,229.97
9,6022,4817,1205,4807,1327,0.27606,320,352,360,54,0,0,0,0,229.97,18.10,46,393,229.97
10,6017,4813,1204,4798,1454,0.30304,328,352,368,56,0,0,0,0,229.97,16.49,46,393,229.97
11,6063,4850,1213,4831,1313,0.27179,320,352,360,56,0,0,0,0,229.98,13.13,41,393,229.98
12,6044,4837,1207,4821,1124,0.23315,328,352,368,56,0,0,0,0,229.97,11.98,37,393,229.97
13,6033,4825,1208,4814,1127,0.23411,336,352,360,55,0,0,0,0,229.97,12.18,36,393,229.97
14,6031,4825,1206,4816,1372,0.28488,328,352,368,58,0,0,0,0,229.97,18.03,39,393,229.97
15,6022,4819,1203,4798,1464,0.30513,328,352,368,61,0,0,0,0,229.97,18.89,43,393,229.97
16,6045,4836,1209,4821,1347,0.27940,320,352,360,56,0,0,0,0,229.97,15.83,49,393,229.97
17,6018,4815,1203,5030,1271,0.25268,328,352,368,70,1,0,1,0,229.97,17.58,50,394,229.97
18,6005,4805,1200,6885,1451,0.21075,320,344,368,3264,1,1,0,0,229.96,12.27,49,416,229.96
19,6033,4828,1205,8509,2322,0.27289,320,344,368,2560,1,0,0,0,229.97,10.18,44,416,229.97
20,6036,4825,1211,8204,2013,0.24537,320,344,360,1088,1,0,0,0,229.97,15.39,52,416,229.97
21,6040,4831,1209,8568,2455,0.28653,320,336,352,1760,1,0,0,0,229.96,18.45,51,416,229.96
22,6027,4826,1201,8250,2046,0.24800,320,344,360,1888,1,1,0,0,229.97,25.00,64,446,229.97
23,6020,4812,1208,8505,2196,0.25820,320,344,360,1376,1,0,0,0,229.97,24.46,67,446,229.97
24,6049,4839,1210,7920,1430,0.18056,320,344,360,2752,1,1,0,0,229.97,19.92,68,449,229.97
25,6019,4816,1203,8104,1694,0.20903,320,352,360,66,1,0,0,0,229.97,20.90,64,449,229.97
26,6016,4816,1200,8051,1612,0.20022,320,352,360,61,1,0,0,0,229.97,20.02,49,449,229.97
27,6040,4829,1211,7787,1353,0.17375,320,352,368,1408,1,1,0,0,229.97,19.14,50,452,229.97
28,6063,4850,1213,8163,1767,0.21646,320,344,360,132,1,0,0,0,229.97,18.36,47,452,229.97
29,6033,4826,1207,8302,2078,0.25030,320,344,416,86,1,0,0,0,229.97,17.61,53,452,229.97
30,6038,4831,1207,8785,2436,0.27729,320,344,360,944,1,0,0,0,229.98,16.50,54,452,229.98
