t,type,level,bytes
-29.845,flush_begin,0,0
-29.828,flush_end,0,6638552
-29.819,flush_begin,0,0
-29.803,flush_end,0,6638554
-29.795,flush_begin,0,0
-29.778,flush_end,0,6638553
-29.770,flush_begin,0,0
-29.753,flush_end,0,6638553
-29.745,flush_begin,0,0
-29.727,flush_end,0,6638553
-29.720,flush_begin,0,0
-29.701,flush_end,0,6638554
-29.694,flush_begin,0,0
-29.676,flush_end,0,6638552
-29.668,flush_begin,0,0
-29.649,flush_end,0,6638554
-29.641,flush_begin,0,0
-29.623,flush_end,0,6638554
-29.615,flush_begin,0,0
-29.596,flush_end,0,6638552
-29.588,flush_begin,0,0
-29.570,flush_end,0,6638553
-29.562,flush_begin,0,0
-29.543,flush_end,0,6638553
-29.535,flush_begin,0,0
-29.517,flush_end,0,6638554
-29.509,flush_begin,0,0
-29.489,flush_end,0,6638552
-29.481,flush_begin,0,0
-29.463,flush_end,0,6638554
-29.456,flush_begin,0,0
-29.438,flush_end,0,6638554
-29.420,trivial_move,3,6638552
-29.420,flush_begin,0,0
-29.402,flush_end,0,6638552
-29.384,trivial_move,3,6638554
-29.384,flush_begin,0,0
-29.365,flush_end,0,6638555
-29.347,trivial_move,3,6638553
-29.347,flush_begin,0,0
-29.328,flush_end,0,6638553
-29.311,trivial_move,3,6638553
-29.311,flush_begin,0,0
-29.292,flush_end,0,6638553
-29.275,trivial_move,3,6638553
-29.275,flush_begin,0,0
-29.256,flush_end,0,6638552
-29.237,trivial_move,3,6638554
-29.237,flush_begin,0,0
-29.218,flush_end,0,6638554
-29.203,trivial_move,3,6638552
-29.203,flush_begin,0,0
-29.184,flush_end,0,6638554
-29.165,trivial_move,3,6638554
-29.165,flush_begin,0,0
-29.146,flush_end,0,6638552
-29.129,trivial_move,3,6638554
-29.129,flush_begin,0,0
-29.110,flush_end,0,6638554
-29.090,trivial_move,3,6638552
-29.090,flush_begin,0,0
-29.071,flush_end,0,6638553
-29.053,trivial_move,3,6638553
-29.053,flush_begin,0,0
-29.033,flush_end,0,6638553
-29.015,trivial_move,3,6638553
-29.015,flush_begin,0,0
-28.996,flush_end,0,6638553
-28.978,trivial_move,3,6638554
-28.978,flush_begin,0,0
-28.958,flush_end,0,6638554
-28.941,trivial_move,3,6638552
-28.941,flush_begin,0,0
-28.922,flush_end,0,6638553
-28.904,trivial_move,3,6638554
-28.904,flush_begin,0,0
-28.885,flush_end,0,6638552
-28.868,trivial_move,3,6638554
-28.868,flush_begin,0,0
-28.849,flush_end,0,6638554
-28.830,trivial_move,3,6638552
-28.830,flush_begin,0,0
-28.811,flush_end,0,6638553
-28.792,trivial_move,3,6638555
-28.792,flush_begin,0,0
-28.773,flush_end,0,6638553
-28.754,trivial_move,3,6638553
-28.754,flush_begin,0,0
-28.734,flush_end,0,6638553
-28.718,trivial_move,3,6638553
-28.718,flush_begin,0,0
-28.699,flush_end,0,6638555
-28.681,trivial_move,3,6638552
-28.681,flush_begin,0,0
-28.662,flush_end,0,6638553
-28.644,trivial_move,3,6638554
-28.644,flush_begin,0,0
-28.624,flush_end,0,6638553
-28.605,trivial_move,3,6638554
-28.605,flush_begin,0,0
-28.586,flush_end,0,6638554
-28.566,trivial_move,3,6638552
-28.566,flush_begin,0,0
-28.545,flush_end,0,6638552
-28.528,trivial_move,3,6638554
-28.528,flush_begin,0,0
-28.508,flush_end,0,6638553
-28.490,trivial_move,3,6638553
-28.490,flush_begin,0,0
-28.470,flush_end,0,6638553
-28.454,trivial_move,3,6638553
-28.454,flush_begin,0,0
-28.435,flush_end,0,6638554
-28.416,trivial_move,3,6638553
-28.416,flush_begin,0,0
-28.396,flush_end,0,6638553
-28.377,trivial_move,3,6638554
-28.377,flush_begin,0,0
-28.357,flush_end,0,6638553
-28.339,trivial_move,3,6638553
-28.339,flush_begin,0,0
-28.319,flush_end,0,6638554
-28.301,trivial_move,3,6638552
-28.301,flush_begin,0,0
-28.280,flush_end,0,6638552
-28.262,trivial_move,3,6638554
-28.262,flush_begin,0,0
-28.242,flush_end,0,6638554
-28.224,trivial_move,3,6638553
-28.224,flush_begin,0,0
-28.203,flush_end,0,6638553
-28.185,trivial_move,3,6638553
-28.185,flush_begin,0,0
-28.165,flush_end,0,6638553
-28.146,trivial_move,3,6638553
-28.146,flush_begin,0,0
-28.127,flush_end,0,6638553
-28.109,trivial_move,3,6638555
-28.109,flush_begin,0,0
-28.090,flush_end,0,6638553
-28.073,trivial_move,3,6638553
-28.073,flush_begin,0,0
-28.054,flush_end,0,6638555
-28.036,trivial_move,3,6638553
-28.036,flush_begin,0,0
-28.017,flush_end,0,6638552
-27.999,trivial_move,3,6638554
-27.999,flush_begin,0,0
-27.981,flush_end,0,6638554
-27.963,trivial_move,3,6638552
-27.963,flush_begin,0,0
-27.944,flush_end,0,6638553
-27.926,trivial_move,3,6638553
-27.926,flush_begin,0,0
-27.907,flush_end,0,6638553
-27.889,trivial_move,3,6638553
-27.889,flush_begin,0,0
-27.869,flush_end,0,6638554
-27.851,trivial_move,3,6638554
-27.851,flush_begin,0,0
-27.832,flush_end,0,6638553
-27.815,trivial_move,3,6638553
-27.815,flush_begin,0,0
-27.796,flush_end,0,6638553
-27.779,trivial_move,3,6638553
-27.779,flush_begin,0,0
-27.760,flush_end,0,6638552
-27.741,trivial_move,3,6638554
-27.741,flush_begin,0,0
-27.722,flush_end,0,6638554
-27.704,trivial_move,3,6638552
-27.704,flush_begin,0,0
-27.685,flush_end,0,6638553
-27.667,trivial_move,3,6638554
-27.667,flush_begin,0,0
-27.648,flush_end,0,6638553
-27.630,trivial_move,3,6638553
-27.630,flush_begin,0,0
-27.610,flush_end,0,6638554
-27.592,trivial_move,3,6638553
-27.592,flush_begin,0,0
-27.573,flush_end,0,6638553
-27.555,trivial_move,3,6638553
-27.555,flush_begin,0,0
-27.535,flush_end,0,6638553
-27.518,trivial_move,3,6638553
-27.518,flush_begin,0,0
-27.499,flush_end,0,6638553
-27.481,trivial_move,3,6638555
-27.481,flush_begin,0,0
-27.462,flush_end,0,6638554
-27.445,trivial_move,3,6638552
-27.445,flush_begin,0,0
-27.426,flush_end,0,6638552
-27.407,trivial_move,3,6638554
-27.407,flush_begin,0,0
-27.388,flush_end,0,6638554
-27.370,trivial_move,3,6638553
-27.370,flush_begin,0,0
-27.351,flush_end,0,6638554
-27.331,trivial_move,3,6638553
-27.331,flush_begin,0,0
-27.311,flush_end,0,6638553
-27.292,trivial_move,3,6638554
-27.292,flush_begin,0,0
-27.271,flush_end,0,6638553
-27.254,trivial_move,3,6638553
-27.254,flush_begin,0,0
-27.235,flush_end,0,6638553
-27.216,trivial_move,3,6638553
-27.216,flush_begin,0,0
-27.195,flush_end,0,6638554
-27.176,trivial_move,3,6638552
-27.176,flush_begin,0,0
-27.156,flush_end,0,6638552
-27.136,trivial_move,3,6638554
-27.136,flush_begin,0,0
-27.116,flush_end,0,6638554
-27.098,trivial_move,3,6638553
-27.098,flush_begin,0,0
-27.078,flush_end,0,6638554
-27.059,trivial_move,3,6638553
-27.059,flush_begin,0,0
-27.039,flush_end,0,6638552
-27.020,trivial_move,3,6638554
-27.020,flush_begin,0,0
-27.000,flush_end,0,6638553
-26.983,trivial_move,3,6638553
-26.983,flush_begin,0,0
-26.963,flush_end,0,6638553
-26.946,trivial_move,3,6638553
-26.946,flush_begin,0,0
-26.925,flush_end,0,6638554
-26.907,trivial_move,3,6638553
-26.907,flush_begin,0,0
-26.887,flush_end,0,6638552
-26.867,trivial_move,3,6638554
-26.867,flush_begin,0,0
-26.847,flush_end,0,6638554
-26.829,trivial_move,3,6638552
