t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6029,4822,1207,4818,1550,0.32171,328,352,368,60,0,0,0,0,229.98,23.85,78,582,229.98
2,6056,4844,1212,4831,1448,0.29973,328,352,368,55,0,0,0,0,229.98,21.79,69,582,229.98
3,6065,4852,1213,4831,1414,0.29269,328,352,368,61,0,0,0,0,229.98,22.89,74,582,229.98
4,6035,4829,1206,4814,1357,0.28189,320,352,360,56,0,0,0,0,229.97,24.20,72,582,229.97
5,6029,4824,1205,4807,1449,0.30144,328,352,368,55,0,0,0,0,229.98,18.88,71,582,229.98
6,6028,4822,1206,4807,1560,0.32453,320,352,360,54,0,0,0,0,229.98,22.95,80,582,229.98
7,6015,4813,1202,4801,1332,0.27744,320,352,360,57,0,0,0,0,229.98,20.21,67,582,229.98
8,6046,4835,1211,4821,1341,0.27816,328,352,360,59,0,0,0,0,229.98,17.68,62,582,229.98
9,6041,4840,1201,4828,1307,0.27071,336,352,368,56,0,0,0,0,229.98,18.66,61,582,229.98
10,6057,4839,1218,4822,1431,0.29676,328,352,368,60,0,0,0,0,229.97,17.16,60,582,229.97
11,6020,4818,1202,4802,1329,0.27676,328,352,368,58,0,0,0,0,229.98,15.70,54,582,229.98
12,6036,4829,1207,4817,1141,0.23687,328,352,360,55,0,0,0,0,229.98,16.47,57,582,229.98
13,6033,4824,1209,4816,1175,0.24398,328,352,368,59,0,0,0,0,229.98,17.81,56,582,229.98
14,6042,4833,1209,4820,1364,0.28299,328,352,360,54,0,0,0,0,229.98,21.30,57,582,229.98
15,6010,4808,1202,4787,1516,0.31669,320,352,368,59,0,0,0,0,229.98,22.09,73,582,229.98
16,6031,4825,1206,4806,1366,0.28423,320,352,360,57,0,0,0,0,229.97,19.55,77,582,229.97
17,6044,4835,1209,4817,1305,0.27092,328,352,368,56,0,0,0,0,229.97,21.00,73,582,229.97
18,6013,4810,1203,5866,2447,0.41715,320,344,360,3456,1,0,1,0,229.97,12.40,57,583,229.97
19,6029,4823,1206,6444,2104,0.32651,320,344,368,2816,1,1,0,0,229.97,11.88,68,635,229.97
20,6063,4851,1212,6421,1654,0.25759,320,344,360,57,1,0,0,0,229.97,16.37,70,635,229.97
21,6053,4843,1210,6456,1760,0.27261,320,352,360,50,1,0,0,0,229.97,18.71,70,635,229.97
22,6044,4835,1209,6520,2057,0.31549,320,352,360,54,1,0,0,0,229.97,23.36,77,635,229.97
23,6062,4850,1212,6360,1707,0.26840,320,344,360,40,1,0,0,0,229.97,23.33,87,635,229.97
24,6048,4838,1210,6942,1897,0.27326,320,344,360,57,1,0,0,0,229.97,16.43,68,635,229.97
25,6062,4849,1213,6782,2000,0.29490,320,336,360,528,1,1,0,0,220.37,20.36,76,634,220.38
26,6007,4807,1200,6138,1437,0.23412,320,336,360,41,1,0,0,0,229.98,26.92,82,634,229.97
27,6060,4849,1211,6670,1459,0.21874,320,344,360,56,1,0,0,0,229.97,25.28,67,634,229.97
28,6053,4840,1213,6613,1958,0.29608,320,344,360,57,1,0,0,0,229.97,28.39,71,634,229.97
29,6054,4843,1211,6241,1719,0.27544,320,344,360,68,1,0,0,0,229.97,28.05,80,634,229.97
30,6024,4819,1205,6849,1762,0.25726,320,336,352,50,1,0,0,0,229.97,27.36,71,634,229.97
31,6029,4824,1205,6077,1617,0.26609,320,344,360,51,1,0,0,0,229.97,20.04,67,634,229.97
32,6031,4829,1202,6734,1607,0.23864,320,352,360,472,1,1,0,0,229.97,22.18,85,631,229.97
33,6064,4848,1216,6331,1319,0.20834,320,352,360,52,1,0,0,0,229.97,24.20,79,631,229.97
34,6006,4804,1202,6407,1349,0.21055,320,344,360,52,1,0,0,0,229.97,22.25,66,631,229.97
35,6063,4850,1213,6419,1692,0.26359,320,344,352,47,1,0,0,0,229.97,20.41,64,631,229.97
36,6012,4816,1196,6543,1525,0.23307,320,352,360,59,1,0,0,0,229.97,18.45,65,631,229.97
37,6061,4844,1217,6286,1640,0.26090,320,352,360,51,1,0,0,0,229.97,18.48,67,631,229.97
38,6023,4817,1206,6528,1693,0.25934,320,344,360,1472,1,1,0,0,227.40,19.22,64,627,227.40
39,6039,4833,1206,6126,1793,0.29269,320,344,360,52,1,0,0,0,229.97,20.67,62,627,229.97
40,6040,4830,1210,6895,1920,0.27846,320,352,360,52,1,0,0,0,229.97,16.44,59,627,229.97
41,6065,4854,1211,5943,1719,0.28925,320,352,360,54,1,0,0,0,229.97,15.49,52,627,229.97
42,6066,4853,1213,6951,2258,0.32485,320,344,360,54,1,0,0,0,229.97,16.12,53,627,229.97
43,6064,4849,1215,6940,2516,0.36254,320,344,360,58,1,0,0,0,229.97,19.02,57,627,229.97
44,6044,4836,1208,6047,1946,0.32181,320,352,360,208,1,1,0,0,220.93,19.33,58,623,220.93
45,6062,4849,1213,6621,2406,0.36339,320,344,352,45,1,0,0,0,229.97,23.53,77,623,229.97
46,6043,4834,1209,6657,1584,0.23795,320,352,360,60,1,0,0,0,229.97,27.59,79,623,229.97
47,6064,4852,1212,6179,1254,0.20295,320,352,368,46,1,0,0,0,229.97,25.12,80,623,229.97
48,6064,4853,1211,6955,1691,0.24313,320,344,360,60,1,0,0,0,229.97,23.46,80,623,229.97
49,6034,4825,1209,6222,1516,0.24365,328,352,368,68,1,0,0,0,229.97,17.10,67,623,229.97
50,6011,4809,1202,6553,1292,0.19716,320,344,360,43,1,0,0,0,229.97,16.06,58,623,229.97
51,6064,4853,1211,6317,1403,0.22210,320,344,360,656,1,1,0,0,229.96,13.09,51,623,229.96
52,6008,4805,1203,6325,1653,0.26134,312,344,352,56,1,0,0,0,229.97,14.78,60,623,229.97
53,6042,4836,1206,6920,1628,0.23526,320,344,360,45,1,0,0,0,229.97,15.42,52,623,229.97
54,6031,4822,1209,5879,1601,0.27233,320,352,360,72,1,0,0,0,229.97,10.65,41,623,229.97
55,6034,4828,1206,6917,2089,0.30201,320,336,352,50,1,0,0,0,229.97,10.31,46,623,229.97
56,6031,4827,1204,6438,1862,0.28922,320,352,360,58,1,0,0,0,229.97,10.28,43,623,229.97
57,6007,4803,1204,6348,2040,0.32136,328,352,360,52,1,0,0,0,229.97,11.49,42,623,229.97
58,6033,4825,1208,6736,1504,0.22328,312,328,344,912,1,1,0,0,221.31,16.76,51,623,221.31
59,6008,4809,1199,6306,1748,0.27720,320,336,352,51,1,0,0,0,229.97,22.55,59,623,229.97
60,6063,4849,1214,6466,1330,0.20569,320,352,360,51,1,0,0,0,229.97,25.76,72,623,229.97
61,6029,4826,1203,6435,1788,0.27786,328,352,368,59,1,0,0,0,229.97,28.58,74,623,229.97
62,6064,4851,1213,6384,2106,0.32989,320,352,360,54,1,0,0,0,229.97,27.13,77,623,229.97
63,6030,4829,1201,6912,1750,0.25318,312,344,360,59,1,0,0,0,229.97,27.32,92,623,229.97
64,6062,4842,1220,5811,1565,0.26932,320,344,360,48,1,0,0,0,229.98,25.85,77,623,229.98
65,6014,4811,1203,6549,1621,0.24752,312,344,360,3200,1,1,1,0,227.66,20.18,75,627,227.66
66,6063,4850,1213,6906,2217,0.32103,320,336,352,3264,1,0,0,0,229.97,18.60,57,627,229.97
67,6046,4836,1210,6275,1396,0.22247,320,344,368,59,1,1,0,0,229.96,18.11,83,633,229.96
68,6038,4835,1203,6773,1895,0.27979,320,344,392,49,1,0,0,0,229.95,16.49,59,633,229.95
69,6064,4849,1215,6128,1388,0.22650,320,352,376,49,1,0,0,0,229.96,20.87,66,633,229.96
70,6018,4816,1202,6508,1521,0.23371,328,352,368,56,1,0,0,0,229.96,19.92,66,633,229.96
71,6037,4829,1208,6330,1723,0.27220,328,352,368,52,1,0,0,0,229.96,19.98,60,633,229.96
72,6061,4847,1214,6809,1884,0.27669,320,352,360,56,1,0,0,0,229.97,18.44,76,633,229.97
73,6036,4828,1208,6151,1909,0.31036,320,352,360,57,1,0,0,0,229.97,17.23,67,633,229.97
74,6060,4848,1212,6752,2097,0.31057,320,344,360,1056,1,1,0,0,229.61,21.41,69,632,229.61
75,6032,4828,1204,6662,1450,0.21765,312,328,344,28,1,0,0,0,229.97,20.78,70,632,229.97
76,6027,4819,1208,6222,1365,0.21938,320,344,360,52,1,0,0,0,229.97,17.34,58,632,229.97
77,6020,4816,1204,7034,2570,0.36537,312,328,344,33,1,0,0,0,229.98,14.07,55,632,229.98
78,6006,4806,1200,6469,1774,0.27423,320,352,360,52,1,0,0,0,229.98,14.18,42,632,229.98
79,6064,4854,1210,6961,1973,0.28344,320,344,360,55,1,0,0,0,229.97,15.73,47,632,229.97
80,6038,4829,1209,6250,1750,0.28000,320,344,360,1632,1,1,0,0,228.96,22.44,50,631,228.96
81,6036,4832,1204,6565,1874,0.28545,328,352,360,55,1,0,0,0,229.98,21.60,54,631,229.98
82,6041,4828,1213,6829,1463,0.21423,312,328,352,41,1,0,0,0,229.98,22.81,64,631,229.98
83,6030,4827,1203,6000,1168,0.19467,320,336,352,35,1,0,0,0,229.98,22.21,65,631,229.98
84,6034,4827,1207,6838,1190,0.17403,320,344,360,224,1,0,0,0,229.98,19.10,68,631,229.98
85,6018,4811,1207,5988,1284,0.21443,320,344,360,48,1,0,0,0,229.98,16.45,61,631,229.98
86,6063,4853,1210,6780,1263,0.18628,320,344,360,2112,1,1,0,0,229.92,19.31,70,630,229.92
87,6025,4818,1207,5920,1382,0.23345,320,352,360,63,1,0,0,0,229.97,18.37,61,630,229.97
88,6022,4817,1205,6828,1433,0.20987,320,352,360,61,1,0,0,0,229.98,19.54,60,630,229.98
89,6036,4828,1208,5921,1494,0.25232,320,352,360,54,1,0,0,0,229.97,18.15,61,630,229.97
90,6006,4805,1201,6923,2236,0.32298,320,344,360,60,1,0,0,0,229.97,18.29,66,630,229.97
91,6054,4844,1210,6354,1491,0.23466,320,352,368,59,1,0,0,0,229.97,19.50,67,630,229.97
92,6034,4828,1206,6477,1567,0.24193,320,336,352,40,1,0,0,0,229.97,19.28,68,630,229.97
93,6047,4839,1208,6203,1601,0.25810,320,336,352,68,1,1,0,0,229.97,20.36,69,627,229.97
94,6063,4848,1215,6957,2016,0.28978,320,352,360,53,1,0,0,0,229.97,18.75,71,627,229.97
95,6053,4856,1197,6092,1598,0.26231,320,352,368,76,1,0,0,0,229.97,15.57,66,627,229.97
96,6050,4830,1220,6770,2223,0.32836,320,352,368,54,1,0,0,0,229.97,18.58,63,627,229.97
97,6045,4833,1212,6855,1675,0.24435,320,352,360,60,1,0,0,0,229.96,20.07,71,627,229.96
98,6065,4852,1213,6018,1696,0.28182,320,352,368,54,1,0,0,0,229.97,20.44,68,627,229.97
99,6057,4845,1212,6769,1511,0.22322,320,344,360,48,1,0,0,0,229.97,18.38,72,627,229.97
