t,type,level,bytes
-29.913,flush_begin,0,0
-29.896,flush_end,0,6638552
-29.881,flush_begin,0,0
-29.864,flush_end,0,6638554
-29.854,flush_begin,0,0
-29.838,flush_end,0,6638553
-29.828,flush_begin,0,0
-29.812,flush_end,0,6638553
-29.801,flush_begin,0,0
-29.786,flush_end,0,6638553
-29.776,flush_begin,0,0
-29.760,flush_end,0,6638554
-29.750,flush_begin,0,0
-29.734,flush_end,0,6638552
-29.724,flush_begin,0,0
-29.708,flush_end,0,6638554
-29.698,flush_begin,0,0
-29.682,flush_end,0,6638554
-29.672,flush_begin,0,0
-29.655,flush_end,0,6638552
-29.646,flush_begin,0,0
-29.630,flush_end,0,6638553
-29.620,flush_begin,0,0
-29.604,flush_end,0,6638553
-29.594,flush_begin,0,0
-29.577,flush_end,0,6638554
-29.568,flush_begin,0,0
-29.552,flush_end,0,6638552
-29.542,flush_begin,0,0
-29.525,flush_end,0,6638554
-29.515,flush_begin,0,0
-29.498,flush_end,0,6638554
-29.482,trivial_move,3,6638552
-29.481,flush_begin,0,0
-29.465,flush_end,0,6638552
-29.450,trivial_move,3,6638554
-29.449,flush_begin,0,0
-29.433,flush_end,0,6638555
-29.415,trivial_move,3,6638553
-29.414,flush_begin,0,0
-29.398,flush_end,0,6638553
-29.382,trivial_move,3,6638553
-29.381,flush_begin,0,0
-29.364,flush_end,0,6638553
-29.348,trivial_move,3,6638553
-29.347,flush_begin,0,0
-29.331,flush_end,0,6638552
-29.315,trivial_move,3,6638554
-29.314,flush_begin,0,0
-29.296,flush_end,0,6638554
-29.280,trivial_move,3,6638552
-29.279,flush_begin,0,0
-29.263,flush_end,0,6638554
-29.245,trivial_move,3,6638554
-29.245,flush_begin,0,0
-29.226,flush_end,0,6638552
-29.210,trivial_move,3,6638554
-29.209,flush_begin,0,0
-29.191,flush_end,0,6638554
-29.175,trivial_move,3,6638552
-29.174,flush_begin,0,0
-29.157,flush_end,0,6638553
-29.141,trivial_move,3,6638553
-29.139,flush_begin,0,0
-29.122,flush_end,0,6638553
-29.106,trivial_move,3,6638553
-29.105,flush_begin,0,0
-29.087,flush_end,0,6638553
-29.071,trivial_move,3,6638554
-29.069,flush_begin,0,0
-29.052,flush_end,0,6638554
-29.036,trivial_move,3,6638552
-29.035,flush_begin,0,0
-29.018,flush_end,0,6638553
-29.002,trivial_move,3,6638554
-29.000,flush_begin,0,0
-28.982,flush_end,0,6638552
-28.967,trivial_move,3,6638554
-28.966,flush_begin,0,0
-28.949,flush_end,0,6638554
-28.933,trivial_move,3,6638552
-28.932,flush_begin,0,0
-28.914,flush_end,0,6638553
-28.898,trivial_move,3,6638555
-28.897,flush_begin,0,0
-28.879,flush_end,0,6638553
-28.863,trivial_move,3,6638553
-28.862,flush_begin,0,0
-28.844,flush_end,0,6638553
-28.828,trivial_move,3,6638553
-28.827,flush_begin,0,0
-28.810,flush_end,0,6638555
-28.794,trivial_move,3,6638552
-28.793,flush_begin,0,0
-28.775,flush_end,0,6638553
-28.760,trivial_move,3,6638554
-28.759,flush_begin,0,0
-28.742,flush_end,0,6638553
-28.725,trivial_move,3,6638554
-28.724,flush_begin,0,0
-28.707,flush_end,0,6638554
-28.691,trivial_move,3,6638552
-28.690,flush_begin,0,0
-28.673,flush_end,0,6638552
-28.657,trivial_move,3,6638554
-28.656,flush_begin,0,0
-28.639,flush_end,0,6638553
-28.623,trivial_move,3,6638553
-28.622,flush_begin,0,0
-28.605,flush_end,0,6638553
-28.589,trivial_move,3,6638553
-28.588,flush_begin,0,0
-28.571,flush_end,0,6638554
-28.555,trivial_move,3,6638553
-28.554,flush_begin,0,0
-28.537,flush_end,0,6638553
-28.522,trivial_move,3,6638554
-28.521,flush_begin,0,0
-28.504,flush_end,0,6638553
-28.488,trivial_move,3,6638553
-28.486,flush_begin,0,0
-28.470,flush_end,0,6638554
-28.454,trivial_move,3,6638552
-28.453,flush_begin,0,0
-28.436,flush_end,0,6638552
-28.421,trivial_move,3,6638554
-28.419,flush_begin,0,0
-28.403,flush_end,0,6638554
-28.387,trivial_move,3,6638553
-28.385,flush_begin,0,0
-28.367,flush_end,0,6638553
-28.351,trivial_move,3,6638553
-28.350,flush_begin,0,0
-28.333,flush_end,0,6638553
-28.317,trivial_move,3,6638553
-28.315,flush_begin,0,0
-28.297,flush_end,0,6638553
-28.281,trivial_move,3,6638555
