t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8010,6506,1504,6384,2922,0.45771,264,296,296,55,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
2,8042,6534,1508,6392,3380,0.52879,16,296,296,56,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
3,8013,6511,1502,6299,3789,0.60152,14,296,304,57,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0
4,8023,6519,1504,6338,3621,0.57132,13,288,296,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
5,8033,6527,1506,6339,3743,0.59047,15,296,296,60,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0
6,8024,6522,1502,6372,3552,0.55744,15,288,296,56,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
7,8013,6510,1503,6352,3541,0.55746,15,296,304,54,0,0,0,0,63.95,0.13,1,86,63.95,0,0,0,0,0,0
8,8043,6537,1506,7599,3500,0.46059,16,288,296,2496,1,0,1,0,63.96,0.01,1,87,63.96,0,0,0,0,0,0
9,8023,6514,1509,12215,5622,0.46025,14,272,288,1952,1,1,0,0,63.97,0.15,6,97,63.97,0,0,0,0,0,0
10,8004,6508,1496,12403,5579,0.44981,18,264,280,2304,1,0,0,0,63.97,0.21,6,97,63.97,0,0,0,0,0,0
11,8006,6500,1506,11091,3019,0.27220,264,272,288,2880,1,1,0,0,63.97,0.11,2,100,63.97,0,0,0,0,0,0
12,8010,6509,1501,11058,3312,0.29951,264,272,288,880,1,0,0,0,63.97,0.07,1,100,63.97,0,0,0,0,0,0
13,8007,6505,1502,10531,3276,0.31108,264,272,288,1664,1,1,0,0,63.97,0.18,4,103,63.97,0,0,0,0,0,0
14,8007,6506,1501,11224,3870,0.34480,256,272,288,456,1,0,0,0,63.97,0.02,1,103,63.97,0,0,0,0,0,0
15,8008,6508,1500,10413,2885,0.27706,264,272,288,1120,1,0,0,0,63.97,0.00,0,103,63.97,0,0,0,0,0,0
16,8005,6502,1503,11069,3459,0.31249,264,272,288,2624,1,1,0,0,63.97,0.05,1,106,63.97,0,0,0,0,0,0
17,8003,6502,1501,10937,3564,0.32587,264,272,288,1056,1,0,0,0,63.97,0.00,0,106,63.97,0,0,0,0,0,0
18,8006,6506,1500,10556,3237,0.30665,264,272,288,1792,1,1,0,0,63.97,0.19,4,109,63.97,0,0,0,0,0,0
19,8004,6502,1502,10548,3025,0.28678,264,272,288,42,1,0,0,0,63.97,0.08,3,109,63.97,0,0,0,0,0,0
20,8010,6508,1502,10944,3339,0.30510,264,272,296,2304,1,0,0,0,63.97,0.10,3,109,63.97,0,0,0,0,0,0
21,8006,6506,1500,10132,2792,0.27556,264,272,296,1600,1,1,0,0,63.97,0.05,3,112,63.97,0,0,0,0,0,0
22,8006,6504,1502,10134,2814,0.27768,264,272,288,320,1,0,0,0,63.96,0.25,5,112,63.96,0,0,0,0,0,0
23,8005,6505,1500,10834,3409,0.31466,264,272,288,78,1,0,0,0,63.96,0.03,1,112,63.96,0,0,0,0,0,0
24,8007,6505,1502,11223,3521,0.31373,264,272,288,2752,1,1,0,0,63.96,0.16,4,115,63.96,0,0,0,0,0,0
25,8004,6503,1501,10905,2924,0.26813,264,272,288,200,1,0,0,0,63.96,0.04,2,115,63.96,0,0,0,0,0,0
26,8005,6505,1500,10100,2254,0.22317,264,272,288,2176,1,1,0,0,63.96,0.38,7,118,63.96,0,0,0,0,0,0
27,8008,6508,1500,10582,2716,0.25666,264,272,288,1408,1,0,0,0,63.96,0.34,4,118,63.96,0,0,0,0,0,0
28,8003,6501,1502,11225,3862,0.34405,256,264,272,592,1,0,0,0,63.96,0.31,5,118,63.96,0,0,0,0,0,0
29,8008,6506,1502,10831,3923,0.36220,256,272,280,2816,1,1,0,0,63.96,0.35,5,115,63.96,0,0,0,0,0,0
30,8004,6505,1499,10326,3241,0.31387,256,272,288,280,1,0,0,0,63.96,0.06,1,115,63.96,0,0,0,0,0,0
31,8007,6506,1501,10856,3868,0.35630,256,272,280,2304,1,1,0,0,63.96,0.06,1,112,63.96,0,0,0,0,0,0
32,8005,6503,1502,11090,4139,0.37322,256,272,288,1056,1,0,0,0,63.96,0.08,3,112,63.96,0,0,0,0,0,0
33,8006,6504,1502,10049,3274,0.32580,9,272,280,26,1,0,0,0,63.96,0.09,2,112,63.96,0,0,0,0,0,0
34,8003,6502,1501,9481,3610,0.38076,9,272,272,2112,0,2,0,0,63.96,0.16,2,114,63.96,0,0,0,0,0,0
35,8047,6541,1506,6388,2912,0.45585,264,288,296,58,0,0,0,0,63.95,0.11,2,114,63.95,0,0,0,0,0,0
36,8006,6502,1504,6358,3104,0.48820,232,288,296,59,0,0,0,0,63.96,0.00,0,114,63.96,0,0,0,0,0,0
37,8012,6511,1501,6340,3538,0.55804,15,296,296,64,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
38,8009,6507,1502,6328,3528,0.55752,15,288,296,63,0,0,0,0,63.96,0.17,3,114,63.95,0,0,0,0,0,0
39,8043,6535,1508,6365,3125,0.49097,28,296,304,55,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
40,8050,6540,1510,6414,2719,0.42392,256,288,296,42,0,0,0,0,63.95,0.20,4,114,63.95,0,0,0,0,0,0
41,8042,6534,1508,6395,2510,0.39249,264,288,296,54,0,0,0,0,63.95,0.02,1,114,63.95,0,0,0,0,0,0
42,8012,6514,1498,6377,2425,0.38027,264,296,296,53,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
43,8045,6533,1512,6428,2465,0.38348,256,288,296,53,0,0,0,0,63.95,0.04,1,114,63.95,0,0,0,0,0,0
44,8043,6535,1508,6450,2201,0.34124,264,296,304,52,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
45,8026,6521,1505,6438,2652,0.41193,264,296,312,52,0,0,0,0,63.95,0.04,1,114,63.95,0,0,0,0,0,0
46,8016,6513,1503,9577,3548,0.37047,256,280,296,3008,1,1,1,0,63.96,0.11,6,126,63.96,0,0,0,0,0,0
47,8008,6507,1501,11335,3829,0.33780,256,272,288,880,1,0,0,0,63.97,0.02,3,126,63.97,0,0,0,0,0,0
48,8068,6554,1514,11338,3805,0.33560,256,272,288,2624,1,1,0,0,63.97,0.59,8,125,63.97,0,0,0,0,0,0
49,8008,6507,1501,10395,2332,0.22434,264,272,288,544,1,0,0,0,63.97,0.02,1,125,63.97,0,0,0,0,0,0
50,8004,6504,1500,10722,2839,0.26478,264,272,288,264,1,0,0,0,63.97,0.00,1,125,63.97,0,0,0,0,0,0
51,8004,6503,1501,11689,4268,0.36513,256,264,288,2752,1,1,0,0,63.97,0.05,2,124,63.97,0,0,0,0,0,0
52,8006,6504,1502,10449,2949,0.28223,264,272,288,168,1,0,0,0,63.97,0.15,3,124,63.97,0,0,0,0,0,0
53,8004,6503,1501,11042,3867,0.35021,256,272,288,1920,1,1,0,0,63.97,0.25,3,123,63.97,0,0,0,0,0,0
54,8007,6506,1501,11466,3890,0.33926,256,272,280,172,1,0,0,0,63.97,0.14,2,123,63.97,0,0,0,0,0,0
55,8006,6509,1497,10788,3615,0.33509,256,272,280,2624,1,1,0,0,63.97,0.32,5,121,63.97,0,0,0,0,0,0
56,8005,6500,1505,11295,4057,0.35919,256,272,280,70,1,0,0,0,63.96,0.41,4,121,63.96,0,0,0,0,0,0
57,8005,6505,1500,11061,4227,0.38215,11,264,272,1440,1,0,0,0,63.97,0.00,0,121,63.97,0,0,0,0,0,0
58,8003,6502,1501,10518,3327,0.31631,256,272,280,1632,1,1,0,0,63.96,0.30,3,120,63.96,0,0,0,0,0,0
59,8018,6514,1504,12148,4817,0.39653,256,264,280,1312,1,0,0,0,63.96,0.26,6,120,63.96,0,0,0,0,0,0
60,8007,6506,1501,10526,2844,0.27019,256,272,280,1920,1,1,0,0,63.97,0.33,6,119,63.97,0,0,0,0,0,0
61,8037,6531,1506,10185,2550,0.25037,264,272,288,51,1,0,0,0,63.96,0.25,4,119,63.96,0,0,0,0,0,0
62,8021,6516,1505,11292,3722,0.32961,256,272,280,2368,1,1,0,0,63.96,0.59,10,118,63.96,0,0,0,0,0,0
63,8027,6525,1502,10394,2597,0.24986,264,272,280,45,1,0,0,0,63.96,0.08,5,118,63.96,0,0,0,0,0,0
64,8016,6511,1505,10692,2799,0.26178,256,264,280,1536,1,0,0,0,63.96,0.18,4,118,63.96,0,0,0,0,0,0
65,8004,6503,1501,10491,2666,0.25412,264,272,280,2496,1,1,0,0,63.96,0.28,7,116,63.96,0,0,0,0,0,0
66,8009,6506,1503,10817,3362,0.31081,264,272,280,102,1,0,0,0,63.96,0.06,1,116,63.96,0,0,0,0,0,0
67,8037,6532,1505,11106,3634,0.32721,256,272,280,1984,1,1,0,0,63.96,0.33,6,115,63.96,0,0,0,0,0,0
68,8006,6503,1503,11399,3947,0.34626,256,264,280,368,1,0,0,0,63.96,0.15,3,115,63.96,0,0,0,0,0,0
69,8004,6505,1499,10100,2899,0.28703,264,272,288,1888,1,1,0,0,63.96,0.39,6,114,63.96,0,0,0,0,0,0
70,8006,6503,1503,10401,3130,0.30093,264,272,280,496,1,0,0,0,63.96,0.05,3,114,63.96,0,0,0,0,0,0
71,8007,6505,1502,10863,3429,0.31566,264,272,280,304,1,0,0,0,63.96,0.03,3,114,63.96,0,0,0,0,0,0
72,8042,6535,1507,7755,2532,0.32650,264,288,296,248,0,1,0,0,63.96,0.29,4,113,63.96,0,0,0,0,0,0
73,8009,6508,1501,6438,2457,0.38164,264,288,304,104,0,0,0,0,63.95,0.34,3,113,63.95,0,0,0,0,0,0
74,8032,6526,1506,6426,2712,0.42204,264,296,304,56,0,0,0,0,63.95,0.05,1,113,63.95,0,0,0,0,0,0
75,8050,6540,1510,6429,2870,0.44641,264,296,304,56,0,0,0,0,63.95,0.07,2,113,63.95,0,0,0,0,0,0
76,8023,6518,1505,6402,2911,0.45470,264,288,296,53,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0
77,8046,6539,1507,6419,3186,0.49634,23,296,296,54,0,0,0,0,63.95,0.18,2,113,63.95,0,0,0,0,0,0
78,8016,6512,1504,6393,3008,0.47051,264,288,296,53,0,0,0,0,63.95,0.06,1,113,63.95,0,0,0,0,0,0
79,8035,6529,1506,6382,3156,0.49452,21,288,296,53,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0
80,8010,6508,1502,6417,2860,0.44569,264,296,304,56,0,0,0,0,63.95,0.17,1,113,63.95,0,0,0,0,0,0
81,8019,6517,1502,6410,2812,0.43869,264,288,296,50,0,0,0,0,63.96,0.08,3,113,63.96,0,0,0,0,0,0
82,8016,6512,1504,6368,2925,0.45933,264,296,304,51,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0
83,8010,6509,1501,7147,3266,0.45697,16,272,288,2176,1,0,1,0,63.96,0.14,1,114,63.96,0,0,0,0,0,0
84,8006,6503,1503,11093,4356,0.39268,256,272,296,2496,1,1,0,0,63.97,0.10,2,123,63.97,0,0,0,0,0,0
85,8034,6529,1505,10314,3654,0.35428,9,272,288,1632,1,0,0,0,63.97,0.06,1,123,63.97,0,0,0,0,0,0
86,8008,6507,1501,10903,4895,0.44896,7,272,280,2016,1,1,0,0,63.97,0.23,5,122,63.97,0,0,0,0,0,0
87,8003,6502,1501,11826,5507,0.46567,7,264,280,2240,1,0,0,0,63.97,0.06,1,122,63.97,0,0,0,0,0,0
88,8008,6507,1501,10408,3604,0.34627,9,272,280,36,1,0,0,0,63.97,0.27,2,122,63.97,0,0,0,0,0,0
