t,type,level,bytes
-29.896,flush_begin,0,0
-29.869,flush_end,0,6638552
-29.858,flush_begin,0,0
-29.833,flush_end,0,6638554
-29.821,flush_begin,0,0
-29.796,flush_end,0,6638553
-29.784,flush_begin,0,0
-29.759,flush_end,0,6638553
-29.747,flush_begin,0,0
-29.722,flush_end,0,6638553
-29.711,flush_begin,0,0
-29.686,flush_end,0,6638554
-29.675,flush_begin,0,0
-29.650,flush_end,0,6638552
-29.640,flush_begin,0,0
-29.617,flush_end,0,6638554
-29.604,flush_begin,0,0
-29.580,flush_end,0,6638554
-29.568,flush_begin,0,0
-29.544,flush_end,0,6638552
-29.533,flush_begin,0,0
-29.509,flush_end,0,6638553
-29.497,flush_begin,0,0
-29.473,flush_end,0,6638553
-29.461,flush_begin,0,0
-29.437,flush_end,0,6638554
-29.426,flush_begin,0,0
-29.401,flush_end,0,6638552
-29.391,flush_begin,0,0
-29.366,flush_end,0,6638554
-29.354,flush_begin,0,0
-29.329,flush_end,0,6638554
-29.314,trivial_move,3,6638552
-29.311,flush_begin,0,0
-29.287,flush_end,0,6638552
-29.272,trivial_move,3,6638554
-29.269,flush_begin,0,0
-29.245,flush_end,0,6638555
-29.229,trivial_move,3,6638553
-29.227,flush_begin,0,0
-29.202,flush_end,0,6638553
-29.186,trivial_move,3,6638553
-29.184,flush_begin,0,0
-29.159,flush_end,0,6638553
-29.143,trivial_move,3,6638553
-29.140,flush_begin,0,0
-29.117,flush_end,0,6638552
-29.101,trivial_move,3,6638554
-29.098,flush_begin,0,0
-29.073,flush_end,0,6638554
-29.057,trivial_move,3,6638552
-29.054,flush_begin,0,0
-29.031,flush_end,0,6638554
-29.015,trivial_move,3,6638554
-29.012,flush_begin,0,0
-28.987,flush_end,0,6638552
-28.971,trivial_move,3,6638554
-28.968,flush_begin,0,0
-28.944,flush_end,0,6638554
-28.928,trivial_move,3,6638552
-28.925,flush_begin,0,0
-28.901,flush_end,0,6638553
-28.886,trivial_move,3,6638553
-28.883,flush_begin,0,0
-28.859,flush_end,0,6638553
-28.843,trivial_move,3,6638553
-28.840,flush_begin,0,0
-28.816,flush_end,0,6638553
-28.800,trivial_move,3,6638554
-28.797,flush_begin,0,0
-28.774,flush_end,0,6638554
-28.758,trivial_move,3,6638552
-28.755,flush_begin,0,0
-28.731,flush_end,0,6638553
-28.715,trivial_move,3,6638554
-28.712,flush_begin,0,0
-28.687,flush_end,0,6638552
-28.671,trivial_move,3,6638554
-28.668,flush_begin,0,0
-28.644,flush_end,0,6638554
-28.627,trivial_move,3,6638552
-28.625,flush_begin,0,0
-28.600,flush_end,0,6638553
-28.584,trivial_move,3,6638555
-28.581,flush_begin,0,0
-28.557,flush_end,0,6638553
-28.541,trivial_move,3,6638553
-28.538,flush_begin,0,0
-28.515,flush_end,0,6638553
-28.499,trivial_move,3,6638553
-28.496,flush_begin,0,0
-28.472,flush_end,0,6638555
-28.457,trivial_move,3,6638552
-28.454,flush_begin,0,0
-28.430,flush_end,0,6638553
-28.414,trivial_move,3,6638554
-28.411,flush_begin,0,0
-28.388,flush_end,0,6638553
-28.372,trivial_move,3,6638554
-28.369,flush_begin,0,0
-28.345,flush_end,0,6638554
-28.329,trivial_move,3,6638552
-28.326,flush_begin,0,0
-28.301,flush_end,0,6638552
-28.286,trivial_move,3,6638554
-28.283,flush_begin,0,0
-28.259,flush_end,0,6638553
-28.243,trivial_move,3,6638553
-28.240,flush_begin,0,0
-28.215,flush_end,0,6638553
-28.199,trivial_move,3,6638553
-28.196,flush_begin,0,0
-28.172,flush_end,0,6638554
-28.156,trivial_move,3,6638553
-28.154,flush_begin,0,0
-28.130,flush_end,0,6638553
-28.114,trivial_move,3,6638554
-28.111,flush_begin,0,0
-28.088,flush_end,0,6638553
-28.072,trivial_move,3,6638553
-28.069,flush_begin,0,0
-28.045,flush_end,0,6638554
-28.029,trivial_move,3,6638552
-28.027,flush_begin,0,0
-28.004,flush_end,0,6638552
-27.988,trivial_move,3,6638554
-27.985,flush_begin,0,0
-27.961,flush_end,0,6638554
-27.945,trivial_move,3,6638553
-27.942,flush_begin,0,0
-27.918,flush_end,0,6638553
-27.902,trivial_move,3,6638553
-27.899,flush_begin,0,0
-27.876,flush_end,0,6638553
-27.860,trivial_move,3,6638553
-27.857,flush_begin,0,0
-27.833,flush_end,0,6638553
-27.817,trivial_move,3,6638555
-27.814,flush_begin,0,0
-27.790,flush_end,0,6638553
-27.774,trivial_move,3,6638553
-27.771,flush_begin,0,0
-27.748,flush_end,0,6638555
-27.732,trivial_move,3,6638553
-27.729,flush_begin,0,0
-27.705,flush_end,0,6638552
-27.690,trivial_move,3,6638554
-27.687,flush_begin,0,0
-27.664,flush_end,0,6638554
-27.648,trivial_move,3,6638552
-27.645,flush_begin,0,0
-27.621,flush_end,0,6638553
-27.605,trivial_move,3,6638553
-27.602,flush_begin,0,0
-27.579,flush_end,0,6638553
-27.563,trivial_move,3,6638553
-27.560,flush_begin,0,0
-27.535,flush_end,0,6638554
-27.519,trivial_move,3,6638554
-27.516,flush_begin,0,0
-27.493,flush_end,0,6638553
-27.477,trivial_move,3,6638553
-27.474,flush_begin,0,0
-27.449,flush_end,0,6638553
-27.434,trivial_move,3,6638553
-27.431,flush_begin,0,0
-27.407,flush_end,0,6638552
-27.391,trivial_move,3,6638554
-27.388,flush_begin,0,0
-27.364,flush_end,0,6638554
-27.348,trivial_move,3,6638552
-27.345,flush_begin,0,0
-27.321,flush_end,0,6638553
-27.306,trivial_move,3,6638554
-27.303,flush_begin,0,0
-27.279,flush_end,0,6638553
-27.263,trivial_move,3,6638553
-27.260,flush_begin,0,0
-27.236,flush_end,0,6638554
-27.220,trivial_move,3,6638553
-27.217,flush_begin,0,0
-27.192,flush_end,0,6638553
-27.176,trivial_move,3,6638553
-27.174,flush_begin,0,0
-27.149,flush_end,0,6638553
-27.134,trivial_move,3,6638553
-27.131,flush_begin,0,0
-27.107,flush_end,0,6638553
-27.091,trivial_move,3,6638555
-27.088,flush_begin,0,0
-27.063,flush_end,0,6638554
-27.046,trivial_move,3,6638552
-27.043,flush_begin,0,0
-27.020,flush_end,0,6638552
-27.004,trivial_move,3,6638554
-27.004,flush_begin,0,0
-26.997,flush_end,0,1164547
-26.989,compaction_begin,2,0
-26.958,compaction_end,2,6638145
-26.949,compaction_begin,2,0
-26.918,compaction_end,2,6638145
-26.910,compaction_begin,2,0
-26.879,compaction_end,2,6638146
-26.870,compaction_begin,2,0
-26.838,compaction_end,2,6638145
-26.829,compaction_begin,2,0
-26.797,compaction_end,2,6638145
-26.788,compaction_begin,2,0
-26.756,compaction_end,2,6638144
-26.747,compaction_begin,2,0
-26.715,compaction_end,2,6638146
-26.706,compaction_begin,2,0
-26.675,compaction_end,2,6638145
-26.666,compaction_begin,2,0
-26.635,compaction_end,2,6638145
-26.626,compaction_begin,2,0
-26.596,compaction_end,2,6638146
-26.588,compaction_begin,2,0
-26.557,compaction_end,2,6638145
-26.548,compaction_begin,2,0
-26.518,compaction_end,2,6638145
-26.509,compaction_begin,2,0
-26.477,compaction_end,2,6638145
-26.468,compaction_begin,2,0
-26.436,compaction_end,2,6638146
-26.426,compaction_begin,2,0
-26.394,compaction_end,2,6638144
-26.385,compaction_begin,2,0
-26.377,compaction_end,2,1164547
11.276,flush_begin,0,0
11.308,flush_end,0,6626972
11.378,compaction_begin,1,0
11.948,compaction_end,1,6555570
11.998,compaction_begin,2,0
14.351,compaction_end,2,46468050
14.360,compaction_begin,2,0
17.242,compaction_end,2,44118862
17.254,compaction_begin,2,0
19.577,compaction_end,2,46468049
19.590,compaction_begin,2,0
22.302,compaction_end,2,46468049
22.318,compaction_begin,2,0
24.980,compaction_end,2,46468049
24.993,compaction_begin,2,0
27.398,compaction_end,2,44118863
27.412,compaction_begin,2,0
29.987,compaction_end,2,46468050
30.000,compaction_begin,2,0
32.374,compaction_end,2,44118861
32.388,compaction_begin,2,0
35.066,compaction_end,2,46468047
35.083,compaction_begin,2,0
35.522,compaction_end,2,4835194
35.571,compaction_begin,2,0
38.485,compaction_end,2,46468049
48.918,flush_begin,0,0
48.962,flush_end,0,6628001
49.030,compaction_begin,1,0
49.594,compaction_end,1,6554246
49.661,compaction_begin,2,0
52.147,compaction_end,2,44118749
52.155,compaction_begin,2,0
54.966,compaction_end,2,42179012
54.979,compaction_begin,2,0
57.454,compaction_end,2,42179010
57.470,compaction_begin,2,0
59.647,compaction_end,2,42179010
59.660,compaction_begin,2,0
61.938,compaction_end,2,42890503
61.946,compaction_begin,2,0
64.409,compaction_end,2,42179011
64.426,compaction_begin,2,0
67.349,compaction_end,2,42179011
67.362,compaction_begin,2,0
69.842,compaction_end,2,42179009
69.855,compaction_begin,2,0
72.043,compaction_end,2,42179010
72.057,compaction_begin,2,0
74.922,compaction_end,2,42179010
74.935,compaction_begin,2,0
77.328,compaction_end,2,42179009
86.561,flush_begin,0,0
86.595,flush_end,0,6629437
86.666,compaction_begin,1,0
87.357,compaction_end,1,7881923
87.452,compaction_begin,2,0
90.169,compaction_end,2,42179011
90.182,compaction_begin,2,0
92.774,compaction_end,2,42179009
92.788,compaction_begin,2,0
95.284,compaction_end,2,42179009
95.293,compaction_begin,2,0
97.778,compaction_end,2,42179011
97.796,compaction_begin,2,0
100.207,compaction_end,2,42179010
100.220,compaction_begin,2,0
102.828,compaction_end,2,42179011
