t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8053,6544,1509,6437,2953,0.45875,264,280,296,35,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8011,6508,1503,6375,3405,0.53412,13,280,288,30,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8008,6511,1497,6320,3776,0.59747,9,272,280,26,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
4,8006,6502,1504,6300,3667,0.58206,11,280,288,30,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
5,8002,6500,1502,6310,3742,0.59303,11,280,288,29,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
6,8013,6510,1503,6356,3540,0.55695,12,280,296,32,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8007,6507,1500,6338,3543,0.55901,12,272,296,31,0,0,0,0,63.96,0.16,1,86,63.96,0,0,0,0,0,0,24038,0
8,8007,6505,1502,6473,3453,0.53345,13,280,296,2240,1,0,1,0,63.97,1.11,5,87,63.97,12,0,0,0,281,0,24920,55
9,8006,6504,1502,6589,3438,0.52178,15,280,296,2624,1,1,0,0,63.97,0.44,5,97,63.97,4510,0,0,0,389,74,29852,1879
10,8012,6510,1502,6594,3318,0.50318,33,280,296,816,1,0,0,0,63.97,4.55,7,97,63.97,0,0,0,0,1501,118,34577,4240
11,8004,6505,1499,6570,2602,0.39604,264,280,296,2112,1,1,0,0,63.97,3.47,3,100,63.97,563,180,5,0,2447,145,38252,5333
12,8005,6502,1503,6558,2123,0.32373,264,280,296,46,1,0,0,0,63.97,3.43,2,100,63.97,0,577,22,0,2447,145,42057,5472
13,8023,6519,1504,6579,2758,0.41921,264,272,296,228,1,0,0,0,63.97,7.44,6,100,63.97,0,1422,90,0,3472,145,45206,6033
14,8004,6502,1502,6550,2856,0.43603,264,280,296,2368,1,1,0,0,63.97,4.81,5,97,63.97,2634,2327,133,0,3559,145,49716,7184
15,8008,6510,1498,6580,2705,0.41109,264,272,296,752,1,0,0,0,63.98,4.38,2,97,63.98,0,2442,140,0,3559,145,54847,8831
16,8018,6515,1503,6580,2765,0.42021,264,280,296,2240,1,1,0,0,63.44,0.46,5,100,63.44,1830,3089,140,0,3559,222,59268,9725
17,8008,6503,1505,6524,2178,0.33384,264,280,296,1504,1,0,0,0,63.97,0.01,1,100,63.97,0,3464,143,0,3559,238,63673,10585
18,8008,6508,1500,6525,2621,0.40169,264,280,296,46,1,0,0,0,63.96,4.34,2,100,63.96,0,3466,145,0,4671,238,66921,11331
19,8003,6501,1502,6510,2754,0.42304,264,272,288,2432,1,1,0,0,56.74,4.34,2,103,56.76,1300,3484,163,0,4671,238,71482,12434
