t,type,level,bytes
-29.918,flush_begin,0,0
-29.894,flush_end,0,6638552
-29.884,flush_begin,0,0
-29.860,flush_end,0,6638554
-29.851,flush_begin,0,0
-29.827,flush_end,0,6638553
-29.817,flush_begin,0,0
-29.790,flush_end,0,6638553
-29.781,flush_begin,0,0
-29.755,flush_end,0,6638553
-29.745,flush_begin,0,0
-29.720,flush_end,0,6638554
-29.710,flush_begin,0,0
-29.684,flush_end,0,6638552
-29.676,flush_begin,0,0
-29.651,flush_end,0,6638554
-29.643,flush_begin,0,0
-29.619,flush_end,0,6638554
-29.609,flush_begin,0,0
-29.585,flush_end,0,6638552
-29.576,flush_begin,0,0
-29.551,flush_end,0,6638553
-29.543,flush_begin,0,0
-29.519,flush_end,0,6638553
-29.510,flush_begin,0,0
-29.484,flush_end,0,6638554
-29.475,flush_begin,0,0
-29.450,flush_end,0,6638552
-29.442,flush_begin,0,0
-29.416,flush_end,0,6638554
-29.408,flush_begin,0,0
-29.383,flush_end,0,6638554
-29.366,trivial_move,3,6638552
-29.366,flush_begin,0,0
-29.342,flush_end,0,6638552
-29.325,trivial_move,3,6638554
-29.325,flush_begin,0,0
-29.298,flush_end,0,6638555
-29.280,trivial_move,3,6638553
-29.280,flush_begin,0,0
-29.254,flush_end,0,6638553
-29.239,trivial_move,3,6638553
-29.238,flush_begin,0,0
-29.213,flush_end,0,6638553
-29.194,trivial_move,3,6638553
-29.194,flush_begin,0,0
-29.169,flush_end,0,6638552
-29.161,flush_begin,0,0
-29.136,flush_end,0,6638554
-29.117,trivial_move,3,6638554
-29.117,flush_begin,0,0
-29.092,flush_end,0,6638554
-29.074,trivial_move,3,6638552
-29.074,flush_begin,0,0
-29.049,flush_end,0,6638552
-29.032,trivial_move,3,6638554
-29.032,flush_begin,0,0
-29.008,flush_end,0,6638554
-28.992,trivial_move,3,6638554
-28.983,trivial_move,3,6638552
-28.983,flush_begin,0,0
-28.958,flush_end,0,6638553
-28.943,trivial_move,3,6638553
-28.942,flush_begin,0,0
-28.918,flush_end,0,6638553
-28.903,trivial_move,3,6638553
-28.902,flush_begin,0,0
-28.878,flush_end,0,6638553
-28.860,trivial_move,3,6638554
-28.860,flush_begin,0,0
-28.836,flush_end,0,6638554
-28.820,trivial_move,3,6638552
-28.819,flush_begin,0,0
-28.795,flush_end,0,6638553
-28.776,trivial_move,3,6638554
-28.776,flush_begin,0,0
-28.752,flush_end,0,6638552
-28.734,trivial_move,3,6638554
-28.734,flush_begin,0,0
-28.710,flush_end,0,6638554
-28.695,trivial_move,3,6638552
-28.695,flush_begin,0,0
-28.670,flush_end,0,6638553
-28.652,trivial_move,3,6638555
-28.652,flush_begin,0,0
-28.628,flush_end,0,6638553
-28.611,trivial_move,3,6638553
-28.611,flush_begin,0,0
-28.587,flush_end,0,6638553
-28.571,trivial_move,3,6638553
-28.570,flush_begin,0,0
-28.547,flush_end,0,6638555
-28.528,trivial_move,3,6638552
-28.528,flush_begin,0,0
-28.504,flush_end,0,6638553
-28.486,trivial_move,3,6638554
-28.486,flush_begin,0,0
-28.462,flush_end,0,6638553
-28.445,trivial_move,3,6638554
-28.445,flush_begin,0,0
-28.421,flush_end,0,6638554
-28.404,trivial_move,3,6638552
-28.404,flush_begin,0,0
-28.379,flush_end,0,6638552
-28.371,flush_begin,0,0
-28.347,flush_end,0,6638553
-28.325,trivial_move,3,6638554
-28.325,flush_begin,0,0
-28.301,flush_end,0,6638553
-28.292,flush_begin,0,0
-28.268,flush_end,0,6638554
-28.249,trivial_move,3,6638553
-28.249,flush_begin,0,0
-28.224,flush_end,0,6638553
-28.208,trivial_move,3,6638553
-28.208,flush_begin,0,0
-28.185,flush_end,0,6638553
-28.166,trivial_move,3,6638553
-28.166,flush_begin,0,0
-28.140,flush_end,0,6638554
