t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8016,6512,1504,6403,2953,0.46119,264,280,288,49,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8010,6509,1501,6377,3373,0.52893,12,280,288,40,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8005,6504,1501,6303,3763,0.59702,9,280,288,45,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0,0,0,24038,0
4,8008,6507,1501,6294,3720,0.59104,10,280,296,48,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
5,8005,6503,1502,6329,3704,0.58524,10,272,288,30,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
6,8008,6508,1500,6329,3500,0.55301,11,272,288,27,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8009,6507,1502,6331,3521,0.55615,11,280,288,41,0,0,0,0,63.96,0.13,1,86,63.96,0,0,0,0,0,0,24038,0
8,8004,6507,1497,6452,3445,0.53394,12,272,296,2496,1,0,1,0,63.97,0.80,5,87,63.97,15,0,0,0,203,0,24843,45
9,8010,6504,1506,6584,3374,0.51245,15,272,296,2752,1,1,0,0,63.97,0.28,5,97,63.97,4544,0,0,0,341,72,29596,1740
10,8031,6525,1506,6611,3326,0.50310,40,280,296,1920,1,0,0,0,63.97,4.71,8,97,63.97,0,0,0,0,1453,116,34462,4264
11,8007,6505,1502,6577,3032,0.46100,264,280,296,42,1,0,0,0,63.97,10.88,5,97,63.97,0,159,4,0,3126,141,36937,4776
12,8031,6526,1505,6575,2245,0.34144,264,280,296,2432,1,1,0,0,60.79,6.12,4,100,60.81,1623,322,122,0,3760,323,40910,5845
13,8030,6525,1505,6589,2728,0.41402,264,280,296,2624,1,0,0,0,63.97,4.38,5,100,63.97,0,1271,126,0,3760,323,45388,6818
14,8010,6511,1499,6578,2826,0.42961,264,280,296,1088,1,1,0,0,63.97,6.49,9,97,63.97,553,3093,144,0,4872,323,48055,6970
15,8003,6498,1505,6565,2695,0.41051,264,280,296,2112,1,0,0,0,63.97,4.02,3,97,63.97,0,3742,305,0,4872,323,52040,7393
16,8015,6515,1500,6579,2604,0.39580,264,280,296,1664,1,0,0,0,63.97,4.02,3,97,63.97,0,3756,319,0,4872,323,55832,7700
17,8048,6537,1511,6592,2705,0.41035,264,280,296,3776,1,1,0,0,59.69,4.08,2,100,59.70,2070,3821,319,1,4872,323,60992,9657
18,8006,6507,1499,6549,3013,0.46007,264,280,296,66,1,0,0,0,63.97,0.32,2,100,63.97,0,4802,319,1,4872,323,64922,9960
19,8070,6553,1517,6563,2912,0.44370,264,280,296,2944,0,1,0,0,63.97,0.42,3,100,63.97,0,4871,322,1,4872,323,69923,11552
20,8051,6543,1508,6533,2376,0.36369,264,280,296,1664,1,0,0,0,63.97,0.02,1,103,63.97,2350,4871,322,1,4872,323,75299,13482
21,8006,6505,1501,6501,2615,0.40225,264,280,296,912,1,0,0,0,63.97,0.14,1,103,63.97,0,4871,322,1,4872,323,79747,14386
22,8006,6504,1502,6494,2852,0.43917,264,272,288,2112,1,1,0,0,62.16,0.10,4,100,62.18,1510,4871,322,1,4872,323,83930,15074
23,8007,6506,1501,6507,2920,0.44875,264,272,296,408,1,0,0,0,63.96,0.09,3,100,63.96,0,4871,322,1,4872,323,88275,15842
24,8005,6504,1501,6512,2437,0.37423,264,280,296,1504,1,1,0,0,58.00,0.48,7,103,58.01,1723,4872,323,1,4872,323,92435,16477
25,8006,6506,1500,6480,2330,0.35957,264,280,296,488,1,0,0,0,63.97,0.09,4,103,63.97,0,4872,323,1,4872,323,96946,17450
26,8029,6522,1507,6473,2207,0.34095,264,280,296,2624,1,0,0,0,63.96,0.10,1,103,63.96,0,4872,323,1,4872,323,101587,18562
27,8004,6504,1500,6421,2298,0.35789,264,280,296,2816,1,1,0,0,63.96,0.13,3,106,63.96,1899,4872,323,1,4872,323,105534,19006
28,8011,6510,1501,6445,2591,0.40202,264,280,296,256,1,0,0,0,63.96,0.04,4,106,63.96,0,4872,323,1,4872,323,110049,19971
29,8008,6505,1503,6388,3077,0.48168,236,280,296,2368,1,1,0,0,56.06,0.36,4,109,56.07,826,4872,323,1,4872,323,114359,20790
30,8044,6536,1508,6445,3083,0.47836,256,280,288,100,1,0,0,0,63.96,0.18,3,109,63.96,0,4872,323,1,4872,323,118170,20973
31,8008,6507,1501,6417,3235,0.50413,17,280,296,1216,1,0,0,0,63.96,0.00,0,109,63.96,0,4872,323,1,4872,323,122495,21723
32,8017,6514,1503,6424,3148,0.49004,224,280,296,3136,1,1,0,0,63.77,0.23,4,112,63.77,2551,4872,323,1,4872,323,126954,22746
33,8006,6504,1502,6405,3458,0.53989,12,280,296,2176,1,0,0,0,63.96,0.10,3,112,63.96,0,4872,323,1,4872,323,132117,24418
34,8008,6506,1502,6363,3390,0.53277,13,280,288,2048,1,1,0,0,50.14,0.12,5,115,50.14,330,4872,323,0,4872,323,136140,24890
35,8003,6503,1500,6344,3368,0.53090,12,272,288,128,0,1,0,0,63.19,0.25,3,114,63.20,0,4872,323,0,5711,524,137200,25196
36,8026,6523,1503,6365,3364,0.52852,12,272,288,26,0,0,0,0,63.95,0.04,1,114,63.95,0,4872,323,0,5711,786,137200,25196
37,8008,6504,1504,6325,3480,0.55020,10,272,288,25,0,0,0,0,63.95,0.04,1,114,63.95,0,4872,323,0,5711,897,137200,25196
38,8007,6507,1500,6352,3571,0.56219,10,272,288,25,0,0,0,0,63.95,0.04,2,114,63.95,0,4872,323,0,5711,916,137200,25196
39,8009,6507,1502,6343,3231,0.50938,13,272,288,31,0,0,0,0,63.95,0.00,0,114,63.95,0,5156,361,0,5711,916,137200,25196
40,8015,6512,1503,6360,2695,0.42374,264,272,296,35,0,0,0,0,63.95,0.14,4,114,63.95,0,5413,618,0,5711,916,137200,25196
41,8032,6527,1505,6394,2513,0.39302,264,272,288,25,0,0,0,0,63.95,0.01,1,114,63.95,0,5682,887,0,5711,916,137200,25196
42,8010,6511,1499,6394,2527,0.39521,264,272,288,27,0,0,0,0,63.95,0.00,0,114,63.95,0,5711,916,0,5711,916,137200,25196
43,8006,6502,1504,6403,2454,0.38326,264,280,288,37,0,0,0,0,63.95,0.31,2,114,63.95,0,5711,916,0,5711,916,137200,25196
44,8006,6505,1501,6430,2178,0.33872,264,280,296,26,0,0,0,0,63.95,0.00,0,114,63.95,0,5711,916,0,5711,916,137200,25196
45,8008,6506,1502,6429,2678,0.41655,264,280,296,49,0,0,0,0,63.95,0.15,2,114,63.95,0,5711,916,1,5711,916,137200,25196
46,8027,6521,1506,6572,2866,0.43609,264,272,296,2816,1,1,1,0,63.95,0.12,8,126,63.95,1807,5711,916,1,5711,916,139757,25556
47,8009,6509,1500,6580,2754,0.41854,264,280,296,2944,1,0,0,0,63.96,0.01,2,126,63.96,0,5711,916,1,5711,916,144489,26775
48,8007,6508,1499,6582,2795,0.42464,264,272,296,2112,0,1,0,0,63.97,0.02,1,126,63.97,0,5711,916,1,5711,916,149409,28207
49,8008,6506,1502,6558,2230,0.34004,264,280,304,1504,1,0,0,0,63.97,0.02,1,125,63.97,775,5711,916,1,5711,916,153267,28485
50,8036,6527,1509,6611,2393,0.36197,264,280,296,80,1,0,0,0,63.97,0.00,0,125,63.97,0,5711,916,1,5711,916,157595,29236
51,8007,6505,1502,6559,2756,0.42019,264,280,296,2304,1,1,0,0,60.30,0.09,2,124,60.31,1573,5711,916,1,5711,916,161465,29582
52,8008,6507,1501,6574,2914,0.44326,264,280,296,2048,1,0,0,0,63.97,0.08,3,124,63.97,0,5711,916,1,5711,916,165818,30408
53,8006,6505,1501,6547,3166,0.48358,256,280,296,2368,1,1,0,0,56.22,0.22,4,122,56.22,1808,5711,916,1,5711,916,170192,31256
54,8007,6510,1497,6572,3189,0.48524,264,272,296,336,1,0,0,0,63.98,0.03,1,122,63.97,0,5711,916,1,5711,916,173925,31360
55,8014,6506,1508,6545,3271,0.49977,220,280,296,192,1,0,0,0,63.96,0.00,0,122,63.96,0,5711,916,1,5711,916,178821,32737
56,8005,6505,1500,6550,3430,0.52366,14,280,296,2368,1,1,0,0,63.96,0.30,4,121,63.96,1559,5711,916,1,5711,916,182853,33232
57,8037,6529,1508,6549,3568,0.54482,12,280,296,2016,1,0,0,0,63.96,0.04,2,121,63.96,0,5711,916,1,5711,916,188310,35247
58,8008,6506,1502,6505,3351,0.51514,17,280,296,2624,1,1,0,0,61.68,0.05,2,120,61.70,2744,5711,916,0,5722,916,192309,35735
