t,type,level,bytes
-29.940,flush_begin,0,0
-29.921,flush_end,0,6638552
-29.912,flush_begin,0,0
-29.893,flush_end,0,6638554
-29.884,flush_begin,0,0
-29.866,flush_end,0,6638553
-29.858,flush_begin,0,0
-29.839,flush_end,0,6638553
-29.830,flush_begin,0,0
-29.812,flush_end,0,6638553
-29.804,flush_begin,0,0
-29.786,flush_end,0,6638554
-29.778,flush_begin,0,0
-29.761,flush_end,0,6638552
-29.753,flush_begin,0,0
-29.735,flush_end,0,6638554
-29.727,flush_begin,0,0
-29.710,flush_end,0,6638554
-29.702,flush_begin,0,0
-29.685,flush_end,0,6638552
-29.676,flush_begin,0,0
-29.657,flush_end,0,6638553
-29.649,flush_begin,0,0
-29.631,flush_end,0,6638553
-29.622,flush_begin,0,0
-29.604,flush_end,0,6638554
-29.595,flush_begin,0,0
-29.577,flush_end,0,6638552
-29.568,flush_begin,0,0
-29.550,flush_end,0,6638554
-29.541,flush_begin,0,0
-29.523,flush_end,0,6638554
-29.504,trivial_move,3,6638552
-29.504,flush_begin,0,0
-29.485,flush_end,0,6638552
-29.466,trivial_move,3,6638554
-29.466,flush_begin,0,0
-29.446,flush_end,0,6638555
-29.427,trivial_move,3,6638553
-29.427,flush_begin,0,0
-29.407,flush_end,0,6638553
-29.389,trivial_move,3,6638553
-29.389,flush_begin,0,0
-29.369,flush_end,0,6638553
-29.352,trivial_move,3,6638553
-29.352,flush_begin,0,0
-29.331,flush_end,0,6638552
-29.314,trivial_move,3,6638554
-29.314,flush_begin,0,0
-29.292,flush_end,0,6638554
-29.275,trivial_move,3,6638552
-29.275,flush_begin,0,0
-29.254,flush_end,0,6638554
-29.237,trivial_move,3,6638554
-29.237,flush_begin,0,0
-29.217,flush_end,0,6638552
-29.201,trivial_move,3,6638554
-29.201,flush_begin,0,0
-29.184,flush_end,0,6638554
-29.165,trivial_move,3,6638552
-29.165,flush_begin,0,0
-29.148,flush_end,0,6638553
-29.130,trivial_move,3,6638553
-29.130,flush_begin,0,0
-29.113,flush_end,0,6638553
-29.094,trivial_move,3,6638553
-29.094,flush_begin,0,0
-29.076,flush_end,0,6638553
-29.058,trivial_move,3,6638554
-29.058,flush_begin,0,0
-29.040,flush_end,0,6638554
-29.022,trivial_move,3,6638552
-29.022,flush_begin,0,0
-29.004,flush_end,0,6638553
-28.986,trivial_move,3,6638554
-28.986,flush_begin,0,0
-28.966,flush_end,0,6638552
-28.948,trivial_move,3,6638554
-28.948,flush_begin,0,0
-28.929,flush_end,0,6638554
-28.911,trivial_move,3,6638552
-28.911,flush_begin,0,0
-28.890,flush_end,0,6638553
-28.873,trivial_move,3,6638555
-28.873,flush_begin,0,0
-28.854,flush_end,0,6638553
-28.836,trivial_move,3,6638553
-28.836,flush_begin,0,0
-28.817,flush_end,0,6638553
-28.799,trivial_move,3,6638553
-28.799,flush_begin,0,0
-28.779,flush_end,0,6638555
-28.760,trivial_move,3,6638552
-28.760,flush_begin,0,0
-28.740,flush_end,0,6638553
-28.723,trivial_move,3,6638554
-28.723,flush_begin,0,0
-28.703,flush_end,0,6638553
-28.685,trivial_move,3,6638554
-28.685,flush_begin,0,0
-28.666,flush_end,0,6638554
-28.648,trivial_move,3,6638552
-28.648,flush_begin,0,0
-28.627,flush_end,0,6638552
-28.610,trivial_move,3,6638554
-28.610,flush_begin,0,0
-28.590,flush_end,0,6638553
-28.572,trivial_move,3,6638553
-28.572,flush_begin,0,0
-28.552,flush_end,0,6638553
-28.535,trivial_move,3,6638553
-28.535,flush_begin,0,0
-28.516,flush_end,0,6638554
-28.497,trivial_move,3,6638553
-28.497,flush_begin,0,0
-28.477,flush_end,0,6638553
-28.459,trivial_move,3,6638554
-28.459,flush_begin,0,0
-28.438,flush_end,0,6638553
-28.420,trivial_move,3,6638553
-28.420,flush_begin,0,0
-28.400,flush_end,0,6638554
-28.383,trivial_move,3,6638552
-28.383,flush_begin,0,0
-28.362,flush_end,0,6638552
-28.344,trivial_move,3,6638554
-28.344,flush_begin,0,0
-28.324,flush_end,0,6638554
-28.305,trivial_move,3,6638553
-28.305,flush_begin,0,0
-28.286,flush_end,0,6638553
-28.268,trivial_move,3,6638553
-28.268,flush_begin,0,0
-28.249,flush_end,0,6638553
-28.230,trivial_move,3,6638553
-28.230,flush_begin,0,0
-28.210,flush_end,0,6638553
-28.192,trivial_move,3,6638555
-28.192,flush_begin,0,0
-28.173,flush_end,0,6638553
-28.155,trivial_move,3,6638553
-28.155,flush_begin,0,0
-28.135,flush_end,0,6638555
-28.117,trivial_move,3,6638553
-28.117,flush_begin,0,0
-28.097,flush_end,0,6638552
-28.079,trivial_move,3,6638554
-28.079,flush_begin,0,0
-28.059,flush_end,0,6638554
-28.041,trivial_move,3,6638552
-28.041,flush_begin,0,0
-28.022,flush_end,0,6638553
-28.004,trivial_move,3,6638553
-28.004,flush_begin,0,0
-27.984,flush_end,0,6638553
-27.965,trivial_move,3,6638553
-27.965,flush_begin,0,0
-27.945,flush_end,0,6638554
-27.926,trivial_move,3,6638554
-27.926,flush_begin,0,0
-27.906,flush_end,0,6638553
-27.886,trivial_move,3,6638553
-27.886,flush_begin,0,0
-27.866,flush_end,0,6638553
-27.848,trivial_move,3,6638553
-27.848,flush_begin,0,0
-27.826,flush_end,0,6638552
-27.807,trivial_move,3,6638554
-27.807,flush_begin,0,0
-27.786,flush_end,0,6638554
-27.769,trivial_move,3,6638552
-27.769,flush_begin,0,0
-27.748,flush_end,0,6638553
-27.730,trivial_move,3,6638554
-27.730,flush_begin,0,0
-27.703,flush_end,0,6638553
-27.685,trivial_move,3,6638553
-27.685,flush_begin,0,0
-27.665,flush_end,0,6638554
-27.647,trivial_move,3,6638553
-27.647,flush_begin,0,0
-27.627,flush_end,0,6638553
-27.609,trivial_move,3,6638553
-27.609,flush_begin,0,0
-27.589,flush_end,0,6638553
-27.571,trivial_move,3,6638553
-27.571,flush_begin,0,0
-27.551,flush_end,0,6638553
-27.532,trivial_move,3,6638555
-27.532,flush_begin,0,0
-27.513,flush_end,0,6638554
-27.493,trivial_move,3,6638552
-27.493,flush_begin,0,0
-27.474,flush_end,0,6638552
-27.458,trivial_move,3,6638554
-27.458,flush_begin,0,0
-27.452,flush_end,0,1164547
-27.444,compaction_begin,2,0
-27.420,compaction_end,2,6638145
-27.411,compaction_begin,2,0
-27.389,compaction_end,2,6638145
-27.381,compaction_begin,2,0
-27.357,compaction_end,2,6638146
-27.348,compaction_begin,2,0
-27.326,compaction_end,2,6638145
-27.318,compaction_begin,2,0
-27.295,compaction_end,2,6638145
-27.286,compaction_begin,2,0
-27.263,compaction_end,2,6638144
-27.254,compaction_begin,2,0
-27.231,compaction_end,2,6638146
-27.223,compaction_begin,2,0
-27.199,compaction_end,2,6638145
-27.190,compaction_begin,2,0
-27.166,compaction_end,2,6638145
-27.157,compaction_begin,2,0
-27.132,compaction_end,2,6638146
-27.124,compaction_begin,2,0
-27.098,compaction_end,2,6638145
-27.089,compaction_begin,2,0
-27.064,compaction_end,2,6638145
-27.055,compaction_begin,2,0
-27.028,compaction_end,2,6638145
-27.017,compaction_begin,2,0
-26.988,compaction_end,2,6638146
-26.979,compaction_begin,2,0
-26.956,compaction_end,2,6638144
-26.946,compaction_begin,2,0
-26.938,compaction_end,2,1164547
10.713,flush_begin,0,0
11.165,flush_end,0,6627010
11.238,compaction_begin,1,0
11.740,compaction_end,1,6557238
11.802,compaction_begin,2,0
16.968,compaction_end,2,46468050
16.982,compaction_begin,2,0
23.460,compaction_end,2,46468049
23.469,compaction_begin,2,0
30.165,compaction_end,2,44118861
30.182,compaction_begin,2,0
36.971,compaction_end,2,46468050
36.983,compaction_begin,2,0
43.969,compaction_end,2,46468049
43.984,compaction_begin,2,0
48.356,flush_begin,0,0
48.896,flush_end,0,6628100
50.625,compaction_end,2,44118863
50.639,compaction_begin,1,0
51.628,compaction_end,1,9664103
51.712,compaction_begin,2,0
57.939,compaction_end,2,43299924
57.956,compaction_begin,2,0
64.703,compaction_end,2,46468047
64.716,compaction_begin,2,0
70.992,compaction_end,2,42179011
71.002,compaction_begin,2,0
77.184,compaction_end,2,42890506
77.197,compaction_begin,2,0
83.705,compaction_end,2,43407422
83.722,compaction_begin,2,0
86.121,flush_begin,0,0
86.648,flush_end,0,6629674
90.669,compaction_end,2,42890505
90.687,compaction_begin,1,0
92.479,compaction_end,1,12196669
92.559,compaction_begin,2,0
99.334,compaction_end,2,45756618
99.343,compaction_begin,2,0
105.516,compaction_end,2,42179011
105.541,compaction_begin,2,0
111.783,compaction_end,2,43299926
111.800,compaction_begin,2,0
118.060,compaction_end,2,43300039
118.074,compaction_begin,2,0
123.861,flush_begin,0,0
124.388,flush_end,0,6632680
125.348,compaction_end,2,44937621
125.357,compaction_begin,1,0
127.231,compaction_end,1,14996709
127.334,compaction_begin,2,0
134.052,compaction_end,2,44937622
134.068,compaction_begin,2,0
140.280,compaction_end,2,42890388
140.296,compaction_begin,2,0
146.926,compaction_end,2,45756619
146.934,compaction_begin,2,0
153.509,compaction_end,2,42890503
153.533,compaction_begin,2,0
160.255,compaction_end,2,45756620
160.273,compaction_begin,2,0
161.566,flush_begin,0,0
162.102,flush_end,0,6632318
167.011,compaction_end,2,42179011
167.025,compaction_begin,1,0
169.414,compaction_end,1,16765825
169.527,compaction_begin,2,0
176.116,compaction_end,2,45756619
176.131,compaction_begin,2,0
182.364,compaction_end,2,42179011
182.378,compaction_begin,2,0
