t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8047,6538,1509,6423,2969,0.46225,264,288,296,49,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,63,0,135196,63
2,8011,6510,1501,6374,3323,0.52134,18,296,304,55,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,63,0,135196,63
3,8019,6515,1504,6308,3794,0.60146,12,288,296,44,0,0,0,0,63.96,0.03,1,86,63.96,0,135196,63,0,135196,63
4,8045,6536,1509,6338,3713,0.58583,13,288,296,51,0,0,0,0,63.95,0.00,0,86,63.95,0,135196,63,0,135196,63
5,8037,6531,1506,6351,3762,0.59235,12,288,296,56,0,0,0,0,63.96,0.02,1,86,63.96,0,135196,63,0,135196,63
6,8043,6534,1509,6378,3549,0.55644,14,288,296,48,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,63,0,135196,63
7,8050,6541,1509,6373,3570,0.56018,14,288,296,50,0,0,0,0,63.95,0.00,0,86,63.95,0,135196,63,0,135196,63
8,8045,6536,1509,6391,3414,0.53419,14,288,296,264,0,0,1,0,63.95,0.02,1,87,63.95,0,135196,63,0,136765,76
9,8017,6516,1501,9234,5145,0.55718,256,280,288,2816,1,1,0,0,63.96,4.64,6,97,63.96,5954,136765,1632,0,139003,1755
10,8010,6509,1501,8661,3852,0.44475,264,272,296,30,1,0,0,0,63.97,11.72,5,97,63.97,0,136901,1632,0,141303,1912
11,8004,6502,1502,8994,3588,0.39893,256,272,296,26,1,0,0,0,63.97,18.65,5,97,63.97,0,138387,1666,0,143437,1943
12,8007,6505,1502,9433,3814,0.40433,264,272,288,23,1,0,0,0,63.97,18.45,5,97,63.97,0,140584,1765,0,145483,1943
13,8027,6522,1505,8613,3135,0.36398,256,272,296,376,1,0,0,0,63.97,19.02,8,97,63.97,0,142576,1833,0,147529,1943
14,8005,6504,1501,8546,2963,0.34671,264,272,296,496,1,1,0,0,59.57,11.42,5,100,59.57,2036,144458,1933,0,149406,2034
15,8004,6502,1502,8479,2955,0.34851,256,320,336,27,1,0,0,0,63.97,17.72,5,100,63.97,0,146661,1938,0,151452,2192
16,8056,6546,1510,7923,2847,0.35933,312,320,344,2240,1,0,0,0,63.97,16.25,5,100,63.97,0,149091,1944,0,153498,2192
17,8002,6501,1501,8479,3132,0.36938,312,344,360,51,1,0,0,0,63.96,17.04,5,100,63.96,0,150658,2178,0,155032,2192
18,8004,6504,1500,8470,3182,0.37568,312,344,352,51,1,0,0,0,63.97,16.10,5,100,63.97,0,152446,2192,0,156567,2192
