t,type,level,bytes
-29.894,flush_begin,0,0
-29.878,flush_end,0,6638552
-29.869,flush_begin,0,0
-29.853,flush_end,0,6638554
-29.845,flush_begin,0,0
-29.829,flush_end,0,6638553
-29.821,flush_begin,0,0
-29.804,flush_end,0,6638553
-29.796,flush_begin,0,0
-29.780,flush_end,0,6638553
-29.772,flush_begin,0,0
-29.755,flush_end,0,6638554
-29.748,flush_begin,0,0
-29.731,flush_end,0,6638552
-29.723,flush_begin,0,0
-29.706,flush_end,0,6638554
-29.698,flush_begin,0,0
-29.683,flush_end,0,6638554
-29.675,flush_begin,0,0
-29.659,flush_end,0,6638552
-29.651,flush_begin,0,0
-29.635,flush_end,0,6638553
-29.627,flush_begin,0,0
-29.611,flush_end,0,6638553
-29.603,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.579,flush_begin,0,0
-29.562,flush_end,0,6638552
-29.554,flush_begin,0,0
-29.537,flush_end,0,6638554
-29.529,flush_begin,0,0
-29.513,flush_end,0,6638554
-29.494,trivial_move,3,6638552
-29.494,flush_begin,0,0
-29.478,flush_end,0,6638552
-29.460,trivial_move,3,6638554
-29.460,flush_begin,0,0
-29.444,flush_end,0,6638555
-29.426,trivial_move,3,6638553
-29.426,flush_begin,0,0
-29.409,flush_end,0,6638553
-29.391,trivial_move,3,6638553
-29.391,flush_begin,0,0
-29.373,flush_end,0,6638553
-29.355,trivial_move,3,6638553
-29.355,flush_begin,0,0
-29.337,flush_end,0,6638552
-29.319,trivial_move,3,6638554
-29.319,flush_begin,0,0
-29.301,flush_end,0,6638554
-29.283,trivial_move,3,6638552
-29.283,flush_begin,0,0
-29.266,flush_end,0,6638554
-29.247,trivial_move,3,6638554
-29.247,flush_begin,0,0
-29.230,flush_end,0,6638552
-29.212,trivial_move,3,6638554
-29.212,flush_begin,0,0
-29.194,flush_end,0,6638554
-29.175,trivial_move,3,6638552
-29.175,flush_begin,0,0
-29.157,flush_end,0,6638553
-29.138,trivial_move,3,6638553
-29.138,flush_begin,0,0
-29.120,flush_end,0,6638553
-29.101,trivial_move,3,6638553
-29.101,flush_begin,0,0
-29.084,flush_end,0,6638553
-29.066,trivial_move,3,6638554
-29.066,flush_begin,0,0
-29.047,flush_end,0,6638554
-29.029,trivial_move,3,6638552
-29.029,flush_begin,0,0
