t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6069,1788,4281,4874,388,0.07961,328,352,376,59,1,0,0,0,193.44,54.12,212,642,193.45
2,6060,1842,4218,5154,587,0.11389,328,352,384,58,1,0,0,0,199.58,60.71,217,642,199.59
3,6064,1848,4216,4947,392,0.07924,320,344,368,59,1,1,0,0,205.60,66.69,236,641,205.61
4,6052,1870,4182,5393,899,0.16670,328,352,376,58,1,0,0,0,211.67,68.12,241,641,211.67
5,6008,1750,4258,5533,1174,0.21218,320,344,368,54,1,0,0,0,216.99,71.26,248,641,216.99
6,6037,1825,4212,5455,1041,0.19083,320,352,376,68,1,1,0,0,222.76,76.59,261,641,222.78
7,6060,1809,4251,5313,845,0.15904,328,360,400,60,1,0,0,0,227.79,78.19,261,641,227.79
8,6012,1784,4228,5220,782,0.14981,320,344,368,58,1,0,0,0,229.85,79.70,265,641,229.85
9,6062,1821,4241,5163,693,0.13422,328,352,360,61,1,1,0,0,229.96,86.16,297,640,229.96
10,6034,1852,4182,5051,593,0.11740,328,352,368,58,1,0,0,0,229.96,84.91,309,640,229.96
11,6026,1792,4234,5207,764,0.14673,320,344,608,59,1,0,1,0,229.96,83.18,309,641,229.96
12,6028,1807,4221,4992,685,0.13722,328,360,640,2432,1,1,0,0,229.97,80.57,303,641,229.97
13,6040,1811,4229,4529,593,0.13093,328,352,640,3200,1,0,0,0,229.97,81.17,297,641,229.97
14,6034,1802,4232,2799,357,0.12755,336,360,384,2304,0,1,0,0,229.97,82.74,320,645,229.97
15,6067,1832,4235,5071,780,0.15382,328,352,560,61,1,0,0,0,229.97,82.63,325,645,229.97
16,6064,1840,4224,5124,528,0.10304,320,344,640,51,1,0,0,0,229.97,82.90,334,645,229.97
17,6031,1760,4271,5016,501,0.09988,320,352,384,56,1,0,0,0,229.97,87.47,336,645,229.97
18,6017,1843,4174,5068,598,0.11800,320,352,368,59,1,1,0,0,229.97,84.92,333,642,229.97
19,6016,1796,4220,4894,532,0.10870,328,352,368,58,1,0,0,0,229.97,85.44,338,642,229.97
20,6037,1806,4231,4973,532,0.10698,328,352,368,57,1,0,0,0,229.98,88.93,336,642,229.98
21,6055,1798,4257,4852,557,0.11480,328,352,368,61,1,1,0,0,229.97,91.99,344,642,229.97
22,6046,1779,4267,5470,1126,0.20585,320,344,360,51,1,0,0,0,229.97,93.06,352,642,229.97
23,6028,1837,4191,5082,680,0.13381,328,352,376,57,1,0,0,0,229.97,97.62,365,642,229.97
24,6035,1761,4274,4510,342,0.07583,320,352,384,2432,1,1,1,0,229.97,95.12,387,646,229.97
25,6031,1826,4205,4615,495,0.10726,320,352,640,3136,1,0,0,0,229.97,91.55,371,646,229.97
26,6050,1869,4181,4139,556,0.13433,328,352,624,3008,0,1,0,0,229.97,89.65,382,651,229.97
27,6064,1804,4260,3411,416,0.12196,328,360,464,60,1,0,0,0,229.97,92.13,391,651,229.97
28,6064,1775,4289,4859,424,0.08726,320,352,376,64,1,0,0,0,229.97,88.81,384,651,229.97
29,6046,1818,4228,5291,868,0.16405,320,352,368,54,1,0,0,0,229.97,88.50,384,651,229.97
30,6064,1848,4216,5109,679,0.13290,320,344,384,64,1,1,0,0,229.97,87.46,385,651,229.97
31,6037,1835,4202,5419,972,0.17937,328,352,368,58,1,0,0,0,229.97,84.51,367,651,229.97
32,6031,1784,4247,4959,532,0.10728,328,352,392,58,1,0,0,0,229.97,82.18,368,651,229.97
33,6015,1744,4271,4770,392,0.08218,328,352,376,59,1,1,0,0,229.96,83.14,331,648,229.96
34,6025,1785,4240,5075,560,0.11034,320,352,384,55,1,0,0,0,229.97,85.18,324,648,229.97
35,6041,1844,4197,5056,530,0.10483,328,352,368,59,1,0,0,0,229.97,91.37,333,648,229.97
36,6024,1847,4177,5296,781,0.14747,328,352,624,59,1,0,0,0,229.97,88.31,348,648,229.97
37,6036,1756,4280,4693,381,0.08118,328,352,392,156,1,1,1,0,229.97,91.92,366,649,229.97
38,6067,1772,4295,5068,503,0.09925,328,352,624,60,1,0,0,0,229.96,89.08,360,649,229.96
39,6030,1777,4253,5131,707,0.13779,328,352,640,53,1,0,0,0,229.96,87.88,361,649,229.96
40,6031,1799,4232,4795,553,0.11533,328,360,640,2368,1,1,0,0,229.96,85.69,349,649,229.96
41,6035,1844,4191,4732,659,0.13926,328,360,448,3008,1,0,0,0,229.97,84.03,336,649,229.97
42,6038,1833,4205,4784,729,0.15238,328,360,392,2880,1,0,0,0,229.97,85.62,335,649,229.97
43,6009,1759,4250,2750,568,0.20655,328,360,400,63,1,1,0,0,229.97,84.29,365,652,229.97
44,6065,1815,4250,5121,667,0.13025,320,344,360,50,1,0,0,0,229.97,86.37,373,652,229.97
45,6050,1763,4287,6230,1964,0.31525,320,344,376,50,1,0,0,0,229.97,83.15,361,652,229.97
46,6065,1743,4322,5496,1068,0.19432,320,344,624,49,1,1,0,0,229.97,81.59,367,651,229.97
47,6050,1837,4213,5318,848,0.15946,328,352,408,55,1,0,0,0,229.97,78.54,363,651,229.97
48,6052,1812,4240,5031,601,0.11946,328,352,528,55,1,0,0,0,229.97,78.01,366,651,229.97
49,6039,1762,4277,5042,682,0.13526,328,352,368,64,1,1,0,0,229.96,76.97,338,648,229.96
50,6018,1820,4198,5276,857,0.16243,328,352,384,59,1,0,0,0,229.96,75.81,311,648,229.96
51,6013,1766,4247,5373,1032,0.19207,320,344,624,76,1,0,1,0,229.96,71.29,310,649,229.96
52,6041,1818,4223,4841,597,0.12332,328,360,640,2368,1,1,0,0,229.96,70.11,312,646,229.96
53,6063,1834,4229,4766,596,0.12505,328,360,640,2816,1,0,0,0,229.97,68.55,324,646,229.97
54,6028,1750,4278,4697,615,0.13093,320,344,640,3072,1,0,0,0,229.97,68.36,310,646,229.97
55,6063,1827,4236,2939,442,0.15039,320,352,408,60,1,1,0,0,229.97,68.19,322,648,229.97
56,6028,1804,4224,5237,845,0.16135,320,352,576,57,1,0,0,0,229.98,71.56,316,648,229.98
57,6065,1834,4231,5406,895,0.16556,320,336,368,48,1,0,0,0,229.98,69.88,312,648,229.98
58,6002,1804,4198,4890,494,0.10102,320,352,376,61,1,0,0,0,229.98,76.34,325,648,229.98
59,6065,1859,4206,5116,647,0.12647,320,344,368,59,1,1,0,0,229.97,73.68,330,646,229.97
60,6037,1827,4210,5018,602,0.11997,328,352,624,58,1,0,0,0,229.97,75.35,332,646,229.97
61,6036,1847,4189,5198,813,0.15641,328,352,384,58,1,0,0,0,229.97,77.72,334,646,229.97
62,6024,1838,4186,5753,1405,0.24422,320,352,384,82,1,1,0,0,229.97,80.10,319,645,229.97
63,6037,1844,4193,5176,755,0.14587,328,352,384,58,1,0,0,0,229.97,80.87,318,645,229.97
64,6010,1802,4208,5478,1143,0.20865,320,352,624,66,1,0,1,0,229.97,82.85,347,646,229.97
65,6062,1886,4176,4976,507,0.10189,328,352,640,2816,1,1,0,0,229.97,84.32,356,646,229.97
66,6030,1858,4172,4810,503,0.10457,328,360,656,2688,1,0,0,0,229.97,82.67,351,646,229.97
