t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6069,1798,4271,4867,441,0.09061,328,352,376,57,1,0,0,0,178.70,43.63,159,548,178.71
2,6023,1878,4145,3923,518,0.13204,328,352,384,56,1,0,0,0,184.73,47.60,157,548,184.73
3,6038,1795,4243,4222,902,0.21364,320,352,376,55,1,0,0,0,190.45,52.43,169,548,190.45
4,6040,1853,4187,5224,807,0.15448,328,352,544,64,1,1,0,0,191.98,52.71,164,551,192.00
5,6060,1810,4250,4927,543,0.11021,328,352,376,60,1,0,0,0,197.42,50.35,165,551,197.44
6,6065,1832,4233,5215,1217,0.23337,320,344,400,54,1,0,0,0,203.13,52.50,167,551,203.14
7,6064,1850,4214,3476,497,0.14298,320,352,368,63,1,1,0,0,203.93,57.11,169,548,203.94
8,6026,1765,4261,4045,518,0.12806,320,344,360,55,1,0,0,0,209.45,57.30,169,548,209.46
9,6034,1782,4252,4702,750,0.15951,320,336,360,46,1,0,0,0,215.06,62.38,174,548,215.07
10,6033,1806,4227,5225,803,0.15368,320,344,368,54,1,0,0,0,220.54,59.73,166,548,220.54
11,6062,1780,4282,4505,927,0.20577,320,336,368,3136,1,1,1,0,221.63,62.18,174,552,221.63
12,6064,1849,4215,4327,841,0.19436,320,344,360,3072,1,0,0,0,227.13,60.99,168,552,227.14
13,6027,1836,4191,2546,426,0.16732,328,360,376,76,0,1,0,0,228.85,67.88,183,556,228.86
14,6039,1815,4224,3873,619,0.15982,328,352,368,55,1,0,0,0,229.87,73.50,198,556,229.87
15,6059,1821,4238,4569,435,0.09521,328,352,400,60,1,0,0,0,229.96,70.85,203,556,229.96
16,6021,1843,4178,4810,482,0.10021,328,360,376,66,1,1,0,0,229.96,70.65,205,555,229.96
17,6016,1773,4243,4903,550,0.11218,328,352,368,58,1,0,0,0,229.95,70.09,203,555,229.95
18,6041,1863,4178,4352,924,0.21232,320,344,456,45,1,0,0,0,229.96,64.77,198,555,229.96
19,6027,1816,4211,5239,960,0.18324,320,344,368,56,1,0,0,0,229.96,67.54,196,555,229.96
20,6044,1793,4251,5025,705,0.14030,320,336,360,53,1,1,0,0,229.85,66.25,191,552,229.85
21,6006,1794,4212,5321,1095,0.20579,320,344,360,52,1,0,0,0,229.96,69.82,206,552,229.96
22,6004,1751,4253,5386,1212,0.22503,320,352,528,57,1,0,0,0,229.96,71.86,207,552,229.96
23,6005,1823,4182,4141,723,0.17460,320,352,368,60,1,1,0,0,228.84,76.40,203,549,228.84
24,6022,1747,4275,3316,490,0.14777,320,352,368,59,1,0,1,0,229.97,72.99,201,550,229.97
25,6031,1822,4209,5578,1131,0.20276,328,352,368,48,1,0,0,0,229.97,69.89,200,550,229.97
26,6034,1856,4178,4973,517,0.10396,328,352,384,55,1,0,0,0,229.97,70.27,204,550,229.97
27,6034,1824,4210,4552,754,0.16564,320,336,360,3008,1,1,0,0,228.89,70.13,199,553,228.89
28,6032,1750,4282,4348,753,0.17318,320,336,368,3200,1,0,0,0,229.97,67.96,184,553,229.97
29,6028,1818,4210,3010,713,0.23688,328,360,376,78,0,1,0,0,229.34,72.12,211,556,229.34
