t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6069,1795,4274,4962,426,0.08585,320,344,384,55,1,0,0,0,194.59,51.96,224,634,194.59
2,6063,1771,4292,5695,1238,0.21738,320,344,368,50,1,0,0,0,200.16,53.07,225,634,200.17
3,6047,1882,4165,5011,486,0.09699,320,344,368,61,1,1,0,0,206.14,57.13,231,634,206.14
4,6011,1811,4200,4938,508,0.10288,320,344,368,55,1,0,0,0,211.79,59.81,232,634,211.80
5,6064,1797,4267,4949,564,0.11396,320,352,368,56,1,0,0,0,217.18,62.95,238,634,217.18
6,6032,1804,4228,5550,1226,0.22090,320,352,392,70,1,1,0,0,222.74,64.13,234,631,222.74
7,6060,1785,4275,4904,520,0.10604,328,352,368,59,1,0,0,0,227.74,63.62,242,631,227.74
8,6062,1772,4290,5118,746,0.14576,328,352,368,56,1,0,0,0,229.44,66.97,249,631,229.44
9,6034,1820,4214,4807,348,0.07239,328,352,376,61,1,0,0,0,229.89,68.48,259,631,229.89
10,6090,1814,4276,5090,537,0.10550,320,344,392,60,1,1,0,0,229.97,70.92,288,627,229.97
11,6035,1798,4237,4797,456,0.09506,320,352,640,63,1,0,1,0,229.97,74.02,291,628,229.97
12,6011,1773,4238,5396,984,0.18236,320,352,624,59,1,0,0,0,229.97,70.13,278,628,229.97
13,6029,1770,4259,4687,567,0.12097,328,352,640,3072,1,1,0,0,229.97,70.16,283,628,229.97
14,6037,1830,4207,4626,695,0.15024,320,352,528,3136,1,0,0,0,229.96,73.17,275,628,229.96
15,6034,1829,4205,3230,482,0.14923,328,360,416,64,1,1,0,0,229.97,71.75,293,631,229.97
16,6062,1820,4242,5259,830,0.15782,328,352,368,74,1,0,0,0,229.97,72.82,302,631,229.97
17,6034,1779,4255,4994,516,0.10332,320,352,384,51,1,0,0,0,229.97,73.47,310,631,229.97
18,6017,1857,4160,5699,1247,0.21881,320,352,368,60,1,1,0,0,229.97,71.11,309,631,229.97
19,6066,1833,4233,5331,733,0.13750,320,336,360,44,1,0,0,0,229.97,72.67,311,631,229.97
20,6023,1824,4199,5325,899,0.16883,320,344,544,47,1,0,0,0,229.97,72.26,310,631,229.97
