t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6021,1770,4251,3850,629,0.16338,328,352,368,57,1,0,0,0,180.45,48.94,197,627,180.46
2,6061,1838,4223,3289,614,0.18668,320,344,392,57,1,0,0,0,186.54,54.35,200,627,186.55
3,6035,1826,4209,3500,323,0.09229,312,328,352,37,1,0,0,0,192.46,56.87,212,627,192.46
4,6064,1887,4177,3608,460,0.12749,320,336,368,43,1,0,0,0,198.54,58.72,216,627,198.54
5,6030,1762,4268,3131,425,0.13574,320,344,368,52,1,0,0,0,203.77,58.25,216,627,203.77
6,6025,1796,4229,3807,803,0.21093,320,352,376,59,1,0,0,0,209.35,59.96,220,627,209.35
7,6048,1803,4245,3203,475,0.14830,320,352,624,55,1,1,0,0,210.05,62.41,217,624,210.05
8,6063,1810,4253,3345,497,0.14858,320,344,368,53,1,0,0,0,215.77,64.29,217,624,215.78
9,6014,1804,4210,3365,365,0.10847,328,352,368,56,1,0,0,0,221.60,69.16,219,624,221.60
10,6035,1863,4172,3304,400,0.12107,320,352,368,55,1,0,0,0,227.01,72.09,223,624,227.01
11,6053,1773,4280,3449,602,0.17454,320,352,408,64,1,0,1,0,229.97,67.28,221,625,229.97
12,6047,1801,4246,2872,451,0.15703,328,352,368,53,1,0,0,0,229.97,66.04,215,625,229.97
13,6064,1829,4235,3760,930,0.24734,328,352,368,54,1,0,0,0,229.96,67.13,213,625,229.96
14,6065,1827,4238,3442,1006,0.29227,320,336,368,3200,1,1,0,0,229.94,70.83,219,624,229.94
15,6033,1801,4232,3591,1308,0.36424,320,344,368,3072,1,0,0,0,229.97,67.88,212,624,229.97
16,6024,1823,4201,3003,887,0.29537,320,336,352,2240,0,1,0,0,223.78,69.30,229,626,223.78
17,6022,1767,4255,2820,575,0.20390,328,360,608,59,1,0,0,0,229.31,70.85,239,626,229.31
18,6021,1818,4203,3719,640,0.17209,320,344,360,52,1,0,0,0,229.96,67.65,235,626,229.96
19,6046,1800,4246,3009,430,0.14290,328,352,392,53,1,0,0,0,229.96,67.10,232,626,229.96
20,6033,1804,4229,3862,904,0.23408,328,352,368,57,1,0,0,0,229.96,69.85,237,626,229.96
21,6027,1799,4228,3183,848,0.26642,320,352,368,54,1,0,0,0,229.96,73.00,244,626,229.96
22,6065,1773,4292,3507,934,0.26632,320,336,352,38,1,0,0,0,229.96,73.77,246,626,229.96
23,6003,1825,4178,3730,726,0.19464,320,352,368,53,1,0,0,0,229.96,75.58,247,626,229.96
24,6062,1782,4280,2501,407,0.16273,320,344,384,80,1,1,1,0,229.97,73.76,246,627,229.97
25,6040,1782,4258,4230,1008,0.23830,328,352,368,48,1,0,0,0,229.97,70.29,236,627,229.97
26,6003,1861,4142,3224,605,0.18766,328,352,376,54,1,0,0,0,229.97,72.24,244,627,229.97
27,6035,1808,4227,3589,412,0.11480,328,352,376,56,1,0,0,0,229.97,71.24,235,627,229.97
28,6049,1763,4286,3077,503,0.16347,328,352,368,56,1,0,0,0,229.97,68.54,227,627,229.97
29,6046,1843,4203,3693,584,0.15814,320,352,360,48,1,0,0,0,229.97,67.96,227,627,229.97
30,6032,1827,4205,3180,802,0.25220,320,336,360,2240,1,1,0,0,228.73,67.50,225,627,228.73
31,6036,1874,4162,3610,1100,0.30471,320,344,408,2944,1,0,0,0,229.98,62.36,211,627,229.98
32,6034,1797,4237,3577,1020,0.28516,320,336,360,2752,1,0,0,0,229.98,61.27,210,627,229.98
33,6062,1768,4294,3184,899,0.28235,320,336,360,2240,0,1,0,0,222.41,64.84,209,629,222.41
34,6033,1772,4261,2770,532,0.19206,328,360,640,59,1,0,0,0,228.00,67.85,221,629,228.00
35,6055,1829,4226,3112,731,0.23490,328,352,368,57,1,0,0,0,229.97,74.13,226,629,229.97
36,6014,1891,4123,3829,951,0.24837,328,352,368,56,1,0,0,0,229.96,70.33,218,629,229.96
37,6064,1772,4292,2941,603,0.20503,328,352,624,55,1,0,0,0,229.97,71.92,219,629,229.97
38,6066,1797,4269,3764,547,0.14532,328,360,376,62,1,0,1,0,229.96,68.46,218,630,229.96
39,6060,1807,4253,3113,617,0.19820,328,352,504,51,1,0,0,0,229.97,70.88,225,630,229.97
40,6015,1825,4190,3375,720,0.21333,328,352,560,72,1,1,0,0,224.49,62.88,224,633,224.49
41,6024,1814,4210,3488,970,0.27810,320,344,360,2752,1,0,0,0,229.47,64.53,222,633,229.47
42,6064,1856,4208,3628,899,0.24779,320,336,360,2240,1,0,0,0,229.97,67.62,221,633,229.97
43,6044,1785,4259,3399,958,0.28185,328,352,376,2688,1,0,0,0,229.97,65.61,218,633,229.97
44,6030,1814,4216,3762,1028,0.27326,328,352,368,128,1,0,0,0,229.97,66.83,216,633,229.97
