t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40107,36099,4008,35976,21537,0.59865,10,23,38,3264,1,4,0,0,56.78,0.18,3,113,56.78,37312,0,0,0,0,0,231698,38633
2,40182,36161,4021,35828,25873,0.72214,9,24,49,3008,0,1,0,0,63.96,0.22,2,113,63.96,0,0,0,0,0,0,240571,39600
3,40037,36036,4001,35474,29353,0.82745,8,23,37,80,0,0,0,0,63.96,0.14,2,113,63.96,0,0,0,0,0,0,240571,39600
4,40041,36033,4008,35383,29250,0.82667,7,20,36,84,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0,240571,39600
5,40227,36205,4022,35408,30106,0.85026,5,15,25,37,0,0,0,0,63.96,0.11,1,113,63.96,0,0,0,0,0,0,240571,39600
6,40027,36025,4002,35227,27478,0.78003,6,16,28,49,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0,240571,39600
7,40036,36032,4004,35143,28812,0.81985,6,16,28,42,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0,240571,39600
8,40022,36019,4003,35093,27428,0.78158,6,15,26,45,0,0,0,0,63.96,0.10,3,113,63.96,0,0,0,0,0,0,240571,39600
9,40040,36037,4003,35040,26021,0.74261,6,16,30,46,0,0,0,0,63.96,0.15,2,113,63.96,0,0,0,0,0,0,240571,39600
10,40028,36025,4003,35014,25771,0.73602,7,18,28,54,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0,240571,39600
11,40056,36049,4007,34967,24872,0.71130,7,19,29,86,0,0,0,0,63.96,0.16,1,113,63.96,0,0,0,0,0,0,240571,39600
12,40027,36026,4001,34942,24628,0.70483,7,18,30,49,0,0,0,0,63.96,0.04,1,113,63.96,0,0,0,0,0,0,240571,39600
13,40029,36025,4004,35976,24803,0.68943,8,21,33,3328,1,3,1,0,59.98,0.05,2,122,60.00,7232,0,0,0,0,0,266614,46167
14,40225,36203,4022,36253,23767,0.65559,9,23,38,3520,1,4,0,0,59.52,0.15,3,118,59.53,8701,0,0,0,0,0,305842,54809
15,40032,36029,4003,35867,22859,0.63733,8,22,36,3264,0,4,0,0,63.95,0.00,0,115,63.95,2713,0,0,0,0,0,342481,59453
16,40125,36112,4013,35845,25174,0.70230,7,22,36,1952,0,1,0,0,63.96,0.00,0,114,63.96,1,0,0,0,0,0,351609,59461
17,40163,36147,4016,35803,25607,0.71522,8,21,36,53,0,0,0,0,63.95,0.08,2,114,63.95,0,0,0,0,0,0,351609,59461
18,40048,36044,4004,35573,27646,0.77716,9,25,43,64,0,0,0,0,63.96,0.00,0,114,63.96,0,0,0,0,0,0,351609,59461
19,40177,36159,4018,35641,27918,0.78331,5,15,26,40,0,0,0,0,63.96,0.18,2,114,63.96,0,0,0,0,0,0,351609,59461
20,40024,36021,4003,35647,26722,0.74963,6,18,29,46,0,0,0,0,63.95,0.01,1,114,63.95,0,0,0,0,0,0,351609,59461
21,40043,36039,4004,35590,26900,0.75583,5,14,24,36,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0,351609,59461
22,40074,36067,4007,35578,25394,0.71376,6,14,23,42,0,0,0,0,63.96,0.00,0,114,63.96,0,0,0,0,0,0,351609,59461
23,40098,36088,4010,35535,25484,0.71715,6,16,29,43,0,0,0,0,63.96,0.00,0,114,63.96,0,0,0,0,0,0,351609,59461
24,40224,36201,4023,35578,22938,0.64472,8,19,27,50,0,0,0,0,63.95,0.06,1,114,63.95,0,0,0,0,0,0,351609,59461
25,40047,36042,4005,35343,20649,0.58425,10,23,34,57,0,0,0,0,63.95,0.14,2,114,63.95,0,0,0,0,0,0,351609,59461
26,40055,36050,4005,35307,21380,0.60555,10,23,34,58,0,0,0,0,63.96,0.00,0,114,63.95,0,0,0,0,0,0,351609,59461
27,40104,36094,4010,35977,22042,0.61267,7,21,34,3392,1,3,1,0,63.55,0.04,1,123,63.56,5182,0,0,0,0,0,377994,65019
28,40168,36152,4016,36168,24139,0.66741,6,21,33,3648,1,5,0,0,60.28,0.21,5,118,60.30,7849,0,0,0,0,0,425304,72903
