t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40115,36104,4011,35891,23596,0.65744,6,19,32,3520,0,4,0,0,63.95,0.29,4,113,63.95,28174,36353,16390,0,41576,20516,240572,30867
2,40044,36040,4004,35673,26024,0.72952,6,15,26,35,0,0,0,0,63.96,0.00,0,113,63.96,0,39764,18967,0,41576,20779,240572,30867
3,40077,36068,4009,35479,29263,0.82480,5,14,25,34,0,0,0,0,63.96,0.02,1,113,63.96,0,40702,19905,0,41576,20779,240572,30867
4,40020,36019,4001,35309,29248,0.82834,5,16,27,40,0,0,0,0,63.96,0.00,0,113,63.96,0,41022,20225,0,41576,20779,240572,30867
5,40023,36020,4003,35255,30013,0.85131,6,17,29,45,0,0,0,0,63.96,0.12,1,113,63.96,0,41098,20301,0,41576,20779,240572,30867
6,40183,36164,4019,35387,27598,0.77989,6,16,30,72,0,0,0,0,63.95,0.00,0,113,63.95,0,41399,20602,0,41576,20779,240572,30867
7,40033,36030,4003,35175,28741,0.81709,6,15,29,39,0,0,0,0,63.96,0.00,0,113,63.96,0,41498,20701,0,41576,20779,240572,30867
8,40035,36032,4003,35109,27403,0.78051,6,15,26,39,0,0,0,0,63.96,0.12,3,113,63.96,0,41504,20707,0,41576,20779,240572,30867
9,40028,36025,4003,35030,25998,0.74216,6,15,28,37,0,0,0,0,63.96,0.05,1,113,63.96,0,41510,20713,0,41576,20779,240572,30867
10,40045,36040,4005,34989,25689,0.73420,7,18,31,46,0,0,0,0,63.96,0.00,0,113,63.96,0,41522,20725,0,41576,20779,240572,30867
11,40024,36022,4002,34938,24942,0.71389,7,16,30,42,0,0,0,0,63.96,0.00,0,113,63.96,0,41531,20734,0,41576,20779,240572,30867
12,40142,36127,4015,34999,24641,0.70405,7,17,29,49,0,0,0,0,63.96,0.00,0,113,63.96,0,41541,20744,0,41576,20779,240572,30867
13,40018,36017,4001,35994,24701,0.68625,6,20,32,3328,1,3,1,0,63.96,11.46,9,122,63.96,6747,43964,20890,0,53215,23509,271313,37426
14,40148,36135,4013,36114,23623,0.65412,6,21,34,3520,1,5,0,0,63.94,18.01,10,117,63.94,4871,56355,24997,0,66557,28064,316860,43292
15,40034,36028,4006,35820,23350,0.65187,6,17,30,3392,0,3,0,0,63.95,0.00,0,115,63.95,1545,67012,27391,0,72348,31601,342482,45844
16,40073,36067,4006,35799,25582,0.71460,6,15,27,2176,0,1,0,0,63.96,0.00,0,114,63.96,1,69988,29692,0,72348,32052,351609,45854
17,40037,36033,4004,35711,25620,0.71743,6,14,26,33,0,0,0,0,63.95,0.00,1,114,63.95,0,71858,31562,0,72348,32052,351609,45854
18,40038,36034,4004,35576,27605,0.77594,6,14,24,31,0,0,0,0,63.95,0.00,0,114,63.95,0,72338,32042,0,72348,32052,351609,45854
19,40023,36022,4001,35492,27710,0.78074,6,14,25,31,0,0,0,0,63.96,0.00,0,114,63.96,0,72339,32043,0,72348,32052,351609,45854
20,40036,36031,4005,35621,26724,0.75023,6,15,27,35,0,0,0,0,63.95,0.00,1,114,63.95,0,72344,32048,0,72348,32052,351609,45854
21,40062,36056,4006,35600,26979,0.75784,6,17,30,44,0,0,0,0,63.95,0.00,0,114,63.95,0,72348,32052,0,72348,32052,351609,45854
22,40073,36066,4007,35551,25405,0.71461,6,16,28,46,0,0,0,0,63.96,0.24,1,114,63.96,0,72348,32052,0,72348,32052,351609,45854
23,40056,36050,4006,35483,25512,0.71899,6,14,24,32,0,0,0,0,63.96,0.00,0,114,63.96,0,72348,32052,0,72348,32052,351609,45854
24,40219,36197,4022,35526,22903,0.64468,7,15,26,40,0,0,0,0,63.95,0.00,0,114,63.95,0,72348,32052,0,72348,32052,351609,45854
25,40030,36028,4002,35340,20486,0.57968,8,18,31,46,0,0,0,0,63.95,0.19,2,114,63.95,0,72348,32052,0,72348,32052,351609,45854
26,40224,36201,4023,35470,21499,0.60612,7,17,31,44,0,0,0,0,63.95,0.00,0,114,63.95,0,72348,32052,0,72348,32052,351609,45854
27,40030,36027,4003,35938,22760,0.63331,7,21,32,3392,1,3,1,0,63.96,11.17,7,123,63.96,4986,73069,32137,0,81673,34550,377106,50002
28,40132,36119,4013,36111,23987,0.66426,6,21,32,3520,1,4,0,0,63.96,9.52,9,119,63.96,4722,84918,34668,0,94134,38478,423521,56371
29,40031,36028,4003,35719,27605,0.77284,5,18,31,3584,0,5,0,0,63.96,4.73,3,114,63.96,1687,92139,36622,0,98767,41267,457903,58485
30,40070,36064,4006,35688,28650,0.80279,5,14,24,33,0,0,0,0,63.96,0.09,1,114,63.96,0,95511,38111,0,98767,41367,457903,58485
31,40027,36023,4004,35603,28466,0.79954,5,14,24,36,0,0,0,0,63.96,0.00,0,114,63.96,0,96820,39420,0,98767,41367,457903,58485
32,40030,36026,4004,35553,27572,0.77552,6,14,24,35,0,0,0,0,63.96,0.06,3,114,63.96,0,98089,40689,0,98767,41367,457903,58485
33,40021,36020,4001,35395,27162,0.76740,6,17,29,43,0,0,0,0,63.95,0.00,0,114,63.95,0,98467,41067,0,98767,41367,457903,58485
34,40029,36025,4004,35219,27481,0.78029,6,15,26,32,0,0,0,0,63.96,0.00,0,114,63.96,0,98686,41286,0,98767,41367,457903,58485
35,40034,36032,4002,35185,27259,0.77473,6,14,23,34,0,0,0,0,63.95,0.02,1,114,63.95,0,98690,41290,0,98767,41367,457903,58485
36,40022,36020,4002,35087,26687,0.76060,6,15,26,35,0,0,0,0,63.96,0.00,0,114,63.96,0,98693,41293,0,98767,41367,457903,58485
37,40032,36028,4004,34842,28526,0.81872,6,14,22,35,0,0,0,0,63.96,0.00,0,114,63.96,0,98698,41298,0,98767,41367,457903,58485
38,40024,36022,4002,34745,28268,0.81358,6,14,23,31,0,0,0,0,63.96,0.00,0,114,63.96,0,98698,41298,0,98767,41367,457903,58485
39,40100,36089,4011,34847,27588,0.79169,6,14,24,34,0,0,0,0,63.95,0.00,0,114,63.95,0,98698,41298,0,98767,41367,457903,58485
40,40038,36035,4003,34938,25439,0.72812,6,15,25,33,0,0,0,0,63.96,0.24,1,114,63.96,0,98712,41312,0,98767,41367,457903,58485
41,40026,36023,4003,35870,22030,0.61416,7,19,33,3264,1,2,1,0,63.97,18.62,7,124,63.96,4891,100434,41428,0,108727,42736,478735,63421
42,40020,36019,4001,36169,20908,0.57806,7,22,35,3584,1,5,0,0,63.96,2.27,1,119,63.96,5168,112873,44023,0,120695,47878,523037,69027
43,40039,36034,4005,35932,22245,0.61909,6,21,34,3392,1,4,0,0,63.96,3.33,3,115,63.96,2767,123003,47450,0,128976,50548,568200,73126
44,40027,36025,4002,35811,24306,0.67873,6,15,25,66,0,1,0,0,63.96,0.12,3,114,63.96,0,127234,49421,0,128976,51163,570757,73150
45,40027,36024,4003,35716,27269,0.76350,5,14,24,32,0,0,0,0,63.96,0.00,1,114,63.96,0,128687,50874,0,128976,51163,570757,73150
46,40013,36012,4001,35646,26275,0.73711,6,17,29,43,0,0,0,0,63.96,0.12,4,114,63.96,0,128887,51074,0,128976,51163,570757,73150
47,40030,36027,4003,35669,26554,0.74446,6,15,26,39,0,0,0,0,63.96,0.00,0,114,63.96,0,128932,51119,0,128976,51163,570757,73150
48,40228,36205,4023,35848,25555,0.71287,6,18,26,49,0,0,0,0,63.96,0.06,1,114,63.96,0,128975,51162,0,128976,51163,570757,73150
49,40245,36220,4025,35814,24132,0.67381,10,24,37,62,0,0,0,0,63.96,0.00,0,114,63.96,0,128976,51163,0,128976,51163,570757,73150
50,40024,36022,4002,35537,23650,0.66550,6,14,21,33,0,0,0,0,63.96,0.00,0,114,63.95,0,128976,51163,0,128976,51163,570757,73150
51,40039,36035,4004,35447,26634,0.75138,6,14,22,32,0,0,0,0,63.95,0.02,1,114,63.95,0,128976,51163,0,128976,51163,570757,73150
52,40028,36025,4003,35448,26897,0.75877,7,19,27,55,0,0,0,0,63.95,0.00,0,114,63.95,0,128976,51163,0,128976,51163,570757,73150
53,40016,36015,4001,35351,27290,0.77197,6,14,23,33,0,0,0,0,63.95,0.00,0,114,63.95,0,128976,51163,0,128976,51163,570757,73150
54,40092,36083,4009,35232,26614,0.75539,6,15,25,31,0,0,0,0,63.95,0.00,0,114,63.95,0,128976,51163,0,128976,51163,570757,73150
55,40031,36027,4004,35791,26989,0.75407,6,17,31,3200,1,2,1,0,57.31,4.34,2,124,57.33,3438,129013,51184,0,132581,51909,587788,76047
56,40105,36095,4010,36294,25398,0.69979,7,21,33,3456,1,4,0,0,63.96,8.69,4,119,63.96,4694,133746,52045,0,140365,55040,631243,81911
57,40189,36169,4020,35987,25858,0.71854,6,19,31,3264,0,4,0,0,63.95,0.13,2,115,63.95,4474,138053,54047,0,144954,59446,664519,86835
