t,type,level,bytes
-29.919,flush_begin,0,0
-29.885,flush_end,0,6638552
-29.872,flush_begin,0,0
-29.846,flush_end,0,6638554
-29.835,flush_begin,0,0
-29.809,flush_end,0,6638553
-29.795,flush_begin,0,0
-29.766,flush_end,0,6638553
-29.754,flush_begin,0,0
-29.725,flush_end,0,6638553
-29.712,flush_begin,0,0
-29.671,flush_end,0,6638554
-29.662,flush_begin,0,0
-29.630,flush_end,0,6638552
-29.617,flush_begin,0,0
-29.582,flush_end,0,6638554
-29.568,flush_begin,0,0
-29.529,flush_end,0,6638554
-29.514,flush_begin,0,0
-29.482,flush_end,0,6638552
-29.469,flush_begin,0,0
-29.439,flush_end,0,6638553
-29.427,flush_begin,0,0
-29.396,flush_end,0,6638553
-29.384,flush_begin,0,0
-29.355,flush_end,0,6638554
-29.342,flush_begin,0,0
-29.313,flush_end,0,6638552
-29.301,flush_begin,0,0
-29.272,flush_end,0,6638554
-29.262,flush_begin,0,0
-29.235,flush_end,0,6638554
-29.219,trivial_move,3,6638552
-29.215,flush_begin,0,0
-29.186,flush_end,0,6638552
-29.171,trivial_move,3,6638554
-29.168,flush_begin,0,0
-29.138,flush_end,0,6638555
-29.122,trivial_move,3,6638553
-29.120,flush_begin,0,0
-29.091,flush_end,0,6638553
-29.076,trivial_move,3,6638553
-29.072,flush_begin,0,0
-29.043,flush_end,0,6638553
-29.028,trivial_move,3,6638553
-29.025,flush_begin,0,0
-28.998,flush_end,0,6638552
-28.980,trivial_move,3,6638554
-28.976,flush_begin,0,0
-28.946,flush_end,0,6638554
-28.931,trivial_move,3,6638552
-28.926,flush_begin,0,0
-28.892,flush_end,0,6638554
-28.876,trivial_move,3,6638554
-28.872,flush_begin,0,0
-28.842,flush_end,0,6638552
-28.826,trivial_move,3,6638554
-28.822,flush_begin,0,0
-28.793,flush_end,0,6638554
-28.776,trivial_move,3,6638552
-28.773,flush_begin,0,0
-28.744,flush_end,0,6638553
-28.728,trivial_move,3,6638553
-28.724,flush_begin,0,0
-28.694,flush_end,0,6638553
-28.678,trivial_move,3,6638553
-28.675,flush_begin,0,0
-28.645,flush_end,0,6638553
-28.628,trivial_move,3,6638554
-28.625,flush_begin,0,0
-28.596,flush_end,0,6638554
-28.580,trivial_move,3,6638552
-28.576,flush_begin,0,0
-28.543,flush_end,0,6638553
-28.526,trivial_move,3,6638554
-28.523,flush_begin,0,0
-28.485,flush_end,0,6638552
-28.468,trivial_move,3,6638554
-28.465,flush_begin,0,0
-28.421,flush_end,0,6638554
-28.404,trivial_move,3,6638552
-28.401,flush_begin,0,0
-28.372,flush_end,0,6638553
-28.356,trivial_move,3,6638555
-28.354,flush_begin,0,0
-28.326,flush_end,0,6638553
-28.310,trivial_move,3,6638553
-28.306,flush_begin,0,0
-28.280,flush_end,0,6638553
-28.265,trivial_move,3,6638553
-28.263,flush_begin,0,0
-28.235,flush_end,0,6638555
-28.220,trivial_move,3,6638552
-28.217,flush_begin,0,0
-28.191,flush_end,0,6638553
-28.175,trivial_move,3,6638554
-28.173,flush_begin,0,0
-28.147,flush_end,0,6638553
-28.133,trivial_move,3,6638554
-28.130,flush_begin,0,0
-28.105,flush_end,0,6638554
-28.090,trivial_move,3,6638552
-28.088,flush_begin,0,0
-28.063,flush_end,0,6638552
-28.048,trivial_move,3,6638554
-28.046,flush_begin,0,0
-28.021,flush_end,0,6638553
-28.005,trivial_move,3,6638553
-28.003,flush_begin,0,0
-27.977,flush_end,0,6638553
-27.963,trivial_move,3,6638553
-27.959,flush_begin,0,0
-27.933,flush_end,0,6638554
-27.917,trivial_move,3,6638553
-27.914,flush_begin,0,0
-27.889,flush_end,0,6638553
-27.872,trivial_move,3,6638554
-27.869,flush_begin,0,0
-27.842,flush_end,0,6638553
-27.827,trivial_move,3,6638553
-27.825,flush_begin,0,0
-27.796,flush_end,0,6638554
-27.782,trivial_move,3,6638552
-27.778,flush_begin,0,0
-27.748,flush_end,0,6638552
-27.732,trivial_move,3,6638554
-27.725,flush_begin,0,0
-27.690,flush_end,0,6638554
-27.674,trivial_move,3,6638553
-27.670,flush_begin,0,0
-27.636,flush_end,0,6638553
-27.620,trivial_move,3,6638553
-27.615,flush_begin,0,0
-27.579,flush_end,0,6638553
-27.563,trivial_move,3,6638553
-27.559,flush_begin,0,0
-27.527,flush_end,0,6638553
-27.512,trivial_move,3,6638555
-27.509,flush_begin,0,0
-27.476,flush_end,0,6638553
-27.459,trivial_move,3,6638553
-27.455,flush_begin,0,0
-27.420,flush_end,0,6638555
-27.404,trivial_move,3,6638553
-27.401,flush_begin,0,0
-27.363,flush_end,0,6638552
-27.346,trivial_move,3,6638554
-27.342,flush_begin,0,0
-27.302,flush_end,0,6638554
-27.285,trivial_move,3,6638552
-27.281,flush_begin,0,0
-27.240,flush_end,0,6638553
-27.223,trivial_move,3,6638553
-27.219,flush_begin,0,0
-27.190,flush_end,0,6638553
-27.173,trivial_move,3,6638553
-27.173,flush_begin,0,0
-27.147,flush_end,0,6638554
-27.132,trivial_move,3,6638554
-27.130,flush_begin,0,0
-27.102,flush_end,0,6638553
-27.086,trivial_move,3,6638553
-27.083,flush_begin,0,0
-27.058,flush_end,0,6638553
-27.042,trivial_move,3,6638553
-27.039,flush_begin,0,0
-27.012,flush_end,0,6638552
-26.997,trivial_move,3,6638554
-26.994,flush_begin,0,0
-26.966,flush_end,0,6638554
-26.950,trivial_move,3,6638552
-26.947,flush_begin,0,0
-26.919,flush_end,0,6638553
-26.903,trivial_move,3,6638554
-26.900,flush_begin,0,0
-26.874,flush_end,0,6638553
-26.858,trivial_move,3,6638553
-26.855,flush_begin,0,0
-26.827,flush_end,0,6638554
-26.812,trivial_move,3,6638553
-26.810,flush_begin,0,0
-26.781,flush_end,0,6638553
-26.762,trivial_move,3,6638553
-26.757,flush_begin,0,0
-26.717,flush_end,0,6638553
-26.701,trivial_move,3,6638553
-26.698,flush_begin,0,0
-26.655,flush_end,0,6638553
-26.635,trivial_move,3,6638555
-26.635,flush_begin,0,0
-26.605,flush_end,0,6638554
-26.590,trivial_move,3,6638552
-26.586,flush_begin,0,0
-26.556,flush_end,0,6638552
-26.540,trivial_move,3,6638554
-26.540,flush_begin,0,0
-26.532,flush_end,0,1164547
-26.522,compaction_begin,2,0
-26.489,compaction_end,2,6638145
-26.480,compaction_begin,2,0
-26.448,compaction_end,2,6638145
-26.439,compaction_begin,2,0
-26.406,compaction_end,2,6638146
-26.397,compaction_begin,2,0
-26.365,compaction_end,2,6638145
-26.356,compaction_begin,2,0
-26.324,compaction_end,2,6638145
-26.315,compaction_begin,2,0
-26.283,compaction_end,2,6638144
-26.274,compaction_begin,2,0
-26.243,compaction_end,2,6638146
-26.234,compaction_begin,2,0
-26.202,compaction_end,2,6638145
-26.193,compaction_begin,2,0
-26.161,compaction_end,2,6638145
-26.152,compaction_begin,2,0
-26.120,compaction_end,2,6638146
-26.111,compaction_begin,2,0
-26.079,compaction_end,2,6638145
-26.070,compaction_begin,2,0
-26.039,compaction_end,2,6638145
-26.030,compaction_begin,2,0
-25.998,compaction_end,2,6638145
-25.989,compaction_begin,2,0
-25.956,compaction_end,2,6638146
-25.947,compaction_begin,2,0
-25.915,compaction_end,2,6638144
-25.906,compaction_begin,2,0
-25.898,compaction_end,2,1164547
-11.772,flush_begin,0,0
-11.733,flush_end,0,6622783
-11.717,compaction_begin,1,0
-11.630,compaction_end,1,6544224
-11.607,compaction_begin,2,0
-11.326,compaction_end,2,46468050
-11.316,compaction_begin,2,0
-10.995,compaction_end,2,46468049
-10.982,compaction_begin,2,0
-10.728,compaction_end,2,46468050
-10.717,compaction_begin,2,0
-10.459,compaction_end,2,42178895
-10.448,compaction_begin,2,0
-10.222,compaction_end,2,44118863
-10.212,compaction_begin,2,0
-10.006,compaction_end,2,39829709
-9.996,compaction_begin,2,0
-9.724,compaction_end,2,46468047
-9.713,compaction_begin,2,0
-9.510,compaction_end,2,33191398
-9.501,compaction_begin,2,0
-9.325,compaction_end,2,33191398
-9.316,compaction_begin,2,0
-9.302,compaction_end,2,2495294
-8.956,compaction_begin,2,0
-8.672,compaction_end,2,46468049
2.344,flush_begin,0,0
2.383,flush_end,0,6623881
2.399,compaction_begin,1,0
2.470,compaction_end,1,6552468
2.488,compaction_begin,2,0
2.694,compaction_end,2,42179010
2.703,compaction_begin,2,0
2.924,compaction_end,2,42179010
2.933,compaction_begin,2,0
3.164,compaction_end,2,42179011
3.175,compaction_begin,2,0
3.371,compaction_end,2,33119890
3.383,compaction_begin,2,0
