t,type,level,bytes
-29.921,flush_begin,0,0
-29.894,flush_end,0,6638552
-29.884,flush_begin,0,0
-29.857,flush_end,0,6638554
-29.848,flush_begin,0,0
-29.822,flush_end,0,6638553
-29.814,flush_begin,0,0
-29.786,flush_end,0,6638553
-29.779,flush_begin,0,0
-29.751,flush_end,0,6638553
-29.743,flush_begin,0,0
-29.716,flush_end,0,6638554
-29.707,flush_begin,0,0
-29.680,flush_end,0,6638552
-29.671,flush_begin,0,0
-29.644,flush_end,0,6638554
-29.635,flush_begin,0,0
-29.607,flush_end,0,6638554
-29.599,flush_begin,0,0
-29.571,flush_end,0,6638552
-29.563,flush_begin,0,0
-29.535,flush_end,0,6638553
-29.526,flush_begin,0,0
-29.497,flush_end,0,6638553
-29.488,flush_begin,0,0
-29.461,flush_end,0,6638554
-29.452,flush_begin,0,0
-29.422,flush_end,0,6638552
-29.413,flush_begin,0,0
-29.384,flush_end,0,6638554
-29.375,flush_begin,0,0
-29.344,flush_end,0,6638554
-29.326,trivial_move,3,6638552
-29.326,flush_begin,0,0
-29.298,flush_end,0,6638552
-29.281,trivial_move,3,6638554
-29.281,flush_begin,0,0
-29.252,flush_end,0,6638555
-29.235,trivial_move,3,6638553
-29.235,flush_begin,0,0
-29.207,flush_end,0,6638553
-29.189,trivial_move,3,6638553
-29.189,flush_begin,0,0
-29.156,flush_end,0,6638553
-29.140,trivial_move,3,6638553
-29.140,flush_begin,0,0
-29.108,flush_end,0,6638552
-29.089,trivial_move,3,6638554
-29.089,flush_begin,0,0
-29.059,flush_end,0,6638554
-29.043,trivial_move,3,6638552
-29.043,flush_begin,0,0
-29.013,flush_end,0,6638554
-28.996,trivial_move,3,6638554
-28.996,flush_begin,0,0
-28.968,flush_end,0,6638552
-28.950,trivial_move,3,6638554
-28.950,flush_begin,0,0
-28.921,flush_end,0,6638554
-28.904,trivial_move,3,6638552
-28.904,flush_begin,0,0
-28.875,flush_end,0,6638553
-28.858,trivial_move,3,6638553
-28.858,flush_begin,0,0
-28.829,flush_end,0,6638553
-28.809,trivial_move,3,6638553
-28.809,flush_begin,0,0
-28.780,flush_end,0,6638553
-28.762,trivial_move,3,6638554
-28.762,flush_begin,0,0
-28.733,flush_end,0,6638554
-28.715,trivial_move,3,6638552
-28.715,flush_begin,0,0
-28.686,flush_end,0,6638553
-28.670,trivial_move,3,6638554
-28.670,flush_begin,0,0
-28.639,flush_end,0,6638552
-28.623,trivial_move,3,6638554
-28.623,flush_begin,0,0
-28.594,flush_end,0,6638554
-28.577,trivial_move,3,6638552
-28.577,flush_begin,0,0
-28.547,flush_end,0,6638553
-28.530,trivial_move,3,6638555
-28.530,flush_begin,0,0
-28.501,flush_end,0,6638553
-28.484,trivial_move,3,6638553
-28.484,flush_begin,0,0
-28.454,flush_end,0,6638553
-28.436,trivial_move,3,6638553
-28.436,flush_begin,0,0
-28.408,flush_end,0,6638555
-28.389,trivial_move,3,6638552
-28.389,flush_begin,0,0
-28.360,flush_end,0,6638553
-28.341,trivial_move,3,6638554
-28.341,flush_begin,0,0
-28.312,flush_end,0,6638553
-28.294,trivial_move,3,6638554
-28.294,flush_begin,0,0
-28.266,flush_end,0,6638554
-28.249,trivial_move,3,6638552
-28.249,flush_begin,0,0
-28.221,flush_end,0,6638552
-28.202,trivial_move,3,6638554
-28.202,flush_begin,0,0
-28.174,flush_end,0,6638553
-28.157,trivial_move,3,6638553
-28.157,flush_begin,0,0
-28.128,flush_end,0,6638553
-28.111,trivial_move,3,6638553
-28.111,flush_begin,0,0
-28.081,flush_end,0,6638554
-28.064,trivial_move,3,6638553
-28.064,flush_begin,0,0
-28.035,flush_end,0,6638553
-28.019,trivial_move,3,6638554
-28.019,flush_begin,0,0
-27.982,flush_end,0,6638553
-27.965,trivial_move,3,6638553
-27.965,flush_begin,0,0
-27.935,flush_end,0,6638554
-27.919,trivial_move,3,6638552
-27.919,flush_begin,0,0
-27.890,flush_end,0,6638552
-27.872,trivial_move,3,6638554
-27.872,flush_begin,0,0
-27.842,flush_end,0,6638554
-27.826,trivial_move,3,6638553
-27.826,flush_begin,0,0
-27.797,flush_end,0,6638553
-27.780,trivial_move,3,6638553
-27.780,flush_begin,0,0
-27.751,flush_end,0,6638553
-27.733,trivial_move,3,6638553
-27.733,flush_begin,0,0
-27.705,flush_end,0,6638553
-27.686,trivial_move,3,6638555
-27.686,flush_begin,0,0
-27.658,flush_end,0,6638553
-27.641,trivial_move,3,6638553
-27.641,flush_begin,0,0
-27.613,flush_end,0,6638555
-27.594,trivial_move,3,6638553
-27.594,flush_begin,0,0
-27.566,flush_end,0,6638552
-27.549,trivial_move,3,6638554
-27.549,flush_begin,0,0
-27.520,flush_end,0,6638554
-27.503,trivial_move,3,6638552
-27.503,flush_begin,0,0
-27.475,flush_end,0,6638553
-27.458,trivial_move,3,6638553
-27.458,flush_begin,0,0
-27.429,flush_end,0,6638553
-27.410,trivial_move,3,6638553
-27.410,flush_begin,0,0
-27.382,flush_end,0,6638554
-27.364,trivial_move,3,6638554
-27.364,flush_begin,0,0
-27.335,flush_end,0,6638553
-27.318,trivial_move,3,6638553
-27.318,flush_begin,0,0
-27.290,flush_end,0,6638553
-27.271,trivial_move,3,6638553
-27.271,flush_begin,0,0
-27.243,flush_end,0,6638552
-27.224,trivial_move,3,6638554
-27.224,flush_begin,0,0
-27.195,flush_end,0,6638554
-27.177,trivial_move,3,6638552
-27.177,flush_begin,0,0
-27.149,flush_end,0,6638553
-27.131,trivial_move,3,6638554
