t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40050,36045,4005,43796,30813,0.70356,4,11,19,488,0,1,0,0,100.08,0.33,3,113,100.09
2,40091,36081,4010,35720,32177,0.90081,4,11,19,32,0,0,0,0,113.93,0.00,0,113,113.93
3,40093,36086,4007,35475,32502,0.91619,4,11,19,34,0,0,0,0,125.14,0.16,2,113,125.16
4,40177,36157,4020,35469,31858,0.89819,5,14,25,68,0,0,0,0,127.97,0.00,0,113,127.97
5,40150,36136,4014,35385,32525,0.91917,4,11,19,31,0,0,0,0,127.97,0.12,1,113,127.97
6,40136,36122,4014,35359,31370,0.88719,5,13,24,41,0,0,0,0,127.97,0.00,0,113,127.97
7,40011,36010,4001,35152,31694,0.90163,3,11,18,31,0,0,0,0,127.97,0.00,0,113,127.97
8,40103,36093,4010,35157,30978,0.88113,5,13,25,49,0,0,0,0,127.97,0.11,4,113,127.97
9,40086,36077,4009,35064,30554,0.87138,4,12,21,38,0,0,0,0,127.97,0.18,2,113,127.97
10,40148,36133,4015,35062,30501,0.86992,4,12,21,37,0,0,0,0,127.97,0.00,0,113,127.97
11,40085,36077,4008,35052,29331,0.83679,4,12,20,38,0,0,0,0,127.97,0.00,0,113,127.97
12,40185,36167,4018,35086,29292,0.83486,4,12,21,33,0,0,0,0,127.97,0.00,0,113,127.97
13,40171,36154,4017,86399,45510,0.52674,4,13,24,3776,1,5,1,0,88.63,0.11,3,121,88.64
14,40077,36068,4009,86601,40449,0.46707,4,13,25,4224,0,6,0,0,62.86,0.14,5,115,62.86
15,40199,36180,4019,46115,26831,0.58183,3,11,20,2496,0,1,0,0,98.19,0.00,1,114,98.20
16,40009,36007,4002,35737,29646,0.82956,3,11,19,34,0,0,0,0,121.98,0.13,1,114,121.99
17,40111,36100,4011,35796,31010,0.86630,4,12,21,55,0,0,0,0,127.97,0.24,3,114,127.97
18,40067,36062,4005,35594,31137,0.87478,5,13,25,38,0,0,0,0,127.97,0.00,0,114,127.97
19,40188,36168,4020,35681,30065,0.84261,6,16,30,50,0,0,0,0,127.97,0.00,0,114,127.97
20,40063,36056,4007,35612,28847,0.81004,4,13,21,34,0,0,0,0,127.97,0.02,2,114,127.97
21,40074,36067,4007,35596,30874,0.86734,4,12,20,36,0,0,0,0,127.97,0.00,0,114,127.97
22,40115,36104,4011,35523,31393,0.88374,4,12,21,37,0,0,0,0,127.97,0.00,0,114,127.97
23,40081,36073,4008,35491,29946,0.84376,4,11,19,32,0,0,0,0,127.97,0.00,0,114,127.97
24,40078,36069,4009,35429,27739,0.78295,5,13,21,38,0,0,0,0,127.97,0.09,1,114,127.97
25,40113,36102,4011,35433,27503,0.77620,4,12,21,37,0,0,0,0,127.97,0.00,0,114,127.97
26,40113,36102,4011,35348,28233,0.79872,5,13,22,30,0,0,0,0,127.97,0.00,0,114,127.97
27,40142,36128,4014,78737,39221,0.49813,5,16,30,3648,1,4,1,0,109.41,0.11,3,122,109.41
28,40128,36115,4013,96457,43821,0.45431,3,12,22,3648,1,7,0,0,75.74,0.22,5,115,75.76
29,40177,36160,4017,38873,31159,0.80156,3,11,18,52,0,1,0,0,84.25,0.13,3,114,84.26
30,40119,36106,4013,35727,30341,0.84925,4,12,21,37,0,0,0,0,105.29,0.21,4,114,105.31
31,40133,36120,4013,35693,30673,0.85936,4,13,23,38,0,0,0,0,124.69,0.09,2,114,124.69
32,40123,36111,4012,35657,31007,0.86959,4,12,20,32,0,0,0,0,127.97,0.06,3,114,127.97
33,40016,36014,4002,35338,31690,0.89677,4,12,20,35,0,0,0,0,127.97,0.06,1,114,127.97
34,40186,36168,4018,35407,31415,0.88725,4,12,20,36,0,0,0,0,127.97,0.00,0,114,127.97
35,40117,36106,4011,35267,31534,0.89415,3,12,19,33,0,0,0,0,127.97,0.00,0,114,127.97
36,40082,36074,4008,35117,31203,0.88854,4,11,19,37,0,0,0,0,127.97,0.00,0,114,127.97
37,40016,36013,4003,34897,31470,0.90180,4,12,20,36,0,0,0,0,127.97,0.00,0,114,127.97
38,40202,36182,4020,34878,31832,0.91267,4,11,19,33,0,0,0,0,127.97,0.00,0,114,127.97
39,40060,36054,4006,34829,30196,0.86698,4,12,20,32,0,0,0,0,127.97,0.00,0,114,127.97
40,40175,36158,4017,35032,28389,0.81037,4,11,19,34,0,0,0,0,127.97,0.05,1,114,127.97
41,40154,36138,4016,73214,40470,0.55276,5,14,24,3456,1,4,1,0,103.74,0.08,2,122,103.74
42,40015,36014,4001,101295,41893,0.41357,4,13,22,3648,0,7,0,0,66.28,0.01,1,115,66.29
43,40134,36121,4013,46184,26512,0.57405,4,12,20,2240,0,1,0,0,102.51,0.19,4,114,102.51
44,40105,36094,4011,35878,28221,0.78658,4,11,20,33,0,0,0,0,127.88,0.05,2,114,127.89
45,40128,36116,4012,35768,31325,0.87578,4,12,21,39,0,0,0,0,127.97,0.01,1,114,127.97
46,40142,36128,4014,35751,30920,0.86487,4,11,20,35,0,0,0,0,127.97,0.02,1,114,127.97
47,40065,36057,4008,35708,29701,0.83177,3,11,19,34,0,0,0,0,127.97,0.00,1,114,127.97
48,40096,36087,4009,35742,28610,0.80046,4,12,20,53,0,0,0,0,127.97,0.00,0,114,127.97
49,40157,36141,4016,35710,29543,0.82730,4,12,20,30,0,0,0,0,127.97,0.00,0,114,127.97
50,40018,36016,4002,35512,29738,0.83741,4,12,20,40,0,0,0,0,127.97,0.02,1,114,127.97
51,40015,36013,4002,35442,29892,0.84341,4,13,21,43,0,0,0,0,127.97,0.05,1,114,127.97
52,40068,36062,4006,35439,30401,0.85784,4,12,21,43,0,0,0,0,127.97,0.00,0,114,127.97
53,40097,36088,4009,35402,31930,0.90193,4,12,21,36,0,0,0,0,127.97,0.00,0,114,127.97
54,40104,36093,4011,35263,32274,0.91524,4,11,19,28,0,0,0,0,127.97,0.00,0,114,127.97
55,40081,36075,4006,68354,41372,0.60526,3,12,22,3328,1,3,1,0,106.71,0.00,0,123,106.72
56,40260,36233,4027,107609,44734,0.41571,3,13,23,4032,0,8,0,0,60.63,0.44,6,114,60.64
57,40039,36035,4004,35769,28734,0.80332,3,11,19,31,0,0,0,0,88.12,0.63,5,114,88.13
58,40006,36004,4002,44687,32879,0.73576,3,11,19,2304,0,1,0,0,98.77,0.45,5,113,98.79
59,40043,36039,4004,35595,30263,0.85020,4,11,20,32,0,0,0,0,119.61,0.00,0,113,119.62
60,40199,36179,4020,35742,29520,0.82592,4,12,21,35,0,0,0,0,127.97,0.11,2,113,127.97
61,40143,36129,4014,35628,30975,0.86940,4,12,20,33,0,0,0,0,127.97,0.00,0,113,127.97
62,40060,36054,4006,35536,29590,0.83268,4,11,18,32,0,0,0,0,127.97,0.00,0,113,127.97
63,40047,36042,4005,35609,29106,0.81738,4,12,21,35,0,0,0,0,127.97,0.02,2,113,127.97
64,40080,36072,4008,35700,28012,0.78465,4,12,21,40,0,0,0,0,127.97,0.00,0,113,127.97
65,40092,36083,4009,35664,29201,0.81878,4,13,23,47,0,0,0,0,127.97,0.00,0,113,127.97
66,40096,36088,4008,35500,29784,0.83899,4,13,25,47,0,0,0,0,127.97,0.00,0,113,127.97
