t,type,level,bytes
-29.878,flush_begin,0,0
-29.863,flush_end,0,6638552
-29.853,flush_begin,0,0
-29.836,flush_end,0,6638554
-29.827,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.802,flush_begin,0,0
-29.785,flush_end,0,6638553
-29.775,flush_begin,0,0
-29.760,flush_end,0,6638553
-29.752,flush_begin,0,0
-29.735,flush_end,0,6638554
-29.726,flush_begin,0,0
-29.710,flush_end,0,6638552
-29.700,flush_begin,0,0
-29.683,flush_end,0,6638554
-29.674,flush_begin,0,0
-29.658,flush_end,0,6638554
-29.649,flush_begin,0,0
-29.633,flush_end,0,6638552
-29.623,flush_begin,0,0
-29.607,flush_end,0,6638553
-29.598,flush_begin,0,0
-29.582,flush_end,0,6638553
-29.573,flush_begin,0,0
-29.557,flush_end,0,6638554
-29.548,flush_begin,0,0
-29.532,flush_end,0,6638552
-29.523,flush_begin,0,0
-29.507,flush_end,0,6638554
-29.498,flush_begin,0,0
-29.482,flush_end,0,6638554
-29.466,trivial_move,3,6638552
-29.465,flush_begin,0,0
-29.449,flush_end,0,6638552
-29.434,trivial_move,3,6638554
-29.433,flush_begin,0,0
-29.417,flush_end,0,6638555
-29.401,trivial_move,3,6638553
-29.400,flush_begin,0,0
-29.384,flush_end,0,6638553
-29.369,trivial_move,3,6638553
-29.368,flush_begin,0,0
-29.351,flush_end,0,6638553
-29.335,trivial_move,3,6638553
-29.334,flush_begin,0,0
-29.317,flush_end,0,6638552
-29.301,trivial_move,3,6638554
-29.300,flush_begin,0,0
-29.282,flush_end,0,6638554
-29.266,trivial_move,3,6638552
-29.265,flush_begin,0,0
-29.248,flush_end,0,6638554
-29.232,trivial_move,3,6638554
-29.231,flush_begin,0,0
-29.214,flush_end,0,6638552
-29.198,trivial_move,3,6638554
-29.197,flush_begin,0,0
-29.180,flush_end,0,6638554
-29.164,trivial_move,3,6638552
-29.163,flush_begin,0,0
-29.146,flush_end,0,6638553
-29.130,trivial_move,3,6638553
-29.129,flush_begin,0,0
-29.112,flush_end,0,6638553
-29.096,trivial_move,3,6638553
-29.095,flush_begin,0,0
-29.078,flush_end,0,6638553
-29.066,trivial_move,3,6638554
-29.065,flush_begin,0,0
-29.048,flush_end,0,6638554
-29.032,trivial_move,3,6638552
-29.031,flush_begin,0,0
-29.015,flush_end,0,6638553
-28.999,trivial_move,3,6638554
-28.998,flush_begin,0,0
-28.981,flush_end,0,6638552
-28.966,trivial_move,3,6638554
-28.965,flush_begin,0,0
-28.949,flush_end,0,6638554
-28.933,trivial_move,3,6638552
-28.932,flush_begin,0,0
-28.916,flush_end,0,6638553
-28.901,trivial_move,3,6638555
-28.899,flush_begin,0,0
-28.883,flush_end,0,6638553
-28.869,trivial_move,3,6638553
-28.868,flush_begin,0,0
-28.851,flush_end,0,6638553
-28.835,trivial_move,3,6638553
-28.834,flush_begin,0,0
-28.818,flush_end,0,6638555
-28.802,trivial_move,3,6638552
-28.801,flush_begin,0,0
-28.785,flush_end,0,6638553
-28.769,trivial_move,3,6638554
-28.768,flush_begin,0,0
-28.751,flush_end,0,6638553
-28.734,trivial_move,3,6638554
-28.734,flush_begin,0,0
-28.717,flush_end,0,6638554
-28.701,trivial_move,3,6638552
-28.700,flush_begin,0,0
-28.682,flush_end,0,6638552
-28.666,trivial_move,3,6638554
-28.666,flush_begin,0,0
-28.649,flush_end,0,6638553
-28.633,trivial_move,3,6638553
-28.632,flush_begin,0,0
-28.615,flush_end,0,6638553
-28.599,trivial_move,3,6638553
-28.598,flush_begin,0,0
-28.581,flush_end,0,6638554
-28.566,trivial_move,3,6638553
-28.565,flush_begin,0,0
-28.548,flush_end,0,6638553
-28.532,trivial_move,3,6638554
-28.531,flush_begin,0,0
-28.514,flush_end,0,6638553
-28.498,trivial_move,3,6638553
-28.497,flush_begin,0,0
-28.481,flush_end,0,6638554
-28.464,trivial_move,3,6638552
-28.463,flush_begin,0,0
-28.446,flush_end,0,6638552
-28.430,trivial_move,3,6638554
-28.429,flush_begin,0,0
-28.412,flush_end,0,6638554
-28.396,trivial_move,3,6638553
-28.395,flush_begin,0,0
-28.377,flush_end,0,6638553
-28.361,trivial_move,3,6638553
-28.360,flush_begin,0,0
-28.343,flush_end,0,6638553
-28.327,trivial_move,3,6638553
-28.326,flush_begin,0,0
-28.309,flush_end,0,6638553
-28.293,trivial_move,3,6638555
-28.292,flush_begin,0,0
-28.275,flush_end,0,6638553
-28.259,trivial_move,3,6638553
-28.258,flush_begin,0,0
-28.241,flush_end,0,6638555
-28.225,trivial_move,3,6638553
-28.224,flush_begin,0,0
-28.207,flush_end,0,6638552
-28.190,trivial_move,3,6638554
-28.189,flush_begin,0,0
-28.172,flush_end,0,6638554
-28.156,trivial_move,3,6638552
-28.155,flush_begin,0,0
-28.138,flush_end,0,6638553
-28.122,trivial_move,3,6638553
-28.120,flush_begin,0,0
-28.103,flush_end,0,6638553
-28.087,trivial_move,3,6638553
-28.086,flush_begin,0,0
-28.068,flush_end,0,6638554
-28.051,trivial_move,3,6638554
-28.050,flush_begin,0,0
-28.031,flush_end,0,6638553
-28.010,trivial_move,3,6638553
-28.010,flush_begin,0,0
-27.992,flush_end,0,6638553
-27.974,trivial_move,3,6638553
-27.974,flush_begin,0,0
-27.956,flush_end,0,6638552
-27.938,trivial_move,3,6638554
-27.938,flush_begin,0,0
-27.919,flush_end,0,6638554
-27.897,trivial_move,3,6638552
-27.897,flush_begin,0,0
-27.879,flush_end,0,6638553
-27.864,trivial_move,3,6638554
-27.864,flush_begin,0,0
-27.847,flush_end,0,6638553
-27.831,trivial_move,3,6638553
-27.831,flush_begin,0,0
-27.813,flush_end,0,6638554
-27.797,trivial_move,3,6638553
-27.796,flush_begin,0,0
-27.780,flush_end,0,6638553
-27.764,trivial_move,3,6638553
-27.763,flush_begin,0,0
-27.745,flush_end,0,6638553
-27.729,trivial_move,3,6638553
-27.728,flush_begin,0,0
-27.712,flush_end,0,6638553
-27.696,trivial_move,3,6638555
-27.695,flush_begin,0,0
-27.679,flush_end,0,6638554
-27.662,trivial_move,3,6638552
-27.661,flush_begin,0,0
-27.645,flush_end,0,6638552
-27.629,trivial_move,3,6638554
-27.629,flush_begin,0,0
-27.623,flush_end,0,1164547
-27.615,compaction_begin,2,0
-27.588,compaction_end,2,6638145
-27.581,compaction_begin,2,0
-27.559,compaction_end,2,6638145
-27.551,compaction_begin,2,0
-27.530,compaction_end,2,6638146
-27.522,compaction_begin,2,0
-27.500,compaction_end,2,6638145
-27.492,compaction_begin,2,0
-27.471,compaction_end,2,6638145
-27.463,compaction_begin,2,0
-27.441,compaction_end,2,6638144
-27.433,compaction_begin,2,0
-27.411,compaction_end,2,6638146
-27.403,compaction_begin,2,0
-27.381,compaction_end,2,6638145
-27.373,compaction_begin,2,0
-27.351,compaction_end,2,6638145
-27.343,compaction_begin,2,0
-27.320,compaction_end,2,6638146
-27.312,compaction_begin,2,0
-27.290,compaction_end,2,6638145
-27.282,compaction_begin,2,0
-27.260,compaction_end,2,6638145
-27.252,compaction_begin,2,0
-27.231,compaction_end,2,6638145
-27.224,compaction_begin,2,0
-27.202,compaction_end,2,6638146
-27.194,compaction_begin,2,0
-27.173,compaction_end,2,6638144
-27.165,compaction_begin,2,0
-27.158,compaction_end,2,1164547
-13.033,flush_begin,0,0
-13.011,flush_end,0,6622651
-12.994,compaction_begin,1,0
-12.928,compaction_end,1,6543382
-12.911,compaction_begin,2,0
-12.746,compaction_end,2,46468050
-12.735,compaction_begin,2,0
-12.584,compaction_end,2,46468049
-12.574,compaction_begin,2,0
-12.417,compaction_end,2,46468050
-12.406,compaction_begin,2,0
-12.278,compaction_end,2,42178895
-12.267,compaction_begin,2,0
-12.116,compaction_end,2,46468047
-12.105,compaction_begin,2,0
-11.971,compaction_end,2,39829709
-11.961,compaction_begin,2,0
-11.857,compaction_end,2,33191398
-11.847,compaction_begin,2,0
-11.701,compaction_end,2,44118863
-11.691,compaction_begin,2,0
-11.578,compaction_end,2,33191398
-11.569,compaction_begin,2,0
-11.428,compaction_end,2,46468049
-11.416,compaction_begin,2,0
-11.406,compaction_end,2,2504587
1.083,flush_begin,0,0
1.107,flush_end,0,6623931
1.123,compaction_begin,1,0
1.191,compaction_end,1,6550197
1.210,compaction_begin,2,0
1.367,compaction_end,2,42179010
1.377,compaction_begin,2,0
1.514,compaction_end,2,42179009
1.525,compaction_begin,2,0
1.665,compaction_end,2,42179011
1.676,compaction_begin,2,0
1.820,compaction_end,2,43300039
1.830,compaction_begin,2,0
1.962,compaction_end,2,42890503
1.973,compaction_begin,2,0
2.130,compaction_end,2,45239611
2.141,compaction_begin,2,0
2.285,compaction_end,2,42179011
2.295,compaction_begin,2,0
2.430,compaction_end,2,42179010
2.440,compaction_begin,2,0
