t,type,level,bytes
-29.928,flush_begin,0,0
-29.911,flush_end,0,6638552
-29.901,flush_begin,0,0
-29.884,flush_end,0,6638554
-29.875,flush_begin,0,0
-29.858,flush_end,0,6638553
-29.849,flush_begin,0,0
-29.831,flush_end,0,6638553
-29.822,flush_begin,0,0
-29.805,flush_end,0,6638553
-29.797,flush_begin,0,0
-29.780,flush_end,0,6638554
-29.771,flush_begin,0,0
-29.755,flush_end,0,6638552
-29.746,flush_begin,0,0
-29.729,flush_end,0,6638554
-29.720,flush_begin,0,0
-29.704,flush_end,0,6638554
-29.695,flush_begin,0,0
-29.678,flush_end,0,6638552
-29.669,flush_begin,0,0
-29.653,flush_end,0,6638553
-29.644,flush_begin,0,0
-29.628,flush_end,0,6638553
-29.619,flush_begin,0,0
-29.602,flush_end,0,6638554
-29.593,flush_begin,0,0
-29.576,flush_end,0,6638552
-29.568,flush_begin,0,0
-29.551,flush_end,0,6638554
-29.542,flush_begin,0,0
-29.525,flush_end,0,6638554
-29.506,trivial_move,3,6638552
-29.506,flush_begin,0,0
-29.489,flush_end,0,6638552
-29.473,trivial_move,3,6638554
-29.473,flush_begin,0,0
-29.456,flush_end,0,6638555
-29.440,trivial_move,3,6638553
-29.440,flush_begin,0,0
-29.423,flush_end,0,6638553
-29.406,trivial_move,3,6638553
-29.406,flush_begin,0,0
-29.388,flush_end,0,6638553
-29.370,trivial_move,3,6638553
-29.370,flush_begin,0,0
-29.352,flush_end,0,6638552
-29.344,flush_begin,0,0
-29.326,flush_end,0,6638554
-29.310,trivial_move,3,6638554
-29.310,flush_begin,0,0
-29.293,flush_end,0,6638554
-29.275,trivial_move,3,6638552
-29.275,flush_begin,0,0
-29.257,flush_end,0,6638552
-29.239,trivial_move,3,6638554
-29.239,flush_begin,0,0
-29.221,flush_end,0,6638554
-29.202,trivial_move,3,6638554
-29.202,flush_begin,0,0
-29.185,flush_end,0,6638553
-29.167,trivial_move,3,6638552
-29.167,flush_begin,0,0
-29.149,flush_end,0,6638553
-29.131,trivial_move,3,6638553
-29.131,flush_begin,0,0
-29.113,flush_end,0,6638553
-29.097,trivial_move,3,6638553
-29.088,trivial_move,3,6638554
-29.088,flush_begin,0,0
-29.069,flush_end,0,6638554
-29.054,trivial_move,3,6638552
-29.054,flush_begin,0,0
-29.036,flush_end,0,6638553
-29.028,flush_begin,0,0
-29.010,flush_end,0,6638552
-28.993,trivial_move,3,6638554
-28.993,flush_begin,0,0
-28.977,flush_end,0,6638554
-28.961,trivial_move,3,6638554
-28.961,flush_begin,0,0
-28.943,flush_end,0,6638553
-28.925,trivial_move,3,6638552
-28.925,flush_begin,0,0
-28.908,flush_end,0,6638553
-28.890,trivial_move,3,6638555
-28.890,flush_begin,0,0
-28.873,flush_end,0,6638553
-28.856,trivial_move,3,6638553
-28.856,flush_begin,0,0
-28.839,flush_end,0,6638555
-28.820,trivial_move,3,6638553
-28.820,flush_begin,0,0
-28.803,flush_end,0,6638553
-28.786,trivial_move,3,6638552
-28.786,flush_begin,0,0
-28.770,flush_end,0,6638553
-28.751,trivial_move,3,6638554
-28.751,flush_begin,0,0
-28.734,flush_end,0,6638554
-28.716,trivial_move,3,6638554
-28.716,flush_begin,0,0
-28.699,flush_end,0,6638552
-28.681,trivial_move,3,6638552
-28.681,flush_begin,0,0
-28.664,flush_end,0,6638553
-28.646,trivial_move,3,6638554
-28.646,flush_begin,0,0
-28.628,flush_end,0,6638553
-28.612,trivial_move,3,6638553
-28.612,flush_begin,0,0
-28.595,flush_end,0,6638554
-28.579,trivial_move,3,6638553
-28.579,flush_begin,0,0
-28.561,flush_end,0,6638553
-28.545,trivial_move,3,6638553
-28.545,flush_begin,0,0
-28.528,flush_end,0,6638553
-28.512,trivial_move,3,6638554
-28.512,flush_begin,0,0
-28.494,flush_end,0,6638554
-28.478,trivial_move,3,6638553
-28.468,trivial_move,3,6638552
-28.468,flush_begin,0,0
-28.450,flush_end,0,6638552
-28.433,trivial_move,3,6638554
-28.433,flush_begin,0,0
-28.415,flush_end,0,6638554
-28.399,trivial_move,3,6638553
-28.399,flush_begin,0,0
-28.380,flush_end,0,6638553
-28.364,trivial_move,3,6638553
-28.364,flush_begin,0,0
-28.346,flush_end,0,6638553
-28.330,trivial_move,3,6638553
-28.330,flush_begin,0,0
-28.311,flush_end,0,6638553
-28.296,trivial_move,3,6638555
-28.295,flush_begin,0,0
-28.278,flush_end,0,6638553
-28.262,trivial_move,3,6638553
-28.262,flush_begin,0,0
-28.243,flush_end,0,6638555
-28.227,trivial_move,3,6638553
-28.227,flush_begin,0,0
-28.210,flush_end,0,6638552
-28.194,trivial_move,3,6638554
-28.194,flush_begin,0,0
-28.176,flush_end,0,6638554
-28.161,trivial_move,3,6638552
-28.161,flush_begin,0,0
-28.143,flush_end,0,6638553
-28.125,trivial_move,3,6638553
-28.125,flush_begin,0,0
