t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40032,36028,4004,35781,24532,0.68562,3,11,18,26,0,0,0,0,118.09,0.22,4,113,118.11,73691,0,0,0,0,0,251320,74723
2,40018,36016,4002,35821,25639,0.71575,3,13,20,26,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
3,40183,36165,4018,35806,28504,0.79607,2,13,19,27,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
4,40029,36026,4003,35590,26921,0.75642,3,11,18,26,0,0,0,0,127.97,0.05,2,113,127.97,0,0,0,0,0,0,251320,74723
5,40017,36016,4001,35689,21817,0.61131,3,10,17,25,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
6,40070,36063,4007,35647,23303,0.65372,3,10,17,25,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
7,40016,36015,4001,35594,23159,0.65064,3,12,19,25,0,0,0,0,127.97,0.07,1,113,127.97,0,0,0,0,0,0,251320,74723
8,40009,36007,4002,35550,20203,0.56830,4,13,19,25,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
9,40029,36026,4003,35399,23439,0.66214,4,12,18,26,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
10,40013,36012,4001,35384,23543,0.66536,5,12,18,26,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
11,40065,36059,4006,35279,23950,0.67887,6,14,22,33,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
12,40035,36031,4004,35384,22728,0.64232,7,15,25,36,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251320,74723
13,40139,36125,4014,36161,22495,0.62208,4,14,24,3520,1,5,1,0,93.34,0.05,3,120,93.35,19003,0,0,0,0,0,300499,93061
14,40019,36017,4002,36025,17167,0.47653,4,11,19,3648,0,6,0,0,89.19,0.07,4,114,89.21,15480,0,0,0,0,0,355284,110178
15,40021,36019,4002,35830,21615,0.60327,5,12,19,2816,0,2,0,0,127.97,0.28,7,112,127.97,3158,0,0,0,0,0,366506,113336
16,40138,36124,4014,35858,23088,0.64387,6,14,22,26,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
17,40034,36030,4004,35759,24037,0.67219,6,15,25,32,0,0,0,0,127.97,0.03,1,112,127.97,0,0,0,0,0,0,366506,113336
18,40230,36208,4022,35925,25185,0.70104,6,16,25,36,0,0,0,0,127.97,0.12,1,112,127.97,0,0,0,0,0,0,366506,113336
19,40022,36020,4002,35591,25254,0.70956,7,19,25,50,0,0,0,0,127.97,0.03,1,112,127.97,0,0,0,0,0,0,366506,113336
20,40210,36188,4022,35706,24296,0.68045,8,20,27,52,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
21,40175,36158,4017,35646,26848,0.75318,8,20,27,50,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
22,40224,36202,4022,35651,27706,0.77715,7,19,27,55,0,0,0,0,127.97,0.09,1,112,127.97,0,0,0,0,0,0,366506,113336
23,40185,36166,4019,35598,26869,0.75479,5,13,22,33,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
24,40030,36027,4003,35427,26303,0.74246,4,11,18,34,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
25,40220,36198,4022,35521,20777,0.58492,9,22,31,63,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
26,40144,36130,4014,35395,21658,0.61189,11,23,34,61,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366506,113336
27,40189,36165,4024,36005,24931,0.69243,5,20,29,3584,0,5,1,0,99.32,0.29,6,121,99.43,15137,0,0,0,0,0,408799,128966
