t,type,level,bytes
-29.913,flush_begin,0,0
-29.896,flush_end,0,6638552
-29.886,flush_begin,0,0
-29.870,flush_end,0,6638554
-29.861,flush_begin,0,0
-29.845,flush_end,0,6638553
-29.836,flush_begin,0,0
-29.820,flush_end,0,6638553
-29.811,flush_begin,0,0
-29.794,flush_end,0,6638553
-29.785,flush_begin,0,0
-29.768,flush_end,0,6638554
-29.759,flush_begin,0,0
-29.743,flush_end,0,6638552
-29.734,flush_begin,0,0
-29.718,flush_end,0,6638554
-29.708,flush_begin,0,0
-29.691,flush_end,0,6638554
-29.683,flush_begin,0,0
-29.665,flush_end,0,6638552
-29.656,flush_begin,0,0
-29.640,flush_end,0,6638553
-29.630,flush_begin,0,0
-29.612,flush_end,0,6638553
-29.603,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.577,flush_begin,0,0
-29.560,flush_end,0,6638552
-29.551,flush_begin,0,0
-29.535,flush_end,0,6638554
-29.526,flush_begin,0,0
-29.509,flush_end,0,6638554
-29.494,trivial_move,3,6638552
-29.493,flush_begin,0,0
-29.477,flush_end,0,6638552
-29.462,trivial_move,3,6638554
-29.461,flush_begin,0,0
-29.444,flush_end,0,6638555
-29.428,trivial_move,3,6638553
-29.427,flush_begin,0,0
-29.410,flush_end,0,6638553
-29.394,trivial_move,3,6638553
-29.393,flush_begin,0,0
-29.376,flush_end,0,6638553
-29.360,trivial_move,3,6638553
-29.359,flush_begin,0,0
-29.343,flush_end,0,6638552
-29.327,trivial_move,3,6638554
-29.326,flush_begin,0,0
-29.309,flush_end,0,6638554
-29.293,trivial_move,3,6638552
-29.291,flush_begin,0,0
-29.274,flush_end,0,6638554
-29.259,trivial_move,3,6638554
-29.258,flush_begin,0,0
-29.241,flush_end,0,6638552
-29.226,trivial_move,3,6638554
-29.225,flush_begin,0,0
-29.207,flush_end,0,6638554
-29.192,trivial_move,3,6638552
-29.191,flush_begin,0,0
-29.174,flush_end,0,6638553
-29.158,trivial_move,3,6638553
-29.157,flush_begin,0,0
-29.139,flush_end,0,6638553
-29.123,trivial_move,3,6638553
-29.122,flush_begin,0,0
-29.104,flush_end,0,6638553
-29.089,trivial_move,3,6638554
-29.087,flush_begin,0,0
-29.070,flush_end,0,6638554
-29.054,trivial_move,3,6638552
-29.053,flush_begin,0,0
-29.036,flush_end,0,6638553
-29.020,trivial_move,3,6638554
-29.019,flush_begin,0,0
-29.002,flush_end,0,6638552
-28.986,trivial_move,3,6638554
-28.985,flush_begin,0,0
-28.967,flush_end,0,6638554
-28.952,trivial_move,3,6638552
-28.950,flush_begin,0,0
-28.933,flush_end,0,6638553
-28.917,trivial_move,3,6638555
-28.916,flush_begin,0,0
-28.898,flush_end,0,6638553
-28.882,trivial_move,3,6638553
-28.881,flush_begin,0,0
-28.863,flush_end,0,6638553
-28.848,trivial_move,3,6638553
-28.847,flush_begin,0,0
-28.828,flush_end,0,6638555
-28.813,trivial_move,3,6638552
-28.812,flush_begin,0,0
-28.794,flush_end,0,6638553
-28.779,trivial_move,3,6638554
-28.778,flush_begin,0,0
-28.761,flush_end,0,6638553
-28.745,trivial_move,3,6638554
-28.744,flush_begin,0,0
-28.726,flush_end,0,6638554
-28.711,trivial_move,3,6638552
-28.710,flush_begin,0,0
-28.693,flush_end,0,6638552
-28.678,trivial_move,3,6638554
-28.677,flush_begin,0,0
-28.659,flush_end,0,6638553
-28.644,trivial_move,3,6638553
-28.643,flush_begin,0,0
-28.626,flush_end,0,6638553
-28.610,trivial_move,3,6638553
-28.609,flush_begin,0,0
-28.591,flush_end,0,6638554
-28.575,trivial_move,3,6638553
-28.574,flush_begin,0,0
-28.557,flush_end,0,6638553
-28.541,trivial_move,3,6638554
-28.540,flush_begin,0,0
-28.522,flush_end,0,6638553
-28.507,trivial_move,3,6638553
-28.506,flush_begin,0,0
-28.489,flush_end,0,6638554
-28.473,trivial_move,3,6638552
-28.471,flush_begin,0,0
-28.455,flush_end,0,6638552
-28.439,trivial_move,3,6638554
-28.437,flush_begin,0,0
-28.420,flush_end,0,6638554
-28.404,trivial_move,3,6638553
-28.403,flush_begin,0,0
-28.386,flush_end,0,6638553
-28.369,trivial_move,3,6638553
-28.368,flush_begin,0,0
-28.351,flush_end,0,6638553
-28.335,trivial_move,3,6638553
-28.334,flush_begin,0,0
-28.316,flush_end,0,6638553
-28.301,trivial_move,3,6638555
