t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40247,36221,4026,35970,23768,0.66077,8,20,26,51,0,0,0,0,127.97,15.27,11,113,127.97,60710,33850,9952,0,43333,13935,251317,62290
2,40050,36046,4004,35828,24592,0.68639,9,22,31,54,0,0,0,0,127.97,0.12,2,113,127.97,0,40534,11167,0,43333,13935,251317,62290
3,40234,36210,4024,35842,28674,0.80001,9,21,30,57,0,0,0,0,127.97,0.00,0,113,127.97,0,41857,12459,0,43333,13935,251317,62290
4,40217,36195,4022,35785,27180,0.75954,8,20,28,54,0,0,0,0,127.97,0.00,1,113,127.97,0,42063,12665,0,43333,13935,251317,62290
5,40066,36060,4006,35734,21890,0.61258,9,21,30,51,0,0,0,0,127.97,0.00,0,113,127.97,0,42347,12949,0,43333,13935,251317,62290
6,40199,36179,4020,35763,23382,0.65380,10,23,33,56,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
7,40163,36147,4016,35714,23243,0.65081,10,22,32,52,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
8,40224,36201,4023,35772,20161,0.56360,10,22,32,55,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
9,40205,36185,4020,35550,23526,0.66177,10,23,32,56,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
10,40146,36131,4015,35499,23666,0.66667,10,23,32,57,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
11,40032,36031,4001,35209,23802,0.67602,10,22,32,57,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
12,40227,36202,4025,35575,22837,0.64194,9,20,27,51,0,0,0,0,127.97,0.00,0,113,127.97,0,43333,13935,0,43333,13935,251317,62290
13,40227,36205,4022,36268,24350,0.67139,4,14,24,3648,1,5,1,0,116.76,14.84,9,120,116.77,14551,43485,14022,0,54334,15315,299543,76135
14,40057,36050,4007,36083,21134,0.58571,4,11,20,3776,1,6,0,0,127.97,32.82,18,114,127.97,10240,52940,14883,0,73234,20095,356276,87733
15,40021,36020,4001,35845,21492,0.59958,5,13,20,2944,0,2,0,0,127.97,16.65,8,112,127.97,36,65902,17176,0,76110,21529,366508,87847
16,40047,36042,4005,35768,23692,0.66238,9,21,30,63,0,0,0,0,127.97,0.43,2,112,127.97,0,71244,18317,0,76110,22676,366508,87847
17,40226,36204,4022,35944,24138,0.67154,9,22,31,54,0,0,0,0,127.97,0.00,0,112,127.97,0,72863,19438,0,76110,22685,366508,87847
18,40060,36053,4007,35726,25015,0.70019,9,22,32,54,0,0,0,0,127.97,0.23,1,112,127.97,0,74495,21070,0,76110,22685,366508,87847
19,40058,36053,4005,35598,25008,0.70251,9,22,31,55,0,0,0,0,127.97,0.09,2,112,127.97,0,75361,21936,0,76110,22685,366508,87847
20,40257,36231,4026,35756,24637,0.68903,9,21,30,53,0,0,0,0,127.97,0.00,0,112,127.97,0,75521,22096,0,76110,22685,366508,87847
21,40040,36036,4004,35492,26620,0.75003,8,20,27,53,0,0,0,0,127.97,0.00,0,112,127.97,0,75616,22191,0,76110,22685,366508,87847
22,40118,36107,4011,35528,27807,0.78268,9,22,30,57,0,0,0,0,127.97,0.00,0,112,127.97,0,75663,22238,0,76110,22685,366508,87847
23,40236,36212,4024,35626,26798,0.75220,9,21,30,56,0,0,0,0,127.97,0.00,0,112,127.97,0,75676,22251,0,76110,22685,366508,87847
24,40193,36174,4019,35544,26359,0.74159,10,22,32,55,0,0,0,0,127.97,0.00,0,112,127.97,0,75679,22254,0,76110,22685,366508,87847
25,40203,36182,4021,35533,20682,0.58205,10,22,31,52,0,0,0,0,127.97,0.00,0,112,127.97,0,75705,22280,0,76110,22685,366508,87847
26,40017,36014,4003,35342,21854,0.61836,10,23,33,56,0,0,0,0,127.97,0.00,0,112,127.97,0,75825,22400,0,76110,22685,366508,87847
27,40075,36072,4003,35987,25336,0.70403,5,20,31,3584,0,5,1,0,110.54,27.83,14,120,108.83,13778,76384,22790,0,88943,24106,408841,102207
28,40186,36164,4022,36145,22300,0.61696,3,11,20,3648,0,6,0,0,127.97,46.52,20,114,127.97,11858,87594,23265,0,109500,28280,469999,114730
29,40217,36195,4022,36018,23319,0.64743,5,14,21,2624,0,1,0,0,127.97,2.36,4,113,127.97,467,99573,24667,0,111724,31652,480327,115221
30,40056,36050,4006,35781,23396,0.65387,9,21,30,51,0,0,0,0,127.97,0.07,2,113,127.97,0,105666,26185,0,111724,32121,480327,115221
31,40066,36060,4006,35752,24563,0.68704,9,21,29,52,0,0,0,0,127.97,0.00,0,113,127.97,0,108429,28826,0,111724,32121,480327,115221
32,40068,36062,4006,35798,22834,0.63786,10,22,33,55,0,0,0,0,127.97,0.00,0,113,127.97,0,110054,30451,0,111724,32121,480327,115221
33,40162,36145,4017,35739,24520,0.68609,10,22,32,54,0,0,0,0,127.97,0.09,1,113,127.97,0,110604,31001,0,111724,32121,480327,115221
34,40060,36054,4006,35569,25384,0.71366,8,20,27,63,0,1,0,0,127.97,0.01,1,112,127.97,70,110954,31351,0,111724,32121,481699,115291
35,40085,36077,4008,35516,23186,0.65283,9,20,28,52,0,0,0,0,127.98,0.00,0,112,127.97,0,111308,31705,0,111724,32121,481699,115291
36,40101,36091,4010,35519,22772,0.64112,10,23,33,58,0,0,0,0,127.97,0.00,0,112,127.97,0,111420,31817,0,111724,32121,481699,115291
37,40168,36151,4017,35379,22694,0.64145,10,22,31,53,0,0,0,0,127.97,0.00,0,112,127.97,0,111646,32043,0,111724,32121,481699,115291
38,40255,36229,4026,35236,26699,0.75772,9,21,30,55,0,0,0,0,127.97,0.00,0,112,127.97,0,111660,32057,0,111724,32121,481699,115291
39,40247,36223,4024,34975,25997,0.74330,8,20,27,53,0,0,0,0,127.97,0.00,0,112,127.97,0,111664,32061,0,111724,32121,481699,115291
40,40223,36201,4022,35382,25328,0.71584,9,21,29,54,0,0,0,0,127.97,0.00,0,112,127.97,0,111676,32073,0,111724,32121,481699,115291
41,40169,36152,4017,35925,24276,0.67574,6,21,30,3520,1,4,1,0,125.34,16.57,12,121,125.34,15112,111913,32214,0,119113,33505,519886,128244
42,40105,36094,4011,36169,20342,0.56242,3,12,21,3776,0,8,0,0,127.97,46.14,22,114,127.97,15224,118810,32646,0,139961,36326,595515,146782
43,40197,36177,4020,36045,20231,0.56127,6,17,23,47,0,0,0,0,127.97,8.94,4,113,127.97,0,129606,33773,0,139961,38025,595515,146782
44,40143,36129,4014,35921,22334,0.62175,9,22,31,54,0,0,0,0,127.97,0.01,1,113,127.97,0,137635,35771,0,139961,38097,595515,146782
45,40061,36055,4006,35808,21690,0.60573,9,22,31,52,0,0,0,0,127.97,0.00,0,113,127.97,0,139070,37206,0,139961,38097,595515,146782
46,40113,36104,4009,35867,20971,0.58469,8,20,28,64,0,1,0,0,127.97,0.04,1,112,127.97,64,139390,37526,0,139961,38097,597200,146847
47,40253,36225,4028,35878,22521,0.62771,10,23,32,57,0,0,0,0,127.97,0.00,0,112,127.97,0,139572,37708,0,139961,38097,597200,146847
48,40090,36081,4009,35737,22579,0.63181,9,22,31,55,0,0,0,0,127.97,0.00,0,112,127.97,0,139611,37747,0,139961,38097,597200,146847
49,40082,36074,4008,35527,25901,0.72905,9,21,30,54,0,0,0,0,127.97,0.00,0,112,127.97,0,139631,37767,0,139961,38097,597200,146847
50,40246,36222,4024,35799,22457,0.62731,9,22,31,53,0,0,0,0,127.97,0.00,0,112,127.97,0,139659,37795,0,139961,38097,597200,146847
51,40221,36198,4023,35695,21623,0.60577,10,22,32,56,0,0,0,0,127.97,0.00,0,112,127.97,0,139726,37862,0,139961,38097,597200,146847
52,40032,36029,4003,35599,19157,0.53813,11,23,33,55,0,0,0,0,127.97,0.01,1,112,127.97,0,139819,37955,0,139961,38097,597200,146847
53,40232,36209,4023,35458,22159,0.62494,10,22,32,54,0,0,0,0,127.97,0.00,0,112,127.97,0,139863,37999,0,139961,38097,597200,146847
54,40217,36195,4022,35389,24607,0.69533,8,20,27,50,0,0,0,0,127.97,0.00,0,112,127.97,0,139886,38022,0,139961,38097,597200,146847
55,40207,36187,4020,36031,23100,0.64111,6,21,31,3456,1,4,1,0,116.30,21.05,14,121,116.32,13258,140035,38059,0,148528,38783,629814,157671
56,39991,35995,3996,36122,18831,0.52132,3,12,21,4224,1,7,0,0,125.80,29.61,14,114,125.80,15147,150582,39130,0,173430,43640,702743,176222
57,40104,36090,4014,35979,22167,0.61611,5,12,20,3200,0,2,0,0,127.97,13.52,7,112,127.97,66,162478,40335,0,177193,46849,713022,176926
58,40230,36207,4023,35985,24224,0.67317,9,21,30,52,0,0,0,0,127.97,0.90,2,112,127.97,0,170777,41589,0,177193,47583,713022,176926
59,40082,36074,4008,35792,25434,0.71061,8,21,29,52,0,0,0,0,127.97,0.00,0,112,127.97,0,173118,43560,0,177193,47635,713022,176926
60,40125,36112,4013,35736,25357,0.70956,9,22,32,59,0,0,0,0,127.97,0.11,2,112,127.97,0,174310,44752,0,177193,47635,713022,176926
61,40064,36058,4006,35694,23280,0.65221,10,22,32,53,0,0,0,0,127.97,0.00,0,112,127.97,0,175220,45662,0,177193,47635,713022,176926
