t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40025,36023,4002,35797,23755,0.66360,5,13,20,30,0,0,0,0,127.98,0.17,3,113,127.98,0,0,0,0,0,0,251319,47251
2,40022,36019,4003,35811,24711,0.69004,4,12,18,28,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
3,40099,36089,4010,35721,28598,0.80059,4,13,20,30,0,0,0,0,127.97,0.17,1,113,127.97,0,0,0,0,0,0,251319,47251
4,40081,36073,4008,35614,26984,0.75768,3,11,18,27,0,0,0,0,127.97,0.01,1,113,127.97,0,0,0,0,0,0,251319,47251
5,40041,36036,4005,35711,21921,0.61384,3,12,18,27,0,0,0,0,127.97,0.08,1,113,127.97,0,0,0,0,0,0,251319,47251
6,40111,36100,4011,35705,23199,0.64974,4,13,20,30,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
7,40021,36019,4002,35579,23119,0.64979,3,12,18,27,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
8,40211,36191,4020,35746,20282,0.56739,3,13,19,27,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
9,40065,36058,4007,35430,23328,0.65843,3,12,19,27,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
10,40015,36015,4000,35382,23440,0.66248,3,12,18,29,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
11,40070,36061,4009,35297,24008,0.68017,3,12,18,25,0,0,0,0,127.97,0.17,1,113,127.97,0,0,0,0,0,0,251319,47251
12,40159,36143,4016,35486,22670,0.63884,3,12,18,26,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251319,47251
13,40151,36137,4014,36115,22377,0.61960,4,15,23,3456,1,5,1,0,127.98,0.16,6,120,127.98,0,0,0,0,0,0,302224,62907
14,40018,36016,4002,36048,15094,0.41872,4,16,24,3392,0,7,0,0,127.98,0.02,1,113,127.98,0,0,0,0,0,0,365454,74093
15,40048,36043,4005,35861,20312,0.56641,3,13,19,32,0,1,0,0,127.97,0.14,3,112,127.97,0,0,0,0,0,0,366500,74141
16,40016,36015,4001,35713,22896,0.64111,3,12,19,28,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
17,40013,36011,4002,35763,23941,0.66943,3,12,20,33,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
18,40035,36032,4003,35738,24965,0.69856,3,12,22,32,0,0,0,0,127.97,0.06,1,112,127.97,0,0,0,0,0,0,366500,74141
19,40289,36260,4029,35815,25517,0.71247,3,96,156,23,0,0,0,0,127.97,0.34,3,112,127.97,0,0,0,0,0,0,366500,74141
20,40308,36277,4031,35832,24216,0.67582,3,126,160,16,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
21,40409,36368,4041,35828,26795,0.74788,2,124,160,24,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
22,40294,36265,4029,35688,27762,0.77791,3,124,164,19,0,0,0,0,127.97,0.07,1,112,127.97,0,0,0,0,0,0,366500,74141
23,40014,36012,4002,35428,26862,0.75821,2,124,160,12,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
24,40164,36148,4016,35504,26329,0.74158,2,124,160,11,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
25,40024,36021,4003,35445,20848,0.58818,3,118,156,11,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
26,40029,36027,4002,35395,21755,0.61463,3,118,156,11,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,366500,74141
27,40026,36023,4003,35963,26527,0.73762,2,106,152,3264,1,1,1,0,127.98,0.28,2,124,127.98,0,0,0,0,0,0,377803,77263
28,40027,36024,4003,36384,23622,0.64924,3,102,132,3072,1,2,0,0,127.99,0.05,2,122,127.99,0,0,0,0,0,0,395682,83302
29,40177,36160,4017,36363,21714,0.59715,3,102,140,3008,1,2,0,0,127.98,0.05,5,120,127.98,0,0,0,0,0,0,410396,88346
30,40381,36343,4038,36305,21196,0.58383,3,94,120,3072,1,1,0,0,127.97,0.00,0,119,127.97,0,0,0,0,0,0,427625,92729
31,40229,36206,4023,36163,22855,0.63200,3,92,118,3136,1,2,0,0,127.98,0.00,0,117,127.98,0,0,0,0,0,0,444459,96661
32,40036,36032,4004,35860,20081,0.55998,3,82,106,3200,1,2,0,0,127.98,0.12,3,115,127.98,0,0,0,0,0,0,461407,100085
33,40305,36274,4031,35913,22409,0.62398,3,72,100,3008,1,1,0,0,127.98,0.12,3,114,127.98,0,0,0,0,0,0,478399,103379
34,40310,36279,4031,35787,22793,0.63691,5,12,33,132,0,2,0,0,127.98,0.02,1,112,127.98,0,0,0,0,0,0,481680,103581
35,40330,36298,4032,35693,23089,0.64688,6,14,22,30,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,481680,103581
36,40147,36131,4016,35517,22735,0.64012,6,12,18,25,0,0,0,0,127.98,0.00,0,112,127.98,0,0,0,0,0,0,481680,103581
37,40039,36036,4003,35266,22613,0.64121,6,12,18,27,0,0,0,0,127.97,0.05,2,112,127.97,0,0,0,0,0,0,481680,103581
38,40032,36028,4004,35076,26235,0.74795,5,15,47,41,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,481680,103581
39,40041,36038,4003,34809,26095,0.74966,4,13,160,22,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,481680,103581
40,40086,36077,4009,35297,25187,0.71357,5,92,152,36,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,481680,103581
41,39940,35932,4008,35741,25055,0.70102,2,106,144,3200,0,2,1,0,127.98,0.00,0,124,127.98,0,0,0,0,0,0,493537,108391
42,40366,36344,4022,36645,20895,0.57020,3,100,126,2944,1,1,0,0,127.99,0.00,0,122,127.99,0,0,0,0,0,0,509493,111425
43,40111,36100,4011,36358,21596,0.59398,3,102,132,3200,1,2,0,0,127.99,0.24,2,120,127.99,0,0,0,0,0,0,527042,116034
44,40010,36009,4001,36122,21489,0.59490,3,94,122,3008,1,2,0,0,127.98,0.18,3,118,127.98,0,0,0,0,0,0,545309,121817
45,39942,35939,4003,35964,20129,0.55970,3,98,124,2944,1,1,0,0,127.98,0.32,5,117,127.98,0,0,0,0,0,0,562997,126932
46,40308,36285,4023,36151,18461,0.51066,3,88,116,3200,1,2,0,0,127.98,0.24,4,115,127.98,0,0,0,0,0,0,579529,131425
47,40010,36009,4001,35717,21226,0.59428,3,8,84,3200,0,3,0,0,127.98,0.59,9,112,127.98,0,0,0,0,0,0,597172,135834
48,40218,36196,4022,35855,21219,0.59180,7,17,27,38,0,0,0,0,127.98,0.00,0,112,127.98,0,0,0,0,0,0,597172,135834
49,40087,36079,4008,35552,25933,0.72944,9,22,37,66,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,597172,135834
50,40071,36064,4007,35612,22122,0.62120,11,24,34,55,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,597172,135834
51,40176,36158,4018,35663,22001,0.61691,11,22,31,49,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,597172,135834
52,40229,36207,4022,35795,19119,0.53412,11,21,29,41,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,597172,135834
53,40059,36052,4007,35339,21916,0.62016,9,19,28,46,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,597172,135834
54,40028,36026,4002,35198,24514,0.69646,10,23,33,51,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,597172,135834
55,40226,36203,4023,35999,23145,0.64293,8,23,37,3328,1,3,1,0,127.98,0.04,2,122,127.98,0,0,0,0,0,0,624441,144752
56,40012,36011,4001,36159,14036,0.38817,4,11,23,3584,0,8,0,0,127.98,0.52,13,114,127.98,0,0,0,0,0,0,700835,160355
57,40019,36017,4002,35894,20386,0.56795,6,15,24,2432,0,1,0,0,127.98,0.31,5,113,127.98,0,0,0,0,0,0,710998,160723
58,40030,36027,4003,35815,23563,0.65791,6,16,27,82,0,1,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
59,40225,36202,4023,35900,25661,0.71479,9,22,33,54,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
60,40236,36213,4023,35879,25591,0.71326,10,24,37,59,0,0,0,0,127.97,0.04,2,112,127.97,0,0,0,0,0,0,712982,160790
61,40223,36201,4022,35867,23325,0.65032,9,20,31,52,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
62,40090,36080,4010,35639,23772,0.66702,9,20,28,52,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
63,40035,36032,4003,35530,25132,0.70735,9,21,31,52,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
64,40146,36131,4015,35599,23721,0.66634,9,20,30,52,0,0,0,0,127.97,0.04,1,112,127.97,0,0,0,0,0,0,712982,160790
65,40125,36113,4012,35540,23151,0.65141,10,22,34,80,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
66,40205,36184,4021,35573,25103,0.70568,10,23,37,64,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
67,40145,36132,4013,35302,24373,0.69041,7,20,28,51,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
68,40198,36177,4021,35377,24753,0.69969,4,12,21,36,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,712982,160790
69,40179,36161,4018,35944,23329,0.64904,5,78,116,3648,1,2,1,0,127.98,0.05,2,123,127.98,0,0,0,0,0,0,729832,167389
70,40039,36035,4004,36421,21003,0.57667,3,102,132,3008,1,2,0,0,127.98,0.04,1,121,127.98,0,0,0,0,0,0,747023,172691
71,40012,36011,4001,36227,24092,0.66503,3,98,132,2944,1,1,0,0,127.98,0.04,1,120,127.98,0,0,0,0,0,0,763248,178033
72,40017,36016,4001,36074,21076,0.58424,3,94,122,3136,1,2,0,0,127.98,0.03,1,118,127.98,0,0,0,0,0,0,781107,183367
73,40038,36035,4003,35934,21432,0.59643,3,86,110,3072,1,2,0,0,127.97,0.20,2,116,127.97,0,0,0,0,0,0,797332,186162
74,40030,36026,4004,35809,23464,0.65525,2,80,106,3264,1,2,0,0,127.98,0.12,1,115,127.98,0,0,0,0,0,0,812996,188548
75,40010,36010,4000,35714,21001,0.58803,3,74,102,3136,0,2,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,829100,191612
76,40175,36157,4018,35769,20200,0.56473,3,114,152,11,0,0,0,0,127.97,0.24,5,113,127.97,0,0,0,0,0,0,829100,191612
77,40021,36018,4003,35463,24668,0.69560,2,110,156,12,0,0,0,0,127.97,0.03,1,113,127.97,0,0,0,0,0,0,829100,191612
78,40027,36024,4003,35405,23616,0.66702,2,110,156,12,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,829100,191612
79,40020,36019,4001,35467,22615,0.63763,3,112,156,12,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,829100,191612
80,40021,36018,4003,35414,22950,0.64805,3,116,156,13,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,829100,191612
81,40081,36073,4008,35215,23266,0.66068,3,116,152,13,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,829100,191612
