t,type,level,bytes
-29.933,flush_begin,0,0
-29.917,flush_end,0,6638552
-29.909,flush_begin,0,0
-29.893,flush_end,0,6638554
-29.885,flush_begin,0,0
-29.869,flush_end,0,6638553
-29.861,flush_begin,0,0
-29.845,flush_end,0,6638553
-29.837,flush_begin,0,0
-29.821,flush_end,0,6638553
-29.813,flush_begin,0,0
-29.796,flush_end,0,6638554
-29.787,flush_begin,0,0
-29.770,flush_end,0,6638552
-29.762,flush_begin,0,0
-29.746,flush_end,0,6638554
-29.737,flush_begin,0,0
-29.721,flush_end,0,6638554
-29.712,flush_begin,0,0
-29.696,flush_end,0,6638552
-29.687,flush_begin,0,0
-29.671,flush_end,0,6638553
-29.663,flush_begin,0,0
-29.646,flush_end,0,6638553
-29.638,flush_begin,0,0
-29.622,flush_end,0,6638554
-29.614,flush_begin,0,0
-29.597,flush_end,0,6638552
-29.589,flush_begin,0,0
-29.573,flush_end,0,6638554
-29.565,flush_begin,0,0
-29.548,flush_end,0,6638554
-29.530,trivial_move,3,6638552
-29.530,flush_begin,0,0
-29.513,flush_end,0,6638552
-29.494,trivial_move,3,6638554
-29.494,flush_begin,0,0
-29.477,flush_end,0,6638555
-29.458,trivial_move,3,6638553
-29.458,flush_begin,0,0
-29.441,flush_end,0,6638553
-29.421,trivial_move,3,6638553
-29.421,flush_begin,0,0
-29.404,flush_end,0,6638553
-29.385,trivial_move,3,6638553
-29.385,flush_begin,0,0
-29.369,flush_end,0,6638552
-29.350,trivial_move,3,6638554
-29.350,flush_begin,0,0
-29.335,flush_end,0,6638554
-29.311,trivial_move,3,6638552
-29.311,flush_begin,0,0
-29.294,flush_end,0,6638554
-29.275,trivial_move,3,6638554
-29.275,flush_begin,0,0
-29.259,flush_end,0,6638552
-29.241,trivial_move,3,6638554
-29.241,flush_begin,0,0
-29.223,flush_end,0,6638554
-29.205,trivial_move,3,6638552
-29.205,flush_begin,0,0
-29.188,flush_end,0,6638553
-29.163,trivial_move,3,6638553
-29.163,flush_begin,0,0
-29.144,flush_end,0,6638553
-29.125,trivial_move,3,6638553
-29.125,flush_begin,0,0
-29.109,flush_end,0,6638553
-29.090,trivial_move,3,6638554
-29.090,flush_begin,0,0
-29.074,flush_end,0,6638554
-29.057,trivial_move,3,6638552
