t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40411,36371,4040,36193,23171,0.64021,8,20,30,50,0,0,0,0,127.97,0.01,1,113,127.97,0,0,0,0,0,0,250858,45306
2,40054,36049,4005,35837,24539,0.68474,9,21,31,54,0,0,0,0,127.97,0.20,4,113,127.97,0,0,0,0,0,0,250858,45306
3,40187,36167,4020,35894,26407,0.73569,9,21,30,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
4,40291,36263,4028,35964,24617,0.68449,6,17,26,44,0,0,0,0,127.97,0.09,1,113,127.97,0,0,0,0,0,0,250858,45306
5,40414,36372,4042,35927,23985,0.66760,9,20,29,48,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
6,40311,36280,4031,35834,24231,0.67620,9,21,30,53,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
7,40080,36072,4008,35412,28210,0.79662,9,21,30,55,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
8,40231,36208,4023,35581,27069,0.76077,9,21,31,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
9,40453,36409,4044,35738,24564,0.68734,10,22,32,54,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
10,40189,36169,4020,35609,24899,0.69923,7,20,28,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
11,40409,36368,4041,35735,26339,0.73706,6,17,25,52,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,250858,45306
12,40225,36203,4022,35368,24512,0.69306,8,20,29,54,0,0,0,0,127.97,0.12,2,113,127.97,0,0,0,0,0,0,250858,45306
13,40049,36043,4006,36218,21511,0.59393,4,13,24,3456,1,6,1,0,127.98,0.23,5,119,127.98,0,0,0,0,0,0,313176,62210
14,40170,36153,4017,36165,14750,0.40785,4,13,23,3392,0,6,0,0,127.98,0.12,4,113,127.98,0,0,0,0,0,0,365285,71366
15,40434,36391,4043,36215,23025,0.63579,9,21,30,52,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
16,40104,36093,4011,35808,25508,0.71235,6,13,20,38,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
17,40130,36117,4013,35804,25197,0.70375,8,19,27,48,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
18,40118,36107,4011,35805,24413,0.68183,9,20,29,50,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
19,40140,36126,4014,35791,20864,0.58294,4,16,160,41,0,0,0,0,127.97,0.05,1,113,127.97,0,0,0,0,0,0,365285,71366
20,40424,36381,4043,35993,21583,0.59964,6,17,172,40,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
21,40052,36047,4005,35539,22924,0.64504,10,25,200,54,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
22,40147,36133,4014,35645,21996,0.61709,10,23,192,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
23,40103,36092,4011,35457,23667,0.66748,10,23,192,54,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
24,40244,36219,4025,35451,24908,0.70260,10,24,200,53,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
25,40060,36054,4006,35213,23474,0.66663,10,23,40,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
26,40268,36242,4026,35586,22083,0.62055,9,33,180,50,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,365285,71366
27,40420,36378,4042,36518,21373,0.58527,4,16,160,3456,1,4,1,0,127.98,0.00,0,121,127.98,0,0,0,0,0,0,405636,84341
28,40118,36108,4010,36183,16991,0.46959,4,12,25,3584,1,7,0,0,127.98,0.16,4,114,127.98,0,0,0,0,0,0,472378,96183
29,40410,36367,4043,36225,18959,0.52337,4,17,82,296,0,1,0,0,127.98,0.01,1,113,127.98,0,0,0,0,0,0,479908,97406
30,40104,36094,4010,35911,21682,0.60377,10,22,34,54,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
31,40043,36039,4004,35777,24095,0.67348,10,23,33,57,0,0,0,0,127.97,0.05,2,113,127.97,0,0,0,0,0,0,479908,97406
32,40042,36038,4004,35683,25909,0.72609,9,22,32,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
33,40165,36148,4017,35761,26166,0.73169,10,23,34,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
34,40056,36049,4007,35651,24041,0.67434,10,22,32,56,0,0,0,0,127.97,0.13,1,113,127.97,0,0,0,0,0,0,479908,97406
35,40037,36035,4002,35571,24265,0.68216,10,23,33,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
36,40165,36148,4017,35639,20106,0.56416,12,24,35,55,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
37,40255,36229,4026,35739,23853,0.66742,10,23,34,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
38,40051,36045,4006,35327,23602,0.66810,10,23,34,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
39,40068,36062,4006,35254,24332,0.69019,11,23,35,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
40,40359,36324,4035,35664,21968,0.61597,11,24,35,66,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,479908,97406
41,40413,36371,4042,36372,20631,0.56722,6,21,33,3456,1,5,1,0,127.98,0.66,11,121,127.98,0,0,0,0,0,0,526647,114035
42,40025,36022,4003,36012,17713,0.49186,4,11,22,3456,1,6,0,0,127.98,0.28,5,115,127.98,0,0,0,0,0,0,585139,121779
43,40417,36376,4041,36169,23013,0.63626,6,19,29,2560,0,1,0,0,127.98,0.03,1,114,127.98,0,0,0,0,0,0,594846,122017
44,40254,36229,4025,35957,25362,0.70534,9,22,32,55,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
45,40052,36047,4005,35748,24701,0.69098,10,22,34,59,0,0,0,0,127.97,0.01,1,114,127.97,0,0,0,0,0,0,594846,122017
46,40435,36391,4044,36076,24219,0.67133,10,22,34,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
47,40417,36375,4042,35946,25208,0.70127,10,22,32,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
48,40055,36050,4005,35518,24872,0.70026,10,23,35,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
49,40358,36324,4034,35831,23761,0.66314,10,23,33,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
50,40142,36125,4017,35431,25083,0.70794,10,23,32,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
51,40028,36026,4002,35244,27183,0.77128,10,22,31,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
52,40461,36415,4046,35460,31008,0.87445,9,21,29,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
53,40063,36057,4006,34992,30927,0.88383,9,22,31,62,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
54,40100,36089,4011,35230,24293,0.68955,11,23,34,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,594846,122017
55,40359,36327,4032,36400,20537,0.56420,6,19,30,3520,0,5,1,0,127.98,0.05,1,120,127.98,0,0,0,0,0,0,638583,132721
56,40219,36194,4025,36135,17123,0.47386,4,12,21,3648,0,6,0,0,127.98,0.31,5,114,127.98,0,0,0,0,0,0,699090,145142
57,40412,36371,4041,36202,23713,0.65502,6,18,26,2560,0,1,0,0,127.98,0.16,3,113,127.98,0,0,0,0,0,0,709225,145636
58,40054,36048,4006,35815,23331,0.65143,10,23,34,55,0,0,0,0,127.97,0.08,3,113,127.97,0,0,0,0,0,0,709225,145636
59,40122,36110,4012,35853,23001,0.64154,10,22,32,53,0,0,0,0,127.97,0.06,1,113,127.97,0,0,0,0,0,0,709225,145636
60,40155,36139,4016,35836,24683,0.68878,9,22,33,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
61,40124,36113,4011,35739,24021,0.67212,10,23,34,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
62,40053,36047,4006,35586,24627,0.69204,10,23,34,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
63,40059,36052,4007,35482,25837,0.72817,10,22,33,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
64,40234,36211,4023,35688,24494,0.68634,10,23,33,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
65,40167,36151,4016,35618,23605,0.66273,10,23,34,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
66,40334,36301,4033,35638,23440,0.65772,10,23,33,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
67,40076,36068,4008,35393,26632,0.75247,10,22,31,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
68,40199,36179,4020,35554,24238,0.68172,11,23,34,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,709225,145636
69,40420,36378,4042,36339,21553,0.59311,6,21,34,3520,1,4,1,0,127.99,0.08,3,121,127.99,0,0,0,0,0,0,751429,159816
70,40315,36282,4033,36218,17892,0.49401,4,12,23,3520,0,8,0,0,127.98,0.08,2,114,127.98,0,0,0,0,0,0,823934,169191
71,40519,36469,4050,36281,20701,0.57057,9,21,31,55,0,0,0,0,127.97,0.18,2,114,127.97,0,0,0,0,0,0,823934,169191
72,40193,36173,4020,35926,23568,0.65602,9,22,33,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
73,40138,36125,4013,35716,27193,0.76137,9,22,33,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
74,40284,36255,4029,35976,22558,0.62703,11,24,37,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
75,40272,36245,4027,35942,24061,0.66944,10,23,34,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
76,40215,36193,4022,35722,23121,0.64725,10,23,34,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
77,40120,36108,4012,35553,24157,0.67946,10,22,33,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
78,40116,36105,4011,35450,24256,0.68423,10,22,32,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
79,40302,36271,4031,35655,24401,0.68436,6,16,25,41,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
80,40503,36453,4050,35787,24326,0.67974,11,23,35,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,823934,169191
