t,type,level,bytes
-29.907,flush_begin,0,0
-29.889,flush_end,0,6638552
-29.881,flush_begin,0,0
-29.863,flush_end,0,6638554
-29.855,flush_begin,0,0
-29.838,flush_end,0,6638553
-29.829,flush_begin,0,0
-29.810,flush_end,0,6638553
-29.802,flush_begin,0,0
-29.783,flush_end,0,6638553
-29.775,flush_begin,0,0
-29.757,flush_end,0,6638554
-29.748,flush_begin,0,0
-29.729,flush_end,0,6638552
-29.721,flush_begin,0,0
-29.702,flush_end,0,6638554
-29.694,flush_begin,0,0
-29.675,flush_end,0,6638554
-29.667,flush_begin,0,0
-29.648,flush_end,0,6638552
-29.640,flush_begin,0,0
-29.621,flush_end,0,6638553
-29.613,flush_begin,0,0
-29.594,flush_end,0,6638553
-29.586,flush_begin,0,0
-29.568,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.540,flush_end,0,6638552
-29.532,flush_begin,0,0
-29.514,flush_end,0,6638554
-29.506,flush_begin,0,0
-29.487,flush_end,0,6638554
-29.468,trivial_move,3,6638552
-29.468,flush_begin,0,0
-29.450,flush_end,0,6638552
-29.431,trivial_move,3,6638554
-29.431,flush_begin,0,0
-29.412,flush_end,0,6638555
-29.394,trivial_move,3,6638553
-29.394,flush_begin,0,0
-29.376,flush_end,0,6638553
-29.357,trivial_move,3,6638553
-29.357,flush_begin,0,0
-29.337,flush_end,0,6638553
-29.319,trivial_move,3,6638553
-29.319,flush_begin,0,0
-29.299,flush_end,0,6638552
-29.280,trivial_move,3,6638554
-29.280,flush_begin,0,0
-29.260,flush_end,0,6638554
-29.242,trivial_move,3,6638552
-29.242,flush_begin,0,0
-29.221,flush_end,0,6638554
-29.203,trivial_move,3,6638554
-29.203,flush_begin,0,0
-29.183,flush_end,0,6638552
-29.165,trivial_move,3,6638554
-29.165,flush_begin,0,0
-29.145,flush_end,0,6638554
-29.127,trivial_move,3,6638552
-29.127,flush_begin,0,0
-29.108,flush_end,0,6638553
-29.089,trivial_move,3,6638553
-29.089,flush_begin,0,0
-29.070,flush_end,0,6638553
-29.052,trivial_move,3,6638553
-29.052,flush_begin,0,0
-29.032,flush_end,0,6638553
-29.013,trivial_move,3,6638554
-29.013,flush_begin,0,0
-28.994,flush_end,0,6638554
-28.976,trivial_move,3,6638552
-28.976,flush_begin,0,0
-28.957,flush_end,0,6638553
-28.939,trivial_move,3,6638554
-28.939,flush_begin,0,0
-28.920,flush_end,0,6638552
-28.902,trivial_move,3,6638554
-28.902,flush_begin,0,0
-28.883,flush_end,0,6638554
-28.865,trivial_move,3,6638552
-28.865,flush_begin,0,0
-28.846,flush_end,0,6638553
-28.827,trivial_move,3,6638555
-28.827,flush_begin,0,0
-28.807,flush_end,0,6638553
-28.789,trivial_move,3,6638553
-28.789,flush_begin,0,0
-28.770,flush_end,0,6638553
-28.751,trivial_move,3,6638553
-28.751,flush_begin,0,0
-28.731,flush_end,0,6638555
-28.713,trivial_move,3,6638552
-28.713,flush_begin,0,0
-28.694,flush_end,0,6638553
-28.675,trivial_move,3,6638554
-28.675,flush_begin,0,0
-28.656,flush_end,0,6638553
-28.638,trivial_move,3,6638554
-28.638,flush_begin,0,0
-28.617,flush_end,0,6638554
-28.599,trivial_move,3,6638552
-28.599,flush_begin,0,0
-28.579,flush_end,0,6638552
-28.561,trivial_move,3,6638554
-28.561,flush_begin,0,0
-28.540,flush_end,0,6638553
-28.522,trivial_move,3,6638553
-28.522,flush_begin,0,0
-28.503,flush_end,0,6638553
-28.483,trivial_move,3,6638553
-28.483,flush_begin,0,0
-28.464,flush_end,0,6638554
-28.446,trivial_move,3,6638553
-28.446,flush_begin,0,0
-28.426,flush_end,0,6638553
-28.406,trivial_move,3,6638554
-28.406,flush_begin,0,0
-28.386,flush_end,0,6638553
-28.367,trivial_move,3,6638553
-28.367,flush_begin,0,0
-28.347,flush_end,0,6638554
-28.328,trivial_move,3,6638552
-28.328,flush_begin,0,0
-28.308,flush_end,0,6638552
-28.289,trivial_move,3,6638554
-28.289,flush_begin,0,0
-28.268,flush_end,0,6638554
-28.249,trivial_move,3,6638553
-28.249,flush_begin,0,0
-28.229,flush_end,0,6638553
-28.210,trivial_move,3,6638553
-28.210,flush_begin,0,0
-28.189,flush_end,0,6638553
-28.172,trivial_move,3,6638553
-28.172,flush_begin,0,0
-28.144,flush_end,0,6638553
-28.126,trivial_move,3,6638555
-28.126,flush_begin,0,0
-28.106,flush_end,0,6638553
-28.088,trivial_move,3,6638553
-28.088,flush_begin,0,0
-28.067,flush_end,0,6638555
-28.048,trivial_move,3,6638553
-28.048,flush_begin,0,0
-28.028,flush_end,0,6638552
