t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40192,36173,4019,35905,29288,0.81571,4,13,23,40,0,0,0,0,127.97,0.00,0,113,127.97
2,40153,36138,4015,35767,32269,0.90220,4,13,24,46,0,0,0,0,127.97,0.00,0,113,127.97
3,40371,36334,4037,35748,32489,0.90883,4,12,21,37,0,0,0,0,127.97,0.00,0,113,127.97
4,40269,36242,4027,35519,31937,0.89915,4,12,21,41,0,0,0,0,127.97,0.00,0,113,127.97
5,40159,36143,4016,35369,32509,0.91914,4,12,22,39,0,0,0,0,127.97,0.00,0,113,127.97
6,40249,36224,4025,35439,31363,0.88499,4,12,24,44,0,0,0,0,127.97,0.00,0,113,127.97
7,40282,36254,4028,35390,31874,0.90065,5,13,23,48,0,0,0,0,127.97,0.00,0,113,127.97
8,40252,36227,4025,35335,31132,0.88105,4,11,21,41,0,0,0,0,127.97,0.03,1,113,127.97
9,40042,36037,4005,35058,30475,0.86927,5,13,23,40,0,0,0,0,127.97,0.00,0,113,127.97
10,40200,36180,4020,35122,30573,0.87048,5,13,24,40,0,0,0,0,127.97,0.01,1,113,127.97
11,40422,36380,4042,35274,29244,0.82905,5,14,27,48,0,0,0,0,127.97,0.00,0,113,127.97
12,40148,36133,4015,35068,29556,0.84282,5,13,23,42,0,0,0,0,127.97,0.00,0,113,127.97
13,40350,36315,4035,97979,44122,0.45032,4,14,25,3456,1,6,1,0,127.98,0.16,4,119,127.98
14,40186,36168,4018,82998,29624,0.35692,4,13,24,3264,1,5,0,0,127.98,0.26,3,115,127.98
15,40018,36017,4001,38261,27532,0.71958,4,11,20,43,0,1,0,0,127.97,0.26,2,114,127.97
16,40126,36112,4014,35827,29760,0.83066,4,13,25,44,0,0,0,0,127.97,0.05,1,114,127.97
17,40194,36175,4019,35832,30852,0.86102,4,13,23,43,0,0,0,0,127.97,0.16,2,114,127.97
18,40184,36165,4019,35699,31267,0.87585,4,13,23,41,0,0,0,0,127.97,0.01,1,114,127.97
19,40134,36121,4013,35621,29448,0.82670,4,13,22,41,0,0,0,0,127.97,0.00,0,114,127.97
20,40203,36182,4021,35806,29403,0.82118,4,12,21,47,0,0,0,0,127.97,0.09,2,114,127.97
21,40323,36291,4032,35823,31154,0.86966,4,12,22,38,0,0,0,0,127.97,0.00,0,114,127.97
22,40193,36174,4019,35648,31327,0.87879,4,13,22,41,0,0,0,0,127.97,0.00,0,114,127.97
23,40141,36127,4014,35523,29949,0.84309,5,13,24,41,0,0,0,0,127.97,0.04,3,114,127.97
24,40152,36137,4015,35557,27501,0.77343,6,15,27,46,0,0,0,0,127.97,0.00,0,114,127.97
25,40208,36186,4022,35448,27762,0.78318,5,13,24,40,0,0,0,0,127.97,0.00,0,114,127.97
26,40413,36373,4040,35548,28310,0.79639,5,14,24,42,0,0,0,0,127.97,0.00,0,114,127.97
27,40353,36318,4035,92311,40940,0.44350,5,15,27,3456,1,6,1,0,127.98,0.17,4,120,127.98
28,40160,36143,4017,86304,30257,0.35059,4,12,23,3456,0,6,0,0,127.98,0.09,1,114,127.98
29,40190,36171,4019,35777,30102,0.84138,4,13,24,43,0,0,0,0,127.98,0.09,1,114,127.98
30,40198,36178,4020,35807,30549,0.85316,4,13,22,38,0,0,0,0,127.98,0.04,1,114,127.98
31,40187,36170,4017,35696,30633,0.85816,4,12,22,36,0,0,0,0,127.97,0.15,3,114,127.97
32,40199,36178,4021,35627,30976,0.86945,4,11,20,33,0,0,0,0,127.97,0.03,1,114,127.97
33,40247,36223,4024,35447,31796,0.89700,4,12,20,40,0,0,0,0,127.97,0.00,0,114,127.97
34,40328,36295,4033,35433,31522,0.88962,4,11,20,43,0,0,0,0,127.97,0.00,0,114,127.97
35,40104,36094,4010,35181,31255,0.88841,5,14,27,50,0,0,0,0,127.97,0.08,1,114,127.97
36,40392,36352,4040,35448,31712,0.89461,4,12,22,41,0,0,0,0,127.97,0.00,1,114,127.97
37,40183,36165,4018,34993,31550,0.90161,4,13,22,37,0,0,0,0,127.97,0.00,0,114,127.97
38,40075,36067,4008,34774,31486,0.90545,4,12,21,34,0,0,0,0,127.97,0.00,0,114,127.97
