t,type,level,bytes
-29.873,flush_begin,0,0
-29.858,flush_end,0,6638552
-29.849,flush_begin,0,0
-29.832,flush_end,0,6638554
-29.823,flush_begin,0,0
-29.807,flush_end,0,6638553
-29.798,flush_begin,0,0
-29.781,flush_end,0,6638553
-29.773,flush_begin,0,0
-29.756,flush_end,0,6638553
-29.748,flush_begin,0,0
-29.731,flush_end,0,6638554
-29.722,flush_begin,0,0
-29.707,flush_end,0,6638552
-29.698,flush_begin,0,0
-29.681,flush_end,0,6638554
-29.672,flush_begin,0,0
-29.656,flush_end,0,6638554
-29.648,flush_begin,0,0
-29.630,flush_end,0,6638552
-29.622,flush_begin,0,0
-29.606,flush_end,0,6638553
-29.597,flush_begin,0,0
-29.581,flush_end,0,6638553
-29.573,flush_begin,0,0
-29.557,flush_end,0,6638554
-29.548,flush_begin,0,0
-29.531,flush_end,0,6638552
-29.522,flush_begin,0,0
-29.506,flush_end,0,6638554
-29.497,flush_begin,0,0
-29.481,flush_end,0,6638554
-29.462,trivial_move,3,6638552
-29.462,flush_begin,0,0
-29.445,flush_end,0,6638552
-29.427,trivial_move,3,6638554
-29.427,flush_begin,0,0
-29.410,flush_end,0,6638555
-29.395,trivial_move,3,6638553
-29.394,flush_begin,0,0
-29.378,flush_end,0,6638553
-29.362,trivial_move,3,6638553
-29.361,flush_begin,0,0
-29.344,flush_end,0,6638553
-29.329,trivial_move,3,6638553
-29.328,flush_begin,0,0
-29.312,flush_end,0,6638552
-29.297,trivial_move,3,6638554
-29.296,flush_begin,0,0
-29.279,flush_end,0,6638554
-29.262,trivial_move,3,6638552
-29.262,flush_begin,0,0
-29.246,flush_end,0,6638554
-29.227,trivial_move,3,6638554
-29.227,flush_begin,0,0
-29.210,flush_end,0,6638552
-29.193,trivial_move,3,6638554
-29.193,flush_begin,0,0
-29.177,flush_end,0,6638554
-29.160,trivial_move,3,6638552
-29.160,flush_begin,0,0
-29.144,flush_end,0,6638553
-29.128,trivial_move,3,6638553
-29.127,flush_begin,0,0
-29.110,flush_end,0,6638553
-29.095,trivial_move,3,6638553
-29.094,flush_begin,0,0
-29.078,flush_end,0,6638553
-29.062,trivial_move,3,6638554
-29.062,flush_begin,0,0
-29.044,flush_end,0,6638554
-29.029,trivial_move,3,6638552
-29.028,flush_begin,0,0
-29.011,flush_end,0,6638553
-28.996,trivial_move,3,6638554
-28.995,flush_begin,0,0
-28.978,flush_end,0,6638552
-28.963,trivial_move,3,6638554
-28.962,flush_begin,0,0
-28.945,flush_end,0,6638554
-28.928,trivial_move,3,6638552
-28.928,flush_begin,0,0
-28.912,flush_end,0,6638553
-28.895,trivial_move,3,6638555
-28.895,flush_begin,0,0
-28.879,flush_end,0,6638553
-28.863,trivial_move,3,6638553
-28.863,flush_begin,0,0
-28.846,flush_end,0,6638553
-28.830,trivial_move,3,6638553
-28.830,flush_begin,0,0
-28.813,flush_end,0,6638555
-28.795,trivial_move,3,6638552
-28.795,flush_begin,0,0
-28.779,flush_end,0,6638553
-28.763,trivial_move,3,6638554
-28.762,flush_begin,0,0
-28.744,flush_end,0,6638553
-28.729,trivial_move,3,6638554
-28.728,flush_begin,0,0
-28.711,flush_end,0,6638554
-28.696,trivial_move,3,6638552
-28.695,flush_begin,0,0
-28.677,flush_end,0,6638552
-28.661,trivial_move,3,6638554
-28.661,flush_begin,0,0
-28.645,flush_end,0,6638553
-28.630,trivial_move,3,6638553
-28.629,flush_begin,0,0
-28.613,flush_end,0,6638553
-28.595,trivial_move,3,6638553
-28.595,flush_begin,0,0
-28.579,flush_end,0,6638554
-28.564,trivial_move,3,6638553
-28.562,flush_begin,0,0
-28.546,flush_end,0,6638553
-28.530,trivial_move,3,6638554
-28.529,flush_begin,0,0
-28.512,flush_end,0,6638553
-28.497,trivial_move,3,6638553
-28.497,flush_begin,0,0
-28.481,flush_end,0,6638554
-28.465,trivial_move,3,6638552
-28.464,flush_begin,0,0
-28.448,flush_end,0,6638552
-28.431,trivial_move,3,6638554
-28.431,flush_begin,0,0
-28.414,flush_end,0,6638554
-28.398,trivial_move,3,6638553
-28.398,flush_begin,0,0
-28.380,flush_end,0,6638553
-28.366,trivial_move,3,6638553
-28.366,flush_begin,0,0
-28.349,flush_end,0,6638553
-28.332,trivial_move,3,6638553
-28.332,flush_begin,0,0
-28.316,flush_end,0,6638553
-28.297,trivial_move,3,6638555
-28.297,flush_begin,0,0
-28.280,flush_end,0,6638553
-28.262,trivial_move,3,6638553
-28.262,flush_begin,0,0
-28.245,flush_end,0,6638555
-28.228,trivial_move,3,6638553
-28.228,flush_begin,0,0
-28.211,flush_end,0,6638552
-28.195,trivial_move,3,6638554
-28.195,flush_begin,0,0
-28.178,flush_end,0,6638554
-28.161,trivial_move,3,6638552
-28.161,flush_begin,0,0
-28.143,flush_end,0,6638553
-28.128,trivial_move,3,6638553
-28.127,flush_begin,0,0
-28.110,flush_end,0,6638553
-28.094,trivial_move,3,6638553
-28.093,flush_begin,0,0
-28.075,flush_end,0,6638554
-28.059,trivial_move,3,6638554
-28.058,flush_begin,0,0
-28.041,flush_end,0,6638553
-28.026,trivial_move,3,6638553
-28.025,flush_begin,0,0
-28.008,flush_end,0,6638553
-27.991,trivial_move,3,6638553
-27.991,flush_begin,0,0
-27.975,flush_end,0,6638552
-27.959,trivial_move,3,6638554
-27.958,flush_begin,0,0
-27.941,flush_end,0,6638554
-27.925,trivial_move,3,6638552
-27.924,flush_begin,0,0
-27.907,flush_end,0,6638553
-27.892,trivial_move,3,6638554
-27.892,flush_begin,0,0
-27.875,flush_end,0,6638553
-27.859,trivial_move,3,6638553
-27.859,flush_begin,0,0
-27.841,flush_end,0,6638554
-27.825,trivial_move,3,6638553
-27.824,flush_begin,0,0
-27.807,flush_end,0,6638553
-27.791,trivial_move,3,6638553
-27.790,flush_begin,0,0
-27.772,flush_end,0,6638553
-27.754,trivial_move,3,6638553
-27.754,flush_begin,0,0
-27.737,flush_end,0,6638553
-27.722,trivial_move,3,6638555
-27.721,flush_begin,0,0
-27.704,flush_end,0,6638554
-27.689,trivial_move,3,6638552
-27.688,flush_begin,0,0
-27.672,flush_end,0,6638552
-27.657,trivial_move,3,6638554
-27.657,flush_begin,0,0
-27.651,flush_end,0,1164547
-27.643,compaction_begin,2,0
-27.620,compaction_end,2,6638145
-27.611,compaction_begin,2,0
-27.590,compaction_end,2,6638145
-27.581,compaction_begin,2,0
-27.559,compaction_end,2,6638146
-27.551,compaction_begin,2,0
-27.530,compaction_end,2,6638145
-27.521,compaction_begin,2,0
-27.500,compaction_end,2,6638145
-27.491,compaction_begin,2,0
