t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40211,36191,4020,35897,29553,0.82327,6,16,26,2880,0,2,0,0,86.41,0.56,4,114,86.44,67405,0,0,0,0,0,14091,3225
2,39713,35742,3971,35348,30478,0.86223,9,20,31,60,0,0,0,0,105.43,0.34,3,114,105.44,0,0,0,0,0,0,14091,3225
3,40193,36173,4020,35678,31212,0.87482,9,20,31,60,0,0,0,0,122.78,0.38,4,114,122.79,0,0,0,0,0,0,14091,3225
4,39811,35830,3981,35341,30629,0.86667,9,22,32,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
5,39928,35937,3991,35444,30765,0.86799,9,22,31,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
6,40302,36270,4032,35807,30050,0.83922,7,18,26,51,0,0,0,0,127.97,0.11,1,114,127.97,0,0,0,0,0,0,14091,3225
7,39879,35891,3988,35349,28943,0.81878,9,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
8,39874,35887,3987,35206,32764,0.93064,9,21,31,62,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
9,39984,35985,3999,35222,33575,0.95324,10,24,41,76,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
10,40009,36008,4001,35220,30988,0.87984,11,25,37,72,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
11,40108,36098,4010,35419,30413,0.85866,10,24,36,62,0,0,0,0,127.97,0.13,1,114,127.97,0,0,0,0,0,0,14091,3225
12,39806,35825,3981,35143,29048,0.82657,11,27,44,110,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,14091,3225
13,40153,36135,4018,36078,26655,0.73882,6,23,37,3776,0,4,1,0,119.33,0.00,0,122,119.41,8622,0,0,0,0,0,47202,12148
14,40157,36144,4013,36087,23108,0.64034,3,11,20,3904,0,6,0,0,65.56,0.07,3,115,65.59,24149,0,0,0,0,0,107624,36544
15,40080,36072,4008,35775,28243,0.78946,8,19,29,58,0,0,0,0,94.99,0.01,1,115,95.03,0,0,0,0,0,0,107624,36544
16,39942,35948,3994,35580,31419,0.88305,9,20,31,59,0,0,0,0,111.25,0.01,1,115,111.27,0,0,0,0,0,0,107624,36544
17,39756,35780,3976,35363,32720,0.92526,9,19,29,58,0,0,0,0,121.57,0.01,1,115,121.60,0,0,0,0,0,0,107624,36544
18,40241,36217,4024,35723,32216,0.90183,9,22,31,60,0,0,0,0,127.97,0.01,1,115,127.97,0,0,0,0,0,0,107624,36544
19,39979,35981,3998,35497,30705,0.86500,7,19,27,2496,0,1,0,0,127.97,0.14,5,114,127.97,263,0,0,0,0,0,117340,36875
20,39692,35723,3969,35204,30350,0.86212,9,22,32,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,117340,36875
21,39995,35996,3999,35461,28709,0.80959,10,23,32,60,0,0,0,0,127.97,0.07,1,114,127.97,0,0,0,0,0,0,117340,36875
22,40032,36028,4004,35483,28789,0.81135,9,22,31,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,117340,36875
23,39968,35972,3996,35407,28571,0.80693,9,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,117340,36875
24,40072,36065,4007,35438,30257,0.85380,9,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,117340,36875
25,40200,36179,4021,35557,31837,0.89538,9,22,31,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,117340,36875
26,39749,35776,3973,35133,29592,0.84229,9,22,31,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,117340,36875
27,40368,36330,4038,36155,30840,0.85299,6,18,30,3456,1,3,1,0,111.10,0.13,3,123,111.11,9042,0,0,0,0,0,145268,46034
28,39710,35739,3971,35721,22242,0.62266,3,11,20,4096,0,8,0,0,54.50,0.45,9,115,54.51,24954,0,0,0,0,0,217214,71256
29,40292,36263,4029,36040,25612,0.71065,5,13,21,2752,0,1,0,0,93.39,0.06,1,114,93.44,437,0,0,0,0,0,228018,71725
30,39836,35852,3984,35574,29496,0.82914,9,20,30,58,0,0,0,0,117.14,0.00,1,114,117.16,0,0,0,0,0,0,228018,71725
31,40098,36088,4010,35768,29663,0.82932,9,21,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,228018,71725
32,40023,36020,4003,35597,32718,0.91912,9,21,31,58,0,0,0,0,127.97,0.06,1,114,127.97,0,0,0,0,0,0,228018,71725
33,39801,35822,3979,35411,30461,0.86021,8,21,31,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,228018,71725
34,40044,36039,4005,35594,30122,0.84627,8,20,29,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,228018,71725
35,39813,35832,3981,35398,29641,0.83736,9,23,32,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,228018,71725
36,40282,36253,4029,35693,31141,0.87247,10,23,32,60,0,0,0,0,127.97,0.05,1,114,127.97,0,0,0,0,0,0,228018,71725
37,40033,36031,4002,35387,30658,0.86636,10,23,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,228018,71725
