t,type,level,bytes
-29.924,flush_begin,0,0
-29.903,flush_end,0,6638552
-29.894,flush_begin,0,0
-29.875,flush_end,0,6638554
-29.867,flush_begin,0,0
-29.848,flush_end,0,6638553
-29.840,flush_begin,0,0
-29.823,flush_end,0,6638553
-29.814,flush_begin,0,0
-29.796,flush_end,0,6638553
-29.787,flush_begin,0,0
-29.770,flush_end,0,6638554
-29.762,flush_begin,0,0
-29.744,flush_end,0,6638552
-29.735,flush_begin,0,0
-29.718,flush_end,0,6638554
-29.709,flush_begin,0,0
-29.691,flush_end,0,6638554
-29.682,flush_begin,0,0
-29.665,flush_end,0,6638552
-29.656,flush_begin,0,0
-29.639,flush_end,0,6638553
-29.630,flush_begin,0,0
-29.613,flush_end,0,6638553
-29.604,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.579,flush_begin,0,0
-29.563,flush_end,0,6638552
-29.555,flush_begin,0,0
-29.538,flush_end,0,6638554
-29.530,flush_begin,0,0
-29.514,flush_end,0,6638554
-29.496,trivial_move,3,6638552
-29.496,flush_begin,0,0
-29.479,flush_end,0,6638552
-29.461,trivial_move,3,6638554
-29.461,flush_begin,0,0
-29.445,flush_end,0,6638555
-29.427,trivial_move,3,6638553
-29.427,flush_begin,0,0
-29.409,flush_end,0,6638553
-29.392,trivial_move,3,6638553
-29.392,flush_begin,0,0
-29.374,flush_end,0,6638553
-29.356,trivial_move,3,6638553
-29.356,flush_begin,0,0
-29.338,flush_end,0,6638552
-29.320,trivial_move,3,6638554
-29.320,flush_begin,0,0
-29.302,flush_end,0,6638554
-29.283,trivial_move,3,6638552
-29.283,flush_begin,0,0
-29.265,flush_end,0,6638554
-29.247,trivial_move,3,6638554
-29.247,flush_begin,0,0
-29.229,flush_end,0,6638552
-29.210,trivial_move,3,6638554
-29.210,flush_begin,0,0
-29.192,flush_end,0,6638554
-29.174,trivial_move,3,6638552
-29.174,flush_begin,0,0
-29.155,flush_end,0,6638553
-29.137,trivial_move,3,6638553
-29.137,flush_begin,0,0
-29.118,flush_end,0,6638553
-29.100,trivial_move,3,6638553
-29.100,flush_begin,0,0
-29.080,flush_end,0,6638553
-29.062,trivial_move,3,6638554
-29.062,flush_begin,0,0
-29.043,flush_end,0,6638554
-29.026,trivial_move,3,6638552
-29.026,flush_begin,0,0
-29.008,flush_end,0,6638553
-28.990,trivial_move,3,6638554
-28.990,flush_begin,0,0
-28.972,flush_end,0,6638552
-28.953,trivial_move,3,6638554
-28.953,flush_begin,0,0
-28.935,flush_end,0,6638554
-28.917,trivial_move,3,6638552
-28.917,flush_begin,0,0
-28.899,flush_end,0,6638553
-28.880,trivial_move,3,6638555
-28.880,flush_begin,0,0
-28.862,flush_end,0,6638553
-28.844,trivial_move,3,6638553
-28.844,flush_begin,0,0
-28.825,flush_end,0,6638553
