t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40395,36356,4039,36013,30203,0.83867,9,19,30,54,0,0,0,0,110.67,1.84,7,113,110.70,57197,0,0,0,0,765,0,0
2,39735,35762,3973,35420,28931,0.81680,8,20,29,172,0,1,0,0,127.97,1.63,2,112,127.97,128,1847,172,0,0,771,7039,189
3,39998,35998,4000,35599,31319,0.87977,8,21,29,56,0,0,0,0,127.97,0.00,0,112,127.97,0,6104,2209,0,0,1128,7039,189
4,40122,36109,4013,35714,30577,0.85616,9,21,31,57,0,0,0,0,127.97,0.12,1,112,127.97,0,10944,6644,0,0,1275,7039,189
5,40145,36131,4014,35726,31363,0.87788,9,23,32,59,0,0,0,0,127.97,0.00,0,112,127.97,0,13505,9205,0,0,1275,7039,189
6,39612,35651,3961,35094,31382,0.89423,9,22,31,60,0,0,0,0,127.97,0.00,0,112,127.97,0,13990,9690,0,0,1275,7039,189
7,40189,36170,4019,35482,31292,0.88191,9,22,31,60,0,0,0,0,127.97,0.00,0,112,127.97,0,15160,10860,0,0,1275,7039,189
8,40186,36167,4019,35299,32745,0.92765,10,23,31,62,0,0,0,0,127.97,0.00,0,112,127.97,0,15228,10928,0,0,1275,7039,189
9,39614,35653,3961,34759,31455,0.90495,10,22,31,60,0,0,0,0,127.97,0.00,0,112,127.97,0,15228,10928,0,0,1275,7039,189
10,40132,36118,4014,35179,32476,0.92316,10,22,31,59,0,0,0,0,127.97,0.00,0,112,127.97,0,15230,10930,0,0,1275,7039,189
11,39869,35881,3988,34863,31376,0.89998,9,20,29,56,0,0,0,0,127.97,0.00,0,112,127.97,0,15252,10952,0,0,1275,7039,189
12,40011,36012,3999,34756,32358,0.93100,9,21,30,59,0,0,0,0,127.97,0.00,0,112,127.97,0,15261,10961,0,0,1275,7039,189
13,40391,36351,4040,36138,31736,0.87819,6,19,30,3648,1,4,1,0,104.90,0.00,1,120,104.90,13623,16578,11693,0,5559,2931,42440,12750
14,39607,35647,3960,35578,31105,0.87428,3,10,19,3968,0,7,0,0,72.31,0.38,9,113,72.31,19766,17813,12887,0,14456,10575,107764,33781
15,40393,36353,4040,36047,29358,0.81444,8,19,29,57,0,0,0,0,98.45,0.03,2,113,98.48,0,17813,12887,0,14456,12166,107764,33781
16,39810,35829,3981,35488,30163,0.84995,7,18,29,2432,0,1,0,0,121.06,4.42,4,112,121.07,502,17814,12888,0,15568,12261,117124,34318
17,40186,36168,4018,35862,29048,0.80999,9,22,31,57,0,0,0,0,127.97,4.36,4,112,127.97,0,22617,14906,0,15568,12266,117124,34318
18,39624,35661,3963,35338,29218,0.82682,9,23,33,59,0,0,0,0,127.97,4.34,2,112,127.97,0,26636,18871,0,15568,12266,117124,34318
19,40019,36017,4002,35637,30968,0.86898,8,20,28,53,0,0,0,0,127.97,2.28,4,112,127.97,0,29325,21017,0,15568,12266,117124,34318
20,40182,36164,4018,35649,32334,0.90701,9,22,31,59,0,0,0,0,127.97,0.09,2,112,127.97,0,30567,21690,0,15568,12266,117124,34318
21,39821,35839,3982,35309,30146,0.85378,9,22,31,58,0,0,0,0,127.97,0.00,0,112,127.97,0,31242,22365,0,15568,12266,117124,34318
22,40159,36144,4015,35590,30731,0.86347,9,22,31,59,0,0,0,0,127.97,0.00,0,112,127.97,0,31251,22374,0,15568,12266,117124,34318
23,39967,35969,3998,35379,29637,0.83770,10,24,33,60,0,0,0,0,127.97,0.00,0,112,127.97,0,31290,22413,0,15568,12266,117124,34318
24,40112,36101,4011,35377,31113,0.87947,9,22,31,61,0,0,0,0,127.97,0.00,0,112,127.97,0,31522,22645,0,15568,12266,117124,34318
25,39740,35766,3974,34897,31013,0.88870,10,23,32,70,0,0,0,0,127.97,0.00,0,112,127.97,0,31738,22861,0,15568,12266,117124,34318
26,39977,35980,3997,35076,29611,0.84420,10,24,33,66,0,0,0,0,127.97,0.00,0,112,127.97,0,31763,22886,0,15568,12266,117124,34318
27,40396,36358,4038,36075,31244,0.86608,8,21,31,3456,1,3,1,0,119.39,7.62,4,121,119.39,15653,33111,23566,0,24196,14200,146525,49715
28,40012,36009,4003,35906,32093,0.89381,3,11,19,3456,0,5,0,0,115.16,0.06,1,116,115.17,8991,33339,23749,0,34789,25009,185290,59265
29,39595,35636,3959,35337,31839,0.90101,4,13,22,3136,0,2,0,0,118.95,4.40,3,114,118.98,4691,33360,23749,0,37013,27560,205042,63993
30,40403,36362,4041,35947,30225,0.84082,8,21,31,288,0,1,0,0,127.64,4.42,4,113,127.64,211,33783,23755,0,37013,27988,213259,64261
31,40003,36003,4000,35495,30462,0.85821,7,18,27,52,0,0,0,0,127.97,4.34,2,113,127.97,0,38135,25766,0,37013,28520,213259,64261
32,39632,35668,3964,35123,29991,0.85388,8,21,30,2432,0,1,0,0,127.97,10.02,6,112,127.97,1,44379,30677,0,39237,28546,223431,64262
33,40366,36330,4036,35745,30830,0.86250,9,22,30,56,0,0,0,0,127.97,8.69,4,112,127.97,0,48032,33990,0,39237,28546,223431,64262
34,39740,35765,3975,35182,30115,0.85598,7,19,28,56,0,0,0,0,127.97,8.69,4,112,127.97,0,50749,36707,0,39237,28546,223431,64262
35,39942,35949,3993,35395,31130,0.87950,8,21,29,58,0,0,0,0,127.97,8.65,4,112,127.97,0,51302,37251,0,39237,28546,223431,64262
36,40162,36146,4016,35621,30388,0.85309,9,23,32,61,0,0,0,0,127.97,0.04,3,112,127.97,0,53718,37458,0,39237,28546,223431,64262
37,39760,35783,3977,35272,30825,0.87392,9,23,32,59,0,0,0,0,127.97,0.00,0,112,127.97,0,54241,37975,0,39237,28546,223431,64262
38,40212,36192,4020,35648,31273,0.87727,9,22,31,59,0,0,0,0,127.97,0.00,1,112,127.97,0,54845,38579,0,39237,28546,223431,64262
39,40048,36042,4006,35358,31026,0.87748,10,23,32,59,0,0,0,0,127.97,0.00,0,112,127.97,0,55267,39001,0,39237,28546,223431,64262
40,40138,36125,4013,35252,30299,0.85950,9,22,32,56,0,0,0,0,127.97,0.08,1,112,127.97,0,55268,39002,0,39237,28546,223431,64262
41,39990,35991,3999,35629,28669,0.80465,9,23,33,3264,1,2,1,0,112.31,11.38,4,122,112.33,9844,56687,39726,0,48438,29249,241904,72622
42,39605,35644,3961,35671,31280,0.87690,3,11,20,4032,1,8,0,0,118.67,14.20,11,114,118.67,17971,57094,40019,0,63761,38279,315589,89369
43,40397,36357,4040,36086,30408,0.84265,4,11,21,3264,0,2,0,0,127.03,14.20,11,112,127.05,1288,57399,40025,0,65984,42690,333979,93730
44,39768,35791,3977,35467,29254,0.82482,7,19,28,52,0,0,0,0,127.97,8.89,6,112,127.97,0,63367,40420,0,65984,43070,333979,93730
45,40234,36210,4024,35838,31142,0.86897,9,23,32,61,0,0,0,0,127.97,8.26,5,112,127.97,0,67941,42256,0,65984,43078,333979,93730
46,39821,35840,3981,35354,31268,0.88443,9,22,31,58,0,0,0,0,127.97,0.18,3,112,127.97,0,72002,43677,0,65984,43078,333979,93730
47,39945,35951,3994,35382,30333,0.85730,9,23,32,61,0,0,0,0,127.97,0.00,0,112,127.97,0,76511,48030,0,65984,43078,333979,93730
