t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40331,36299,4032,35977,28745,0.79898,9,22,33,57,0,0,0,0,127.97,0.14,4,113,127.97,0,0,0,0,0,0,0,0
2,39875,35888,3987,35553,29014,0.81608,7,20,29,192,0,1,0,0,127.97,0.02,2,112,127.97,0,0,0,0,0,0,7039,167
3,40046,36041,4005,35639,31003,0.86992,9,22,32,66,0,0,0,0,127.97,0.02,2,112,127.97,0,0,0,0,0,0,7039,167
4,39708,35738,3970,35335,30073,0.85108,9,23,32,68,0,0,0,0,127.97,0.09,2,112,127.97,0,0,0,0,0,0,7039,167
5,40222,36198,4024,35798,31429,0.87795,8,21,30,57,0,0,0,0,127.97,0.00,1,112,127.97,0,0,0,0,0,0,7039,167
6,39770,35794,3976,35214,31484,0.89408,9,22,31,60,0,0,0,0,127.97,0.08,1,112,127.97,0,0,0,0,0,0,7039,167
7,40064,36057,4007,35336,31089,0.87981,9,23,32,60,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,7039,167
8,39941,35947,3994,35116,32562,0.92727,8,20,29,57,0,0,0,0,127.97,0.18,1,112,127.97,0,0,0,0,0,0,7039,167
9,40089,36081,4008,35235,31919,0.90589,8,19,28,55,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,7039,167
10,40108,36097,4011,35132,32408,0.92246,9,22,31,60,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,7039,167
11,40160,36144,4016,35059,31541,0.89965,10,23,32,62,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,7039,167
12,39650,35684,3966,34535,32141,0.93068,9,22,31,64,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,7039,167
13,40401,36362,4039,36111,30301,0.83911,6,18,29,3456,1,4,1,0,127.98,0.10,2,120,127.98,0,0,0,0,0,0,44756,9078
14,39623,35660,3963,35577,23568,0.66245,3,11,20,3520,0,7,0,0,127.97,0.21,6,113,127.97,0,0,0,0,0,0,107760,23866
15,40385,36347,4038,36057,27557,0.76426,8,21,31,55,0,0,0,0,127.98,0.12,2,113,127.98,0,0,0,0,0,0,107760,23866
16,39643,35678,3965,35371,29909,0.84558,7,19,29,2624,0,1,0,0,127.98,0.17,3,112,127.98,0,0,0,0,0,0,117121,24010
17,40359,36324,4035,35982,28997,0.80588,7,18,26,51,0,0,0,0,127.97,0.05,2,112,127.97,0,0,0,0,0,0,117121,24010
18,39612,35651,3961,35281,29136,0.82583,9,23,32,59,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
19,40000,35999,4001,35601,31013,0.87113,9,22,31,58,0,0,0,0,127.97,0.04,2,112,127.97,0,0,0,0,0,0,117121,24010
20,40173,36156,4017,35651,32329,0.90682,9,22,31,58,0,0,0,0,127.97,0.07,1,112,127.97,0,0,0,0,0,0,117121,24010
21,40040,36036,4004,35483,30324,0.85461,9,23,32,58,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
22,40099,36090,4009,35572,30685,0.86262,9,22,31,57,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
23,39683,35714,3969,35139,29478,0.83890,9,23,31,59,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
24,40315,36283,4032,35533,31180,0.87749,9,22,30,59,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
25,39859,35874,3985,35042,31198,0.89030,9,23,32,62,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
26,40226,36203,4023,35305,29813,0.84444,9,22,31,59,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,117121,24010
