t,type,level,bytes
-29.943,flush_begin,0,0
-29.926,flush_end,0,6638552
-29.918,flush_begin,0,0
-29.903,flush_end,0,6638554
-29.894,flush_begin,0,0
-29.879,flush_end,0,6638553
-29.871,flush_begin,0,0
-29.855,flush_end,0,6638553
-29.847,flush_begin,0,0
-29.831,flush_end,0,6638553
-29.823,flush_begin,0,0
-29.807,flush_end,0,6638554
-29.799,flush_begin,0,0
-29.783,flush_end,0,6638552
-29.775,flush_begin,0,0
-29.759,flush_end,0,6638554
-29.751,flush_begin,0,0
-29.736,flush_end,0,6638554
-29.729,flush_begin,0,0
-29.713,flush_end,0,6638552
-29.705,flush_begin,0,0
-29.689,flush_end,0,6638553
-29.681,flush_begin,0,0
-29.665,flush_end,0,6638553
-29.657,flush_begin,0,0
-29.641,flush_end,0,6638554
-29.633,flush_begin,0,0
-29.616,flush_end,0,6638552
-29.608,flush_begin,0,0
-29.593,flush_end,0,6638554
-29.584,flush_begin,0,0
-29.567,flush_end,0,6638554
-29.549,trivial_move,3,6638552
-29.549,flush_begin,0,0
-29.533,flush_end,0,6638552
-29.514,trivial_move,3,6638554
-29.514,flush_begin,0,0
-29.499,flush_end,0,6638555
-29.481,trivial_move,3,6638553
-29.481,flush_begin,0,0
-29.465,flush_end,0,6638553
-29.447,trivial_move,3,6638553
-29.447,flush_begin,0,0
-29.431,flush_end,0,6638553
-29.414,trivial_move,3,6638553
-29.414,flush_begin,0,0
-29.397,flush_end,0,6638552
-29.379,trivial_move,3,6638554
-29.379,flush_begin,0,0
-29.364,flush_end,0,6638554
-29.347,trivial_move,3,6638552
-29.347,flush_begin,0,0
-29.331,flush_end,0,6638554
-29.313,trivial_move,3,6638554
-29.313,flush_begin,0,0
-29.297,flush_end,0,6638552
-29.279,trivial_move,3,6638554
-29.279,flush_begin,0,0
-29.263,flush_end,0,6638554
-29.244,trivial_move,3,6638552
-29.244,flush_begin,0,0
-29.228,flush_end,0,6638553
-29.209,trivial_move,3,6638553
-29.209,flush_begin,0,0
-29.193,flush_end,0,6638553
-29.175,trivial_move,3,6638553
-29.175,flush_begin,0,0
-29.159,flush_end,0,6638553
-29.135,trivial_move,3,6638554
-29.135,flush_begin,0,0
-29.119,flush_end,0,6638554
-29.100,trivial_move,3,6638552
-29.100,flush_begin,0,0
-29.082,flush_end,0,6638553
-29.064,trivial_move,3,6638554
-29.064,flush_begin,0,0
-29.048,flush_end,0,6638552
-29.028,trivial_move,3,6638554
-29.028,flush_begin,0,0
-29.010,flush_end,0,6638554
-28.991,trivial_move,3,6638552
-28.991,flush_begin,0,0
-28.973,flush_end,0,6638553
-28.953,trivial_move,3,6638555
-28.953,flush_begin,0,0
-28.936,flush_end,0,6638553
-28.917,trivial_move,3,6638553
-28.917,flush_begin,0,0
-28.900,flush_end,0,6638553
-28.881,trivial_move,3,6638553
-28.881,flush_begin,0,0
-28.863,flush_end,0,6638555
-28.838,trivial_move,3,6638552
-28.838,flush_begin,0,0
-28.820,flush_end,0,6638553
-28.802,trivial_move,3,6638554
-28.802,flush_begin,0,0
-28.785,flush_end,0,6638553
-28.768,trivial_move,3,6638554
-28.768,flush_begin,0,0
-28.749,flush_end,0,6638554
-28.731,trivial_move,3,6638552
-28.731,flush_begin,0,0
-28.713,flush_end,0,6638552
-28.695,trivial_move,3,6638554
-28.695,flush_begin,0,0
