t,type,level,bytes
-29.924,flush_begin,0,0
-29.906,flush_end,0,6638552
-29.896,flush_begin,0,0
-29.880,flush_end,0,6638554
-29.871,flush_begin,0,0
-29.855,flush_end,0,6638553
-29.846,flush_begin,0,0
-29.831,flush_end,0,6638553
-29.822,flush_begin,0,0
-29.806,flush_end,0,6638553
-29.797,flush_begin,0,0
-29.782,flush_end,0,6638554
-29.773,flush_begin,0,0
-29.758,flush_end,0,6638552
-29.749,flush_begin,0,0
-29.734,flush_end,0,6638554
-29.726,flush_begin,0,0
-29.711,flush_end,0,6638554
-29.702,flush_begin,0,0
-29.687,flush_end,0,6638552
-29.678,flush_begin,0,0
-29.663,flush_end,0,6638553
-29.654,flush_begin,0,0
-29.639,flush_end,0,6638553
-29.630,flush_begin,0,0
-29.615,flush_end,0,6638554
-29.606,flush_begin,0,0
-29.591,flush_end,0,6638552
-29.583,flush_begin,0,0
-29.568,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.543,flush_end,0,6638554
-29.526,trivial_move,3,6638552
-29.526,flush_begin,0,0
-29.510,flush_end,0,6638552
-29.492,trivial_move,3,6638554
-29.492,flush_begin,0,0
-29.476,flush_end,0,6638555
-29.459,trivial_move,3,6638553
-29.459,flush_begin,0,0
-29.443,flush_end,0,6638553
-29.425,trivial_move,3,6638553
-29.425,flush_begin,0,0
-29.409,flush_end,0,6638553
-29.400,flush_begin,0,0
-29.385,flush_end,0,6638552
-29.368,trivial_move,3,6638553
-29.368,flush_begin,0,0
-29.351,flush_end,0,6638554
-29.335,trivial_move,3,6638554
-29.335,flush_begin,0,0
-29.318,flush_end,0,6638554
-29.298,trivial_move,3,6638552
-29.298,flush_begin,0,0
-29.282,flush_end,0,6638552
-29.264,trivial_move,3,6638554
-29.264,flush_begin,0,0
-29.247,flush_end,0,6638554
-29.238,flush_begin,0,0
-29.222,flush_end,0,6638553
-29.206,trivial_move,3,6638554
-29.205,flush_begin,0,0
-29.189,flush_end,0,6638553
-29.171,trivial_move,3,6638552
-29.171,flush_begin,0,0
-29.154,flush_end,0,6638553
-29.134,trivial_move,3,6638553
-29.134,flush_begin,0,0
-29.118,flush_end,0,6638554
-29.100,trivial_move,3,6638553
-29.100,flush_begin,0,0
-29.083,flush_end,0,6638553
-29.065,trivial_move,3,6638554
-29.065,flush_begin,0,0
-29.047,flush_end,0,6638552
-29.029,trivial_move,3,6638552
-29.029,flush_begin,0,0
-29.012,flush_end,0,6638554
-28.993,trivial_move,3,6638554
-28.993,flush_begin,0,0
-28.976,flush_end,0,6638553
-28.958,trivial_move,3,6638554
-28.958,flush_begin,0,0
-28.940,flush_end,0,6638553
-28.922,trivial_move,3,6638552
-28.922,flush_begin,0,0
-28.905,flush_end,0,6638553
-28.887,trivial_move,3,6638555
-28.887,flush_begin,0,0
-28.869,flush_end,0,6638555
-28.851,trivial_move,3,6638553
-28.851,flush_begin,0,0
-28.834,flush_end,0,6638553
-28.815,trivial_move,3,6638553
-28.815,flush_begin,0,0
-28.798,flush_end,0,6638553
-28.781,trivial_move,3,6638552
-28.781,flush_begin,0,0
-28.763,flush_end,0,6638554
-28.746,trivial_move,3,6638554
-28.746,flush_begin,0,0
-28.729,flush_end,0,6638552
-28.709,trivial_move,3,6638554
-28.709,flush_begin,0,0
-28.691,flush_end,0,6638553
-28.675,trivial_move,3,6638552
-28.675,flush_begin,0,0
-28.658,flush_end,0,6638553
-28.642,trivial_move,3,6638554
-28.632,trivial_move,3,6638553
-28.632,flush_begin,0,0
-28.614,flush_end,0,6638554
-28.596,trivial_move,3,6638553
-28.596,flush_begin,0,0
-28.579,flush_end,0,6638553
-28.561,trivial_move,3,6638553
-28.561,flush_begin,0,0
-28.544,flush_end,0,6638553
-28.536,flush_begin,0,0
-28.520,flush_end,0,6638554
-28.502,trivial_move,3,6638554
-28.502,flush_begin,0,0
-28.486,flush_end,0,6638552
-28.477,flush_begin,0,0
-28.461,flush_end,0,6638554
-28.443,trivial_move,3,6638553
-28.443,flush_begin,0,0
-28.427,flush_end,0,6638553
-28.409,trivial_move,3,6638552
-28.409,flush_begin,0,0
-28.393,flush_end,0,6638553
-28.374,trivial_move,3,6638554
-28.374,flush_begin,0,0
-28.358,flush_end,0,6638553
-28.340,trivial_move,3,6638553
-28.340,flush_begin,0,0
-28.324,flush_end,0,6638553
-28.305,trivial_move,3,6638553
-28.305,flush_begin,0,0
-28.289,flush_end,0,6638555
-28.271,trivial_move,3,6638553
-28.271,flush_begin,0,0
-28.253,flush_end,0,6638552
-28.245,flush_begin,0,0
-28.229,flush_end,0,6638554
-28.211,trivial_move,3,6638555
-28.211,flush_begin,0,0
-28.193,flush_end,0,6638553
-28.176,trivial_move,3,6638553
-28.176,flush_begin,0,0
-28.159,flush_end,0,6638553
-28.139,trivial_move,3,6638553
-28.139,flush_begin,0,0
-28.123,flush_end,0,6638554
-28.108,trivial_move,3,6638554
-28.108,flush_begin,0,0
-28.092,flush_end,0,6638553
-28.073,trivial_move,3,6638552
-28.073,flush_begin,0,0
-28.057,flush_end,0,6638553
-28.042,trivial_move,3,6638553
-28.042,flush_begin,0,0
-28.026,flush_end,0,6638552
-28.008,trivial_move,3,6638553
-28.008,flush_begin,0,0
-27.992,flush_end,0,6638554
-27.974,trivial_move,3,6638554
-27.974,flush_begin,0,0
-27.958,flush_end,0,6638553
-27.940,trivial_move,3,6638553
-27.940,flush_begin,0,0
-27.923,flush_end,0,6638553
-27.906,trivial_move,3,6638553
-27.906,flush_begin,0,0
-27.888,flush_end,0,6638554
-27.869,trivial_move,3,6638554
-27.869,flush_begin,0,0
-27.852,flush_end,0,6638553
-27.833,trivial_move,3,6638552
-27.833,flush_begin,0,0
-27.814,flush_end,0,6638553
-27.796,trivial_move,3,6638554
-27.796,flush_begin,0,0
-27.778,flush_end,0,6638553
-27.760,trivial_move,3,6638553
-27.760,flush_begin,0,0
-27.742,flush_end,0,6638554
-27.723,trivial_move,3,6638553
-27.723,flush_begin,0,0
-27.705,flush_end,0,6638552
-27.689,trivial_move,3,6638553
-27.689,flush_begin,0,0
-27.683,flush_end,0,1164547
-27.665,trivial_move,3,6638553
-27.657,trivial_move,3,6638555
-27.649,trivial_move,3,6638552
-27.649,compaction_begin,2,0
-27.623,compaction_end,2,6638146
-27.614,compaction_begin,2,0
-27.590,compaction_end,2,6638145
-27.581,compaction_begin,2,0
-27.558,compaction_end,2,6638145
-27.549,compaction_begin,2,0
-27.527,compaction_end,2,6638146
-27.520,compaction_begin,2,0
-27.490,compaction_end,2,6638145
-27.482,compaction_begin,2,0
-27.458,compaction_end,2,6638145
-27.448,compaction_begin,2,0
-27.426,compaction_end,2,6638144
-27.418,compaction_begin,2,0
-27.396,compaction_end,2,6638146
-27.387,compaction_begin,2,0
-27.364,compaction_end,2,6638145
-27.357,compaction_begin,2,0
-27.335,compaction_end,2,6638145
-27.326,compaction_begin,2,0
-27.304,compaction_end,2,6638146
-27.296,compaction_begin,2,0
-27.273,compaction_end,2,6638145
-27.263,compaction_begin,2,0
-27.241,compaction_end,2,6638145
