t,type,level,bytes
-29.918,flush_begin,0,0
-29.900,flush_end,0,6638552
-29.890,flush_begin,0,0
-29.872,flush_end,0,6638554
-29.862,flush_begin,0,0
-29.845,flush_end,0,6638553
-29.835,flush_begin,0,0
-29.819,flush_end,0,6638553
-29.810,flush_begin,0,0
-29.793,flush_end,0,6638553
-29.784,flush_begin,0,0
-29.767,flush_end,0,6638554
-29.758,flush_begin,0,0
-29.741,flush_end,0,6638552
-29.732,flush_begin,0,0
-29.716,flush_end,0,6638554
-29.707,flush_begin,0,0
-29.691,flush_end,0,6638554
-29.682,flush_begin,0,0
-29.666,flush_end,0,6638552
-29.657,flush_begin,0,0
-29.641,flush_end,0,6638553
-29.632,flush_begin,0,0
-29.615,flush_end,0,6638553
-29.606,flush_begin,0,0
-29.589,flush_end,0,6638554
-29.580,flush_begin,0,0
-29.564,flush_end,0,6638552
-29.555,flush_begin,0,0
-29.538,flush_end,0,6638554
-29.529,flush_begin,0,0
-29.513,flush_end,0,6638554
-29.497,trivial_move,3,6638552
-29.497,flush_begin,0,0
-29.480,flush_end,0,6638552
-29.464,trivial_move,3,6638554
-29.464,flush_begin,0,0
-29.447,flush_end,0,6638555
-29.431,trivial_move,3,6638553
-29.431,flush_begin,0,0
-29.414,flush_end,0,6638553
-29.398,trivial_move,3,6638553
-29.398,flush_begin,0,0
-29.381,flush_end,0,6638553
-29.365,trivial_move,3,6638553
-29.365,flush_begin,0,0
-29.348,flush_end,0,6638552
-29.332,trivial_move,3,6638554
-29.331,flush_begin,0,0
-29.313,flush_end,0,6638554
-29.297,trivial_move,3,6638552
-29.297,flush_begin,0,0
-29.280,flush_end,0,6638554
-29.264,trivial_move,3,6638554
-29.264,flush_begin,0,0
-29.246,flush_end,0,6638552
-29.230,trivial_move,3,6638554
-29.230,flush_begin,0,0
-29.213,flush_end,0,6638554
-29.197,trivial_move,3,6638552
-29.196,flush_begin,0,0
-29.179,flush_end,0,6638553
-29.163,trivial_move,3,6638553
-29.163,flush_begin,0,0
-29.145,flush_end,0,6638553
-29.129,trivial_move,3,6638553
-29.129,flush_begin,0,0
-29.112,flush_end,0,6638553
-29.096,trivial_move,3,6638554
-29.096,flush_begin,0,0
-29.079,flush_end,0,6638554
-29.063,trivial_move,3,6638552
-29.063,flush_begin,0,0
-29.045,flush_end,0,6638553
-29.026,trivial_move,3,6638554
-29.026,flush_begin,0,0
-29.011,flush_end,0,6638552
-28.993,trivial_move,3,6638554
-28.993,flush_begin,0,0
-28.977,flush_end,0,6638554
-28.959,trivial_move,3,6638552
-28.959,flush_begin,0,0
-28.943,flush_end,0,6638553
-28.927,trivial_move,3,6638555
-28.927,flush_begin,0,0
-28.909,flush_end,0,6638553
-28.893,trivial_move,3,6638553
-28.893,flush_begin,0,0
-28.875,flush_end,0,6638553
-28.860,trivial_move,3,6638553
-28.859,flush_begin,0,0
-28.842,flush_end,0,6638555
-28.826,trivial_move,3,6638552
-28.825,flush_begin,0,0
-28.808,flush_end,0,6638553
-28.792,trivial_move,3,6638554
-28.791,flush_begin,0,0
-28.774,flush_end,0,6638553
-28.758,trivial_move,3,6638554
-28.758,flush_begin,0,0
-28.741,flush_end,0,6638554
-28.725,trivial_move,3,6638552
-28.725,flush_begin,0,0
-28.708,flush_end,0,6638552
-28.692,trivial_move,3,6638554
-28.692,flush_begin,0,0
-28.674,flush_end,0,6638553
-28.658,trivial_move,3,6638553
-28.658,flush_begin,0,0
-28.639,flush_end,0,6638553
-28.623,trivial_move,3,6638553
-28.623,flush_begin,0,0
-28.606,flush_end,0,6638554
-28.590,trivial_move,3,6638553
-28.589,flush_begin,0,0
-28.572,flush_end,0,6638553
-28.556,trivial_move,3,6638554
-28.556,flush_begin,0,0
-28.539,flush_end,0,6638553
-28.523,trivial_move,3,6638553
-28.523,flush_begin,0,0
-28.506,flush_end,0,6638554
-28.490,trivial_move,3,6638552
-28.490,flush_begin,0,0
-28.472,flush_end,0,6638552
-28.456,trivial_move,3,6638554
-28.456,flush_begin,0,0
-28.432,flush_end,0,6638554
-28.416,trivial_move,3,6638553
-28.415,flush_begin,0,0
-28.399,flush_end,0,6638553
-28.383,trivial_move,3,6638553
-28.382,flush_begin,0,0
-28.366,flush_end,0,6638553
-28.350,trivial_move,3,6638553
-28.349,flush_begin,0,0
-28.333,flush_end,0,6638553
-28.317,trivial_move,3,6638555
-28.317,flush_begin,0,0
-28.300,flush_end,0,6638553
-28.284,trivial_move,3,6638553
-28.284,flush_begin,0,0
-28.267,flush_end,0,6638555
-28.251,trivial_move,3,6638553
-28.251,flush_begin,0,0
-28.235,flush_end,0,6638552
-28.219,trivial_move,3,6638554
-28.218,flush_begin,0,0
-28.202,flush_end,0,6638554
-28.184,trivial_move,3,6638552
-28.184,flush_begin,0,0
-28.168,flush_end,0,6638553
-28.152,trivial_move,3,6638553
-28.152,flush_begin,0,0
-28.136,flush_end,0,6638553
-28.120,trivial_move,3,6638553
-28.120,flush_begin,0,0
-28.103,flush_end,0,6638554
-28.087,trivial_move,3,6638554
-28.087,flush_begin,0,0
-28.071,flush_end,0,6638553
-28.055,trivial_move,3,6638553
-28.054,flush_begin,0,0
