t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40386,36349,4037,36093,28526,0.79035,8,21,31,58,0,0,0,0,127.97,29.89,9,114,127.97,53392,7194,334,0,0,3144,0,0
2,39600,35638,3962,35377,30138,0.85191,8,20,29,168,1,0,0,0,127.97,36.08,10,114,127.97,99,19777,1658,0,9207,4990,9695,182
3,40403,36363,4040,36051,29664,0.82283,8,20,28,62,0,1,0,0,127.97,27.99,8,113,127.97,0,21789,3670,0,10061,6278,10158,208
4,39906,35915,3991,35485,29911,0.84292,8,21,29,68,0,0,0,0,127.97,22.41,8,113,127.97,0,24619,5066,0,10061,6465,10158,208
5,39698,35729,3969,35142,31773,0.90413,9,22,31,61,0,0,0,0,127.97,4.63,4,113,127.97,0,27702,5230,0,10061,7182,10158,208
6,40028,36025,4003,35301,31954,0.90519,9,21,31,60,0,0,0,0,127.97,0.56,1,113,127.97,0,30812,5404,0,10061,7362,10158,208
7,40324,36292,4032,35362,33669,0.95212,9,20,29,61,0,0,0,0,127.97,0.00,0,113,127.97,0,31654,5846,0,10061,7362,10158,208
8,39793,35813,3980,34801,32767,0.94155,9,21,30,59,0,0,0,0,127.97,0.02,1,113,127.97,0,32178,6370,0,10061,7362,10158,208
9,39848,35863,3985,34854,31639,0.90776,9,22,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,32758,6950,0,10061,7362,10158,208
10,40003,36003,4000,35097,29801,0.84910,9,21,29,60,0,0,0,0,127.97,0.00,0,113,127.97,0,34051,8243,0,10061,7362,10158,208
11,39995,35996,3999,35240,29153,0.82727,10,23,33,59,0,0,0,0,127.97,0.07,2,113,127.97,0,35018,9210,0,10061,7362,10158,208
12,40402,36360,4042,35629,29411,0.82548,8,20,28,54,0,0,0,0,127.97,0.00,0,113,127.97,0,35773,9965,0,10061,7362,10158,208
13,40007,36008,3999,35953,28376,0.78925,6,20,32,3584,1,4,1,0,127.97,49.50,14,121,127.97,11007,46646,11369,0,46311,10176,46374,10844
14,39608,35647,3961,35675,19495,0.54646,4,12,22,3584,0,7,0,0,127.93,46.71,13,114,127.93,5649,109182,16011,0,108232,15791,107944,17880
15,39993,35994,3999,35734,28160,0.78804,8,21,31,58,1,0,0,0,127.97,37.89,13,114,127.97,8,117000,16463,0,109255,19149,109383,17888
16,40389,36350,4039,36007,30956,0.85972,6,17,25,2304,0,1,0,0,127.97,31.34,9,113,127.97,0,129478,17426,0,118293,20094,118077,17898
17,39778,35799,3979,35410,29188,0.82429,9,23,34,61,0,0,0,0,127.97,22.51,7,113,127.97,0,132586,19718,0,118293,20384,118077,17898
18,39826,35843,3983,35417,30097,0.84979,9,22,31,59,0,0,0,0,127.97,5.64,4,113,127.97,0,137558,19889,0,118293,21171,118077,17898
19,40004,36005,3999,35551,29747,0.83674,9,22,32,59,0,0,0,0,127.97,0.00,0,113,127.97,0,140795,20628,0,118293,21235,118077,17898
20,40258,36232,4026,35692,31592,0.88513,9,22,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,141545,21378,0,118293,21235,118077,17898
21,39852,35867,3985,35272,29602,0.83925,8,20,29,56,0,0,0,0,127.97,0.06,2,113,127.97,0,142552,22385,0,118293,21235,118077,17898
22,40297,36267,4030,35674,30447,0.85348,9,23,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,143090,22923,0,118293,21235,118077,17898
23,39812,35831,3981,35234,30647,0.86981,9,22,31,61,0,0,0,0,127.97,0.09,2,113,127.97,0,143653,23486,0,118293,21235,118077,17898
24,39811,35830,3981,35182,29487,0.83813,10,23,33,59,0,0,0,0,127.97,0.03,1,113,127.97,0,144264,24097,0,118293,21235,118077,17898
25,40048,36043,4005,35315,28486,0.80663,9,22,32,58,0,0,0,0,127.97,0.00,0,113,127.97,0,144617,24450,0,118293,21235,118077,17898
26,40124,36111,4013,35492,28389,0.79987,10,23,33,59,0,0,0,0,127.97,0.07,1,113,127.97,0,144864,24697,0,118293,21235,118077,17898
27,39929,35941,3988,35779,27982,0.78208,6,19,29,3456,1,3,1,0,126.29,35.33,10,122,126.29,9539,147234,25336,0,143587,22726,143182,26086
28,40009,36005,4004,36051,20404,0.56598,4,13,23,3840,1,7,0,0,126.13,63.83,18,115,126.14,6264,213950,30628,0,213159,29453,213027,34149
29,40260,36233,4027,35989,23395,0.65006,6,18,25,3072,0,2,0,0,127.97,37.23,12,113,127.97,275,239954,32693,0,231742,32662,231213,35056
30,39763,35787,3976,35494,29955,0.84395,6,15,23,40,0,0,0,0,127.97,22.53,9,113,127.97,0,244910,32834,0,231742,33522,231213,35056
31,40183,36164,4019,35763,31690,0.88611,9,22,31,59,0,0,0,0,127.97,16.09,7,113,127.97,0,248609,32891,0,231742,33662,231213,35056
32,40052,36047,4005,35565,31318,0.88058,9,22,32,60,0,0,0,0,127.97,4.17,3,113,127.97,0,252546,32924,0,231742,33683,231213,35056
33,39607,35646,3961,35145,31147,0.88624,9,21,30,57,0,0,0,0,127.97,0.03,2,113,127.97,0,254421,33253,0,231742,33683,231213,35056
34,40395,36355,4040,35885,30621,0.85331,9,22,32,68,0,0,0,0,127.97,0.04,2,113,127.97,0,255070,33902,0,231742,33683,231213,35056
35,39681,35714,3967,35280,29608,0.83923,9,23,33,61,0,0,0,0,127.97,0.00,0,113,127.97,0,255479,34311,0,231742,33683,231213,35056
36,40063,36056,4007,35585,29747,0.83594,10,23,33,57,0,0,0,0,127.97,0.00,0,113,127.97,0,257025,35857,0,231742,33683,231213,35056
37,40018,36017,4001,35587,29170,0.81968,9,23,32,60,0,0,0,0,127.97,0.04,2,113,127.97,0,258104,36936,0,231742,33683,231213,35056
38,39847,35863,3984,35361,28855,0.81601,8,20,28,56,0,0,0,0,127.97,0.00,0,113,127.97,0,258571,37403,0,231742,33683,231213,35056
39,40281,36252,4029,35671,32430,0.90914,9,22,30,59,0,0,0,0,127.97,0.00,0,113,127.97,0,258689,37521,0,231742,33683,231213,35056
40,39718,35746,3972,34970,31753,0.90801,9,22,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,258808,37640,0,231742,33683,231213,35056
41,40334,36301,4033,35940,30524,0.84930,8,21,33,3392,1,2,1,0,127.97,37.57,10,123,127.97,9235,260537,37858,0,251237,34846,249346,42322
42,39755,35779,3976,35805,21980,0.61388,3,13,23,3776,1,7,0,0,127.97,63.57,18,116,127.97,5585,321831,42586,0,321148,40943,320227,50811
43,40304,36274,4030,36045,22306,0.61884,7,20,28,2944,0,2,0,0,127.97,38.39,13,114,127.97,350,346032,44138,0,336324,43020,335388,51182
44,39605,35644,3961,35351,29033,0.82128,7,20,29,2496,0,1,0,0,127.97,30.84,10,113,127.97,110,360094,44435,0,346009,44046,345171,51369
45,39993,35994,3999,35592,31076,0.87312,9,22,31,59,0,0,0,0,127.97,21.85,6,113,127.97,0,360689,44774,0,346009,44691,345171,51369
46,40008,36007,4001,35566,30984,0.87117,9,22,31,58,0,0,0,0,127.97,18.49,6,113,127.97,0,363117,45042,0,346009,45577,345171,51369
47,40124,36112,4012,35605,31074,0.87274,7,19,28,55,0,0,0,0,127.97,5.49,4,113,127.97,0,367208,45115,0,346009,45620,345171,51369
48,39996,35996,4000,35521,31814,0.89564,9,21,30,59,0,0,0,0,127.97,0.00,0,113,127.97,0,368873,45375,0,346009,45620,345171,51369
49,39870,35883,3987,35416,30394,0.85820,9,23,32,60,0,0,0,0,127.97,0.05,1,113,127.97,0,370156,46658,0,346009,45620,345171,51369
