t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40072,36064,4008,35588,29870,0.83933,3,11,19,34,0,0,0,0,127.98,0.00,0,112,127.98
2,40023,36021,4002,42677,30127,0.70593,3,11,19,2176,0,1,0,0,127.97,0.05,1,111,127.97
3,40097,36087,4010,35664,29537,0.82820,4,12,22,34,0,0,0,0,127.97,0.10,1,111,127.97
4,40191,36172,4019,35605,30552,0.85808,5,13,24,38,0,0,0,0,127.97,0.05,1,111,127.97
5,40102,36093,4009,35512,31186,0.87818,4,12,21,32,0,0,0,0,127.97,0.00,0,111,127.97
6,40141,36125,4016,35549,30593,0.86059,4,11,20,41,0,0,0,0,127.97,0.00,0,111,127.97
7,40208,36188,4020,35539,31556,0.88793,5,13,25,39,0,0,0,0,127.97,0.00,1,111,127.97
8,40110,36099,4011,35401,31089,0.87820,5,13,24,41,0,0,0,0,127.97,0.00,0,111,127.97
9,40030,36027,4003,35028,31854,0.90939,5,12,23,35,0,0,0,0,127.97,0.01,1,111,127.97
10,40152,36137,4015,35097,30731,0.87560,4,11,20,37,0,0,0,0,127.97,0.00,0,111,127.97
11,40118,36106,4012,35013,29560,0.84426,5,13,23,39,0,0,0,0,127.97,0.00,0,111,127.97
12,40117,36105,4012,35105,30189,0.85996,5,13,24,37,0,0,0,0,127.97,0.08,2,111,127.97
13,40112,36102,4010,87691,43230,0.49298,4,13,24,3456,1,6,1,0,127.98,0.46,7,117,127.98
14,40067,36059,4008,80719,32228,0.39926,4,12,21,3392,0,5,0,0,127.98,0.00,0,113,127.98
15,40024,36021,4003,35683,28900,0.80991,4,13,24,34,0,0,0,0,127.97,0.00,1,113,127.97
16,40136,36123,4013,46052,28429,0.61732,4,12,22,2752,0,1,0,0,127.97,0.00,1,112,127.97
17,40107,36097,4010,35791,30770,0.85971,4,12,23,35,0,0,0,0,127.97,0.00,0,112,127.97
18,40099,36088,4011,35656,30633,0.85913,5,13,24,37,0,0,0,0,127.97,0.00,0,112,127.97
19,40077,36070,4007,35616,30880,0.86703,5,13,25,32,0,0,0,0,127.97,0.00,0,112,127.97
20,40150,36135,4015,35589,31029,0.87187,5,14,26,52,0,0,0,0,127.97,0.07,2,112,127.97
21,40113,36102,4011,35386,29686,0.83892,5,14,25,39,0,0,0,0,127.97,0.00,0,112,127.97
22,40220,36198,4022,35463,29431,0.82991,5,13,25,33,0,0,0,0,127.97,0.00,0,112,127.97
23,40027,36024,4003,35375,30929,0.87432,4,12,21,35,0,0,0,0,127.97,0.00,0,112,127.97
24,40082,36074,4008,35387,30544,0.86314,4,12,20,34,0,0,0,0,127.97,0.00,0,112,127.97
25,40186,36168,4018,35524,30249,0.85151,5,13,24,33,0,0,0,0,127.97,0.04,1,112,127.97
26,40096,36085,4011,35458,28828,0.81302,4,11,21,37,0,0,0,0,127.97,0.00,0,112,127.97
27,40132,36119,4013,83247,40172,0.48256,4,14,24,3328,1,5,1,0,127.98,0.06,2,119,127.98
28,40231,36208,4023,98076,29757,0.30341,4,13,22,3456,0,7,0,0,127.98,0.18,4,112,127.98
29,40114,36103,4011,35853,27767,0.77447,4,12,22,38,0,0,0,0,127.97,0.00,0,112,127.97
30,40013,36011,4002,35681,30586,0.85721,4,12,23,30,0,0,0,0,127.97,0.00,0,112,127.97
31,40103,36093,4010,35651,32943,0.92404,5,13,24,37,0,0,0,0,127.97,0.00,0,112,127.97
32,40125,36113,4012,35626,32416,0.90990,4,11,19,32,0,0,0,0,127.97,0.00,1,112,127.97
33,40106,36095,4011,35542,31648,0.89044,4,12,22,38,0,0,0,0,127.97,0.00,1,112,127.97
34,40109,36098,4011,35564,32229,0.90623,3,12,19,42,0,0,0,0,127.97,0.00,0,112,127.97
35,40079,36071,4008,35530,32086,0.90307,3,11,19,31,0,0,0,0,127.97,0.00,0,112,127.97
36,40111,36100,4011,35628,30717,0.86216,5,12,23,34,0,0,0,0,127.97,0.18,1,112,127.97
37,40039,36035,4004,35476,29933,0.84375,5,12,24,36,0,0,0,0,127.97,0.00,0,112,127.97
38,40078,36071,4007,35425,30179,0.85191,5,13,24,43,0,0,0,0,127.97,0.03,2,112,127.97
39,40087,36077,4010,35296,30947,0.87678,4,12,23,35,0,0,0,0,127.97,0.00,0,112,127.97
40,40084,36076,4008,35217,30189,0.85723,5,13,24,36,0,0,0,0,127.97,0.05,1,112,127.97
41,40059,36052,4007,68447,40442,0.59085,4,11,21,4736,0,4,1,0,127.98,0.08,2,121,127.98
42,40385,36348,4037,104467,33239,0.31818,4,13,23,3520,0,7,0,0,127.98,0.16,3,113,127.98
43,40007,36006,4001,35761,27224,0.76128,4,12,20,33,0,0,0,0,127.98,0.00,1,113,127.98
44,40018,36017,4001,35692,29463,0.82548,4,11,20,31,0,0,0,0,127.97,0.28,7,113,127.97
45,40156,36140,4016,44518,29985,0.67355,5,12,20,2432,0,1,0,0,127.97,0.11,1,112,127.97
46,40118,36106,4012,35705,30552,0.85568,5,12,18,36,0,0,0,0,127.97,0.00,0,112,127.97
47,40152,36137,4015,35645,32237,0.90439,5,12,17,34,0,0,0,0,127.97,0.00,0,112,127.97
48,40098,36088,4010,35674,29450,0.82553,5,13,19,33,0,0,0,0,127.97,0.01,1,112,127.97
49,40212,36191,4021,35781,31251,0.87340,5,13,19,36,0,0,0,0,127.97,0.00,0,112,127.97
50,40017,36015,4002,35560,29501,0.82961,5,13,18,32,0,0,0,0,127.97,0.00,0,112,127.97
51,40215,36194,4021,35747,28872,0.80768,5,13,18,31,0,0,0,0,127.97,0.00,0,112,127.97
52,40163,36147,4016,35690,29836,0.83598,5,13,19,33,0,0,0,0,127.97,0.19,2,112,127.97
53,40219,36197,4022,35630,30139,0.84589,5,13,18,33,0,0,0,0,127.97,0.00,0,112,127.97
54,40194,36174,4020,35584,30951,0.86980,5,13,18,33,0,0,0,0,127.97,0.04,1,112,127.97
55,40210,36189,4021,69276,39069,0.56396,5,13,19,3136,1,4,1,0,127.98,0.13,4,120,127.98
56,40151,36136,4015,107654,37883,0.35190,5,13,19,3392,1,6,0,0,127.97,0.11,5,114,127.97
57,40369,36332,4037,44104,27954,0.63382,5,13,19,2432,0,2,0,0,127.97,0.00,0,112,127.97
58,40212,36191,4021,35806,30835,0.86117,5,12,18,35,0,0,0,0,127.97,0.14,1,112,127.97
59,40207,36186,4021,35840,30168,0.84174,5,13,19,40,0,0,0,0,127.97,0.00,0,112,127.97
60,40082,36073,4009,35663,31045,0.87051,5,13,18,38,0,0,0,0,127.97,0.00,0,112,127.97
61,40167,36151,4016,35562,32251,0.90690,5,13,18,34,0,0,0,0,127.97,0.00,0,112,127.97
