t,type,level,bytes
-29.920,flush_begin,0,0
-29.902,flush_end,0,6638552
-29.893,flush_begin,0,0
-29.876,flush_end,0,6638554
-29.867,flush_begin,0,0
-29.851,flush_end,0,6638553
-29.843,flush_begin,0,0
-29.828,flush_end,0,6638553
-29.819,flush_begin,0,0
-29.804,flush_end,0,6638553
-29.795,flush_begin,0,0
-29.780,flush_end,0,6638554
-29.771,flush_begin,0,0
-29.756,flush_end,0,6638552
-29.748,flush_begin,0,0
-29.733,flush_end,0,6638554
-29.722,flush_begin,0,0
-29.707,flush_end,0,6638554
-29.696,flush_begin,0,0
-29.679,flush_end,0,6638552
-29.670,flush_begin,0,0
-29.655,flush_end,0,6638553
-29.644,flush_begin,0,0
-29.628,flush_end,0,6638553
-29.618,flush_begin,0,0
-29.603,flush_end,0,6638554
-29.594,flush_begin,0,0
-29.578,flush_end,0,6638552
-29.569,flush_begin,0,0
-29.553,flush_end,0,6638554
-29.544,flush_begin,0,0
-29.528,flush_end,0,6638554
-29.512,trivial_move,3,6638552
-29.511,flush_begin,0,0
-29.495,flush_end,0,6638552
-29.479,trivial_move,3,6638554
-29.477,flush_begin,0,0
-29.462,flush_end,0,6638555
-29.444,trivial_move,3,6638553
-29.444,flush_begin,0,0
-29.429,flush_end,0,6638553
-29.413,trivial_move,3,6638553
-29.412,flush_begin,0,0
-29.396,flush_end,0,6638553
-29.380,trivial_move,3,6638553
-29.379,flush_begin,0,0
-29.364,flush_end,0,6638552
-29.348,trivial_move,3,6638554
-29.347,flush_begin,0,0
-29.331,flush_end,0,6638554
-29.315,trivial_move,3,6638552
-29.315,flush_begin,0,0
-29.298,flush_end,0,6638554
-29.282,trivial_move,3,6638554
-29.280,flush_begin,0,0
-29.263,flush_end,0,6638552
-29.247,trivial_move,3,6638554
-29.245,flush_begin,0,0
-29.228,flush_end,0,6638554
-29.212,trivial_move,3,6638552
-29.211,flush_begin,0,0
-29.194,flush_end,0,6638553
-29.178,trivial_move,3,6638553
-29.177,flush_begin,0,0
-29.161,flush_end,0,6638553
-29.146,trivial_move,3,6638553
-29.145,flush_begin,0,0
-29.129,flush_end,0,6638553
-29.113,trivial_move,3,6638554
-29.111,flush_begin,0,0
-29.096,flush_end,0,6638554
-29.080,trivial_move,3,6638552
-29.080,flush_begin,0,0
-29.064,flush_end,0,6638553
-29.047,trivial_move,3,6638554
-29.045,flush_begin,0,0
-29.030,flush_end,0,6638552
-29.014,trivial_move,3,6638554
-29.014,flush_begin,0,0
-28.996,flush_end,0,6638554
-28.980,trivial_move,3,6638552
-28.980,flush_begin,0,0
-28.963,flush_end,0,6638553
