t,type,level,bytes
-29.913,flush_begin,0,0
-29.898,flush_end,0,6638552
-29.888,flush_begin,0,0
-29.872,flush_end,0,6638554
-29.863,flush_begin,0,0
-29.848,flush_end,0,6638553
-29.839,flush_begin,0,0
-29.824,flush_end,0,6638553
-29.815,flush_begin,0,0
-29.799,flush_end,0,6638553
-29.790,flush_begin,0,0
-29.775,flush_end,0,6638554
-29.765,flush_begin,0,0
-29.750,flush_end,0,6638552
-29.740,flush_begin,0,0
-29.724,flush_end,0,6638554
-29.714,flush_begin,0,0
-29.698,flush_end,0,6638554
-29.689,flush_begin,0,0
-29.673,flush_end,0,6638552
-29.664,flush_begin,0,0
-29.648,flush_end,0,6638553
-29.638,flush_begin,0,0
-29.623,flush_end,0,6638553
-29.613,flush_begin,0,0
-29.596,flush_end,0,6638554
-29.587,flush_begin,0,0
-29.571,flush_end,0,6638552
-29.562,flush_begin,0,0
-29.546,flush_end,0,6638554
-29.536,flush_begin,0,0
-29.521,flush_end,0,6638554
-29.505,trivial_move,3,6638552
-29.504,flush_begin,0,0
-29.488,flush_end,0,6638552
-29.472,trivial_move,3,6638554
-29.471,flush_begin,0,0
-29.456,flush_end,0,6638555
-29.440,trivial_move,3,6638553
-29.439,flush_begin,0,0
-29.423,flush_end,0,6638553
-29.407,trivial_move,3,6638553
-29.406,flush_begin,0,0
-29.390,flush_end,0,6638553
-29.374,trivial_move,3,6638553
-29.374,flush_begin,0,0
-29.358,flush_end,0,6638552
-29.342,trivial_move,3,6638554
-29.341,flush_begin,0,0
-29.326,flush_end,0,6638554
-29.309,trivial_move,3,6638552
-29.309,flush_begin,0,0
-29.292,flush_end,0,6638554
-29.277,trivial_move,3,6638554
-29.276,flush_begin,0,0
-29.259,flush_end,0,6638552
-29.244,trivial_move,3,6638554
-29.242,flush_begin,0,0
-29.227,flush_end,0,6638554
-29.211,trivial_move,3,6638552
-29.210,flush_begin,0,0
-29.193,flush_end,0,6638553
-29.177,trivial_move,3,6638553
-29.176,flush_begin,0,0
-29.160,flush_end,0,6638553
-29.144,trivial_move,3,6638553
-29.143,flush_begin,0,0
-29.127,flush_end,0,6638553
-29.112,trivial_move,3,6638554
-29.111,flush_begin,0,0
-29.095,flush_end,0,6638554
-29.078,trivial_move,3,6638552
-29.078,flush_begin,0,0
-29.062,flush_end,0,6638553
-29.047,trivial_move,3,6638554
-29.046,flush_begin,0,0
-29.030,flush_end,0,6638552
-29.015,trivial_move,3,6638554
-29.015,flush_begin,0,0
-28.999,flush_end,0,6638554
-28.984,trivial_move,3,6638552
-28.984,flush_begin,0,0
-28.966,flush_end,0,6638553
-28.951,trivial_move,3,6638555
-28.950,flush_begin,0,0
-28.934,flush_end,0,6638553
-28.919,trivial_move,3,6638553
-28.918,flush_begin,0,0
-28.902,flush_end,0,6638553
-28.886,trivial_move,3,6638553
-28.885,flush_begin,0,0
-28.868,flush_end,0,6638555
-28.852,trivial_move,3,6638552
-28.852,flush_begin,0,0
-28.837,flush_end,0,6638553
-28.822,trivial_move,3,6638554
-28.821,flush_begin,0,0
-28.806,flush_end,0,6638553
-28.791,trivial_move,3,6638554
-28.790,flush_begin,0,0
-28.775,flush_end,0,6638554
-28.759,trivial_move,3,6638552
-28.758,flush_begin,0,0
-28.743,flush_end,0,6638552
-28.727,trivial_move,3,6638554
-28.726,flush_begin,0,0
-28.711,flush_end,0,6638553
-28.695,trivial_move,3,6638553
-28.694,flush_begin,0,0
-28.678,flush_end,0,6638553
-28.662,trivial_move,3,6638553
-28.661,flush_begin,0,0
-28.645,flush_end,0,6638554
-28.630,trivial_move,3,6638553
-28.629,flush_begin,0,0
-28.613,flush_end,0,6638553
-28.597,trivial_move,3,6638554
-28.596,flush_begin,0,0
-28.579,flush_end,0,6638553
-28.564,trivial_move,3,6638553
-28.563,flush_begin,0,0
-28.546,flush_end,0,6638554
-28.531,trivial_move,3,6638552
-28.530,flush_begin,0,0
-28.514,flush_end,0,6638552
-28.498,trivial_move,3,6638554
-28.497,flush_begin,0,0
-28.481,flush_end,0,6638554
-28.466,trivial_move,3,6638553
-28.465,flush_begin,0,0
-28.449,flush_end,0,6638553
-28.433,trivial_move,3,6638553
-28.432,flush_begin,0,0
-28.416,flush_end,0,6638553
-28.401,trivial_move,3,6638553
-28.400,flush_begin,0,0
-28.384,flush_end,0,6638553
-28.369,trivial_move,3,6638555
-28.368,flush_begin,0,0
-28.352,flush_end,0,6638553
-28.336,trivial_move,3,6638553
-28.335,flush_begin,0,0
-28.318,flush_end,0,6638555
-28.303,trivial_move,3,6638553
-28.301,flush_begin,0,0
-28.286,flush_end,0,6638552
-28.270,trivial_move,3,6638554
-28.269,flush_begin,0,0
-28.254,flush_end,0,6638554
-28.237,trivial_move,3,6638552
-28.237,flush_begin,0,0
-28.222,flush_end,0,6638553
-28.206,trivial_move,3,6638553
-28.205,flush_begin,0,0
-28.190,flush_end,0,6638553
-28.174,trivial_move,3,6638553
-28.172,flush_begin,0,0
-28.157,flush_end,0,6638554
-28.140,trivial_move,3,6638554
-28.139,flush_begin,0,0
-28.123,flush_end,0,6638553
-28.107,trivial_move,3,6638553
-28.106,flush_begin,0,0
-28.089,flush_end,0,6638553
-28.074,trivial_move,3,6638553
-28.073,flush_begin,0,0
-28.057,flush_end,0,6638552
-28.041,trivial_move,3,6638554
-28.040,flush_begin,0,0
-28.024,flush_end,0,6638554
-28.008,trivial_move,3,6638552
-28.007,flush_begin,0,0
-27.992,flush_end,0,6638553
-27.976,trivial_move,3,6638554
-27.975,flush_begin,0,0
-27.959,flush_end,0,6638553
-27.944,trivial_move,3,6638553
-27.942,flush_begin,0,0
-27.926,flush_end,0,6638554
-27.910,trivial_move,3,6638553
-27.910,flush_begin,0,0
-27.893,flush_end,0,6638553
-27.878,trivial_move,3,6638553
-27.877,flush_begin,0,0
-27.861,flush_end,0,6638553
-27.846,trivial_move,3,6638553
-27.844,flush_begin,0,0
-27.828,flush_end,0,6638553
-27.812,trivial_move,3,6638555
-27.811,flush_begin,0,0
-27.794,flush_end,0,6638554
-27.779,trivial_move,3,6638552
-27.778,flush_begin,0,0
-27.763,flush_end,0,6638552
-27.746,trivial_move,3,6638554
-27.746,flush_begin,0,0
-27.740,flush_end,0,1164547
-27.732,compaction_begin,2,0
-27.709,compaction_end,2,6638145
-27.700,compaction_begin,2,0
-27.679,compaction_end,2,6638145
-27.670,compaction_begin,2,0
-27.649,compaction_end,2,6638146
-27.640,compaction_begin,2,0
-27.617,compaction_end,2,6638145
-27.608,compaction_begin,2,0
-27.586,compaction_end,2,6638145
-27.577,compaction_begin,2,0
-27.555,compaction_end,2,6638144
-27.546,compaction_begin,2,0
-27.523,compaction_end,2,6638146
-27.515,compaction_begin,2,0
-27.490,compaction_end,2,6638145
-27.481,compaction_begin,2,0
-27.457,compaction_end,2,6638145
-27.448,compaction_begin,2,0
-27.424,compaction_end,2,6638146
-27.415,compaction_begin,2,0
-27.389,compaction_end,2,6638145
-27.380,compaction_begin,2,0
-27.356,compaction_end,2,6638145
-27.347,compaction_begin,2,0
-27.324,compaction_end,2,6638145
-27.315,compaction_begin,2,0
-27.291,compaction_end,2,6638146
-27.282,compaction_begin,2,0
-27.259,compaction_end,2,6638144
-27.250,compaction_begin,2,0
-27.244,compaction_end,2,1164547
-13.119,flush_begin,0,0
-13.076,flush_end,0,6622780
-13.038,compaction_begin,1,0
-12.958,compaction_end,1,6544158
-12.944,compaction_begin,2,0
-12.011,compaction_end,2,46468050
-11.994,compaction_begin,2,0
-10.687,compaction_end,2,46468049
-10.671,compaction_begin,2,0
-9.829,compaction_end,2,39829709
-9.818,compaction_begin,2,0
-8.734,compaction_end,2,42178895
-8.707,compaction_begin,2,0
-7.798,compaction_end,2,46468050
-7.787,compaction_begin,2,0
-6.588,compaction_end,2,46468047
-6.570,compaction_begin,2,0
-5.965,compaction_end,2,44118863
-5.952,compaction_begin,2,0
-5.445,compaction_end,2,33191398
-5.437,compaction_begin,2,0
-4.864,compaction_end,2,33191398
-4.850,compaction_begin,2,0
-3.775,compaction_end,2,46468049
-3.763,compaction_begin,2,0
-3.739,compaction_end,2,2492938
0.998,flush_begin,0,0
1.034,flush_end,0,6623712
1.079,compaction_begin,1,0
1.191,compaction_end,1,6550137
1.227,compaction_begin,2,0
2.155,compaction_end,2,42179010
2.170,compaction_begin,2,0
2.610,compaction_end,2,42179011
2.624,compaction_begin,2,0
3.179,compaction_end,2,42179009
3.194,compaction_begin,2,0
4.480,compaction_end,2,42179011
4.497,compaction_begin,2,0
5.664,compaction_end,2,43300039
5.691,compaction_begin,2,0
6.591,compaction_end,2,37889972
6.612,compaction_begin,2,0
7.811,compaction_end,2,43407423
7.831,compaction_begin,2,0
8.998,compaction_end,2,45239611
9.015,compaction_begin,2,0
9.761,compaction_end,2,42179010
9.984,compaction_begin,2,0
10.810,compaction_end,2,42890503
11.597,compaction_begin,2,0
12.150,compaction_end,2,33130300
15.114,flush_begin,0,0
15.148,flush_end,0,6621432
15.166,compaction_begin,1,0
15.245,compaction_end,1,6518361
15.262,compaction_begin,2,0
15.416,compaction_end,2,39118499
15.427,compaction_begin,2,0
15.543,compaction_end,2,37889971
15.554,compaction_begin,2,0
15.688,compaction_end,2,43299925
15.699,compaction_begin,2,0
15.827,compaction_end,2,42179011
15.837,compaction_begin,2,0
15.966,compaction_end,2,42179009
15.976,compaction_begin,2,0
16.116,compaction_end,2,44528185
16.126,compaction_begin,2,0
16.236,compaction_end,2,34453900
16.246,compaction_begin,2,0
16.441,compaction_end,2,42179010
16.451,compaction_begin,2,0
16.588,compaction_end,2,42890390
16.599,compaction_begin,2,0
16.722,compaction_end,2,42890503
16.899,compaction_begin,2,0
17.038,compaction_end,2,42179011
29.229,flush_begin,0,0
29.250,flush_end,0,6626390
29.267,compaction_begin,1,0
29.330,compaction_end,1,6562565
29.345,compaction_begin,2,0
29.492,compaction_end,2,43299926
29.504,compaction_begin,2,0
29.760,compaction_end,2,42179011
29.782,compaction_begin,2,0
29.954,compaction_end,2,44528187
29.964,compaction_begin,2,0
30.118,compaction_end,2,42179009
30.129,compaction_begin,2,0
30.267,compaction_end,2,38601352
30.276,compaction_begin,2,0
30.405,compaction_end,2,42890390
30.415,compaction_begin,2,0
30.547,compaction_end,2,42179010
30.558,compaction_begin,2,0
30.665,compaction_end,2,25734233
30.674,compaction_begin,2,0
30.773,compaction_end,2,27203425
30.781,compaction_begin,2,0
30.944,compaction_end,2,42179010
30.958,compaction_begin,2,0
31.117,compaction_end,2,42890503
43.346,flush_begin,0,0
43.402,flush_end,0,6620715
43.419,compaction_begin,1,0
43.509,compaction_end,1,6513361
43.529,compaction_begin,2,0
43.712,compaction_end,2,42179009
43.724,compaction_begin,2,0
43.870,compaction_end,2,42890391
43.880,compaction_begin,2,0
44.031,compaction_end,2,43407538
44.041,compaction_begin,2,0
44.186,compaction_end,2,40239147
44.197,compaction_begin,2,0
44.349,compaction_end,2,42890390
44.359,compaction_begin,2,0
44.496,compaction_end,2,43299924
44.506,compaction_begin,2,0
44.636,compaction_end,2,42179012
44.646,compaction_begin,2,0
44.773,compaction_end,2,42890389
44.782,compaction_begin,2,0
44.889,compaction_end,2,36370880
44.898,compaction_begin,2,0
45.024,compaction_end,2,42179011
45.736,compaction_begin,2,0
45.934,compaction_end,2,42890503
57.462,flush_begin,0,0
57.510,flush_end,0,6627341
57.520,compaction_begin,1,0
57.596,compaction_end,1,6567065
57.615,compaction_begin,2,0
57.804,compaction_end,2,42890388
57.817,compaction_begin,2,0
57.973,compaction_end,2,42890391
57.983,compaction_begin,2,0
58.140,compaction_end,2,42179011
58.151,compaction_begin,2,0
58.316,compaction_end,2,42890389
58.327,compaction_begin,2,0
58.485,compaction_end,2,42890391
58.496,compaction_begin,2,0
58.651,compaction_end,2,43407539
58.662,compaction_begin,2,0
58.809,compaction_end,2,42179009
58.820,compaction_begin,2,0
58.963,compaction_end,2,39527884
58.974,compaction_begin,2,0
59.127,compaction_end,2,42890389
59.138,compaction_begin,2,0
59.294,compaction_end,2,42588496
60.277,compaction_begin,2,0
60.456,compaction_end,2,37697793
71.577,flush_begin,0,0
71.594,flush_end,0,6626221
71.611,compaction_begin,1,0
71.668,compaction_end,1,6555636
71.688,compaction_begin,2,0
71.815,compaction_end,2,42890391
71.825,compaction_begin,2,0
71.951,compaction_end,2,42890391
71.959,compaction_begin,2,0
72.082,compaction_end,2,42890389
72.091,compaction_begin,2,0
72.202,compaction_end,2,38299455
72.210,compaction_begin,2,0
72.334,compaction_end,2,42890391
72.343,compaction_begin,2,0
72.466,compaction_end,2,42179010
72.474,compaction_begin,2,0
72.603,compaction_end,2,42696018
72.612,compaction_begin,2,0
72.720,compaction_end,2,37889971
72.729,compaction_begin,2,0
72.853,compaction_end,2,42890388
72.891,compaction_begin,2,0
73.016,compaction_end,2,42890391
73.225,compaction_begin,2,0
73.318,compaction_end,2,30420346
85.694,flush_begin,0,0
85.722,flush_end,0,6624667
85.739,compaction_begin,1,0
85.804,compaction_end,1,6557663
85.826,compaction_begin,2,0
85.980,compaction_end,2,39611140
85.991,compaction_begin,2,0
86.163,compaction_end,2,42890390
86.174,compaction_begin,2,0
86.328,compaction_end,2,42890391
86.339,compaction_begin,2,0
86.492,compaction_end,2,42890391
86.502,compaction_begin,2,0
86.637,compaction_end,2,42890389
86.647,compaction_begin,2,0
86.776,compaction_end,2,42588493
86.786,compaction_begin,2,0
86.942,compaction_end,2,43407536
86.952,compaction_begin,2,0
87.086,compaction_end,2,37889973
87.096,compaction_begin,2,0
87.252,compaction_end,2,42890391
87.261,compaction_begin,2,0
87.399,compaction_end,2,38406978
88.908,compaction_begin,2,0
89.094,compaction_end,2,42890391
99.810,flush_begin,0,0
99.854,flush_end,0,6620595
99.871,compaction_begin,1,0
99.948,compaction_end,1,6535491
99.967,compaction_begin,2,0
100.126,compaction_end,2,42588493
100.137,compaction_begin,2,0
100.286,compaction_end,2,40932669
100.297,compaction_begin,2,0
100.456,compaction_end,2,42179011
100.467,compaction_begin,2,0
100.628,compaction_end,2,42890391
100.636,compaction_begin,2,0
100.788,compaction_end,2,42890390
100.799,compaction_begin,2,0
100.951,compaction_end,2,42890503
100.962,compaction_begin,2,0
101.138,compaction_end,2,42890389
101.149,compaction_begin,2,0
101.306,compaction_end,2,42890391
101.315,compaction_begin,2,0
101.481,compaction_end,2,42890390
101.490,compaction_begin,2,0
101.645,compaction_end,2,42890391
101.656,compaction_begin,2,0
101.824,compaction_end,2,43407536
113.926,flush_begin,0,0
113.972,flush_end,0,6622457
113.989,compaction_begin,1,0
114.071,compaction_end,1,6539577
114.088,compaction_begin,2,0
114.252,compaction_end,2,42890390
114.263,compaction_begin,2,0
114.421,compaction_end,2,42890503
114.431,compaction_begin,2,0
114.593,compaction_end,2,42890390
114.603,compaction_begin,2,0
114.759,compaction_end,2,42890390
114.769,compaction_begin,2,0
114.924,compaction_end,2,42890390
114.960,compaction_begin,2,0
115.198,compaction_end,2,42890389
115.208,compaction_begin,2,0
115.363,compaction_end,2,42890390
115.373,compaction_begin,2,0
115.525,compaction_end,2,42588493
115.535,compaction_begin,2,0
115.693,compaction_end,2,42890391
115.702,compaction_begin,2,0
115.826,compaction_end,2,33662701
115.836,compaction_begin,2,0
116.029,compaction_end,2,42696134
128.042,flush_begin,0,0
128.087,flush_end,0,6625734
128.104,compaction_begin,1,0
128.179,compaction_end,1,6562443
128.200,compaction_begin,2,0
128.375,compaction_end,2,42890391
128.385,compaction_begin,2,0
128.510,compaction_end,2,34312312
128.519,compaction_begin,2,0
128.678,compaction_end,2,42890389
128.688,compaction_begin,2,0
128.842,compaction_end,2,42890389
128.853,compaction_begin,2,0
129.007,compaction_end,2,42890503
129.018,compaction_begin,2,0
129.187,compaction_end,2,46166153
129.198,compaction_begin,2,0
129.352,compaction_end,2,42890391
129.363,compaction_begin,2,0
129.521,compaction_end,2,42890389
129.530,compaction_begin,2,0
129.662,compaction_end,2,43407537
129.672,compaction_begin,2,0
129.801,compaction_end,2,42696134
129.811,compaction_begin,2,0
129.927,compaction_end,2,39279403
142.157,flush_begin,0,0
142.179,flush_end,0,6623515
142.196,compaction_begin,1,0
142.260,compaction_end,1,6549306
142.276,compaction_begin,2,0
142.411,compaction_end,2,42890391
142.421,compaction_begin,2,0
142.564,compaction_end,2,42890389
142.575,compaction_begin,2,0
142.706,compaction_end,2,38601351
142.714,compaction_begin,2,0
142.864,compaction_end,2,42696131
142.873,compaction_begin,2,0
143.008,compaction_end,2,42890390
143.018,compaction_begin,2,0
143.161,compaction_end,2,42890390
143.169,compaction_begin,2,0
143.318,compaction_end,2,42890390
143.327,compaction_begin,2,0
143.465,compaction_end,2,43407536
144.150,compaction_begin,2,0
144.247,compaction_end,2,29009999
144.496,compaction_begin,2,0
144.646,compaction_end,2,42890392
144.656,compaction_begin,2,0
144.802,compaction_end,2,42890503
156.273,flush_begin,0,0
156.291,flush_end,0,6624615
156.307,compaction_begin,1,0
156.376,compaction_end,1,7871879
156.398,compaction_begin,2,0
156.538,compaction_end,2,42890390
156.548,compaction_begin,2,0
156.661,compaction_end,2,37588077
156.672,compaction_begin,2,0
156.784,compaction_end,2,38601350
156.794,compaction_begin,2,0
156.922,compaction_end,2,42890503
156.933,compaction_begin,2,0
157.058,compaction_end,2,42890390
157.069,compaction_begin,2,0
157.192,compaction_end,2,42890391
157.202,compaction_begin,2,0
157.326,compaction_end,2,42696131
157.336,compaction_begin,2,0
157.462,compaction_end,2,42890390
157.472,compaction_begin,2,0
157.597,compaction_end,2,42890390
157.607,compaction_begin,2,0
157.729,compaction_end,2,42890392
157.738,compaction_begin,2,0
157.861,compaction_end,2,42890389
170.390,flush_begin,0,0
170.435,flush_end,0,6622447
170.451,compaction_begin,1,0
170.551,compaction_end,1,9188964
170.573,compaction_begin,2,0
170.730,compaction_end,2,42890390
170.740,compaction_begin,2,0
170.864,compaction_end,2,42890503
170.873,compaction_begin,2,0
170.999,compaction_end,2,42696133
171.010,compaction_begin,2,0
171.136,compaction_end,2,42890391
171.146,compaction_begin,2,0
171.270,compaction_end,2,42890390
171.281,compaction_begin,2,0
171.407,compaction_end,2,42890390
171.416,compaction_begin,2,0
171.499,compaction_end,2,29009999
171.508,compaction_begin,2,0
171.631,compaction_end,2,42890391
171.641,compaction_begin,2,0
171.766,compaction_end,2,42890390
171.776,compaction_begin,2,0
171.901,compaction_end,2,42890389
171.911,compaction_begin,2,0
172.033,compaction_end,2,42890390
184.505,flush_begin,0,0
184.535,flush_end,0,6619992
184.552,compaction_begin,1,0
184.639,compaction_end,1,10492717
184.658,compaction_begin,2,0
184.803,compaction_end,2,42890391
184.813,compaction_begin,2,0
184.938,compaction_end,2,42890392
184.948,compaction_begin,2,0
185.079,compaction_end,2,42890390
185.089,compaction_begin,2,0
185.220,compaction_end,2,43407536
185.230,compaction_begin,2,0
185.341,compaction_end,2,38601350
185.351,compaction_begin,2,0
185.464,compaction_end,2,38601352
185.474,compaction_begin,2,0
185.586,compaction_end,2,38601350
185.595,compaction_begin,2,0
185.717,compaction_end,2,42890390
185.727,compaction_begin,2,0
185.853,compaction_end,2,42890503
187.874,compaction_begin,2,0
188.003,compaction_end,2,25734234
198.623,flush_begin,0,0
198.670,flush_end,0,6624043
198.686,compaction_begin,1,0
198.805,compaction_end,1,12086451
198.822,compaction_begin,2,0
198.982,compaction_end,2,42890390
198.992,compaction_begin,2,0
199.121,compaction_end,2,43407538
199.131,compaction_begin,2,0
199.254,compaction_end,2,42890392
199.264,compaction_begin,2,0
199.375,compaction_end,2,38601349
199.385,compaction_begin,2,0
199.511,compaction_end,2,42890390
199.521,compaction_begin,2,0
199.646,compaction_end,2,42696132
199.655,compaction_begin,2,0
199.768,compaction_end,2,38601353
199.777,compaction_begin,2,0
199.902,compaction_end,2,42890389
199.912,compaction_begin,2,0
200.026,compaction_end,2,38601350
200.629,compaction_begin,2,0
200.820,compaction_end,2,42890503
201.375,compaction_begin,2,0
201.518,compaction_end,2,29009999
212.738,flush_begin,0,0
212.787,flush_end,0,6621910
212.804,compaction_begin,1,0
212.929,compaction_end,1,13126466
212.942,compaction_begin,2,0
213.108,compaction_end,2,43407536
213.118,compaction_begin,2,0
213.249,compaction_end,2,42890389
213.258,compaction_begin,2,0
213.389,compaction_end,2,42890391
213.400,compaction_begin,2,0
213.534,compaction_end,2,42890389
213.544,compaction_begin,2,0
213.664,compaction_end,2,38601353
213.673,compaction_begin,2,0
213.805,compaction_end,2,42890391
213.815,compaction_begin,2,0
213.946,compaction_end,2,42696133
213.956,compaction_begin,2,0
214.063,compaction_end,2,34312313
214.072,compaction_begin,2,0
214.205,compaction_end,2,42890388
214.215,compaction_begin,2,0
214.332,compaction_end,2,38601353
214.341,compaction_begin,2,0
214.405,compaction_end,2,21445195
226.855,flush_begin,0,0
226.903,flush_end,0,6623575
226.919,compaction_begin,1,0
227.045,compaction_end,1,14470185
227.064,compaction_begin,2,0
227.221,compaction_end,2,43407539
227.231,compaction_begin,2,0
227.359,compaction_end,2,42890390
227.369,compaction_begin,2,0
227.500,compaction_end,2,42890389
227.510,compaction_begin,2,0
227.641,compaction_end,2,42890388
227.651,compaction_begin,2,0
227.780,compaction_end,2,42890391
227.790,compaction_begin,2,0
227.917,compaction_end,2,42890389
227.927,compaction_begin,2,0
228.060,compaction_end,2,42890388
228.069,compaction_begin,2,0
228.200,compaction_end,2,42890389
228.210,compaction_begin,2,0
228.316,compaction_end,2,34312314
228.326,compaction_begin,2,0
228.443,compaction_end,2,37993367
228.452,compaction_begin,2,0
228.582,compaction_end,2,42696133
240.970,flush_begin,0,0
241.020,flush_end,0,6623364
241.036,compaction_begin,1,0
241.146,compaction_end,1,11744553
241.164,compaction_begin,2,0
241.315,compaction_end,2,42890392
241.325,compaction_begin,2,0
241.455,compaction_end,2,42890391
241.465,compaction_begin,2,0
241.569,compaction_end,2,34312314
241.578,compaction_begin,2,0
241.705,compaction_end,2,42890389
241.715,compaction_begin,2,0
241.805,compaction_end,2,30023275
241.814,compaction_begin,2,0
241.945,compaction_end,2,42890388
241.954,compaction_begin,2,0
242.084,compaction_end,2,42890391
242.093,compaction_begin,2,0
242.224,compaction_end,2,42890389
242.234,compaction_begin,2,0
242.362,compaction_end,2,42696133
242.371,compaction_begin,2,0
242.505,compaction_end,2,42890388
255.086,flush_begin,0,0
255.122,flush_end,0,6618300
255.141,compaction_begin,1,0
255.255,compaction_end,1,13017347
255.275,compaction_begin,2,0
255.431,compaction_end,2,42890390
255.440,compaction_begin,2,0
255.564,compaction_end,2,42890389
255.575,compaction_begin,2,0
255.698,compaction_end,2,42890390
255.708,compaction_begin,2,0
255.822,compaction_end,2,38601350
255.832,compaction_begin,2,0
255.934,compaction_end,2,34118054
255.945,compaction_begin,2,0
256.071,compaction_end,2,42890391
256.082,compaction_begin,2,0
256.207,compaction_end,2,42890503
256.216,compaction_begin,2,0
256.320,compaction_end,2,34829460
256.330,compaction_begin,2,0
256.455,compaction_end,2,42890390
257.976,compaction_begin,2,0
258.150,compaction_end,2,38601350
269.202,flush_begin,0,0
269.249,flush_end,0,6624187
269.266,compaction_begin,1,0
269.398,compaction_end,1,14532851
269.417,compaction_begin,2,0
269.566,compaction_end,2,42696135
269.576,compaction_begin,2,0
269.704,compaction_end,2,42890391
269.712,compaction_begin,2,0
269.836,compaction_end,2,42890389
269.846,compaction_begin,2,0
269.973,compaction_end,2,42890389
269.984,compaction_begin,2,0
270.109,compaction_end,2,42890391
270.119,compaction_begin,2,0
270.230,compaction_end,2,38601350
270.240,compaction_begin,2,0
270.362,compaction_end,2,42890390
270.371,compaction_begin,2,0
270.484,compaction_end,2,38601350
270.493,compaction_begin,2,0
270.618,compaction_end,2,42890503
270.628,compaction_begin,2,0
270.743,compaction_end,2,38601349
270.905,compaction_begin,2,0
271.006,compaction_end,2,30023275
283.319,flush_begin,0,0
283.367,flush_end,0,6626480
283.383,compaction_begin,1,0
283.518,compaction_end,1,15733500
283.537,compaction_begin,2,0
283.683,compaction_end,2,42890389
283.693,compaction_begin,2,0
283.782,compaction_end,2,30023275
283.790,compaction_begin,2,0
283.917,compaction_end,2,42890390
283.928,compaction_begin,2,0
284.058,compaction_end,2,43407537
284.068,compaction_begin,2,0
284.194,compaction_end,2,42890389
284.204,compaction_begin,2,0
284.328,compaction_end,2,42890391
284.338,compaction_begin,2,0
284.460,compaction_end,2,42890390
284.471,compaction_begin,2,0
284.595,compaction_end,2,42890391
284.604,compaction_begin,2,0
284.704,compaction_end,2,34312310
284.715,compaction_begin,2,0
284.841,compaction_end,2,42890391
287.353,compaction_begin,2,0
287.496,compaction_end,2,30023275
297.433,flush_begin,0,0
297.471,flush_end,0,6624043
297.481,compaction_begin,1,0
297.634,compaction_end,1,17029177
297.655,compaction_begin,2,0
297.946,compaction_end,2,43407537
297.958,compaction_begin,2,0
298.210,compaction_end,2,42890391
298.223,compaction_begin,2,0
298.475,compaction_end,2,42890390
298.488,compaction_begin,2,0
298.715,compaction_end,2,38601349
