t,type,level,bytes
-29.919,flush_begin,0,0
-29.901,flush_end,0,6638552
-29.891,flush_begin,0,0
-29.875,flush_end,0,6638554
-29.866,flush_begin,0,0
-29.849,flush_end,0,6638553
-29.840,flush_begin,0,0
-29.824,flush_end,0,6638553
-29.816,flush_begin,0,0
-29.799,flush_end,0,6638553
-29.791,flush_begin,0,0
-29.775,flush_end,0,6638554
-29.765,flush_begin,0,0
-29.749,flush_end,0,6638552
-29.740,flush_begin,0,0
-29.724,flush_end,0,6638554
-29.714,flush_begin,0,0
-29.698,flush_end,0,6638554
-29.689,flush_begin,0,0
-29.672,flush_end,0,6638552
-29.664,flush_begin,0,0
-29.648,flush_end,0,6638553
-29.638,flush_begin,0,0
-29.621,flush_end,0,6638553
-29.613,flush_begin,0,0
-29.598,flush_end,0,6638554
-29.589,flush_begin,0,0
-29.574,flush_end,0,6638552
-29.564,flush_begin,0,0
-29.549,flush_end,0,6638554
-29.538,flush_begin,0,0
-29.522,flush_end,0,6638554
-29.506,trivial_move,3,6638552
-29.505,flush_begin,0,0
-29.489,flush_end,0,6638552
-29.474,trivial_move,3,6638554
-29.473,flush_begin,0,0
-29.458,flush_end,0,6638555
-29.442,trivial_move,3,6638553
-29.440,flush_begin,0,0
-29.424,flush_end,0,6638553
-29.409,trivial_move,3,6638553
-29.407,flush_begin,0,0
-29.391,flush_end,0,6638553
-29.376,trivial_move,3,6638553
-29.375,flush_begin,0,0
-29.360,flush_end,0,6638552
-29.344,trivial_move,3,6638554
-29.343,flush_begin,0,0
-29.328,flush_end,0,6638554
-29.312,trivial_move,3,6638552
-29.310,flush_begin,0,0
-29.295,flush_end,0,6638554
-29.279,trivial_move,3,6638554
-29.278,flush_begin,0,0
-29.262,flush_end,0,6638552
-29.246,trivial_move,3,6638554
-29.244,flush_begin,0,0
-29.228,flush_end,0,6638554
-29.213,trivial_move,3,6638552
-29.210,flush_begin,0,0
-29.194,flush_end,0,6638553
-29.178,trivial_move,3,6638553
-29.177,flush_begin,0,0
-29.161,flush_end,0,6638553
-29.145,trivial_move,3,6638553
-29.142,flush_begin,0,0
-29.126,flush_end,0,6638553
-29.111,trivial_move,3,6638554
-29.110,flush_begin,0,0
-29.095,flush_end,0,6638554
-29.079,trivial_move,3,6638552
-29.076,flush_begin,0,0
-29.061,flush_end,0,6638553
-29.045,trivial_move,3,6638554
-29.041,flush_begin,0,0
-29.025,flush_end,0,6638552
-29.010,trivial_move,3,6638554
-29.007,flush_begin,0,0
-28.992,flush_end,0,6638554
-28.976,trivial_move,3,6638552
-28.973,flush_begin,0,0
-28.957,flush_end,0,6638553
-28.942,trivial_move,3,6638555
-28.941,flush_begin,0,0
-28.924,flush_end,0,6638553
-28.908,trivial_move,3,6638553
-28.906,flush_begin,0,0
-28.891,flush_end,0,6638553
-28.876,trivial_move,3,6638553
-28.874,flush_begin,0,0
-28.859,flush_end,0,6638555
-28.843,trivial_move,3,6638552
-28.840,flush_begin,0,0
-28.825,flush_end,0,6638553
-28.810,trivial_move,3,6638554
-28.808,flush_begin,0,0
-28.793,flush_end,0,6638553
-28.778,trivial_move,3,6638554
-28.776,flush_begin,0,0
-28.760,flush_end,0,6638554
-28.745,trivial_move,3,6638552
-28.744,flush_begin,0,0
-28.729,flush_end,0,6638552
-28.713,trivial_move,3,6638554
-28.710,flush_begin,0,0
-28.693,flush_end,0,6638553
-28.678,trivial_move,3,6638553
-28.677,flush_begin,0,0
-28.661,flush_end,0,6638553
-28.646,trivial_move,3,6638553
-28.644,flush_begin,0,0
-28.628,flush_end,0,6638554
-28.612,trivial_move,3,6638553
-28.610,flush_begin,0,0
-28.594,flush_end,0,6638553
-28.578,trivial_move,3,6638554
-28.577,flush_begin,0,0
-28.561,flush_end,0,6638553
-28.545,trivial_move,3,6638553
-28.543,flush_begin,0,0
-28.527,flush_end,0,6638554
-28.511,trivial_move,3,6638552
-28.510,flush_begin,0,0
-28.494,flush_end,0,6638552
-28.479,trivial_move,3,6638554
-28.478,flush_begin,0,0
-28.461,flush_end,0,6638554
-28.446,trivial_move,3,6638553
-28.444,flush_begin,0,0
-28.426,flush_end,0,6638553
-28.409,trivial_move,3,6638553
-28.409,flush_begin,0,0
-28.391,flush_end,0,6638553
-28.374,trivial_move,3,6638553
-28.374,flush_begin,0,0
-28.356,flush_end,0,6638553
-28.338,trivial_move,3,6638555
-28.338,flush_begin,0,0
-28.319,flush_end,0,6638553
-28.303,trivial_move,3,6638553
-28.303,flush_begin,0,0
-28.286,flush_end,0,6638555
-28.269,trivial_move,3,6638553
-28.269,flush_begin,0,0
-28.253,flush_end,0,6638552
-28.237,trivial_move,3,6638554
-28.236,flush_begin,0,0
-28.219,flush_end,0,6638554
-28.203,trivial_move,3,6638552
-28.202,flush_begin,0,0
-28.186,flush_end,0,6638553
-28.171,trivial_move,3,6638553
-28.170,flush_begin,0,0
-28.155,flush_end,0,6638553
-28.139,trivial_move,3,6638553
-28.137,flush_begin,0,0
-28.122,flush_end,0,6638554
-28.107,trivial_move,3,6638554
-28.105,flush_begin,0,0
-28.088,flush_end,0,6638553
-28.073,trivial_move,3,6638553
-28.071,flush_begin,0,0
-28.056,flush_end,0,6638553
-28.041,trivial_move,3,6638553
-28.040,flush_begin,0,0
-28.023,flush_end,0,6638552
-28.008,trivial_move,3,6638554
-28.007,flush_begin,0,0
-27.991,flush_end,0,6638554
-27.975,trivial_move,3,6638552
-27.974,flush_begin,0,0
-27.959,flush_end,0,6638553
-27.943,trivial_move,3,6638554
-27.941,flush_begin,0,0
-27.925,flush_end,0,6638553
-27.909,trivial_move,3,6638553
-27.907,flush_begin,0,0
-27.891,flush_end,0,6638554
-27.875,trivial_move,3,6638553
-27.874,flush_begin,0,0
-27.858,flush_end,0,6638553
-27.842,trivial_move,3,6638553
-27.841,flush_begin,0,0
-27.826,flush_end,0,6638553
-27.810,trivial_move,3,6638553
-27.808,flush_begin,0,0
-27.791,flush_end,0,6638553
-27.775,trivial_move,3,6638555
-27.774,flush_begin,0,0
-27.759,flush_end,0,6638554
-27.743,trivial_move,3,6638552
-27.741,flush_begin,0,0
-27.725,flush_end,0,6638552
-27.709,trivial_move,3,6638554
-27.709,flush_begin,0,0
-27.703,flush_end,0,1164547
-27.693,compaction_begin,2,0
-27.672,compaction_end,2,6638145
-27.663,compaction_begin,2,0
-27.640,compaction_end,2,6638145
-27.631,compaction_begin,2,0
-27.609,compaction_end,2,6638146
-27.600,compaction_begin,2,0
-27.580,compaction_end,2,6638145
-27.571,compaction_begin,2,0
-27.550,compaction_end,2,6638145
-27.541,compaction_begin,2,0
-27.521,compaction_end,2,6638144
-27.512,compaction_begin,2,0
-27.491,compaction_end,2,6638146
-27.482,compaction_begin,2,0
-27.461,compaction_end,2,6638145
-27.452,compaction_begin,2,0
-27.430,compaction_end,2,6638145
-27.421,compaction_begin,2,0
-27.400,compaction_end,2,6638146
-27.391,compaction_begin,2,0
-27.370,compaction_end,2,6638145
-27.361,compaction_begin,2,0
-27.337,compaction_end,2,6638145
-27.329,compaction_begin,2,0
-27.307,compaction_end,2,6638145
-27.298,compaction_begin,2,0
