t,type,level,bytes
-29.954,flush_begin,0,0
-29.932,flush_end,0,6638552
-29.923,flush_begin,0,0
-29.899,flush_end,0,6638554
-29.890,flush_begin,0,0
-29.867,flush_end,0,6638553
-29.859,flush_begin,0,0
-29.835,flush_end,0,6638553
-29.827,flush_begin,0,0
-29.805,flush_end,0,6638553
-29.796,flush_begin,0,0
-29.775,flush_end,0,6638554
-29.766,flush_begin,0,0
-29.745,flush_end,0,6638552
-29.737,flush_begin,0,0
-29.719,flush_end,0,6638554
-29.711,flush_begin,0,0
-29.688,flush_end,0,6638554
-29.680,flush_begin,0,0
-29.659,flush_end,0,6638552
-29.650,flush_begin,0,0
-29.630,flush_end,0,6638553
-29.621,flush_begin,0,0
-29.603,flush_end,0,6638553
-29.594,flush_begin,0,0
-29.574,flush_end,0,6638554
-29.565,flush_begin,0,0
-29.546,flush_end,0,6638552
-29.537,flush_begin,0,0
-29.517,flush_end,0,6638554
-29.509,flush_begin,0,0
-29.490,flush_end,0,6638554
-29.472,trivial_move,3,6638552
-29.472,flush_begin,0,0
-29.452,flush_end,0,6638552
-29.435,trivial_move,3,6638554
-29.435,flush_begin,0,0
-29.416,flush_end,0,6638555
-29.397,trivial_move,3,6638553
-29.397,flush_begin,0,0
-29.377,flush_end,0,6638553
-29.359,trivial_move,3,6638553
-29.359,flush_begin,0,0
-29.337,flush_end,0,6638553
-29.318,trivial_move,3,6638553
-29.318,flush_begin,0,0
-29.296,flush_end,0,6638552
-29.278,trivial_move,3,6638554
-29.278,flush_begin,0,0
-29.257,flush_end,0,6638554
-29.240,trivial_move,3,6638552
-29.240,flush_begin,0,0
-29.220,flush_end,0,6638554
-29.203,trivial_move,3,6638554
-29.203,flush_begin,0,0
-29.181,flush_end,0,6638552
-29.163,trivial_move,3,6638554
-29.163,flush_begin,0,0
-29.141,flush_end,0,6638554
-29.124,trivial_move,3,6638552
-29.124,flush_begin,0,0
-29.101,flush_end,0,6638553
-29.084,trivial_move,3,6638553
-29.084,flush_begin,0,0
-29.062,flush_end,0,6638553
-29.043,trivial_move,3,6638553
-29.043,flush_begin,0,0
-29.021,flush_end,0,6638553
-29.003,trivial_move,3,6638554
-29.003,flush_begin,0,0
-28.982,flush_end,0,6638554
-28.964,trivial_move,3,6638552
-28.964,flush_begin,0,0
-28.944,flush_end,0,6638553
-28.926,trivial_move,3,6638554
-28.926,flush_begin,0,0
-28.904,flush_end,0,6638552
-28.886,trivial_move,3,6638554
-28.886,flush_begin,0,0
-28.864,flush_end,0,6638554
-28.847,trivial_move,3,6638552
-28.847,flush_begin,0,0
-28.824,flush_end,0,6638553
-28.806,trivial_move,3,6638555
-28.806,flush_begin,0,0
-28.784,flush_end,0,6638553
-28.765,trivial_move,3,6638553
-28.765,flush_begin,0,0
-28.743,flush_end,0,6638553
-28.725,trivial_move,3,6638553
-28.725,flush_begin,0,0
-28.703,flush_end,0,6638555
-28.684,trivial_move,3,6638552
-28.684,flush_begin,0,0
-28.662,flush_end,0,6638553
-28.645,trivial_move,3,6638554
-28.645,flush_begin,0,0
-28.623,flush_end,0,6638553
-28.606,trivial_move,3,6638554
-28.606,flush_begin,0,0
-28.584,flush_end,0,6638554
-28.566,trivial_move,3,6638552
-28.566,flush_begin,0,0
-28.544,flush_end,0,6638552
-28.527,trivial_move,3,6638554
-28.527,flush_begin,0,0
-28.505,flush_end,0,6638553
-28.487,trivial_move,3,6638553
-28.487,flush_begin,0,0
-28.465,flush_end,0,6638553
-28.447,trivial_move,3,6638553
-28.447,flush_begin,0,0
-28.426,flush_end,0,6638554
-28.407,trivial_move,3,6638553
-28.407,flush_begin,0,0
-28.385,flush_end,0,6638553
-28.367,trivial_move,3,6638554
-28.367,flush_begin,0,0
-28.345,flush_end,0,6638553
-28.327,trivial_move,3,6638553
-28.327,flush_begin,0,0
-28.306,flush_end,0,6638554
-28.288,trivial_move,3,6638552
-28.288,flush_begin,0,0
-28.266,flush_end,0,6638552
-28.248,trivial_move,3,6638554
-28.248,flush_begin,0,0
-28.226,flush_end,0,6638554
-28.206,trivial_move,3,6638553
-28.206,flush_begin,0,0
-28.180,flush_end,0,6638553
-28.161,trivial_move,3,6638553
-28.161,flush_begin,0,0
-28.137,flush_end,0,6638553
-28.118,trivial_move,3,6638553
-28.118,flush_begin,0,0
-28.098,flush_end,0,6638553
-28.080,trivial_move,3,6638555
-28.080,flush_begin,0,0
-28.057,flush_end,0,6638553
-28.036,trivial_move,3,6638553
-28.036,flush_begin,0,0
-28.016,flush_end,0,6638555
-27.999,trivial_move,3,6638553
-27.999,flush_begin,0,0
-27.978,flush_end,0,6638552
-27.960,trivial_move,3,6638554
-27.960,flush_begin,0,0
-27.940,flush_end,0,6638554
-27.922,trivial_move,3,6638552
-27.922,flush_begin,0,0
-27.902,flush_end,0,6638553
-27.884,trivial_move,3,6638553
-27.884,flush_begin,0,0
-27.864,flush_end,0,6638553
-27.846,trivial_move,3,6638553
-27.846,flush_begin,0,0
-27.825,flush_end,0,6638554
-27.807,trivial_move,3,6638554
-27.807,flush_begin,0,0
-27.788,flush_end,0,6638553
-27.769,trivial_move,3,6638553
-27.769,flush_begin,0,0
-27.750,flush_end,0,6638553
-27.732,trivial_move,3,6638553
-27.732,flush_begin,0,0
-27.712,flush_end,0,6638552
-27.693,trivial_move,3,6638554
-27.693,flush_begin,0,0
-27.671,flush_end,0,6638554
