t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,40006,36005,4001,43775,29299,0.66931,3,13,20,172,0,1,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
2,40026,36024,4002,35617,32016,0.89890,3,12,19,32,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
3,40019,36016,4003,35443,32265,0.91033,3,12,18,28,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
4,40012,36012,4000,35283,31674,0.89771,3,12,19,33,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
5,40023,36020,4003,35234,32362,0.91849,3,12,18,29,0,0,0,0,127.97,0.18,1,113,127.97,0,0,0,0,0,0
6,40016,36015,4001,35225,31181,0.88520,3,12,19,29,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
7,40023,36021,4002,35168,31710,0.90167,3,12,19,28,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
8,40117,36104,4013,35212,30995,0.88024,3,15,27,39,0,0,0,0,127.97,0.17,4,113,127.97,0,0,0,0,0,0
9,40034,36031,4003,35024,30530,0.87169,4,14,22,37,0,0,0,0,127.97,0.07,1,113,127.97,0,0,0,0,0,0
10,40015,36014,4001,34955,30455,0.87126,4,14,21,35,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
11,40031,36028,4003,34982,29138,0.83294,4,13,22,68,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
12,40425,36383,4042,35251,29541,0.83802,9,22,31,78,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
13,40145,36127,4018,85725,43182,0.50373,5,19,31,3520,1,5,1,0,127.98,0.26,5,121,127.98,0,0,0,0,0,0
14,40103,36096,4007,88879,31566,0.35516,4,12,21,3456,1,6,0,0,127.98,0.19,5,115,127.98,0,0,0,0,0,0
15,40419,36377,4042,44666,27282,0.61080,7,19,27,2240,0,1,0,0,127.97,0.10,3,114,127.97,0,0,0,0,0,0
16,40229,36206,4023,35920,29712,0.82717,9,23,33,58,0,0,0,0,127.97,0.07,3,114,127.97,0,0,0,0,0,0
17,40252,36227,4025,35899,30775,0.85727,8,21,31,54,0,0,0,0,127.97,0.07,3,114,127.97,0,0,0,0,0,0
18,40057,36051,4006,35573,31099,0.87423,5,15,26,49,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
19,40025,36022,4003,35524,29659,0.83490,5,14,23,42,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
20,40412,36371,4041,35957,29336,0.81586,7,19,27,53,0,0,0,0,127.97,0.02,2,114,127.97,0,0,0,0,0,0
21,40052,36047,4005,35598,30887,0.86766,9,21,30,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
22,40264,36238,4026,35751,31547,0.88241,9,23,31,68,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
23,40450,36405,4045,35852,30206,0.84252,4,17,25,50,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
24,40417,36375,4042,35760,27871,0.77939,4,12,19,31,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
25,40112,36101,4011,35379,27548,0.77865,10,23,33,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
26,40058,36052,4006,35336,28153,0.79672,10,22,32,56,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
27,40453,36408,4045,81225,39656,0.48822,5,19,29,3456,1,5,1,0,127.98,0.05,3,121,127.98,0,0,0,0,0,0
28,40026,36024,4002,97382,32754,0.33635,3,12,20,3520,0,7,0,0,127.98,0.34,5,114,127.98,0,0,0,0,0,0
29,40418,36376,4042,36027,29878,0.82932,8,21,29,54,0,0,0,0,127.98,0.05,1,114,127.98,0,0,0,0,0,0
30,40122,36108,4014,35717,30471,0.85312,9,22,32,58,0,0,0,0,127.98,0.03,1,114,127.98,0,0,0,0,0,0
31,40336,36303,4033,35859,30885,0.86129,9,22,32,57,0,0,0,0,127.97,0.04,3,114,127.97,0,0,0,0,0,0
32,40274,36247,4027,35741,31038,0.86841,8,20,29,56,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0
33,40049,36044,4005,35351,31679,0.89613,9,22,31,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
34,40146,36132,4014,35295,31395,0.88950,9,23,32,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
35,40112,36101,4011,35283,31458,0.89159,9,22,33,70,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0
36,40455,36409,4046,35457,31621,0.89181,9,22,32,62,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
37,40410,36369,4041,35181,31712,0.90140,8,19,27,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
