t,type,level,bytes
-29.908,flush_begin,0,0
-29.886,flush_end,0,6638552
-29.852,flush_begin,0,0
-29.820,flush_end,0,6638554
-29.795,flush_begin,0,0
-29.759,flush_end,0,6638553
-29.750,flush_begin,0,0
-29.717,flush_end,0,6638553
-29.707,flush_begin,0,0
-29.675,flush_end,0,6638553
-29.664,flush_begin,0,0
-29.630,flush_end,0,6638554
-29.620,flush_begin,0,0
-29.580,flush_end,0,6638552
-29.571,flush_begin,0,0
-29.533,flush_end,0,6638554
-29.524,flush_begin,0,0
-29.490,flush_end,0,6638554
-29.481,flush_begin,0,0
-29.446,flush_end,0,6638552
-29.438,flush_begin,0,0
-29.404,flush_end,0,6638553
-29.395,flush_begin,0,0
-29.361,flush_end,0,6638553
-29.353,flush_begin,0,0
-29.315,flush_end,0,6638554
-29.306,flush_begin,0,0
-29.271,flush_end,0,6638552
-29.263,flush_begin,0,0
-29.225,flush_end,0,6638554
-29.217,flush_begin,0,0
-29.182,flush_end,0,6638554
-29.163,trivial_move,3,6638552
-29.163,flush_begin,0,0
-29.127,flush_end,0,6638552
-29.106,trivial_move,3,6638554
-29.106,flush_begin,0,0
-29.070,flush_end,0,6638555
-29.049,trivial_move,3,6638553
-29.049,flush_begin,0,0
-29.014,flush_end,0,6638553
-28.996,trivial_move,3,6638553
-28.995,flush_begin,0,0
-28.959,flush_end,0,6638553
-28.940,trivial_move,3,6638553
-28.940,flush_begin,0,0
-28.899,flush_end,0,6638552
-28.879,trivial_move,3,6638554
-28.879,flush_begin,0,0
-28.842,flush_end,0,6638554
-28.822,trivial_move,3,6638552
-28.821,flush_begin,0,0
-28.783,flush_end,0,6638554
-28.753,trivial_move,3,6638554
-28.753,flush_begin,0,0
-28.675,flush_end,0,6638552
-28.642,trivial_move,3,6638554
-28.642,flush_begin,0,0
-28.593,flush_end,0,6638554
-28.568,trivial_move,3,6638552
-28.567,flush_begin,0,0
-28.509,flush_end,0,6638553
-28.481,trivial_move,3,6638553
-28.481,flush_begin,0,0
-28.463,flush_end,0,6638553
-28.436,trivial_move,3,6638553
-28.424,flush_begin,0,0
-28.405,flush_end,0,6638553
-28.388,trivial_move,3,6638554
-28.343,flush_begin,0,0
-28.323,flush_end,0,6638554
-28.308,trivial_move,3,6638552
-28.305,flush_begin,0,0
-28.284,flush_end,0,6638553
-28.264,trivial_move,3,6638554
-28.261,flush_begin,0,0
-28.243,flush_end,0,6638552
-28.227,trivial_move,3,6638554
-28.224,flush_begin,0,0
-28.200,flush_end,0,6638554
-28.184,trivial_move,3,6638552
-28.183,flush_begin,0,0
-28.162,flush_end,0,6638553
-28.146,trivial_move,3,6638555
-28.108,flush_begin,0,0
-28.069,flush_end,0,6638553
-28.002,trivial_move,3,6638553
-28.002,flush_begin,0,0
-27.958,flush_end,0,6638553
-27.935,trivial_move,3,6638553
-27.935,flush_begin,0,0
-27.899,flush_end,0,6638555
-27.878,trivial_move,3,6638552
-27.878,flush_begin,0,0
-27.851,flush_end,0,6638553
-27.830,trivial_move,3,6638554
-27.829,flush_begin,0,0
-27.783,flush_end,0,6638553
-27.753,trivial_move,3,6638554
-27.753,flush_begin,0,0
-27.729,flush_end,0,6638554
-27.672,trivial_move,3,6638552
-27.672,flush_begin,0,0
-27.643,flush_end,0,6638552
-27.591,trivial_move,3,6638554
-27.591,flush_begin,0,0
-27.566,flush_end,0,6638553
-27.549,trivial_move,3,6638553
-27.544,flush_begin,0,0
-27.518,flush_end,0,6638553
-27.494,trivial_move,3,6638553
-27.494,flush_begin,0,0
-27.472,flush_end,0,6638554
-27.453,trivial_move,3,6638553
-27.453,flush_begin,0,0
-27.434,flush_end,0,6638553
-27.419,trivial_move,3,6638554
-27.418,flush_begin,0,0
-27.393,flush_end,0,6638553
-27.374,trivial_move,3,6638553
-27.374,flush_begin,0,0
-27.353,flush_end,0,6638554
-27.338,trivial_move,3,6638552
-27.336,flush_begin,0,0
-27.317,flush_end,0,6638552
-27.302,trivial_move,3,6638554
-27.300,flush_begin,0,0
-27.280,flush_end,0,6638554
-27.264,trivial_move,3,6638553
-27.263,flush_begin,0,0
-27.243,flush_end,0,6638553
-27.227,trivial_move,3,6638553
-27.227,flush_begin,0,0
-27.206,flush_end,0,6638553
-27.190,trivial_move,3,6638553
-27.188,flush_begin,0,0
-27.168,flush_end,0,6638553
-27.153,trivial_move,3,6638555
-27.151,flush_begin,0,0
-27.131,flush_end,0,6638553
-27.114,trivial_move,3,6638553
-27.114,flush_begin,0,0
-27.096,flush_end,0,6638555
-27.081,trivial_move,3,6638553
-27.075,flush_begin,0,0
-27.056,flush_end,0,6638552
-27.039,trivial_move,3,6638554
-27.039,flush_begin,0,0
-27.019,flush_end,0,6638554
-27.003,trivial_move,3,6638552
-26.999,flush_begin,0,0
-26.980,flush_end,0,6638553
-26.965,trivial_move,3,6638553
-26.964,flush_begin,0,0
-26.943,flush_end,0,6638553
-26.935,flush_begin,0,0
-26.915,flush_end,0,6638554
-26.900,trivial_move,3,6638553
-26.892,trivial_move,3,6638554
-26.891,flush_begin,0,0
-26.873,flush_end,0,6638553
-26.858,trivial_move,3,6638553
-26.855,flush_begin,0,0
-26.835,flush_end,0,6638553
-26.819,trivial_move,3,6638553
-26.819,flush_begin,0,0
-26.799,flush_end,0,6638552
-26.791,flush_begin,0,0
-26.771,flush_end,0,6638554
-26.755,trivial_move,3,6638554
-26.747,trivial_move,3,6638552
-26.746,flush_begin,0,0
-26.726,flush_end,0,6638553
-26.710,trivial_move,3,6638554
-26.709,flush_begin,0,0
-26.689,flush_end,0,6638553
-26.672,trivial_move,3,6638553
-26.672,flush_begin,0,0
-26.652,flush_end,0,6638554
-26.634,trivial_move,3,6638553
-26.634,flush_begin,0,0
-26.614,flush_end,0,6638553
-26.596,trivial_move,3,6638553
-26.596,flush_begin,0,0
-26.575,flush_end,0,6638553
-26.557,trivial_move,3,6638553
-26.557,flush_begin,0,0
-26.533,flush_end,0,6638553
-26.515,trivial_move,3,6638555
-26.515,flush_begin,0,0
-26.495,flush_end,0,6638554
-26.475,trivial_move,3,6638552
-26.475,flush_begin,0,0
-26.457,flush_end,0,6638552
-26.440,trivial_move,3,6638554
-26.439,flush_begin,0,0
-26.432,flush_end,0,1164547
-26.424,compaction_begin,2,0
-26.400,compaction_end,2,6638145
-26.390,compaction_begin,2,0
-26.362,compaction_end,2,6638145
-26.354,compaction_begin,2,0
-26.325,compaction_end,2,6638146
-26.317,compaction_begin,2,0
-26.289,compaction_end,2,6638145
-26.281,compaction_begin,2,0
-26.254,compaction_end,2,6638145
-26.246,compaction_begin,2,0
-26.215,compaction_end,2,6638144
-26.207,compaction_begin,2,0
-26.176,compaction_end,2,6638146
-26.168,compaction_begin,2,0
-26.142,compaction_end,2,6638145
-26.134,compaction_begin,2,0
-26.106,compaction_end,2,6638145
-26.097,compaction_begin,2,0
-26.068,compaction_end,2,6638146
-26.060,compaction_begin,2,0
-26.029,compaction_end,2,6638145
-26.020,compaction_begin,2,0
-25.992,compaction_end,2,6638145
-25.984,compaction_begin,2,0
-25.957,compaction_end,2,6638145
-25.949,compaction_begin,2,0
-25.910,compaction_end,2,6638146
-25.901,compaction_begin,2,0
-25.876,compaction_end,2,6638144
-25.867,compaction_begin,2,0
-25.859,compaction_end,2,1164547
-11.733,flush_begin,0,0
-11.679,flush_end,0,6622531
-11.668,compaction_begin,1,0
-11.578,compaction_end,1,6538847
-11.563,compaction_begin,2,0
-10.719,compaction_end,2,46468050
-10.699,compaction_begin,2,0
-10.365,compaction_end,2,42178895
-10.347,compaction_begin,2,0
-9.565,compaction_end,2,33191398
-9.549,compaction_begin,2,0
-8.630,compaction_end,2,39829709
-8.614,compaction_begin,2,0
-7.523,compaction_end,2,46468049
-7.506,compaction_begin,2,0
-6.515,compaction_end,2,46468050
-6.494,compaction_begin,2,0
-5.672,compaction_end,2,33191398
-5.657,compaction_begin,2,0
-4.706,compaction_end,2,46468047
-4.685,compaction_begin,2,0
-3.941,compaction_end,2,44118863
-3.923,compaction_begin,2,0
-3.052,compaction_end,2,46468049
-3.038,compaction_begin,2,0
-3.015,compaction_end,2,2496786
2.383,flush_begin,0,0
2.456,flush_end,0,6623778
2.472,compaction_begin,1,0
2.577,compaction_end,1,6546569
2.593,compaction_begin,2,0
2.940,compaction_end,2,42179010
2.952,compaction_begin,2,0
3.111,compaction_end,2,42179009
3.122,compaction_begin,2,0
3.409,compaction_end,2,43300039
3.419,compaction_begin,2,0
3.576,compaction_end,2,42179011
3.587,compaction_begin,2,0
3.826,compaction_end,2,43407423
3.836,compaction_begin,2,0
3.993,compaction_end,2,42890503
4.003,compaction_begin,2,0
4.143,compaction_end,2,37889972
4.153,compaction_begin,2,0
4.347,compaction_end,2,42179011
4.358,compaction_begin,2,0
4.621,compaction_end,2,45239611
4.631,compaction_begin,2,0
4.785,compaction_end,2,42179010
4.943,compaction_begin,2,0
5.075,compaction_end,2,33128617
16.499,flush_begin,0,0
16.522,flush_end,0,6621531
16.538,compaction_begin,1,0
16.598,compaction_end,1,6530331
16.616,compaction_begin,2,0
16.760,compaction_end,2,39118499
16.770,compaction_begin,2,0
16.962,compaction_end,2,42890390
16.973,compaction_begin,2,0
17.094,compaction_end,2,34453106
17.105,compaction_begin,2,0
17.255,compaction_end,2,43299925
17.266,compaction_begin,2,0
17.413,compaction_end,2,42179009
17.424,compaction_begin,2,0
17.572,compaction_end,2,42890503
17.581,compaction_begin,2,0
17.713,compaction_end,2,37889971
17.722,compaction_begin,2,0
17.871,compaction_end,2,42179010
17.881,compaction_begin,2,0
18.032,compaction_end,2,42179011
18.043,compaction_begin,2,0
18.207,compaction_end,2,44528185
18.284,compaction_begin,2,0
18.428,compaction_end,2,42179011
30.615,flush_begin,0,0
30.667,flush_end,0,6626555
30.683,compaction_begin,1,0
30.775,compaction_end,1,6563406
30.787,compaction_begin,2,0
30.993,compaction_end,2,43299926
31.004,compaction_begin,2,0
31.170,compaction_end,2,42179010
31.181,compaction_begin,2,0
31.336,compaction_end,2,42179009
31.346,compaction_begin,2,0
31.503,compaction_end,2,42179010
31.514,compaction_begin,2,0
31.680,compaction_end,2,44528187
31.690,compaction_begin,2,0
31.862,compaction_end,2,42179011
31.870,compaction_begin,2,0
32.036,compaction_end,2,42890390
32.048,compaction_begin,2,0
32.191,compaction_end,2,38601352
32.201,compaction_begin,2,0
32.295,compaction_end,2,25734233
32.304,compaction_begin,2,0
32.408,compaction_end,2,27192928
32.423,compaction_begin,2,0
32.578,compaction_end,2,42890503
44.731,flush_begin,0,0
44.755,flush_end,0,6620823
44.771,compaction_begin,1,0
44.834,compaction_end,1,6516497
44.852,compaction_begin,2,0
45.010,compaction_end,2,42179009
45.020,compaction_begin,2,0
45.181,compaction_end,2,42890391
45.191,compaction_begin,2,0
45.342,compaction_end,2,40239147
45.351,compaction_begin,2,0
45.514,compaction_end,2,43299924
45.524,compaction_begin,2,0
45.689,compaction_end,2,43407538
45.699,compaction_begin,2,0
45.860,compaction_end,2,42890390
45.871,compaction_begin,2,0
46.007,compaction_end,2,36380051
46.016,compaction_begin,2,0
46.173,compaction_end,2,42179012
46.183,compaction_begin,2,0
46.339,compaction_end,2,42179011
46.350,compaction_begin,2,0
46.508,compaction_end,2,42890389
47.138,compaction_begin,2,0
47.300,compaction_end,2,42890503
58.848,flush_begin,0,0
58.898,flush_end,0,6627370
58.915,compaction_begin,1,0
59.000,compaction_end,1,6567149
59.021,compaction_begin,2,0
59.210,compaction_end,2,42890388
59.221,compaction_begin,2,0
59.375,compaction_end,2,42890391
59.384,compaction_begin,2,0
59.527,compaction_end,2,39527884
59.536,compaction_begin,2,0
59.701,compaction_end,2,43407539
59.712,compaction_begin,2,0
59.866,compaction_end,2,42890389
59.876,compaction_begin,2,0
60.033,compaction_end,2,42890391
60.044,compaction_begin,2,0
60.199,compaction_end,2,42890389
60.207,compaction_begin,2,0
60.361,compaction_end,2,42179009
60.371,compaction_begin,2,0
60.510,compaction_end,2,42588496
61.660,compaction_begin,2,0
61.858,compaction_end,2,37704238
62.585,compaction_begin,2,0
62.759,compaction_end,2,42179011
72.964,flush_begin,0,0
73.020,flush_end,0,6626249
73.036,compaction_begin,1,0
73.104,compaction_end,1,6556127
73.125,compaction_begin,2,0
73.314,compaction_end,2,42890391
73.325,compaction_begin,2,0
73.475,compaction_end,2,42696018
73.486,compaction_begin,2,0
