t,type,level,bytes
-29.924,flush_begin,0,0
-29.904,flush_end,0,6638552
-29.895,flush_begin,0,0
-29.876,flush_end,0,6638554
-29.867,flush_begin,0,0
-29.849,flush_end,0,6638553
-29.841,flush_begin,0,0
-29.823,flush_end,0,6638553
-29.815,flush_begin,0,0
-29.798,flush_end,0,6638553
-29.789,flush_begin,0,0
-29.772,flush_end,0,6638554
-29.763,flush_begin,0,0
-29.746,flush_end,0,6638552
-29.737,flush_begin,0,0
-29.721,flush_end,0,6638554
-29.712,flush_begin,0,0
-29.695,flush_end,0,6638554
-29.686,flush_begin,0,0
-29.669,flush_end,0,6638552
-29.660,flush_begin,0,0
-29.642,flush_end,0,6638553
-29.634,flush_begin,0,0
-29.616,flush_end,0,6638553
-29.608,flush_begin,0,0
-29.591,flush_end,0,6638554
-29.582,flush_begin,0,0
-29.564,flush_end,0,6638552
-29.556,flush_begin,0,0
-29.539,flush_end,0,6638554
-29.531,flush_begin,0,0
-29.514,flush_end,0,6638554
-29.496,trivial_move,3,6638552
-29.496,flush_begin,0,0
-29.478,flush_end,0,6638552
-29.460,trivial_move,3,6638554
-29.460,flush_begin,0,0
-29.443,flush_end,0,6638555
-29.425,trivial_move,3,6638553
-29.425,flush_begin,0,0
-29.408,flush_end,0,6638553
-29.389,trivial_move,3,6638553
-29.389,flush_begin,0,0
-29.371,flush_end,0,6638553
-29.354,trivial_move,3,6638553
-29.354,flush_begin,0,0
-29.335,flush_end,0,6638552
-29.318,trivial_move,3,6638554
-29.318,flush_begin,0,0
-29.300,flush_end,0,6638554
-29.282,trivial_move,3,6638552
-29.282,flush_begin,0,0
-29.263,flush_end,0,6638554
-29.245,trivial_move,3,6638554
-29.245,flush_begin,0,0
-29.227,flush_end,0,6638552
-29.209,trivial_move,3,6638554
-29.209,flush_begin,0,0
-29.187,flush_end,0,6638554
-29.168,trivial_move,3,6638552
-29.168,flush_begin,0,0
-29.147,flush_end,0,6638553
-29.129,trivial_move,3,6638553
-29.129,flush_begin,0,0
-29.108,flush_end,0,6638553
-29.091,trivial_move,3,6638553
-29.091,flush_begin,0,0
-29.071,flush_end,0,6638553
-29.052,trivial_move,3,6638554
-29.052,flush_begin,0,0
-29.025,flush_end,0,6638554
-29.008,trivial_move,3,6638552
-29.008,flush_begin,0,0
-28.988,flush_end,0,6638553
-28.971,trivial_move,3,6638554
-28.971,flush_begin,0,0
-28.952,flush_end,0,6638552
-28.933,trivial_move,3,6638554
-28.933,flush_begin,0,0
-28.914,flush_end,0,6638554
-28.897,trivial_move,3,6638552
-28.897,flush_begin,0,0
-28.878,flush_end,0,6638553
-28.859,trivial_move,3,6638555
-28.859,flush_begin,0,0
-28.840,flush_end,0,6638553
-28.822,trivial_move,3,6638553
-28.822,flush_begin,0,0
-28.803,flush_end,0,6638553
-28.784,trivial_move,3,6638553
-28.784,flush_begin,0,0
-28.764,flush_end,0,6638555
-28.747,trivial_move,3,6638552
-28.747,flush_begin,0,0
-28.727,flush_end,0,6638553
-28.703,trivial_move,3,6638554
-28.703,flush_begin,0,0
-28.683,flush_end,0,6638553
-28.664,trivial_move,3,6638554
-28.664,flush_begin,0,0
-28.643,flush_end,0,6638554
-28.625,trivial_move,3,6638552
-28.625,flush_begin,0,0
-28.605,flush_end,0,6638552
-28.586,trivial_move,3,6638554
-28.586,flush_begin,0,0
-28.566,flush_end,0,6638553
-28.548,trivial_move,3,6638553
-28.548,flush_begin,0,0
-28.527,flush_end,0,6638553
-28.509,trivial_move,3,6638553
-28.509,flush_begin,0,0
-28.489,flush_end,0,6638554
-28.471,trivial_move,3,6638553
-28.471,flush_begin,0,0
-28.449,flush_end,0,6638553
-28.432,trivial_move,3,6638554
-28.432,flush_begin,0,0
-28.412,flush_end,0,6638553
-28.395,trivial_move,3,6638553
-28.395,flush_begin,0,0
-28.374,flush_end,0,6638554
-28.357,trivial_move,3,6638552
-28.357,flush_begin,0,0
-28.337,flush_end,0,6638552
-28.318,trivial_move,3,6638554
-28.318,flush_begin,0,0
-28.299,flush_end,0,6638554
-28.281,trivial_move,3,6638553
-28.281,flush_begin,0,0
-28.262,flush_end,0,6638553
-28.243,trivial_move,3,6638553
-28.243,flush_begin,0,0
-28.223,flush_end,0,6638553
-28.206,trivial_move,3,6638553
-28.206,flush_begin,0,0
-28.186,flush_end,0,6638553
-28.169,trivial_move,3,6638555
-28.169,flush_begin,0,0
-28.149,flush_end,0,6638553
-28.131,trivial_move,3,6638553
-28.131,flush_begin,0,0
-28.111,flush_end,0,6638555
-28.093,trivial_move,3,6638553
-28.093,flush_begin,0,0
-28.074,flush_end,0,6638552
-28.056,trivial_move,3,6638554
-28.056,flush_begin,0,0
-28.036,flush_end,0,6638554
-28.019,trivial_move,3,6638552
-28.019,flush_begin,0,0
-28.000,flush_end,0,6638553
-27.981,trivial_move,3,6638553
-27.981,flush_begin,0,0
-27.962,flush_end,0,6638553
-27.944,trivial_move,3,6638553
-27.944,flush_begin,0,0
-27.925,flush_end,0,6638554
-27.906,trivial_move,3,6638554
-27.906,flush_begin,0,0
-27.886,flush_end,0,6638553
-27.868,trivial_move,3,6638553
-27.868,flush_begin,0,0
-27.847,flush_end,0,6638553
-27.829,trivial_move,3,6638553
-27.829,flush_begin,0,0
-27.809,flush_end,0,6638552
-27.791,trivial_move,3,6638554
-27.791,flush_begin,0,0
-27.770,flush_end,0,6638554
-27.753,trivial_move,3,6638552
-27.753,flush_begin,0,0
-27.734,flush_end,0,6638553
-27.715,trivial_move,3,6638554
-27.715,flush_begin,0,0
-27.695,flush_end,0,6638553
-27.677,trivial_move,3,6638553
-27.677,flush_begin,0,0
-27.657,flush_end,0,6638554
-27.639,trivial_move,3,6638553
-27.639,flush_begin,0,0
-27.619,flush_end,0,6638553
-27.602,trivial_move,3,6638553
-27.602,flush_begin,0,0
-27.582,flush_end,0,6638553
-27.565,trivial_move,3,6638553
-27.565,flush_begin,0,0
-27.545,flush_end,0,6638553
-27.528,trivial_move,3,6638555
-27.528,flush_begin,0,0
-27.508,flush_end,0,6638554
-27.490,trivial_move,3,6638552
-27.490,flush_begin,0,0
-27.471,flush_end,0,6638552
-27.456,trivial_move,3,6638554
-27.456,flush_begin,0,0
-27.449,flush_end,0,1164547
-27.441,compaction_begin,2,0
-27.420,compaction_end,2,6638145
-27.412,compaction_begin,2,0
-27.391,compaction_end,2,6638145
-27.383,compaction_begin,2,0
-27.362,compaction_end,2,6638146
-27.354,compaction_begin,2,0
-27.332,compaction_end,2,6638145
-27.323,compaction_begin,2,0
-27.301,compaction_end,2,6638145
-27.293,compaction_begin,2,0
-27.272,compaction_end,2,6638144
-27.264,compaction_begin,2,0
-27.242,compaction_end,2,6638146
-27.233,compaction_begin,2,0
-27.210,compaction_end,2,6638145
-27.201,compaction_begin,2,0
-27.179,compaction_end,2,6638145
-27.171,compaction_begin,2,0
-27.149,compaction_end,2,6638146
-27.141,compaction_begin,2,0
-27.119,compaction_end,2,6638145
-27.111,compaction_begin,2,0
-27.089,compaction_end,2,6638145
-27.081,compaction_begin,2,0
-27.059,compaction_end,2,6638145
-27.051,compaction_begin,2,0
-27.028,compaction_end,2,6638146
-27.020,compaction_begin,2,0
-26.996,compaction_end,2,6638144
-26.988,compaction_begin,2,0
-26.981,compaction_end,2,1164547
-12.855,flush_begin,0,0
-12.802,flush_end,0,6622684
-12.785,compaction_begin,1,0
-12.703,compaction_end,1,6542612
-12.684,compaction_begin,2,0
-12.501,compaction_end,2,46468050
-12.491,compaction_begin,2,0
-12.387,compaction_end,2,33191398
-12.378,compaction_begin,2,0
-12.250,compaction_end,2,39829709
-12.240,compaction_begin,2,0
-12.098,compaction_end,2,44118863
-12.089,compaction_begin,2,0
-11.938,compaction_end,2,46468049
-11.928,compaction_begin,2,0
-11.822,compaction_end,2,33191398
-11.813,compaction_begin,2,0
-11.681,compaction_end,2,42178895
-11.673,compaction_begin,2,0
-11.525,compaction_end,2,46468047
-11.513,compaction_begin,2,0
-11.354,compaction_end,2,46468050
-11.346,compaction_begin,2,0
-11.171,compaction_end,2,46468049
-11.163,compaction_begin,2,0
-11.152,compaction_end,2,2490124
1.259,flush_begin,0,0
1.286,flush_end,0,6623733
1.301,compaction_begin,1,0
1.360,compaction_end,1,6552900
1.377,compaction_begin,2,0
1.515,compaction_end,2,42179010
1.526,compaction_begin,2,0
1.655,compaction_end,2,42179011
1.665,compaction_begin,2,0
1.800,compaction_end,2,42890503
1.809,compaction_begin,2,0
1.940,compaction_end,2,42179010
1.949,compaction_begin,2,0
2.083,compaction_end,2,42179009
2.092,compaction_begin,2,0
2.210,compaction_end,2,37889972
2.220,compaction_begin,2,0
2.359,compaction_end,2,43300039
2.368,compaction_begin,2,0
2.513,compaction_end,2,45239611
2.522,compaction_begin,2,0
2.655,compaction_end,2,42179011
2.665,compaction_begin,2,0
2.809,compaction_end,2,43407423
3.832,compaction_begin,2,0
3.999,compaction_end,2,33135850
15.377,flush_begin,0,0
15.431,flush_end,0,6621559
15.448,compaction_begin,1,0
15.530,compaction_end,1,6522935
15.545,compaction_begin,2,0
15.711,compaction_end,2,39118499
15.721,compaction_begin,2,0
15.854,compaction_end,2,42890390
15.864,compaction_begin,2,0
16.003,compaction_end,2,43299925
16.013,compaction_begin,2,0
16.144,compaction_end,2,42179009
16.154,compaction_begin,2,0
16.286,compaction_end,2,42179011
16.296,compaction_begin,2,0
16.436,compaction_end,2,44528185
16.446,compaction_begin,2,0
16.557,compaction_end,2,34459134
16.566,compaction_begin,2,0
16.700,compaction_end,2,42890503
16.709,compaction_begin,2,0
16.845,compaction_end,2,42179010
16.854,compaction_begin,2,0
16.973,compaction_end,2,37889971
17.133,compaction_begin,2,0
17.277,compaction_end,2,42179011
29.492,flush_begin,0,0
29.555,flush_end,0,6626472
29.591,compaction_begin,1,0
29.683,compaction_end,1,6560009
29.697,compaction_begin,2,0
29.905,compaction_end,2,43299926
29.915,compaction_begin,2,0
30.075,compaction_end,2,42179010
30.085,compaction_begin,2,0
30.241,compaction_end,2,42179009
30.251,compaction_begin,2,0
30.372,compaction_end,2,38601352
30.381,compaction_begin,2,0
30.516,compaction_end,2,42179011
30.527,compaction_begin,2,0
30.701,compaction_end,2,44528187
30.711,compaction_begin,2,0
30.820,compaction_end,2,25734233
30.830,compaction_begin,2,0
30.996,compaction_end,2,42890390
31.006,compaction_begin,2,0
31.144,compaction_end,2,42179010
31.154,compaction_begin,2,0
31.271,compaction_end,2,27186544
31.286,compaction_begin,2,0
31.459,compaction_end,2,42890503
43.608,flush_begin,0,0
43.661,flush_end,0,6620777
43.678,compaction_begin,1,0
43.752,compaction_end,1,6515273
43.771,compaction_begin,2,0
43.904,compaction_end,2,40239147
43.914,compaction_begin,2,0
44.047,compaction_end,2,42179011
44.057,compaction_begin,2,0
44.190,compaction_end,2,42179009
44.200,compaction_begin,2,0
44.335,compaction_end,2,42890391
44.345,compaction_begin,2,0
44.486,compaction_end,2,43407538
44.494,compaction_begin,2,0
44.630,compaction_end,2,42890390
44.641,compaction_begin,2,0
44.775,compaction_end,2,42890389
44.785,compaction_begin,2,0
44.918,compaction_end,2,42179012
44.927,compaction_begin,2,0
45.044,compaction_end,2,36363509
45.052,compaction_begin,2,0
45.191,compaction_end,2,43299924
45.991,compaction_begin,2,0
46.185,compaction_end,2,42890503
57.724,flush_begin,0,0
57.779,flush_end,0,6627330
57.796,compaction_begin,1,0
57.880,compaction_end,1,6568885
57.902,compaction_begin,2,0
58.075,compaction_end,2,42890388
58.084,compaction_begin,2,0
58.217,compaction_end,2,42890389
58.229,compaction_begin,2,0
58.361,compaction_end,2,42179011
58.370,compaction_begin,2,0
58.506,compaction_end,2,42890391
58.516,compaction_begin,2,0
58.651,compaction_end,2,42890389
58.660,compaction_begin,2,0
58.796,compaction_end,2,42588496
58.806,compaction_begin,2,0
58.940,compaction_end,2,42179009
58.950,compaction_begin,2,0
59.088,compaction_end,2,43407539
59.098,compaction_begin,2,0
59.230,compaction_end,2,42890391
59.241,compaction_begin,2,0
59.371,compaction_end,2,39527884
60.553,compaction_begin,2,0
60.737,compaction_end,2,37677167
71.840,flush_begin,0,0
71.896,flush_end,0,6626381
71.913,compaction_begin,1,0
71.993,compaction_end,1,6562069
